Name:				357_n020_m400_bt100
Problem:			3L-VRPTW
Number_of_used_Vehicles:	5
Total_Travel_Distance:		478.30
Calculation_Time:		3600.00
Total_Iterations:		11
ConstraintSet:			P3

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		4
No_of_Items:			82
Customer_Sequence:		17 2 10 16 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
16	317	90	0	0	0	0	13	5	8	47.40	0		2.479982
16	306	20	0	0	5	0	14	5	5	20.99	0		5.302093
16	307	20	0	0	10	0	14	5	5	20.99	0		5.302093
16	314	78	0	0	15	0	14	5	5	46.59	0		3.845289
16	313	74	0	0	5	5	11	6	5	40.52	0		10.883508
10	191	61	0	0	11	5	13	6	4	12.59	0		1.677572
16	311	39	0	0	20	0	8	5	8	14.09	0		3.290357
16	315	81	0	0	17	5	13	3	8	15.32	0		1.918962
16	305	13	0	0	0	8	15	4	5	18.36	0		2.980124
16	310	36	0	0	20	8	7	5	6	23.99	0		3.504182
16	318	93	0	0	5	10	7	4	6	15.54	0		8.893131
16	303	3	0	0	0	13	8	5	4	8.24	0		2.086155
16	308	24	0	0	17	13	12	3	3	4.52	0		2.064009
16	316	83	0	15	0	0	11	7	8	46.46	1		0.822464
16	312	55	0	0	17	16	10	4	7	26.48	1		1.797828
16	304	10	0	14	7	0	7	6	5	22.35	1		3.252575
10	187	40	0	0	11	9	14	6	8	28.08	0		5.164374
10	194	82	0	0	11	17	11	6	8	22.95	0		1.308436
10	184	37	0	14	13	0	17	5	6	18.52	0		8.451092
10	185	37	0	14	18	0	17	5	6	18.52	0		8.451092
10	182	31	0	13	17	6	9	7	8	34.93	0		2.802535
10	198	98	0	21	7	0	13	4	7	42.14	0		6.048009
10	197	98	0	21	7	7	13	4	7	42.14	0		6.048009
16	309	35	0	26	0	0	16	5	4	29.43	0		3.115401
10	193	81	0	21	7	14	13	3	8	15.32	0		1.918962
10	179	7	0	13	17	14	6	6	7	29.91	0		3.831637
10	190	56	0	0	0	17	9	5	4	12.88	0		3.018412
10	181	30	0	0	21	14	9	4	5	23.84	0		11.231340
10	189	53	0	0	11	25	7	6	4	17.88	0		4.363958
10	196	93	0	0	5	16	7	4	6	15.54	0		8.893131
10	188	47	0	21	7	22	13	4	3	11.20	0		8.521477
10	183	32	0	8	23	0	16	2	4	14.42	0		2.824554
10	180	27	0	0	9	10	8	2	4	7.69	0		5.096130
10	177	2	0	15	0	8	12	7	8	46.25	1		3.472654
10	178	2	0	15	0	16	12	7	8	46.25	1		3.472654
10	195	83	0	31	13	0	11	7	8	46.46	1		0.822464
10	192	77	0	21	11	0	16	2	7	25.36	1		2.158499
10	186	38	0	0	21	19	8	4	3	5.51	1		0.664551
2	24	23	0	37	5	0	13	7	7	59.02	0		1.310522
2	22	18	0	27	0	4	15	5	7	21.32	0		1.683354
2	29	37	0	27	0	11	17	5	6	18.52	0		8.451092
2	30	41	0	27	0	17	15	4	7	56.42	0		26.820734
2	28	35	0	27	0	24	16	5	4	29.43	0		3.115401
2	21	13	0	31	20	0	15	4	5	18.36	0		2.980124
2	26	33	0	13	17	21	8	5	7	35.98	0		3.965113
2	27	33	0	31	20	5	8	5	7	35.98	0		3.965113
2	38	96	0	21	7	25	11	4	5	29.19	0		5.155837
2	37	96	0	37	5	7	11	4	5	29.19	0		5.155837
2	25	25	0	34	9	7	14	2	7	14.82	0		10.016153
2	19	3	0	31	20	12	8	5	4	8.24	0		2.086155
2	18	3	0	31	20	16	8	5	4	8.24	0		2.086155
2	31	47	0	34	5	12	13	4	3	11.20	0		8.521477
2	35	73	0	31	20	20	10	5	3	5.29	0		1.012654
2	32	48	1	7	11	25	6	5	5	10.56	0		3.321895
2	23	21	0	42	13	0	6	6	4	18.11	0		3.190178
2	20	8	1	19	17	14	8	2	3	5.19	0		2.209568
2	33	72	0	31	13	8	14	6	6	63.64	1		1.175304
2	34	72	0	31	13	14	14	6	6	63.64	1		1.175304
2	36	89	0	15	0	24	6	6	3	5.94	1		0.408159
17	327	40	1	50	0	0	14	6	8	28.08	0		5.164374
17	341	100	0	34	5	15	13	4	8	32.89	0		11.650407
17	340	98	0	34	5	23	13	4	7	42.14	0		6.048009
17	335	78	0	46	20	0	14	5	5	46.59	0		3.845289
17	337	81	0	41	20	5	13	3	8	15.32	0		1.918962
17	338	84	1	50	0	8	17	4	4	24.47	0		3.189044
17	336	80	0	31	20	23	9	5	6	29.47	0		4.182087
17	331	57	0	48	14	0	12	5	4	8.85	0		4.201776
17	323	30	0	41	20	13	9	4	5	23.84	0		11.231340
17	330	53	0	48	14	4	7	6	4	17.88	0		4.363958
17	328	47	1	50	0	12	13	4	3	11.20	0		8.521477
17	333	73	1	50	0	15	10	5	3	5.29	0		1.012654
17	329	48	0	44	0	0	6	5	5	10.56	0		3.321895
17	322	17	0	41	20	18	9	4	3	7.62	0		4.948564
17	334	76	0	41	23	5	10	2	5	3.89	0		1.460618
17	319	1	0	41	20	21	8	2	4	6.43	0		3.566024
17	320	10	0	31	13	20	7	6	5	22.35	1		3.252575
17	339	91	1	50	0	18	8	4	6	7.11	1		1.202713
17	321	11	0	21	11	7	16	2	3	9.89	1		2.021236
17	326	38	0	31	13	25	8	4	3	5.51	1		0.664551
17	325	38	1	50	0	24	8	4	3	5.51	1		0.664551
17	324	38	1	50	0	27	8	4	3	5.51	1		0.664551
17	332	69	1	38	13	20	6	3	5	11.35	1		1.167336


-------------------------------------------------------------------------------------------------------------------
