Name:				041_n020_m200_bt100
Problem:			3L-VRPTW
Number_of_used_Vehicles:	3
Total_Travel_Distance:		392.47
Calculation_Time:		3600.00
Total_Iterations:		25
ConstraintSet:			P4

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		6
No_of_Items:			56
Customer_Sequence:		18 4 8 17 19 15 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
15	154	89	0	0	0	0	16	5	6	55.27	0		2.423622
15	153	73	0	0	5	0	15	6	5	86.46	0		5.807931
15	148	3	0	0	11	0	13	3	8	46.73	0		7.791739
15	149	17	0	0	14	0	11	5	8	50.31	0		7.647461
17	166	41	0	0	19	0	15	3	6	47.16	0		17.620688
15	150	27	0	0	22	0	13	2	8	38.93	0		3.592380
15	152	71	0	0	11	8	7	7	4	82	0		17.159099
19	192	98	0	0	5	5	14	5	8	77.05	0		4.805935
19	191	83	0	0	0	6	15	4	8	303.98	0		35.195025
19	190	78	0	13	11	0	9	6	8	168.15	0		10.707476
19	188	47	0	0	5	13	12	4	6	52.12	0		5.190848
19	189	61	0	15	5	0	17	5	3	39.62	0		7.558207
19	187	44	0	13	11	8	9	5	5	42.95	0		6.984504
19	186	6	0	0	0	14	8	3	8	32.77	0		4.251652
19	193	99	0	0	5	19	12	3	6	40.80	1		9.656395
17	169	72	0	15	19	0	11	6	8	91.82	0		10.293749
17	168	55	0	22	10	0	12	6	7	64.32	0		2.391587
17	172	99	0	0	19	6	12	3	6	40.80	1		9.656395
17	165	40	0	15	5	3	12	5	8	55.09	0		7.399877
17	170	74	0	15	19	8	7	6	7	32.51	0		3.228174
15	151	64	0	0	11	12	7	6	5	25.15	0		5.000843
8	82	63	0	16	0	0	14	4	4	22.78	0		13.841578
8	79	21	0	0	0	22	8	4	7	41.84	0		6.205514
17	167	49	0	15	5	11	11	4	3	49.09	0		23.387746
8	87	91	0	0	11	17	6	4	7	28.65	0		11.470331
8	86	90	0	26	19	0	17	4	8	59.65	0		4.076915
8	85	89	0	30	0	0	16	5	6	55.27	0		2.423622
8	83	67	0	16	0	4	14	4	7	58.03	0		11.571128
8	81	31	0	16	0	11	13	3	7	34.39	0		4.414711
8	80	25	0	22	16	0	17	3	5	41.55	0		37.567958
17	173	100	0	15	5	14	8	4	5	22.30	0		10.443759
17	164	15	0	22	10	7	10	5	3	50.73	0		58.356899
17	171	89	0	32	5	0	16	5	6	55.27	0		2.423622
8	84	81	0	22	19	8	16	4	7	52.42	1		3.831611
8	77	19	0	0	11	24	8	3	6	16.59	1		1.421616
8	78	19	0	13	11	13	8	3	6	16.59	1		1.421616
4	43	95	0	34	10	0	14	6	8	93.34	0		3.200471
4	38	52	0	30	0	6	13	5	3	109.50	1		6.754415
4	40	68	0	22	10	10	9	5	8	52.28	0		8.613960
4	41	68	0	22	10	18	9	5	8	52.28	0		8.613960
4	39	66	0	16	0	18	12	3	6	21.73	0		2.596668
4	42	94	0	16	0	24	12	3	6	28.24	0		7.554184
4	36	9	0	22	16	5	14	3	4	25.10	0		5.280171
4	37	39	0	32	5	6	15	5	5	62.58	0		2.729190
18	183	90	0	43	19	0	17	4	8	59.65	0		4.076915
18	185	98	0	32	5	11	14	5	8	77.05	0		4.805935
18	179	46	0	34	10	8	11	6	8	72.52	0		6.634209
18	180	57	1	48	0	0	14	7	5	65.04	0		9.880223
18	178	44	0	32	5	19	9	5	5	42.95	0		6.984504
18	182	86	0	15	5	19	8	4	7	36.47	0		7.609129
18	184	94	0	22	16	9	12	3	6	28.24	0		7.554184
18	177	36	0	15	19	15	7	6	5	29.56	0		5.630011
18	176	26	0	38	19	8	17	3	4	22.58	0		4.252822
18	181	62	0	32	5	24	8	5	5	33.13	0		5.605248
18	174	11	0	15	5	26	9	4	3	13.81	0		10.352812
18	175	19	0	15	19	20	8	3	6	16.59	1		1.421616


-------------------------------------------------------------------------------------------------------------------
Tour_Id:			2
No_of_Customers:		7
No_of_Items:			73
Customer_Sequence:		6 12 11 20 14 10 5 

