Name:				315_n020_m400_bt100
Problem:			3L-VRPTW
Number_of_used_Vehicles:	5
Total_Travel_Distance:		430.65
Calculation_Time:		3600.00
Total_Iterations:		146
ConstraintSet:			P6

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		5
No_of_Items:			94
Customer_Sequence:		19 14 2 11 8 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
8	153	49	0	0	0	0	15	6	5	34.18	0		1.386619
8	147	34	0	0	6	0	9	6	7	32.65	0		3.132862
8	156	65	0	0	12	0	10	6	6	47.34	0		3.142766
8	159	78	0	0	18	0	6	4	7	15.72	0		2.822392
8	162	96	0	0	22	0	10	3	8	26.18	0		8.788822
8	144	9	0	0	0	5	8	4	7	16.35	0		5.081831
8	157	70	0	0	12	6	8	6	4	26.55	0		4.198229
8	160	80	0	0	6	7	12	3	5	22.63	0		4.979526
8	154	56	0	0	4	5	9	2	5	11.31	0		10.822626
8	158	77	0	0	12	10	10	4	6	25.54	0		4.118425
8	148	41	0	0	6	12	12	4	3	19.93	0		4.377597
8	161	87	0	0	18	7	7	4	5	11.16	0		2.946088
8	145	12	0	0	6	15	14	4	3	14.17	0		3.111610
8	163	98	0	0	9	7	7	3	4	7.43	0		8.185470
8	149	44	0	0	22	8	6	3	4	5.21	0		3.099388
8	150	48	0	0	18	12	7	7	6	24.03	1		1.502546
8	152	48	0	0	18	18	7	7	6	24.03	1		1.502546
8	151	48	0	0	18	24	7	7	6	24.03	1		1.502546
8	146	13	0	0	4	10	7	2	3	4.12	0		11.393102
8	155	64	0	9	6	0	14	5	4	35.58	1		1.188466
11	213	89	0	10	12	0	17	7	5	61.57	0		6.821022
11	201	3	0	10	19	0	15	6	4	34.26	0		12.151493
11	210	75	0	0	12	16	9	5	7	22.51	0		2.589930
11	207	31	0	10	12	5	13	7	3	35	0		4.829985
11	214	92	0	0	12	23	9	6	5	23.90	0		14.826837
