Name:				386_n060_m400_bt100
Problem:			3L-VRPTW
Number_of_used_Vehicles:	7
Total_Travel_Distance:		767.60
Calculation_Time:		3600.00
Total_Iterations:		1830
ConstraintSet:			P6

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		8
No_of_Items:			51
Customer_Sequence:		25 20 43 29 6 33 52 26 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
26	164	20	0	0	0	0	11	4	6	43.81	0		9.135885
26	167	62	0	0	4	0	11	4	6	48.44	0		6.921210
26	165	32	0	0	8	0	12	3	3	10.93	0		3.580456
26	166	32	0	0	11	0	12	3	3	10.93	0		3.580456
52	340	85	0	0	14	0	15	7	7	122.18	0		22.757936
52	339	82	0	0	14	7	15	5	7	461.50	0		22.085907
52	341	97	0	0	14	14	17	5	6	143.28	0		16.949883
52	336	56	0	0	8	3	14	5	7	65.48	0		6.905054
52	338	76	0	0	0	6	9	5	8	81.67	0		2.817584
52	334	39	0	0	8	10	14	5	3	25.91	0		3.371294
52	337	68	0	0	8	13	6	5	5	24.41	0		7.556602
52	335	47	0	0	21	0	9	2	7	15.46	0		3.171597
52	333	25	0	0	5	6	9	3	6	38.65	1		4.598229
33	207	93	0	0	0	14	8	6	7	69.42	0		14.649003
33	206	84	0	0	19	7	6	4	6	35.93	0		11.065145
33	208	95	0	0	23	0	7	2	6	14.42	0		12.596187
33	205	53	0	0	14	20	12	5	8	65.70	1		5.436298
6	40	99	0	0	0	21	8	7	5	32.46	0		5.192389
6	37	2	0	11	0	0	15	5	3	41.15	0		7.769472
6	39	67	0	11	0	3	13	5	6	41.27	1		1.561244
6	38	55	0	9	21	0	12	3	8	64.61	1		1.588523
29	184	85	0	21	5	0	15	7	7	122.18	0		22.757936
29	179	23	0	21	12	0	14	5	8	132.32	0		4.978240
29	185	97	0	21	17	0	17	5	6	143.28	0		16.949883
29	182	75	0	9	0	9	13	4	6	56.54	0		8.409365
29	183	75	0	21	17	6	13	4	6	56.54	0		8.409365
29	181	71	0	9	21	8	14	3	7	50.32	0		13.887427
29	177	11	0	21	5	7	10	6	3	39.60	0		36.309208
29	180	52	0	0	19	13	8	2	4	9.17	0		5.886802
29	178	14	0	21	12	8	11	5	4	176.93	1		9.496239
43	277	70	0	21	5	10	13	6	8	177.95	0		7.569757
43	274	28	0	21	17	12	17	4	8	115.89	0		24.301103
43	273	6	0	21	5	18	16	4	7	89.14	0		14.999589
43	280	93	0	6	8	13	8	6	7	69.42	0		14.649003
43	278	87	0	21	12	12	14	2	8	37.69	0		10.633003
43	281	94	0	21	9	18	14	2	8	138.02	0		83.994571
43	276	69	0	6	8	20	10	5	3	19.62	0		6.769881
43	275	59	0	21	17	20	9	2	7	68.08	0		27.213212
43	279	92	0	0	19	17	9	2	4	19.49	0		9.125761
20	123	19	0	37	0	0	10	6	6	47.49	0		3.549237
20	127	87	0	21	14	12	14	2	8	37.69	0		10.633003
20	126	78	0	37	6	0	8	6	3	18.73	0		5.204724
20	125	47	0	21	12	20	9	2	7	15.46	0		3.171597
20	124	27	0	26	0	0	7	5	8	73.45	1		2.797742
25	160	58	0	38	17	0	15	6	8	163.80	0		9.083747
25	162	73	0	35	12	0	15	4	8	85.93	0		5.654180
25	157	13	0	38	17	8	15	7	3	84.56	0		23.487027
25	159	49	0	38	17	11	15	6	3	48.63	0		5.733206
25	161	68	0	26	0	8	6	5	5	24.41	0		7.556602
25	158	34	0	21	5	25	9	4	4	15.28	0		5.936680
25	163	90	0	35	12	8	14	5	3	47.81	1		13.148525


-------------------------------------------------------------------------------------------------------------------
Tour_Id:			2
No_of_Customers:		10
No_of_Items:			74
Customer_Sequence:		57 47 8 15 12 37 60 5 36 17 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
17	111	31	0	0	0	0	11	7	8	135.99	0		6.694682
17	108	3	0	0	7	0	8	7	8	88.21	0		11.579611
17	112	87	0	0	14	0	14	2	8	37.69	0		10.633003
17	110	27	0	0	16	0	7	5	8	73.45	1		2.797742
