Name:				054_n020_m200_bt10
Problem:			3L-VRPTW
Number_of_used_Vehicles:	3
Total_Travel_Distance:		366.58
Calculation_Time:		3600.00
Total_Iterations:		380
ConstraintSet:			P7

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		10
No_of_Items:			99
Customer_Sequence:		18 4 9 17 12 1 10 16 14 2 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
14	139	4	0	0	0	0	15	6	3	35.21	0		3.303970
2	18	9	0	0	6	0	16	3	5	49.56	0		3.469752
2	16	7	0	0	9	0	8	6	4	42.23	0		9.443542
2	11	3	0	0	15	0	12	3	6	36.65	0		5.086145
2	12	3	0	0	18	0	12	3	6	36.65	0		5.086145
2	9	1	0	8	9	0	17	5	3	38.32	0		4.903730
2	19	10	0	0	9	4	8	6	3	28.79	0		6.533505
2	17	8	0	0	21	0	10	2	6	36.80	0		3.738420
2	13	5	0	0	15	6	10	7	5	54.66	1		0.878650
2	14	5	0	0	15	11	10	7	5	54.66	1		0.878650
2	15	6	0	8	9	3	14	6	4	36.50	1		0.720757
14	137	2	0	0	0	3	16	3	8	129.52	0		30.424783
14	138	4	0	12	15	0	15	6	3	35.21	0		3.303970
2	10	2	0	0	6	5	16	3	8	129.52	0		30.424783
14	136	1	0	12	15	3	17	5	3	38.32	0		4.903730
16	155	5	0	16	0	0	10	7	5	54.66	1		0.878650
14	140	5	0	0	15	16	10	7	5	54.66	1		0.878650
14	141	6	0	6	9	7	14	6	4	36.50	1		0.720757
16	151	2	0	0	3	3	16	3	8	129.52	0		30.424783
16	153	4	0	0	0	11	15	6	3	35.21	0		3.303970
16	154	4	0	0	0	14	15	6	3	35.21	0		3.303970
16	150	1	0	10	15	6	17	5	3	38.32	0		4.903730
16	160	9	0	0	6	13	16	3	5	49.56	0		3.469752
16	157	6	0	0	0	17	14	6	4	36.50	1		0.720757
16	152	3	0	0	6	18	12	3	6	36.65	0		5.086145
16	158	7	0	16	15	9	8	6	4	42.23	0		9.443542
16	159	8	0	0	23	0	10	2	6	36.80	0		3.738420
14	142	8	0	10	21	0	10	2	6	36.80	0		3.738420
16	156	6	0	0	0	21	14	6	4	36.50	1		0.720757
16	161	9	0	0	22	6	16	3	5	49.56	0		3.469752
10	98	4	0	25	9	0	15	6	3	35.21	0		3.303970
10	95	1	0	22	9	3	17	5	3	38.32	0		4.903730
10	96	1	0	22	9	6	17	5	3	38.32	0		4.903730
10	97	3	0	3	22	11	12	3	6	36.65	0		5.086145
10	100	5	0	16	0	5	10	7	5	54.66	1		0.878650
1	1	1	0	22	9	9	17	5	3	38.32	0		4.903730
1	8	9	0	0	22	17	16	3	5	49.56	0		3.469752
10	101	6	0	6	9	11	14	6	4	36.50	1		0.720757
10	103	8	0	16	7	0	10	2	6	36.80	0		3.738420
10	99	5	0	16	0	10	10	7	5	54.66	1		0.878650
10	104	10	0	16	15	13	8	6	3	28.79	0		6.533505
10	102	8	0	16	7	6	10	2	6	36.80	0		3.738420
1	2	4	0	22	9	12	15	6	3	35.21	0		3.303970
1	3	4	0	22	9	15	15	6	3	35.21	0		3.303970
10	105	10	0	16	15	16	8	6	3	28.79	0		6.533505
1	7	9	0	0	22	22	16	3	5	49.56	0		3.469752
10	106	10	0	16	15	19	8	6	3	28.79	0		6.533505
1	6	8	0	16	7	12	10	2	6	36.80	0		3.738420
12	120	4	0	22	9	18	15	6	3	35.21	0		3.303970
1	5	5	0	16	0	15	10	7	5	54.66	1		0.878650
