Name:				436_n060_m400_bt3
Problem:			3L-VRPTW
Number_of_used_Vehicles:	6
Total_Travel_Distance:		711.26
Calculation_Time:		3600.00
Total_Iterations:		147
ConstraintSet:			P7

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		11
No_of_Items:			73
Customer_Sequence:		38 17 43 45 12 10 39 57 2 24 44 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
44	286	1	0	0	0	0	17	6	8	222.51	0		4.410601
44	287	1	0	0	6	0	17	6	8	222.51	0		4.410601
44	288	2	0	0	12	0	10	5	7	64.77	0		12.992101
44	289	2	0	0	17	0	10	5	7	64.77	0		12.992101
44	290	2	0	0	12	7	10	5	7	64.77	0		12.992101
44	291	2	0	0	17	7	10	5	7	64.77	0		12.992101
24	161	1	0	0	0	8	17	6	8	222.51	0		4.410601
24	162	1	0	0	6	8	17	6	8	222.51	0		4.410601
24	163	1	0	0	0	16	17	6	8	222.51	0		4.410601
24	164	2	0	0	12	14	10	5	7	64.77	0		12.992101
24	165	3	0	0	17	14	8	4	5	80.50	1		4.293684
24	166	3	0	4	6	16	8	4	5	80.50	1		4.293684
2	10	1	0	10	12	0	17	6	8	222.51	0		4.410601
10	65	3	0	4	0	24	8	4	5	80.50	1		4.293684
2	12	3	0	0	17	19	8	4	5	80.50	1		4.293684
57	369	1	0	10	18	0	17	6	8	222.51	0		4.410601
57	370	1	0	10	12	8	17	6	8	222.51	0		4.410601
57	371	1	0	10	18	8	17	6	8	222.51	0		4.410601
57	372	1	0	8	17	16	17	6	8	222.51	0		4.410601
57	373	2	0	17	6	0	10	5	7	64.77	0		12.992101
57	374	2	0	17	6	7	10	5	7	64.77	0		12.992101
57	375	2	0	17	6	14	10	5	7	64.77	0		12.992101
57	376	3	0	4	6	21	8	4	5	80.50	1		4.293684
57	377	3	0	14	17	24	8	4	5	80.50	1		4.293684
39	258	1	0	27	6	0	17	6	8	222.51	0		4.410601
10	60	1	0	17	0	0	17	6	8	222.51	0		4.410601
39	260	3	0	17	6	21	8	4	5	80.50	1		4.293684
10	59	1	0	17	0	8	17	6	8	222.51	0		4.410601
39	259	3	0	27	12	0	8	4	5	80.50	1		4.293684
10	61	2	0	19	0	16	10	5	7	64.77	0		12.992101
10	62	2	0	19	0	23	10	5	7	64.77	0		12.992101
10	63	2	0	27	16	0	10	5	7	64.77	0		12.992101
10	64	3	0	27	21	0	8	4	5	80.50	1		4.293684
12	76	2	0	27	16	7	10	5	7	64.77	0		12.992101
12	73	1	0	27	6	8	17	6	8	222.51	0		4.410601
12	74	1	0	27	5	16	17	6	8	222.51	0		4.410601
12	75	1	0	37	12	0	17	6	8	222.51	0		4.410601
17	111	3	0	31	5	24	8	4	5	80.50	1		4.293684
12	77	2	0	27	16	14	10	5	7	64.77	0		12.992101
12	78	3	0	27	12	5	8	4	5	80.50	1		4.293684
12	79	3	0	27	21	5	8	4	5	80.50	1		4.293684
43	279	1	0	37	18	0	17	6	8	222.51	0		4.410601
45	292	1	0	37	12	8	17	6	8	222.51	0		4.410601
45	293	2	0	34	0	0	10	5	7	64.77	0		12.992101
