Name:				GI_I2_10
Problem:			3L-VRPTW
Number_of_used_Vehicles:	5
Total_Travel_Distance:		493.29
Calculation_Time:		3600.00
Total_Iterations:		23
ConstraintSet:			P11

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		7
No_of_Items:			235
Customer_Sequence:		7 11 19 8 18 6 21 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
21	837	5	0	0	0	0	120	99	73	143	1		0.485145
21	829	5	0	0	99	0	120	99	73	143	1		0.485145
21	830	5	0	0	0	73	120	99	73	143	1		0.485145
21	831	5	0	0	99	73	120	99	73	143	1		0.485145
21	832	5	0	0	0	146	120	99	73	143	1		0.485145
21	833	5	0	0	99	146	120	99	73	143	1		0.485145
21	834	5	0	0	0	219	120	99	73	143	1		0.485145
21	835	5	0	0	99	219	120	99	73	143	1		0.485145
21	836	5	0	120	0	0	120	99	73	143	1		0.485145
21	828	5	0	120	99	0	120	99	73	143	1		0.485145
21	838	5	0	120	0	73	120	99	73	143	1		0.485145
21	839	5	0	120	99	73	120	99	73	143	1		0.485145
21	840	5	0	120	0	146	120	99	73	143	1		0.485145
21	841	5	0	120	99	146	120	99	73	143	1		0.485145
21	842	5	0	120	0	219	120	99	73	143	1		0.485145
21	843	5	0	120	99	219	120	99	73	143	1		0.485145
21	844	5	0	240	0	0	120	99	73	143	1		0.485145
21	845	5	0	240	99	0	120	99	73	143	1		0.485145
21	820	5	0	240	0	73	120	99	73	143	1		0.485145
21	812	5	0	240	99	73	120	99	73	143	1		0.485145
21	813	5	0	240	0	146	120	99	73	143	1		0.485145
21	814	5	0	240	99	146	120	99	73	143	1		0.485145
21	815	5	0	240	0	219	120	99	73	143	1		0.485145
21	816	5	0	240	99	219	120	99	73	143	1		0.485145
21	817	5	0	360	0	0	120	99	73	143	1		0.485145
21	818	5	0	360	99	0	120	99	73	143	1		0.485145
21	819	5	0	360	0	73	120	99	73	143	1		0.485145
21	811	5	0	360	99	73	120	99	73	143	1		0.485145
21	821	5	0	360	0	146	120	99	73	143	1		0.485145
21	822	5	0	360	99	146	120	99	73	143	1		0.485145
21	823	5	0	360	0	219	120	99	73	143	1		0.485145
21	824	5	0	360	99	219	120	99	73	143	1		0.485145
21	825	5	0	480	0	0	120	99	73	143	1		0.485145
21	826	5	0	480	99	0	120	99	73	143	1		0.485145
21	827	5	0	480	0	73	120	99	73	143	1		0.485145
6	216	3	0	480	99	73	92	81	55	55	0		1.269250
6	230	3	0	480	99	128	92	81	55	55	0		1.269250
6	229	3	0	480	0	146	92	81	55	55	0		1.269250
6	228	3	0	480	99	183	92	81	55	55	0		1.269250
6	227	3	0	480	0	201	92	81	55	55	0		1.269250
6	226	3	0	480	99	238	92	81	55	55	0		1.269250
6	225	3	0	600	0	0	92	81	55	55	0		1.269250
6	224	3	0	600	81	0	92	81	55	55	0		1.269250
6	223	3	0	600	162	0	92	81	55	55	0		1.269250
6	222	3	0	600	0	55	92	81	55	55	0		1.269250
6	221	3	0	600	81	55	92	81	55	55	0		1.269250
6	220	3	0	600	162	55	92	81	55	55	0		1.269250
6	219	3	0	600	0	110	92	81	55	55	0		1.269250
6	218	3	0	600	81	110	92	81	55	55	0		1.269250
6	217	3	0	600	162	110	92	81	55	55	0		1.269250
6	215	3	0	600	0	165	92	81	55	55	0		1.269250
6	214	3	0	600	81	165	92	81	55	55	0		1.269250
6	213	3	0	600	162	165	92	81	55	55	0		1.269250
6	212	3	0	600	0	220	92	81	55	55	0		1.269250
6	211	3	0	600	81	220	92	81	55	55	0		1.269250
6	201	1	0	692	0	0	108	76	30	26	0		0.754200
6	210	1	0	692	76	0	108	76	30	26	0		0.754200
6	209	1	0	692	152	0	108	76	30	26	0		0.754200
6	208	1	0	692	0	30	108	76	30	26	0		0.754200
6	207	1	0	692	76	30	108	76	30	26	0		0.754200
6	206	1	0	692	152	30	108	76	30	26	0		0.754200
6	205	1	0	692	0	60	108	76	30	26	0		0.754200
6	204	1	0	692	76	60	108	76	30	26	0		0.754200
6	203	1	0	692	152	60	108	76	30	26	0		0.754200
6	202	1	0	692	0	90	108	76	30	26	0		0.754200
18	726	4	0	600	162	220	81	33	28	8	0		0.751210
18	740	4	0	600	195	220	81	33	28	8	0		0.751210
18	739	4	0	600	162	248	81	33	28	8	0		0.751210
18	738	4	0	600	195	248	81	33	28	8	0		0.751210
18	737	4	0	692	76	90	81	33	28	8	0		0.751210
18	736	4	0	692	109	90	81	33	28	8	0		0.751210
18	735	4	0	692	142	90	81	33	28	8	0		0.751210
18	734	4	0	692	175	90	81	33	28	8	0		0.751210
18	733	4	0	692	76	118	81	33	28	8	0		0.751210
18	732	4	0	692	109	118	81	33	28	8	0		0.751210
18	731	4	0	692	142	118	81	33	28	8	0		0.751210
18	730	4	0	692	175	118	81	33	28	8	0		0.751210
18	729	4	0	692	0	120	81	33	28	8	0		0.751210
18	728	4	0	692	33	120	81	33	28	8	0		0.751210
18	727	4	0	692	76	146	81	33	28	8	0		0.751210
18	711	4	0	692	109	146	81	33	28	8	0		0.751210
18	725	4	0	692	142	146	81	33	28	8	0		0.751210
18	724	4	0	692	175	146	81	33	28	8	0		0.751210
18	723	4	0	692	0	148	81	33	28	8	0		0.751210
18	722	4	0	692	33	148	81	33	28	8	0		0.751210
18	721	4	0	692	76	174	81	33	28	8	0		0.751210
18	720	4	0	692	109	174	81	33	28	8	0		0.751210
18	719	4	0	692	142	174	81	33	28	8	0		0.751210
18	718	4	0	692	175	174	81	33	28	8	0		0.751210
18	717	4	0	692	0	176	81	33	28	8	0		0.751210
18	716	4	0	692	33	176	81	33	28	8	0		0.751210
18	715	4	0	692	76	202	81	33	28	8	0		0.751210
18	714	4	0	692	109	202	81	33	28	8	0		0.751210
18	713	4	0	692	142	202	81	33	28	8	0		0.751210
18	712	4	0	692	175	202	81	33	28	8	0		0.751210
8	262	3	1	692	76	230	92	81	55	55	0		1.269250
8	290	3	0	800	0	0	92	81	55	55	0		1.269250
8	289	3	0	800	81	0	92	81	55	55	0		1.269250
8	288	3	0	800	162	0	92	81	55	55	0		1.269250
8	287	3	0	800	0	55	92	81	55	55	0		1.269250
8	286	3	0	800	81	55	92	81	55	55	0		1.269250
8	285	3	0	800	162	55	92	81	55	55	0		1.269250
8	284	3	0	800	0	110	92	81	55	55	0		1.269250
8	283	3	0	800	81	110	92	81	55	55	0		1.269250
8	282	3	0	800	162	110	92	81	55	55	0		1.269250
8	281	3	0	800	0	165	92	81	55	55	0		1.269250
8	280	3	0	800	81	165	92	81	55	55	0		1.269250
8	279	3	0	800	162	165	92	81	55	55	0		1.269250
8	278	3	0	800	0	220	92	81	55	55	0		1.269250
8	277	3	0	800	81	220	92	81	55	55	0		1.269250
8	275	3	0	800	162	220	92	81	55	55	0		1.269250
8	261	3	0	892	0	0	92	81	55	55	0		1.269250
8	263	3	0	892	81	0	92	81	55	55	0		1.269250
8	264	3	0	892	162	0	92	81	55	55	0		1.269250
8	265	3	0	892	0	55	92	81	55	55	0		1.269250
8	266	3	0	892	81	55	92	81	55	55	0		1.269250
8	267	3	0	892	162	55	92	81	55	55	0		1.269250
8	268	3	0	892	0	110	92	81	55	55	0		1.269250
8	270	3	0	892	81	110	92	81	55	55	0		1.269250
8	271	3	0	892	162	110	92	81	55	55	0		1.269250
8	272	3	0	892	0	165	92	81	55	55	0		1.269250
8	273	3	0	892	81	165	92	81	55	55	0		1.269250
8	274	3	0	892	162	165	92	81	55	55	0		1.269250
8	276	3	0	892	0	220	92	81	55	55	0		1.269250
8	269	3	0	892	81	220	92	81	55	55	0		1.269250
8	300	4	0	692	0	204	81	33	28	8	0		0.751210
8	299	4	0	692	33	204	81	33	28	8	0		0.751210
8	298	4	0	692	168	230	81	33	28	8	0		0.751210
8	297	4	0	692	0	232	81	33	28	8	0		0.751210
8	296	4	0	692	33	232	81	33	28	8	0		0.751210
8	295	4	0	692	168	258	81	33	28	8	0		0.751210
8	294	4	0	692	0	260	81	33	28	8	0		0.751210
8	293	4	0	692	33	260	81	33	28	8	0		0.751210
8	292	4	0	892	162	220	81	33	28	8	0		0.751210
8	291	4	0	892	195	220	81	33	28	8	0		0.751210
19	771	4	0	892	162	248	81	33	28	8	0		0.751210
19	762	4	0	892	195	248	81	33	28	8	0		0.751210
19	763	4	0	984	0	0	81	33	28	8	0		0.751210
19	764	4	0	984	33	0	81	33	28	8	0		0.751210
