Name:				73_TruckTrailer_n120_m400_bt10_3
Problem:			3L-CVRP
Number_of_used_Vehicles:	7
Total_Travel_Distance:		888.29
Calculation_Time:		3600.00
Total_Iterations:		49
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		20
No_of_Items:			63
Customer_Sequence:		31 47 57 16 1 8 42 6 12 30 116 78 96 24 81 69 84 19 65 89 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
89	290	4	0	0	0	0	14	10	13	436.40	0		15.585604
19	57	6	0	0	10	0	22	9	6	149.50	1		0.755041
89	292	9	0	0	0	13	10	10	7	129.44	1		1.294352
65	203	5	1	14	0	0	9	12	14	338.23	0		15.658853
65	202	2	0	14	0	14	9	8	10	163.28	0		11.339172
65	204	8	0	26	0	0	9	9	8	114.67	0		7.078581
19	53	1	0	22	9	0	13	10	15	238.35	0		9.167484
19	56	4	0	22	9	15	14	10	13	436.40	0		15.585604
19	55	3	0	35	0	0	21	9	6	136	0		3.597886
19	54	2	0	26	0	8	9	8	10	163.28	0		11.339172
89	291	7	1	0	19	0	6	10	8	97.16	0		8.096741
19	58	9	0	35	9	0	10	10	7	129.44	1		1.294352
19	59	9	0	35	9	7	10	10	7	129.44	1		1.294352
84	270	1	0	45	9	0	13	10	15	238.35	0		9.167484
84	273	5	1	35	0	6	9	12	14	338.23	0		15.658853
84	272	3	0	56	0	0	21	9	6	136	0		3.597886
84	271	2	0	26	0	18	9	8	10	163.28	0		11.339172
84	274	8	0	35	0	20	9	9	8	114.67	0		7.078581
84	275	8	0	45	9	15	9	9	8	114.67	0		7.078581
84	276	10	0	0	19	8	8	6	7	41.75	0		4.348528
69	217	8	0	47	0	6	9	9	8	114.67	0		7.078581
69	216	6	0	56	0	6	22	9	6	149.50	1		0.755041
81	261	7	1	0	19	15	6	10	8	97.16	0		8.096741
81	262	10	0	0	19	23	8	6	7	41.75	0		4.348528
24	76	4	0	58	9	0	14	10	13	436.40	0		15.585604
24	75	2	0	47	0	14	9	8	10	163.28	0		11.339172
96	312	2	0	58	9	13	9	8	10	163.28	0		11.339172
96	315	8	0	72	9	0	9	9	8	114.67	0		7.078581
96	313	7	1	10	19	0	6	10	8	97.16	0		8.096741
96	314	7	1	10	19	8	6	10	8	97.16	0		8.096741
96	316	9	0	45	9	23	10	10	7	129.44	1		1.294352
78	250	6	0	56	0	12	22	9	6	149.50	1		0.755041
78	251	6	0	56	0	18	22	9	6	149.50	1		0.755041
78	252	9	0	72	9	8	10	10	7	129.44	1		1.294352
116	390	2	0	78	0	0	9	8	10	163.28	0		11.339172
116	391	10	0	10	19	16	8	6	7	41.75	0		4.348528
30	101	1	0	87	0	0	13	10	15	238.35	0		9.167484
30	103	9	0	72	9	15	10	10	7	129.44	1		1.294352
30	102	6	0	44	0	24	22	9	6	149.50	1		0.755041
12	36	7	1	20	19	0	6	10	8	97.16	0		8.096741
12	37	10	0	8	19	23	8	6	7	41.75	0		4.348528
12	38	10	0	20	19	8	8	6	7	41.75	0		4.348528
6	17	4	0	82	10	0	14	10	13	436.40	0		15.585604
6	18	9	0	72	9	22	10	10	7	129.44	1		1.294352
6	19	9	0	82	10	13	10	10	7	129.44	1		1.294352
42	131	3	0	96	10	0	21	9	6	136	0		3.597886
42	132	6	0	96	10	6	22	9	6	149.50	1		0.755041
42	133	6	0	96	10	12	22	9	6	149.50	1		0.755041
8	23	3	0	100	0	0	21	9	6	136	0		3.597886
8	24	3	0	100	0	6	21	9	6	136	0		3.597886
8	25	9	0	82	10	20	10	10	7	129.44	1		1.294352
1	2	4	0	87	0	15	14	10	13	436.40	0		15.585604
1	1	3	0	101	0	12	21	9	6	136	0		3.597886
1	3	10	0	96	19	0	8	6	7	41.75	0		4.348528
16	46	2	0	101	0	18	9	8	10	163.28	0		11.339172
57	176	2	0	110	0	18	9	8	10	163.28	0		11.339172
57	177	7	1	96	19	7	6	10	8	97.16	0		8.096741
57	178	10	0	96	19	15	8	6	7	41.75	0		4.348528
47	150	1	0	122	0	0	13	10	15	238.35	0		9.167484
47	151	7	1	96	19	22	6	10	8	97.16	0		8.096741
31	104	4	0	118	10	0	14	10	13	436.40	0		15.585604
31	105	4	0	118	10	13	14	10	13	436.40	0		15.585604
31	106	5	1	122	0	15	9	12	14	338.23	0		15.658853


-------------------------------------------------------------------------------------------------------------------
Tour_Id:			2
No_of_Customers:		16
No_of_Items:			56
Customer_Sequence:		18 110 91 2 32 87 5 103 40 94 25 75 83 120 53 63 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
63	191	1	0	0	0	0	13	10	15	238.35	0		9.167484
63	193	4	0	0	10	0	14	10	13	436.40	0		15.585604
63	192	2	0	0	10	13	9	8	10	163.28	0		11.339172
63	194	7	0	0	0	15	6	10	8	97.16	0		8.096741
63	195	10	0	0	0	23	8	6	7	41.75	0		4.348528
53	166	10	0	0	6	23	8	6	7	41.75	0		4.348528
53	164	6	0	13	0	0	22	9	6	149.50	1		0.755041
53	165	9	0	13	0	6	10	10	7	129.44	1		1.294352
120	399	1	0	14	10	0	13	10	15	238.35	0		9.167484
120	400	4	0	14	10	15	14	10	13	436.40	0		15.585604
83	267	4	0	28	9	0	14	10	13	436.40	0		15.585604
83	266	3	0	35	0	0	21	9	6	136	0		3.597886
83	269	10	1	8	0	15	8	6	7	41.75	0		4.348528
83	268	9	0	14	0	13	10	10	7	129.44	1		1.294352
75	234	1	0	28	9	13	13	10	15	238.35	0		9.167484
75	235	5	1	35	0	6	9	12	14	338.23	0		15.658853
75	236	5	0	42	9	0	9	12	14	338.23	0		15.658853
94	307	2	0	35	0	20	9	8	10	163.28	0		11.339172
25	77	1	1	41	9	14	13	10	15	238.35	0		9.167484
25	80	4	0	51	9	0	14	10	13	436.40	0		15.585604
25	78	3	0	56	0	0	21	9	6	136	0		3.597886
25	79	3	0	47	0	6	21	9	6	136	0		3.597886
25	82	8	0	47	0	12	9	9	8	114.67	0		7.078581
25	81	7	1	51	19	0	6	10	8	97.16	0		8.096741
75	237	10	0	8	0	22	8	6	7	41.75	0		4.348528
40	128	2	0	44	0	20	9	8	10	163.28	0		11.339172
103	341	1	0	51	9	13	13	10	15	238.35	0		9.167484
103	343	4	0	65	9	0	14	10	13	436.40	0		15.585604
103	344	4	0	64	9	13	14	10	13	436.40	0		15.585604
103	345	5	1	56	0	12	9	12	14	338.23	0		15.658853
103	346	5	1	68	0	6	9	12	14	338.23	0		15.658853
103	342	2	0	68	0	20	9	8	10	163.28	0		11.339172
103	348	8	0	79	9	0	9	9	8	114.67	0		7.078581
103	347	7	1	51	19	8	6	10	8	97.16	0		8.096741
103	349	9	0	79	9	8	10	10	7	129.44	1		1.294352
5	15	7	1	51	19	16	6	10	8	97.16	0		8.096741
5	16	10	0	61	19	0	8	6	7	41.75	0		4.348528
87	284	1	0	89	0	0	13	10	15	238.35	0		9.167484
2	4	3	0	89	10	0	21	9	6	136	0		3.597886
32	107	1	0	89	0	15	13	10	15	238.35	0		9.167484
32	109	7	1	61	19	7	6	10	8	97.16	0		8.096741
32	108	6	0	102	0	0	22	9	6	149.50	1		0.755041
2	5	4	0	89	10	6	14	10	13	436.40	0		15.585604
87	285	9	0	78	9	15	10	10	7	129.44	1		1.294352
2	6	8	0	89	10	19	9	9	8	114.67	0		7.078581
2	7	9	0	102	0	6	10	10	7	129.44	1		1.294352
91	297	7	0	98	10	19	6	10	8	97.16	0		8.096741
91	299	10	0	103	10	6	8	6	7	41.75	0		4.348528
91	298	9	0	102	0	13	10	10	7	129.44	1		1.294352
110	368	1	0	111	10	0	13	10	15	238.35	0		9.167484
110	370	5	0	111	10	15	9	12	14	338.23	0		15.658853
110	369	2	0	124	0	0	9	8	10	163.28	0		11.339172
18	49	4	1	124	8	0	14	10	13	436.40	0		15.585604
18	50	5	0	124	8	13	9	12	14	338.23	0		15.658853
18	51	10	0	124	0	10	8	6	7	41.75	0		4.348528
18	52	10	0	124	0	17	8	6	7	41.75	0		4.348528


-------------------------------------------------------------------------------------------------------------------
Tour_Id:			3
No_of_Customers:		14
No_of_Items:			51
Customer_Sequence:		9 92 3 34 33 60 10 113 64 7 86 117 77 98 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
98	321	5	0	0	0	0	9	12	14	338.23	0		15.658853
98	320	3	0	0	12	0	21	9	6	136	0		3.597886
98	322	7	0	0	12	6	6	10	8	97.16	0		8.096741
98	324	10	0	0	0	14	8	6	7	41.75	0		4.348528
98	323	9	0	0	6	14	10	10	7	129.44	1		1.294352
77	247	4	0	21	0	0	14	10	13	436.40	0		15.585604
77	246	3	0	21	10	0	21	9	6	136	0		3.597886
77	244	2	0	21	10	6	9	8	10	163.28	0		11.339172
77	245	2	0	21	0	13	9	8	10	163.28	0		11.339172
77	248	10	0	0	16	14	8	6	7	41.75	0		4.348528
77	249	10	0	0	0	21	8	6	7	41.75	0		4.348528
117	392	1	0	30	10	6	13	10	15	238.35	0		9.167484
117	393	8	0	21	10	16	9	9	8	114.67	0		7.078581
86	281	4	0	35	0	0	14	10	13	436.40	0		15.585604
86	280	3	0	30	0	13	21	9	6	136	0		3.597886
86	282	8	0	30	0	19	9	9	8	114.67	0		7.078581
86	283	8	0	30	10	21	9	9	8	114.67	0		7.078581
7	22	4	0	51	0	0	14	10	13	436.40	0		15.585604
7	21	3	0	43	10	0	21	9	6	136	0		3.597886
7	20	2	0	39	0	19	9	8	10	163.28	0		11.339172
64	196	1	0	43	10	6	13	10	15	238.35	0		9.167484
64	197	4	0	51	0	13	14	10	13	436.40	0		15.585604
64	199	8	0	39	8	21	9	9	8	114.67	0		7.078581
64	201	10	0	56	10	6	8	6	7	41.75	0		4.348528
64	198	6	0	64	10	0	22	9	6	149.50	1		0.755041
64	200	9	0	64	10	6	10	10	7	129.44	1		1.294352
113	378	5	1	65	0	0	9	12	14	338.23	0		15.658853
113	379	5	0	65	0	14	9	12	14	338.23	0		15.658853
113	377	3	0	77	0	0	21	9	6	136	0		3.597886
113	376	2	0	77	0	6	9	8	10	163.28	0		11.339172
113	380	8	0	77	0	16	9	9	8	114.67	0		7.078581
113	381	9	0	74	9	6	10	10	7	129.44	1		1.294352
113	382	9	0	74	9	13	10	10	7	129.44	1		1.294352
10	29	4	0	86	10	0	14	10	13	436.40	0		15.585604
10	31	10	0	74	19	0	8	6	7	41.75	0		4.348528
10	30	9	0	74	9	20	10	10	7	129.44	1		1.294352
60	184	1	0	84	9	13	13	10	15	238.35	0		9.167484
33	110	2	0	86	0	6	9	8	10	163.28	0		11.339172
33	111	6	0	98	0	0	22	9	6	149.50	1		0.755041
