Name:				566_n100_m400_bt100
Problem:			3L-VRPTW
Number_of_used_Vehicles:	5
Total_Travel_Distance:		802.67
Calculation_Time:		3600.00
Total_Iterations:		14
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		23
No_of_Items:			94
Customer_Sequence:		48 28 56 35 17 27 15 80 47 12 41 45 70 13 30 94 87 29 85 2 21 93 53 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
53	205	87	0	0	0	0	12	4	7	45.60	0		3.354629
53	206	96	0	0	4	0	12	4	5	68.35	0		10.968729
21	75	62	0	0	8	0	10	4	6	202.61	0		117.615516
93	372	15	0	0	12	0	7	5	4	106	0		35.702011
93	373	92	0	0	17	0	15	6	8	236.34	1		8.097215
21	76	70	0	0	4	5	13	4	6	132.77	0		13.338882
21	77	97	0	10	8	0	11	7	4	106.54	0		18.811496
93	374	98	0	0	23	0	11	2	8	34.58	0		17.477114
21	74	19	0	0	12	4	8	3	8	85.57	0		8.594259
94	375	35	0	0	8	6	10	4	5	134.99	0		67.702041
21	73	1	0	0	0	7	13	2	4	42.97	0		29.735318
2	7	53	0	13	0	0	13	6	4	56.17	0		11.016940
2	8	77	0	0	4	11	12	3	7	46.18	0		9.068932
2	5	1	0	0	2	7	13	2	4	42.97	0		29.735318
85	345	76	0	0	23	8	10	2	3	30.16	0		16.516446
85	343	27	0	0	0	11	13	3	8	135.14	0		11.812756
85	342	3	0	0	3	18	11	4	4	51.06	0		23.628442
85	344	71	0	0	12	12	7	4	5	63.51	0		69.838999
2	6	52	0	0	16	8	11	6	5	176.81	1		5.491086
29	109	34	0	0	0	19	10	3	8	37.51	0		14.101250
29	110	51	0	0	16	13	8	7	6	172.38	1		5.948854
87	351	92	0	13	0	4	15	6	8	236.34	1		8.097215
87	350	71	0	0	12	17	7	4	5	63.51	0		69.838999
87	349	50	0	0	3	22	13	4	3	20.37	0		39.311419
94	377	97	0	10	8	4	11	7	4	106.54	0		18.811496
94	376	37	0	0	7	11	12	3	6	98.09	0		147.700351
21	78	98	0	7	15	0	11	2	8	34.58	0		17.477114
30	113	72	0	15	17	0	12	5	6	143.18	0		19.399435
30	111	14	0	0	12	22	7	5	5	59.43	0		38.158985
30	112	44	0	0	7	17	9	4	4	63.56	0		12.916775
30	114	79	0	0	7	21	6	5	6	65.96	1		3.974800
13	44	5	0	15	17	6	8	4	7	129.04	0		16.932324
13	43	3	0	0	3	25	11	4	4	51.06	0		23.628442
13	45	7	0	13	0	12	16	6	5	269.56	1		25.751601
70	282	62	1	13	6	8	10	4	6	202.61	0		117.615516
70	280	33	0	0	12	27	9	5	3	17.86	0		5.015725
70	281	58	1	13	6	14	9	5	4	147.96	0		49.111695
12	40	29	0	11	23	0	17	2	3	25.79	0		7.838742
41	155	57	0	21	6	0	15	5	7	168.32	0		9.736013
45	168	28	0	21	11	0	13	5	7	270.75	0		23.109039
45	167	20	0	21	11	7	13	5	6	92.72	0		16.057886
