Name:				443_n060_m400_bt10
Problem:			3L-VRPTW
Number_of_used_Vehicles:	5
Total_Travel_Distance:		704.19
Calculation_Time:		3600.00
Total_Iterations:		60
ConstraintSet:			P17

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		11
No_of_Items:			73
Customer_Sequence:		9 17 19 10 13 48 11 20 15 16 33 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
33	208	6	0	0	0	0	17	3	7	45.50	0		7.122217
33	212	10	0	0	3	0	8	5	6	79.32	0		10.791517
33	211	9	0	0	8	0	10	2	5	20.65	0		10.203020
33	209	8	0	0	10	0	11	4	4	231.74	1		9.214646
33	210	8	0	0	14	0	11	4	4	231.74	1		9.214646
16	97	2	0	0	18	0	10	4	5	93.57	0		17.753866
16	102	9	0	0	22	0	10	2	5	20.65	0		10.203020
16	98	3	0	0	10	4	8	6	6	118.66	1		3.937309
16	99	3	0	0	18	5	8	6	6	118.66	1		3.937309
16	100	3	0	0	3	6	8	6	6	118.66	1		3.937309
16	101	3	0	0	9	10	8	6	6	118.66	1		3.937309
15	95	6	0	0	0	7	17	3	7	45.50	0		7.122217
15	90	1	0	0	0	14	12	4	6	69.84	0		3.599550
15	94	5	0	0	0	20	7	4	8	63.83	0		5.813355
15	96	7	0	8	3	0	9	3	8	24.77	0		8.528219
15	91	2	0	10	18	0	10	4	5	93.57	0		17.753866
15	92	4	0	8	18	5	10	4	3	33.17	0		5.930524
15	93	4	0	8	18	8	10	4	3	33.17	0		5.930524
20	126	10	0	8	18	11	8	5	6	79.32	0		10.791517
20	127	10	0	8	18	17	8	5	6	79.32	0		10.791517
20	123	5	0	10	6	0	7	4	8	63.83	0		5.813355
20	124	9	0	8	4	8	10	2	5	20.65	0		10.203020
20	125	9	0	8	4	13	10	2	5	20.65	0		10.203020
11	73	6	0	11	10	0	17	3	7	45.50	0		7.122217
11	74	6	0	11	13	0	17	3	7	45.50	0		7.122217
11	76	10	0	8	18	23	8	5	6	79.32	0		10.791517
11	72	5	0	10	6	8	7	4	8	63.83	0		5.813355
11	68	2	0	11	10	7	10	4	5	93.57	0		17.753866
11	69	2	0	11	10	12	10	4	5	93.57	0		17.753866
11	70	2	0	11	10	17	10	4	5	93.57	0		17.753866
11	75	9	0	8	4	18	10	2	5	20.65	0		10.203020
11	71	3	0	0	9	16	8	6	6	118.66	1		3.937309
48	308	10	0	11	10	22	8	5	6	79.32	0		10.791517
48	306	5	0	10	6	16	7	4	8	63.83	0		5.813355
48	307	5	0	17	0	0	7	4	8	63.83	0		5.813355
48	303	2	0	17	6	0	10	4	5	93.57	0		17.753866
48	305	4	0	17	6	5	10	4	3	33.17	0		5.930524
48	304	3	0	0	9	22	8	6	6	118.66	1		3.937309
13	80	1	0	17	6	8	12	4	6	69.84	0		3.599550
13	81	2	0	17	6	14	10	4	5	93.57	0		17.753866
13	85	9	0	8	4	23	10	2	5	20.65	0		10.203020
13	82	8	0	17	6	19	11	4	4	231.74	1		9.214646
13	83	8	0	17	6	23	11	4	4	231.74	1		9.214646
13	84	8	0	20	16	0	11	4	4	231.74	1		9.214646
10	63	6	0	20	20	0	17	3	7	45.50	0		7.122217
10	64	6	0	18	20	7	17	3	7	45.50	0		7.122217
10	59	1	0	18	20	14	12	4	6	69.84	0		3.599550
10	66	9	0	18	4	0	10	2	5	20.65	0		10.203020
10	67	9	0	18	4	5	10	2	5	20.65	0		10.203020
10	60	3	0	21	10	7	8	6	6	118.66	1		3.937309
10	61	3	0	21	10	13	8	6	6	118.66	1		3.937309
10	62	3	0	21	10	19	8	6	6	118.66	1		3.937309
10	65	8	0	16	20	20	11	4	4	231.74	1		9.214646
19	117	6	0	24	0	0	17	3	7	45.50	0		7.122217
19	118	6	0	24	0	7	17	3	7	45.50	0		7.122217
19	119	7	0	24	0	14	9	3	8	24.77	0		8.528219
19	116	2	0	29	3	0	10	4	5	93.57	0		17.753866
19	122	9	0	18	4	10	10	2	5	20.65	0		10.203020
19	120	8	0	16	20	24	11	4	4	231.74	1		9.214646
19	121	8	0	20	16	4	11	4	4	231.74	1		9.214646
17	109	6	0	29	7	0	17	3	7	45.50	0		7.122217
17	110	6	0	29	10	0	17	3	7	45.50	0		7.122217
17	111	7	0	24	0	22	9	3	8	24.77	0		8.528219
17	103	2	0	29	3	5	10	4	5	93.57	0		17.753866
17	104	2	0	29	7	7	10	4	5	93.57	0		17.753866
17	106	4	0	29	3	10	10	4	3	33.17	0		5.930524
17	107	4	0	29	7	12	10	4	3	33.17	0		5.930524
17	108	4	0	29	3	13	10	4	3	33.17	0		5.930524
17	105	3	0	39	7	7	8	6	6	118.66	1		3.937309
9	58	6	0	29	13	0	17	3	7	45.50	0		7.122217
9	55	2	0	28	3	16	10	4	5	93.57	0		17.753866
9	57	4	0	28	3	21	10	4	3	33.17	0		5.930524
9	56	3	0	39	7	13	8	6	6	118.66	1		3.937309


-------------------------------------------------------------------------------------------------------------------
Tour_Id:			2
No_of_Customers:		16
No_of_Items:			112
Customer_Sequence:		58 12 60 45 28 59 27 46 55 1 2 26 31 56 18 3 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
3	17	1	0	0	0	0	12	4	6	69.84	0		3.599550
3	18	1	0	0	4	0	12	4	6	69.84	0		3.599550
3	23	10	0	0	8	0	8	5	6	79.32	0		10.791517
3	24	10	0	0	13	0	8	5	6	79.32	0		10.791517
3	25	10	0	0	18	0	8	5	6	79.32	0		10.791517
3	22	5	0	0	0	6	7	4	8	63.83	0		5.813355
3	20	4	0	0	4	6	10	4	3	33.17	0		5.930524
3	21	4	0	0	8	6	10	4	3	33.17	0		5.930524
3	19	3	0	0	12	6	8	6	6	118.66	1		3.937309
18	113	5	0	0	18	6	7	4	8	63.83	0		5.813355
18	112	2	0	0	4	9	10	4	5	93.57	0		17.753866
18	114	8	0	0	8	9	11	4	4	231.74	1		9.214646
18	115	8	0	0	8	13	11	4	4	231.74	1		9.214646
56	368	6	0	8	12	0	17	3	7	45.50	0		7.122217
56	369	6	0	8	15	0	17	3	7	45.50	0		7.122217
56	365	1	0	0	4	14	12	4	6	69.84	0		3.599550
55	358	2	0	0	4	20	10	4	5	93.57	0		17.753866
56	367	4	0	8	18	0	10	4	3	33.17	0		5.930524
56	371	9	0	0	23	0	10	2	5	20.65	0		10.203020
56	366	3	0	0	12	12	8	6	6	118.66	1		3.937309
56	370	8	0	0	8	17	11	4	4	231.74	1		9.214646
31	198	6	0	8	12	7	17	3	7	45.50	0		7.122217
31	193	1	0	8	18	3	12	4	6	69.84	0		3.599550
31	197	5	0	0	0	14	7	4	8	63.83	0		5.813355
31	194	2	0	7	18	9	10	4	5	93.57	0		17.753866
31	195	3	0	0	12	18	8	6	6	118.66	1		3.937309
31	196	3	0	0	12	24	8	6	6	118.66	1		3.937309
26	164	6	0	0	18	14	17	3	7	45.50	0		7.122217
26	167	10	0	12	0	0	8	5	6	79.32	0		10.791517
26	162	5	0	0	18	21	7	4	8	63.83	0		5.813355
26	163	5	0	0	0	22	7	4	8	63.83	0		5.813355
26	165	7	0	7	0	6	9	3	8	24.77	0		8.528219
26	160	2	0	7	18	21	10	4	5	93.57	0		17.753866
26	166	9	0	0	23	5	10	2	5	20.65	0		10.203020
26	161	3	0	12	5	0	8	6	6	118.66	1		3.937309
2	13	6	0	8	15	7	17	3	7	45.50	0		7.122217
46	292	5	0	7	0	14	7	4	8	63.83	0		5.813355
2	10	1	0	8	12	14	12	4	6	69.84	0		3.599550
2	16	10	0	8	12	20	8	5	6	79.32	0		10.791517
2	11	2	0	20	0	0	10	4	5	93.57	0		17.753866
2	12	4	0	7	18	26	10	4	3	33.17	0		5.930524
2	14	8	0	0	8	21	11	4	4	231.74	1		9.214646
2	15	8	0	0	8	25	11	4	4	231.74	1		9.214646
1	6	6	0	20	4	0	17	3	7	45.50	0		7.122217
1	1	1	0	20	7	0	12	4	6	69.84	0		3.599550
1	2	1	0	20	18	0	12	4	6	69.84	0		3.599550
1	8	10	0	20	7	6	8	5	6	79.32	0		10.791517
1	5	5	0	20	0	5	7	4	8	63.83	0		5.813355
1	7	7	0	10	22	0	9	3	8	24.77	0		8.528219
1	3	2	0	20	18	6	10	4	5	93.57	0		17.753866
1	4	3	0	12	3	6	8	6	6	118.66	1		3.937309
55	356	1	0	17	18	11	12	4	6	69.84	0		3.599550
55	364	10	0	17	18	17	8	5	6	79.32	0		10.791517
55	360	5	0	20	7	12	7	4	8	63.83	0		5.813355
55	361	7	0	10	22	8	9	3	8	24.77	0		8.528219
55	357	2	0	0	4	25	10	4	5	93.57	0		17.753866
56	372	10	0	25	11	0	8	5	6	79.32	0		10.791517
55	359	2	0	17	18	23	10	4	5	93.57	0		17.753866
55	362	8	0	30	0	0	11	4	4	231.74	1		9.214646
55	363	8	0	30	0	4	11	4	4	231.74	1		9.214646
46	290	1	0	32	7	0	12	4	6	69.84	0		3.599550
46	295	10	0	25	12	6	8	5	6	79.32	0		10.791517
2	9	1	0	33	11	0	12	4	6	69.84	0		3.599550
45	285	5	0	7	0	22	7	4	8	63.83	0		5.813355
46	294	9	0	20	4	7	10	2	5	20.65	0		10.203020
46	291	3	0	25	11	12	8	6	6	118.66	1		3.937309
27	172	6	0	28	7	6	17	3	7	45.50	0		7.122217
27	173	6	0	27	7	13	17	3	7	45.50	0		7.122217
60	395	4	0	8	12	26	10	4	3	33.17	0		5.930524
27	175	10	0	20	7	20	8	5	6	79.32	0		10.791517
27	176	10	0	32	17	0	8	5	6	79.32	0		10.791517
27	171	5	0	20	0	13	7	4	8	63.83	0		5.813355
27	174	7	0	28	7	20	9	3	8	24.77	0		8.528219
27	169	3	0	30	17	6	8	6	6	118.66	1		3.937309
27	170	3	0	29	17	12	8	6	6	118.66	1		3.937309
59	386	1	0	33	10	6	12	4	6	69.84	0		3.599550
59	387	2	0	33	10	12	10	4	5	93.57	0		17.753866
59	388	2	0	33	10	17	10	4	5	93.57	0		17.753866
59	390	4	0	33	10	22	10	4	3	33.17	0		5.930524
59	391	4	0	40	15	0	10	4	3	33.17	0		5.930524
59	389	3	0	27	14	18	8	6	6	118.66	1		3.937309
28	178	6	0	37	4	0	17	3	7	45.50	0		7.122217
28	180	10	0	40	19	0	8	5	6	79.32	0		10.791517
28	177	4	0	40	15	3	10	4	3	33.17	0		5.930524
58	379	1	0	38	14	6	12	4	6	69.84	0		3.599550
45	289	10	0	38	18	6	8	5	6	79.32	0		10.791517
45	284	5	0	20	0	21	7	4	8	63.83	0		5.813355
46	293	7	0	41	0	0	9	3	8	24.77	0		8.528219
45	282	4	0	38	18	12	10	4	3	33.17	0		5.930524
45	283	4	0	37	18	15	10	4	3	33.17	0		5.930524
45	287	9	0	20	4	12	10	2	5	20.65	0		10.203020
45	288	9	0	20	4	17	10	2	5	20.65	0		10.203020
45	286	8	0	30	0	8	11	4	4	231.74	1		9.214646
60	397	6	0	30	4	7	17	3	7	45.50	0		7.122217
60	396	5	0	37	18	18	7	4	8	63.83	0		5.813355
60	398	7	0	30	4	14	9	3	8	24.77	0		8.528219
60	399	7	0	30	4	22	9	3	8	24.77	0		8.528219
60	392	2	0	33	10	25	10	4	5	93.57	0		17.753866
60	394	4	0	45	7	0	10	4	3	33.17	0		5.930524
27	168	1	0	45	11	0	12	4	6	69.84	0		3.599550
60	400	9	0	20	4	22	10	2	5	20.65	0		10.203020
60	393	3	0	27	14	24	8	6	6	118.66	1		3.937309
12	77	1	0	45	7	3	12	4	6	69.84	0		3.599550
12	78	1	0	45	7	9	12	4	6	69.84	0		3.599550
12	79	2	0	44	7	15	10	4	5	93.57	0		17.753866
58	384	6	0	37	7	20	17	3	7	45.50	0		7.122217
