Name:				477_n060_m400_bt100
Problem:			3L-VRPTW
Number_of_used_Vehicles:	6
Total_Travel_Distance:		688.72
Calculation_Time:		3600.00
Total_Iterations:		49
ConstraintSet:			P17

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		12
No_of_Items:			75
Customer_Sequence:		18 21 14 43 37 56 29 15 51 24 59 54 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
54	357	35	0	0	0	0	17	4	7	55.80	0		4.383593
54	360	72	0	0	4	0	15	6	4	48.27	0		5.312615
54	355	2	0	0	10	0	12	5	6	62.65	0		18.418073
54	362	98	0	0	15	0	11	4	8	52.50	0		8.358790
54	358	46	0	0	19	0	12	5	3	34.93	0		8.230866
54	359	46	0	0	4	4	12	5	3	34.93	0		8.230866
54	361	73	0	0	19	3	11	6	7	85.30	1		4.274762
54	356	33	0	0	0	7	7	6	7	46.94	1		1.550322
59	390	35	0	11	15	0	17	4	7	55.80	0		4.383593
59	387	20	0	0	10	6	16	5	5	104.79	0		73.321516
59	389	31	0	0	6	7	15	3	6	103.36	0		64.455678
59	391	40	0	0	9	11	9	5	3	22.36	0		35.896296
59	388	28	0	0	15	8	14	4	8	51.74	1		3.122893
59	392	54	0	0	6	13	16	3	6	34.72	1		2.576382
24	147	2	0	0	9	14	12	5	6	62.65	0		18.418073
24	150	87	0	0	9	20	12	3	3	54.02	0		62.685455
43	286	81	0	12	19	0	16	4	5	49.50	0		13.343516
24	149	16	0	0	19	10	8	5	3	16	1		2.750883
51	336	45	0	16	4	0	17	6	8	143.39	0		4.459007
51	337	62	0	16	4	8	15	7	7	108.57	0		5.890096
51	340	96	0	16	4	15	17	7	5	106.71	0		29.415038
51	335	15	0	0	12	20	15	2	8	42.96	0		12.359728
51	338	77	0	14	15	7	14	4	4	139.41	0		27.608599
51	339	92	0	7	0	7	9	5	3	16.92	0		17.225643
15	90	60	0	16	4	20	11	6	3	88.76	0		21.608899
15	92	75	0	0	9	23	16	2	3	15.31	0		6.530126
15	89	54	0	0	15	16	16	3	6	34.72	1		2.576382
15	91	64	0	0	19	13	7	3	8	27.80	1		1.911280
29	189	99	0	28	11	0	15	6	8	95.98	0		4.030147
29	184	47	0	28	11	8	10	6	8	105.42	0		6.248554
29	185	47	0	28	11	16	10	6	8	105.42	0		6.248554
29	182	19	0	33	0	0	17	5	5	74.95	0		7.176011
29	188	98	0	7	0	10	11	4	8	52.50	0		8.358790
29	183	34	0	16	4	23	10	6	3	25.64	0		13.227737
29	187	93	0	7	0	18	11	3	3	14.71	0		5.975728
29	186	75	0	0	9	26	16	2	3	15.31	0		6.530126
14	88	99	0	28	17	0	15	6	8	95.98	0		4.030147
56	373	95	0	7	0	21	6	3	7	17.96	0		2.811206
56	371	22	0	13	0	21	6	3	5	10.88	0		2.665044
56	370	18	0	33	5	0	17	6	5	73.63	1		1.920954
56	372	82	0	12	23	0	13	2	7	27.86	1		7.041241
37	245	85	0	33	0	5	16	5	8	120.79	0		47.901664
37	246	85	0	33	0	13	16	5	8	120.79	0		47.901664
37	241	39	0	28	11	24	9	6	6	130.39	0		11.579829
37	243	60	0	16	4	26	11	6	3	88.76	0		21.608899
37	242	52	0	33	5	5	13	4	4	28.09	1		4.898207
37	244	64	0	0	19	21	7	3	8	27.80	1		1.911280
43	285	69	0	50	0	0	8	7	8	50.95	0		6.849468
43	282	29	0	33	0	21	11	6	6	44.94	0		8.553572
24	148	4	0	16	10	0	8	2	6	14.89	0		4.080258
43	281	3	0	11	19	5	6	4	5	19.52	0		7.946402
43	287	83	0	8	19	10	9	6	8	57.36	1		1.587309
43	283	30	0	33	5	9	13	4	6	45.68	1		2.825480
43	284	33	0	7	19	18	7	6	7	46.94	1		1.550322
29	181	9	0	0	15	22	9	3	4	126.98	1		32.631030
14	87	94	0	28	17	8	10	6	6	57.53	0		12.419586
14	85	91	0	17	19	5	7	4	5	14.03	0		4.074911
14	86	92	0	28	17	14	9	5	3	16.92	0		17.225643
14	83	67	0	17	19	10	6	5	4	21.16	0		42.454387
14	84	89	0	25	23	0	13	2	3	8.61	0		2.481198
14	80	28	0	43	11	0	14	4	8	51.74	1		3.122893
14	81	48	0	38	11	8	16	6	3	48.14	1		1.780451
14	82	54	0	38	11	11	16	3	6	34.72	1		2.576382
21	128	62	0	43	17	0	15	7	7	108.57	0		5.890096
21	129	78	0	43	17	7	16	6	7	109.17	0		13.089828
