Name:				566_n100_m400_bt100
Problem:			3L-VRPTW
Number_of_used_Vehicles:	6
Total_Travel_Distance:		791.04
Calculation_Time:		3600.00
Total_Iterations:		20
ConstraintSet:			P17

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		18
No_of_Items:			68
Customer_Sequence:		4 78 84 31 14 74 96 83 7 100 38 40 6 34 1 62 67 39 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
39	148	62	0	0	0	0	10	4	6	202.61	0		117.615516
39	147	14	0	0	4	0	7	5	5	59.43	0		38.158985
39	149	83	0	0	9	0	10	2	8	47.65	0		13.302908
67	269	95	0	0	11	0	12	4	8	129.28	0		9.345668
67	266	5	0	0	15	0	8	4	7	129.04	0		16.932324
67	268	93	0	0	19	0	11	5	7	99.75	1		2.783698
67	267	88	0	0	4	5	7	3	4	30.70	1		6.569594
62	245	81	0	7	4	0	17	5	8	379.35	0		50.763941
62	241	20	0	0	9	8	13	5	6	92.72	0		16.057886
62	242	25	0	0	0	6	11	2	7	58.58	0		14.313427
62	243	29	0	0	9	14	17	2	3	25.79	0		7.838742
62	246	99	0	0	7	5	6	2	8	37.73	0		15.663903
62	244	41	0	0	19	7	12	3	5	43.60	1		2.672741
1	4	82	0	7	4	8	14	4	5	121.72	0		57.859241
1	3	64	0	0	15	7	8	4	7	41.41	0		8.522725
1	2	51	0	0	11	14	8	7	6	172.38	1		5.948854
1	1	30	0	0	19	12	12	3	3	13.92	1		1.485343
34	127	22	0	7	4	13	13	3	7	68.86	0		41.043110
34	128	25	0	0	2	6	11	2	7	58.58	0		14.313427
34	129	79	0	0	0	13	6	5	6	65.96	1		3.974800
6	17	43	0	17	9	0	15	7	3	188.22	0		196.576885
6	18	50	0	7	4	20	13	4	3	20.37	0		39.311419
40	153	96	0	7	4	23	12	4	5	68.35	0		10.968729
40	150	21	0	0	18	15	8	4	6	68.86	1		3.046911
40	151	24	0	0	11	20	10	4	3	34.90	1		5.275462
40	152	88	0	0	0	19	7	3	4	30.70	1		6.569594
38	144	59	0	11	0	0	14	4	6	91.11	0		11.613482
38	146	86	0	11	0	6	6	4	8	110.91	0		31.593344
38	141	15	0	12	16	0	7	5	4	106	0		35.702011
38	143	54	0	12	21	0	16	4	8	88.88	1		5.067030
38	145	80	0	0	9	17	14	2	4	65.96	1		4.217783
38	142	30	0	0	11	23	12	3	3	13.92	1		1.485343
100	400	42	0	17	9	3	11	7	7	235.56	0		15.928818
100	399	28	0	17	9	10	13	5	7	270.75	0		23.109039
100	398	10	0	12	16	4	7	5	4	71.23	0		17.318049
7	21	67	0	25	0	0	15	6	6	117.03	0		14.522237
7	20	17	0	12	16	8	7	5	5	69.07	0		16.653777
7	19	15	0	12	16	13	7	5	4	106	0		35.702011
83	332	53	0	17	9	17	13	6	4	56.17	0		11.016940
83	335	98	0	17	0	6	11	2	8	34.58	0		17.477114
83	333	71	0	11	0	14	7	4	5	63.51	0		69.838999
83	334	85	0	17	9	21	13	5	4	124.22	1		5.384814
96	383	22	0	19	16	0	13	3	7	68.86	0		41.043110
96	382	18	0	11	0	19	7	3	8	117.10	0		17.070586
96	381	1	0	18	0	14	13	2	4	42.97	0		29.735318
74	298	95	0	19	16	7	12	4	8	129.28	0		9.345668
74	297	76	0	18	2	6	10	2	3	30.16	0		16.516446
14	50	96	0	19	15	15	12	4	5	68.35	0		10.968729
14	48	49	0	19	15	20	11	3	7	71.40	0		25.128164
14	46	25	0	18	2	9	11	2	7	58.58	0		14.313427
14	47	25	0	18	2	16	11	2	7	58.58	0		14.313427
14	49	80	0	0	11	26	14	2	4	65.96	1		4.217783
31	117	46	0	24	6	0	11	3	7	24.39	0		10.184874
31	116	26	0	28	20	0	13	4	4	100.70	0		28.079480
31	115	19	0	24	6	7	8	3	8	85.57	0		8.594259
31	118	94	0	0	7	13	7	2	3	25.33	0		67.994878
84	340	70	0	28	20	4	13	4	6	132.77	0		13.338882
84	337	26	0	28	20	10	13	4	4	100.70	0		28.079480
84	339	50	0	29	2	6	13	4	3	20.37	0		39.311419
84	338	39	0	19	15	27	8	4	3	57.08	0		19.640988
84	336	23	0	32	9	0	17	6	4	139.03	1		2.000291
84	341	84	0	14	9	25	16	5	4	192.24	1		5.975048
78	311	38	0	42	0	0	14	7	8	275.74	0		14.859027
78	312	90	0	28	20	14	8	5	5	53.84	0		6.092961
78	310	10	0	28	20	19	7	5	4	71.23	0		17.318049
4	14	82	0	29	2	9	14	4	5	121.72	0		57.859241
4	12	73	0	24	6	15	9	3	6	70.31	1		4.566047
4	13	80	0	18	0	18	14	2	4	65.96	1		4.217783


-------------------------------------------------------------------------------------------------------------------
Tour_Id:			2
No_of_Customers:		21
No_of_Items:			90
Customer_Sequence:		48 81 22 18 28 56 35 17 27 15 47 80 12 41 45 13 70 98 93 53 61 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
61	239	65	0	0	0	0	11	7	7	114.04	0		4.951371
61	240	87	0	0	7	0	12	4	7	45.60	0		3.354629
61	237	26	0	0	11	0	13	4	4	100.70	0		28.079480
61	236	23	0	0	15	0	17	6	4	139.03	1		2.000291
61	238	30	0	0	21	0	12	3	3	13.92	1		1.485343
