Name:				041_n020_m200_bt100
Problem:			3L-VRPTW
Number_of_used_Vehicles:	2
Total_Travel_Distance:		374.69
Calculation_Time:		3600.0
Total_Iterations:		936
ConstraintSet:			P18

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		12
No_of_Items:			115
Customer_Sequence:		15 18 4 19 8 17 1 2 7 16 13 9 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
4	43	95	0	0	0	0	14	6	8	93.34	0		3.200471
7	72	38	0	0	6	0	12	6	8	71.54	0		2.246933
18	185	98	0	0	12	0	14	5	8	77.05	0		4.805935
19	192	98	0	0	17	0	14	5	8	77.05	0		4.805935
18	183	90	0	0	0	8	17	4	8	59.65	0		4.076915
8	86	90	0	0	4	8	17	4	8	59.65	0		4.076915
2	14	29	1	0	8	8	17	4	8	97.05	0		8.021563
7	75	90	0	0	0	16	17	4	8	59.65	0		4.076915
16	159	46	0	0	4	16	11	6	8	72.52	0		6.634209
18	179	46	0	4	8	8	11	6	8	72.52	0		6.634209
17	169	72	0	0	10	16	11	6	8	91.82	0		10.293749
17	168	55	0	4	14	8	12	6	7	64.32	0		2.391587
18	180	57	0	0	0	24	14	7	5	65.04	0		9.880223
1	6	57	0	0	7	24	14	7	5	65.04	0		9.880223
8	85	89	0	12	6	0	16	5	6	55.27	0		2.423622
16	163	89	0	14	0	0	16	5	6	55.27	0		2.423622
17	171	89	0	14	11	0	16	5	6	55.27	0		2.423622
1	9	89	0	14	16	0	16	5	6	55.27	0		2.423622
15	154	89	0	15	8	6	16	5	6	55.27	0		2.423622
19	191	83	0	14	21	0	15	4	8	303.98	0		35.195025
13	130	40	0	15	8	12	12	5	8	55.09	0		7.399877
7	74	83	0	14	21	8	15	4	8	303.98	0		35.195025
17	165	40	0	14	8	20	12	5	8	55.09	0		7.399877
2	16	40	0	16	13	6	12	5	8	55.09	0		7.399877
15	153	73	0	30	0	0	15	6	5	86.46	0		5.807931
16	162	73	0	30	6	0	15	6	5	86.46	0		5.807931
15	149	17	0	16	13	14	11	5	8	50.31	0		7.647461
2	11	17	0	14	13	22	11	5	8	50.31	0		7.647461
19	190	78	0	17	0	6	9	6	8	168.15	0		10.707476
1	4	34	0	17	0	14	10	7	6	45.66	0		19.185310
2	22	87	0	14	21	16	14	4	7	57.93	0		13.201209
8	83	67	0	14	21	23	14	4	7	58.03	0		11.571128
7	73	39	0	30	12	0	15	5	5	62.58	0		2.729190
4	37	39	0	30	17	0	15	5	5	62.58	0		2.729190
2	18	60	1	0	16	16	9	5	5	39.80	0		9.341513
13	133	68	1	0	16	21	9	5	8	52.28	0		8.613960
4	41	68	0	5	16	15	9	5	8	52.28	0		8.613960
9	92	28	0	17	0	20	10	4	8	50.67	0		10.154727
15	148	3	0	0	22	0	13	3	8	46.73	0		7.791739
17	170	74	0	5	16	23	7	6	7	32.51	0		3.228174
19	188	47	0	30	0	5	12	4	6	52.12	0		5.190848
8	81	31	0	16	18	6	13	3	7	34.39	0		4.414711
13	131	41	0	16	18	13	15	3	6	47.16	0		17.620688
17	166	41	0	14	18	19	15	3	6	47.16	0		17.620688
2	20	79	1	11	4	16	11	3	8	43.77	0		3.848910
9	98	79	0	17	4	20	11	3	8	43.77	0		3.848910
19	189	61	0	30	13	5	17	5	3	39.62	0		7.558207
1	3	25	0	12	18	25	17	3	5	41.55	0		37.567958
8	80	25	0	29	22	0	17	3	5	41.55	0		37.567958
18	178	44	0	4	20	8	9	5	5	42.95	0		6.984504
19	187	44	0	30	18	5	9	5	5	42.95	0		6.984504
4	40	68	0	28	13	8	9	5	8	52.28	0		8.613960
13	134	91	0	5	21	13	6	4	7	28.65	0		11.470331
8	82	63	0	27	0	11	14	4	4	22.78	0		13.841578
2	13	21	0	27	0	15	8	4	7	41.84	0		6.205514
9	90	21	0	27	0	22	8	4	7	41.84	0		6.205514
18	182	86	0	27	13	16	8	4	7	36.47	0		7.609129
8	79	21	0	25	13	23	8	4	7	41.84	0		6.205514
1	8	66	0	30	4	5	12	3	6	21.73	0		2.596668
1	10	94	0	27	4	11	12	3	6	28.24	0		7.554184
4	39	66	0	28	4	17	12	3	6	21.73	0		2.596668
18	184	94	0	28	4	23	12	3	6	28.24	0		7.554184
4	42	94	0	31	7	5	12	3	6	28.24	0		7.554184
16	158	36	0	31	18	10	7	6	5	29.56	0		5.630011
15	151	64	0	31	18	15	7	6	5	25.15	0		5.000843
18	177	36	0	31	18	20	7	6	5	29.56	0		5.630011
9	93	36	0	31	18	25	7	6	5	29.56	0		5.630011
15	150	27	0	31	10	5	13	2	8	38.93	0		3.592380
7	70	27	0	31	7	11	13	2	8	38.93	0		3.592380
7	69	26	1	45	0	0	17	3	4	22.58	0		4.252822
9	88	2	0	37	12	8	10	5	3	18.54	0		5.016181
13	135	93	0	27	10	13	17	2	6	32.12	0		7.831161
18	181	62	0	31	7	19	8	5	5	33.13	0		5.605248
15	152	71	0	39	18	5	7	7	4	82	0		17.159099
19	186	6	0	35	0	15	8	3	8	32.77	0		4.251652
9	89	6	0	37	12	11	8	3	8	32.77	0		4.251652
1	5	53	0	37	12	19	6	4	8	22.42	0		13.438025
16	155	9	0	45	17	0	14	3	4	25.10	0		5.280171
4	36	9	0	46	20	0	14	3	4	25.10	0		5.280171
9	95	50	0	5	22	20	8	3	7	26.49	0		7.335452
9	97	69	0	39	17	9	7	6	4	31.33	0		19.626863
9	96	65	0	38	17	13	7	6	4	130.88	0		38.972560
16	161	65	0	38	16	17	7	6	4	130.88	0		38.972560
8	87	91	0	35	0	23	6	4	7	28.65	0		11.470331
16	160	63	0	46	18	4	14	4	4	22.78	0		13.841578
7	76	91	0	38	16	21	6	4	7	28.65	0		11.470331
2	17	58	0	0	14	24	9	2	5	17.94	0		17.183801
17	164	15	0	31	7	24	10	5	3	50.73	0		58.356899
18	176	26	1	48	0	0	17	3	4	22.58	0		4.252822
1	1	2	0	31	7	27	10	5	3	18.54	0		5.016181
7	68	23	1	45	0	4	12	3	4	74.04	0		10.830096
9	94	49	1	44	0	8	11	4	3	49.09	0		23.387746
17	167	49	1	44	0	11	11	4	3	49.09	0		23.387746
18	174	11	1	44	0	14	9	4	3	13.81	0		10.352812
1	7	58	0	17	6	6	9	2	5	17.94	0		17.183801
17	173	100	1	26	0	6	8	4	5	22.30	0		10.443759
8	84	81	1	48	0	4	16	4	7	52.42	1		3.831611
2	21	81	1	48	0	11	16	4	7	52.42	1		3.831611
2	19	70	1	51	0	0	16	6	4	71.28	1		1.856594
16	157	35	0	46	17	8	12	5	5	48.76	1		1.425383
7	67	12	0	45	16	13	12	6	4	38.54	1		1.837204
16	156	12	0	45	16	17	12	6	4	38.54	1		1.837204
2	23	99	1	44	0	17	12	3	6	40.80	1		9.656395
19	193	99	0	44	16	21	12	3	6	40.80	1		9.656395
17	172	99	0	44	19	21	12	3	6	40.80	1		9.656395
2	15	37	1	52	0	4	17	3	4	34.54	1		2.050140
7	71	37	1	52	0	8	17	3	4	34.54	1		2.050140
4	38	52	0	44	16	27	13	5	3	109.50	1		6.754415
9	91	24	1	44	0	23	10	3	5	19.61	1		0.976438
13	132	42	0	46	23	0	12	2	6	150.20	1		12.595653
18	175	19	1	48	0	18	8	3	6	16.59	1		1.421616
1	2	19	1	48	8	18	8	3	6	16.59	1		1.421616
8	77	19	1	48	0	24	8	3	6	16.59	1		1.421616
8	78	19	1	48	8	24	8	3	6	16.59	1		1.421616
2	12	20	0	37	12	27	7	4	3	12.32	1		1.819214


-------------------------------------------------------------------------------------------------------------------
Tour_Id:			2
No_of_Customers:		8
No_of_Items:			85
Customer_Sequence:		5 10 14 6 20 12 11 3 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
6	65	95	0	0	0	0	14	6	8	93.34	0		3.200471
20	200	95	0	0	6	0	14	6	8	93.34	0		3.200471
3	25	18	0	0	12	0	12	6	8	271.35	0		17.766612
6	57	18	0	0	18	0	12	6	8	271.35	0		17.766612
5	55	98	0	0	0	8	14	5	8	77.05	0		4.805935
6	64	90	0	0	5	8	17	4	8	59.65	0		4.076915
5	46	29	0	0	9	8	17	4	8	97.05	0		8.021563
3	31	72	0	0	13	8	11	6	8	91.82	0		10.293749
5	48	46	0	0	19	8	11	6	8	72.52	0		6.634209
12	127	72	0	0	0	16	11	6	8	91.82	0		10.293749
3	33	84	0	0	6	16	16	4	8	68.63	0		17.640159
12	125	55	0	0	10	16	12	6	7	64.32	0		2.391587
3	28	55	0	0	16	16	12	6	7	64.32	0		2.391587
20	199	89	0	0	10	23	16	5	6	55.27	0		2.423622
11	115	43	0	0	15	23	16	5	6	257.38	0		141.128417
14	142	40	0	12	12	0	12	5	8	55.09	0		7.399877
20	194	40	0	11	13	8	12	5	8	55.09	0		7.399877
5	45	17	0	12	17	0	11	5	8	50.31	0		7.647461
10	103	67	0	11	18	8	14	4	7	58.03	0		11.571128
11	120	87	0	14	0	0	14	4	7	57.93	0		13.201209
10	105	87	0	14	4	0	14	4	7	57.93	0		13.201209
10	106	87	0	14	8	0	14	4	7	57.93	0		13.201209
3	30	67	0	14	0	7	14	4	7	58.03	0		11.571128
5	47	39	0	23	17	0	15	5	5	62.58	0		2.729190
20	196	68	0	14	0	14	9	5	8	52.28	0		8.613960
14	140	28	0	14	0	22	10	4	8	50.67	0		10.154727
6	63	82	0	12	22	0	15	3	7	50.90	0		22.597099
20	197	74	0	12	10	16	7	6	7	32.51	0		3.228174
6	62	74	0	17	4	7	7	6	7	32.51	0		3.228174
14	143	85	0	0	0	24	13	7	3	40.30	0		16.362063
20	198	85	0	0	0	27	13	7	3	40.30	0		16.362063
14	144	85	0	28	0	0	13	7	3	40.30	0		16.362063
5	51	85	0	28	7	0	13	7	3	40.30	0		16.362063
10	101	31	0	0	22	16	13	3	7	34.39	0		4.414711
11	111	31	0	0	20	23	13	3	7	34.39	0		4.414711
20	195	41	0	0	7	24	15	3	6	47.16	0		17.620688
11	118	79	0	12	22	7	11	3	8	43.77	0		3.848910
6	58	22	0	12	18	15	12	3	7	28	0		3.324831
10	100	22	0	13	21	15	12	3	7	28	0		3.324831
11	110	22	0	13	20	22	12	3	7	28	0		3.324831
14	138	10	0	25	18	5	13	3	6	31.10	0		6.708676
6	56	10	0	25	18	11	13	3	6	31.10	0		6.708676
6	59	44	0	28	0	3	9	5	5	42.95	0		6.984504
12	126	60	0	28	5	3	9	5	5	39.80	0		9.341513
6	61	63	0	28	10	3	14	4	4	22.78	0		13.841578
12	128	86	1	24	4	7	8	4	7	36.47	0		7.609129
5	52	86	1	23	0	14	8	4	7	36.47	0		7.609129
5	54	94	0	25	18	17	12	3	6	28.24	0		7.554184
5	50	66	0	25	18	23	12	3	6	21.73	0		2.596668
3	26	26	0	27	22	0	17	3	4	22.58	0		4.252822
14	139	26	0	27	22	4	17	3	4	22.58	0		4.252822
3	29	62	0	28	10	7	8	5	5	33.13	0		5.605248
3	24	6	0	19	8	14	8	3	8	32.77	0		4.251652
10	99	6	0	19	8	22	8	3	8	32.77	0		4.251652
6	60	50	1	16	10	23	8	3	7	26.49	0		7.335452
11	112	32	1	24	0	21	8	3	7	33.33	0		7.786220
5	49	65	0	28	0	8	7	6	4	130.88	0		38.972560
5	53	91	0	28	6	8	6	4	7	28.65	0		11.470331
14	147	97	0	23	22	8	16	3	3	18.06	0		6.558471
12	124	49	0	25	21	11	11	4	3	49.09	0		23.387746
11	117	49	0	25	21	14	11	4	3	49.09	0		23.387746
10	102	49	0	25	21	17	11	4	3	49.09	0		23.387746
14	145	88	0	25	21	20	14	3	3	17.60	0		17.893931
14	146	88	0	25	21	23	14	3	3	17.60	0		17.893931
11	108	11	0	25	21	26	9	4	3	13.81	0		10.352812
5	44	11	0	28	0	12	9	4	3	13.81	0		10.352812
11	109	11	0	27	0	15	9	4	3	13.81	0		10.352812
11	116	48	0	27	0	18	7	5	3	60.35	0		67.226254
12	122	8	0	0	23	23	9	2	3	9.24	0		3.768256
11	107	4	0	41	0	0	13	7	7	96.76	1		2.011944
11	119	81	0	37	0	7	16	4	7	52.42	1		3.831611
12	129	92	0	37	0	14	16	4	5	32.78	1		2.038505
11	114	35	0	37	0	19	12	5	5	48.76	1		1.425383
12	121	5	0	37	0	24	14	5	4	48.10	1		3.809772
