Name:				360_n020_m400_bt100
Problem:			3L-VRPTW
Number_of_used_Vehicles:	4
Total_Travel_Distance:		426.66
Calculation_Time:		3600.00
Total_Iterations:		709
ConstraintSet:			P18

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		5
No_of_Items:			100
Customer_Sequence:		4 9 5 3 11 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
5	87	26	0	0	0	0	17	7	7	35.15	0		2.774920
4	69	26	0	0	7	0	17	7	7	35.15	0		2.774920
3	53	25	0	0	14	0	13	7	8	32.06	0		2.052191
4	73	46	0	0	0	7	17	6	7	33.06	0		7.618349
3	48	9	0	0	6	7	12	7	8	35.19	0		6.055386
11	206	9	0	0	13	8	12	7	8	35.19	0		6.055386
4	66	9	0	0	6	15	12	7	8	35.19	0		6.055386
5	90	33	0	0	0	14	14	5	8	35.37	0		2.102125
4	70	33	0	0	13	16	14	5	8	35.37	0		2.102125
3	54	33	0	0	0	22	14	5	8	35.37	0		2.102125
5	93	42	0	0	6	23	15	6	6	59.18	0		6.357149
9	171	62	0	13	14	0	14	5	7	22.72	0		2.611555
3	55	43	0	13	13	7	10	7	7	39.55	0		4.153929
11	217	83	0	14	13	14	10	6	8	36.47	0		2.108159
4	74	50	0	13	19	0	13	5	7	25.98	0		4.081956
11	215	72	0	0	12	24	15	6	5	16.94	0		1.085814
11	214	72	0	17	0	0	15	6	5	16.94	0		1.085814
4	78	72	0	17	6	0	15	6	5	16.94	0		1.085814
9	168	49	0	13	20	7	14	4	7	21.39	0		8.621485
9	179	96	0	13	20	14	16	4	6	19.79	0		6.122372
3	63	85	0	13	20	20	16	4	6	50.76	0		37.074700
3	58	53	1	12	6	7	7	5	4	13.31	0		4.592971
11	210	36	0	17	0	5	9	6	7	29.22	0		4.299528
4	68	21	0	13	20	26	15	2	4	7.32	0		5.103874
5	85	11	0	17	6	5	15	4	6	27.82	0		3.064651
3	59	63	0	12	6	11	15	4	6	15.54	0		6.400894
5	95	63	0	12	5	17	15	4	6	15.54	0		6.400894
5	97	74	0	26	19	0	15	4	6	30.66	0		3.657418
9	170	55	0	32	0	0	14	6	4	12.85	0		1.130915
5	102	97	0	0	21	0	11	4	7	29.05	0		4.435276
9	180	97	0	0	21	7	11	4	7	29.05	0		4.435276
4	82	97	0	0	20	14	11	4	7	29.05	0		4.435276
4	83	97	0	0	20	21	11	4	7	29.05	0		4.435276
11	222	99	0	17	0	12	8	5	7	31	0		3.308851
9	181	99	0	17	0	19	8	5	7	31	0		3.308851
11	219	93	0	15	5	23	13	3	7	18.40	0		22.166168
3	50	16	0	27	12	0	17	4	4	12.77	0		1.455303
5	99	78	0	17	10	5	17	2	8	20.66	0		1.879976
5	98	78	0	17	10	13	17	2	8	20.66	0		1.879976
4	79	73	0	27	12	4	13	4	5	15.34	0		3.170551
5	86	13	0	15	12	22	7	7	5	11.93	0		1.543415
11	205	8	0	23	12	9	16	3	5	22.36	0		1.304078
9	166	34	0	24	12	14	9	3	8	20.93	0		25.138387
11	207	15	0	26	0	5	7	6	5	19.76	0		8.064955
9	167	38	0	27	20	6	12	4	4	19.65	0		3.688334
5	91	38	0	27	20	10	12	4	4	19.65	0		3.688334
3	49	10	0	22	12	22	8	4	6	20.83	0		6.130054
4	65	2	0	26	0	10	8	4	6	19.97	0		4.801786
4	67	10	0	25	0	16	8	4	6	20.83	0		6.130054
11	202	2	0	25	0	22	8	4	6	19.97	0		4.801786
4	80	82	0	0	18	16	13	2	7	7.79	0		1.761077
5	84	3	0	27	16	0	14	3	4	17.31	0		8.712067
11	213	65	0	29	20	14	8	4	5	17.18	0		3.385729
3	60	65	0	29	20	19	8	4	5	17.18	0		3.385729
4	75	51	0	0	18	23	11	2	7	9.60	0		3.017829
5	94	51	0	15	10	21	11	2	7	9.60	0		3.017829
3	56	51	0	27	16	4	11	2	7	9.60	0		3.017829
3	57	51	0	27	16	11	11	2	7	9.60	0		3.017829
5	88	27	0	29	20	24	10	3	5	12.51	0		3.514831
4	77	68	0	27	6	11	6	3	8	18.16	0		5.319027
4	76	61	0	34	0	4	8	6	8	17.30	0		1.856141
9	169	53	0	17	0	26	7	5	4	13.31	0		4.592971
4	72	36	0	34	6	0	9	6	7	29.22	0		4.299528
3	47	7	1	15	12	27	8	4	3	3.87	0		2.056414
11	203	5	0	17	12	0	8	2	6	3.57	0		2.048124
9	177	88	0	26	23	0	8	2	5	5.28	0		5.630994
9	164	1	0	27	6	19	6	4	3	6.78	0		4.995351
5	89	28	0	13	22	26	7	2	4	3.80	0		3.897864
9	182	100	1	19	12	27	7	2	3	3.82	0		3.532778
5	104	100	0	20	22	26	7	2	3	3.82	0		3.532778
5	103	100	0	26	4	10	7	2	3	3.82	0		3.532778
5	92	41	0	41	16	0	16	4	7	40.13	1		0.883788
11	212	41	0	38	16	7	16	4	7	40.13	1		0.883788
11	211	41	0	38	16	14	16	4	7	40.13	1		0.883788
3	62	80	0	34	6	7	9	6	8	56.50	1		1.562723
11	221	98	0	34	0	12	9	6	8	39.93	1		3.225471
11	216	80	0	33	0	20	9	6	8	56.50	1		1.562723
11	204	6	0	34	6	15	10	5	8	26.89	1		1.417107
3	46	6	0	41	20	0	10	5	8	26.89	1		1.417107
3	45	6	0	39	20	8	10	5	8	26.89	1		1.417107
3	51	18	0	43	6	0	7	6	8	28.26	1		0.933363
9	178	95	0	44	6	8	8	6	8	28.35	1		1.926416
11	220	95	0	44	6	16	8	6	8	28.35	1		1.926416
9	165	6	0	39	20	16	10	5	8	26.89	1		1.417107
3	52	19	0	38	16	21	13	4	6	35.41	1		0.756778
11	209	19	0	39	20	24	13	4	6	35.41	1		0.756778
4	71	35	0	34	6	23	10	5	6	28.32	1		1.266460
11	208	17	0	46	0	0	14	5	4	29.53	1		0.983318
9	174	76	0	42	0	4	17	4	4	14.14	1		0.274241
3	61	75	0	43	0	8	10	5	5	30.82	1		3.434613
9	173	75	0	43	0	13	10	5	5	30.82	1		3.434613
5	100	94	0	43	0	18	11	4	5	22.06	1		2.748642
5	101	94	0	42	0	23	11	4	5	22.06	1		2.748642
11	218	87	0	44	6	24	9	6	4	25.16	1		1.402222
9	176	87	0	50	5	0	9	6	4	25.16	1		1.402222
3	64	87	0	50	4	4	9	6	4	25.16	1		1.402222
9	175	87	1	53	0	8	9	6	4	25.16	1		1.402222
4	81	87	1	53	0	12	9	6	4	25.16	1		1.402222
5	96	66	0	38	16	27	17	4	3	9.59	1		0.389740
9	172	70	0	44	12	0	9	4	3	9.72	1		0.679495


-------------------------------------------------------------------------------------------------------------------
Tour_Id:			2
No_of_Customers:		6
No_of_Items:			113
Customer_Sequence:		7 10 17 6 1 15 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
1	7	26	0	0	0	0	17	7	7	35.15	0		2.774920
1	6	26	0	0	7	0	17	7	7	35.15	0		2.774920
6	108	26	0	0	14	0	17	7	7	35.15	0		2.774920
6	109	26	0	0	0	7	17	7	7	35.15	0		2.774920
15	284	25	0	0	7	7	13	7	8	32.06	0		2.052191
10	185	25	0	0	14	7	13	7	8	32.06	0		2.052191
15	285	25	0	0	0	14	13	7	8	32.06	0		2.052191
7	139	77	0	0	7	15	17	5	7	32.85	0		2.201214
17	321	24	0	0	12	15	16	5	7	54.75	0		4.338739
6	107	24	0	0	0	22	16	5	7	54.75	0		4.338739
7	129	24	0	0	5	22	16	5	7	54.75	0		4.338739
1	10	33	0	0	10	22	14	5	8	35.37	0		2.102125
6	110	32	0	17	0	0	15	6	6	57.04	0		4.307801
1	12	42	0	17	6	0	15	6	6	59.18	0		6.357149
6	116	69	0	17	12	0	17	6	5	42.62	0		6.389357
