Name:				478_n060_m400_bt100
Problem:			3L-VRPTW
Number_of_used_Vehicles:	4
Total_Travel_Distance:		662.82
Calculation_Time:		3600.0
Total_Iterations:		47
ConstraintSet:			P18

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		15
No_of_Items:			97
Customer_Sequence:		58 8 45 46 29 16 36 13 59 37 25 53 28 7 21 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
28	181	52	0	0	0	0	13	7	8	116.83	0		9.854158
21	131	26	0	0	7	0	17	7	6	149.60	0		7.009943
8	48	26	0	0	14	0	17	7	6	149.60	0		7.009943
7	45	55	0	0	7	6	12	6	8	96.72	0		2.972717
8	51	56	0	0	13	6	10	7	8	329.78	0		57.852959
58	385	73	0	0	0	8	13	6	7	88.79	0		5.886789
7	46	73	0	0	6	14	13	6	7	88.79	0		5.886789
37	242	65	0	0	12	14	13	5	8	103.45	0		14.169814
13	82	65	0	0	0	15	13	5	8	103.45	0		14.169814
46	303	97	0	0	6	21	17	6	5	69.76	0		16.766498
45	295	97	0	13	0	0	17	6	5	69.76	0		16.766498
45	292	48	0	0	12	22	17	5	6	112.72	0		22.397805
58	383	48	0	0	0	23	17	5	6	112.72	0		22.397805
16	102	91	1	12	7	6	14	6	6	89.30	0		26.133115
29	189	59	0	13	0	5	12	6	7	82.34	0		41.643979
46	300	66	0	13	0	12	13	6	6	87.15	0		7.221090
59	394	94	1	13	6	12	15	6	5	192.51	0		18.091530
46	302	92	0	0	21	0	14	4	8	98.68	0		9.563037
46	298	41	0	0	21	8	17	3	8	43.77	0		4.766286
53	350	74	1	13	6	17	14	7	4	89.60	0		10.225992
59	389	74	0	17	6	0	14	7	4	89.60	0		10.225992
36	235	74	0	17	13	0	14	7	4	89.60	0		10.225992
29	190	74	0	18	6	4	14	7	4	89.60	0		10.225992
28	182	74	0	18	13	4	14	7	4	89.60	0		10.225992
25	159	45	0	17	0	18	11	5	7	51.78	0		4.529719
53	348	44	0	0	21	16	13	4	7	43.31	0		4.240987
29	191	82	0	0	5	26	15	6	4	73.94	0		9.539267
25	163	82	0	18	6	8	15	6	4	73.94	0		9.539267
16	101	39	0	14	21	0	14	3	8	48.09	0		15.327724
21	128	4	0	0	21	23	12	4	7	43.75	0		3.291818
13	78	6	0	20	6	12	7	6	8	94.56	0		11.238105
7	41	6	0	19	12	8	7	6	8	94.56	0		11.238105
13	83	79	1	17	5	21	17	3	6	65.39	0		3.758713
7	42	34	0	19	18	8	10	5	6	69.14	0		9.244542
58	382	25	0	30	0	0	16	6	3	74.87	0		16.710464
16	100	25	0	30	0	3	16	6	3	74.87	0		16.710464
45	294	60	0	0	17	14	9	4	8	55.22	0		19.435772
8	52	60	0	0	17	22	9	4	8	55.22	0		19.435772
21	129	12	0	17	0	25	11	5	5	46.42	0		4.927199
16	99	12	0	28	0	6	11	5	5	46.42	0		4.927199
8	50	27	0	20	5	20	7	6	6	49.87	0		6.686876
8	49	27	0	26	12	8	7	6	6	49.87	0		6.686876
29	187	40	0	28	20	0	15	4	4	25.66	0		3.931295
58	380	16	0	26	0	11	10	4	6	126.45	0		36.469429
13	80	16	1	26	12	14	10	4	6	126.45	0		36.469429
53	347	8	1	26	12	20	10	3	8	42.19	0		20.432103
13	79	8	0	28	0	17	10	3	8	42.19	0		20.432103
13	84	80	0	32	6	0	9	5	5	50.91	0		6.224206
59	392	80	0	32	11	0	9	5	5	50.91	0		6.224206
59	387	24	0	20	5	26	9	6	4	84.84	0		8.548184
13	81	51	0	32	16	0	15	2	7	29.99	0		6.502013
45	293	51	0	32	18	0	15	2	7	29.99	0		6.502013
25	161	51	0	32	18	7	15	2	7	29.99	0		6.502013
59	388	62	0	32	6	5	11	6	3	31.73	0		6.109577
46	299	62	0	33	5	8	11	6	3	31.73	0		6.109577
28	183	76	0	27	6	12	8	3	8	83.81	0		9.620734
