Name:				598_n100_m400_bt100
Problem:			3L-VRPTW
Number_of_used_Vehicles:	4
Total_Travel_Distance:		753.70
Calculation_Time:		3600.00
Total_Iterations:		22
ConstraintSet:			P18

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		29
No_of_Items:			111
Customer_Sequence:		22 25 33 27 81 19 80 77 57 75 35 67 41 3 98 37 42 94 8 6 2 60 69 55 45 89 92 34 54 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
60	243	43	0	0	0	0	17	5	8	270.68	0		28.552258
45	184	43	0	0	5	0	17	5	8	270.68	0		28.552258
25	100	43	0	0	10	0	17	5	8	270.68	0		28.552258
77	309	51	0	0	15	0	17	5	8	85.10	0		4.480438
22	87	93	0	0	20	0	16	5	8	256.05	0		27.213414
37	149	36	0	0	0	8	16	5	8	230.16	0		11.941933
67	273	93	0	0	5	8	16	5	8	256.05	0		27.213414
57	234	93	0	0	10	8	16	5	8	256.05	0		27.213414
35	143	73	0	0	15	8	12	6	8	139.38	0		18.459841
25	102	73	0	0	0	16	12	6	8	139.38	0		18.459841
92	366	32	0	0	6	16	16	5	7	212.53	0		9.465016
45	182	32	0	0	11	16	16	5	7	212.53	0		9.465016
45	183	32	0	0	16	16	16	5	7	212.53	0		9.465016
6	24	56	0	16	20	0	14	5	8	79.01	0		5.422156
75	300	66	0	0	6	23	11	7	7	79.21	0		14.618609
27	108	26	0	0	21	8	14	4	8	206.06	0		16.950224
22	82	26	0	0	21	16	14	4	8	206.06	0		16.950224
3	10	26	0	14	21	8	14	4	8	206.06	0		16.950224
89	355	26	0	14	21	16	14	4	8	206.06	0		16.950224
80	321	31	0	17	0	0	8	7	8	243.45	0		40.804196
69	277	7	0	0	13	23	12	5	7	111.45	0		13.387692
75	299	10	0	0	0	24	13	6	5	133.81	0		16.851316
33	133	10	0	17	7	0	13	6	5	133.81	0		16.851316
41	163	19	0	16	0	8	12	6	5	188.22	0		9.060780
54	223	5	0	16	0	13	10	7	5	101.41	0		25.176215
92	365	1	0	17	13	0	14	6	4	181.45	0		19.704912
57	233	50	0	13	0	18	13	6	4	51.74	0		7.833231
57	232	50	0	13	0	22	13	6	4	51.74	0		7.833231
57	231	12	0	0	18	23	17	3	6	69.15	0		10.672907
37	150	55	0	12	15	8	7	6	7	72.59	0		5.711201
80	318	18	0	0	21	24	16	3	6	63.97	0		5.996083
35	142	18	0	16	21	24	16	3	6	63.97	0		5.996083
77	308	18	0	17	7	5	16	3	6	63.97	0		5.996083
42	168	11	0	17	10	5	10	4	7	127.78	0		28.109985
8	31	11	0	16	10	12	10	4	7	127.78	0		28.109985
33	135	74	0	19	14	4	11	5	5	35.63	0		4.142289
33	134	57	0	16	7	11	15	3	6	32.97	0		6.899752
3	14	92	0	11	6	23	6	6	7	114.99	0		15.017751
94	375	92	0	19	14	9	6	6	7	114.99	0		15.017751
98	389	92	0	19	14	16	6	6	7	114.99	0		15.017751
55	227	92	0	19	14	23	6	6	7	114.99	0		15.017751
2	9	72	0	25	0	0	15	2	8	61.90	0		25.654533
19	69	72	0	25	2	0	15	2	8	61.90	0		25.654533
37	151	72	0	25	4	0	15	2	8	61.90	0		25.654533
94	371	22	0	13	0	26	10	6	4	98.62	0		15.128216
80	319	22	0	28	0	8	10	6	4	98.62	0		15.128216
75	301	84	0	28	0	12	10	3	8	27.28	0		7.475964
3	11	41	0	30	6	0	13	6	3	79.19	0		12.287329
34	138	41	0	31	12	0	13	6	3	79.19	0		12.287329
3	12	59	0	30	19	0	11	5	4	183.01	0		41.431576
37	152	75	0	30	19	4	7	5	6	100.28	0		95.932485
35	144	76	0	28	3	12	10	4	5	41.98	0		2.634909
77	310	76	0	26	3	17	10	4	5	41.98	0		2.634909
67	270	23	0	25	14	9	6	4	8	107.30	0		15.753141
54	224	33	0	16	7	17	15	3	4	18.51	0		3.493019
98	387	52	0	30	10	3	15	2	6	74.79	0		55.980755
22	83	39	0	31	12	3	12	5	3	46.67	0		5.023007
75	302	87	0	30	12	6	12	5	3	101.45	0		17.262286
89	356	39	0	31	10	9	12	5	3	46.67	0		5.023007
6	25	62	0	30	19	10	7	6	4	56.78	0		41.707009
42	170	60	0	17	6	21	7	4	6	111.47	0		38.267409
41	164	60	0	17	10	19	7	4	6	111.47	0		38.267409
45	185	60	0	25	14	17	7	4	6	111.47	0		38.267409
89	358	69	0	26	10	12	16	3	3	39.50	0		35.803366
98	388	69	0	26	10	15	16	3	3	39.50	0		35.803366
33	136	98	0	26	10	18	16	3	3	62.65	0		18.524058
42	171	69	0	24	10	21	16	3	3	39.50	0		35.803366
60	242	6	0	17	10	25	7	4	5	77.22	0		8.602174
8	30	6	0	24	10	24	7	4	5	77.22	0		8.602174
27	107	15	0	25	14	23	9	3	5	71.84	0		17.277617
69	278	100	0	26	3	22	7	3	6	18.32	0		31.498307
92	367	100	0	28	0	20	7	3	6	18.32	0		31.498307
8	34	100	0	30	19	14	7	3	6	18.32	0		31.498307
77	311	100	0	30	22	14	7	3	6	18.32	0		31.498307
94	372	77	0	40	0	0	10	4	3	17.42	0		7.391842
60	244	65	0	23	0	26	10	3	4	47.74	0		14.117947
60	245	65	0	31	10	24	10	3	4	47.74	0		14.117947
67	271	29	0	28	19	20	9	3	4	56.71	0		22.407787
27	109	30	0	33	6	3	6	3	6	52.15	0		9.339198
34	137	30	1	37	19	4	6	3	6	52.15	0		9.339198
19	70	95	0	40	0	3	7	5	3	41.98	0		59.796299
81	322	37	0	28	19	24	10	2	5	22.52	0		20.581595
22	84	45	1	37	19	10	6	4	4	21.98	0		13.175208
2	7	4	0	31	13	12	15	2	3	44.06	0		12.301257
89	357	44	0	31	15	9	11	2	4	23.59	0		35.747870
6	23	44	0	31	15	13	11	2	4	23.59	0		35.747870
81	323	67	0	30	22	20	7	3	4	21.01	0		9.986089
2	8	27	0	17	6	27	9	3	3	44.87	0		31.527355
80	320	27	0	40	0	6	9	3	3	44.87	0		31.527355
55	226	90	0	33	6	9	8	3	3	37.86	0		12.648428
35	141	3	1	16	14	15	6	2	6	17.97	0		53.794331
25	99	20	0	40	0	9	7	3	3	22.91	0		24.508969
94	374	81	0	31	7	12	10	2	3	23.63	0		24.153265
94	373	81	0	31	7	15	10	2	3	23.63	0		24.153265
34	140	81	0	31	7	18	10	2	3	23.63	0		24.153265
34	139	46	1	17	14	4	6	2	3	9.11	0		10.198100
8	32	46	1	26	0	13	6	2	3	9.11	0		10.198100
67	272	79	0	41	18	0	12	6	6	414.26	1		43.856308
41	165	79	0	41	17	6	12	6	6	414.26	1		43.856308
42	167	9	0	41	17	12	9	4	8	44.51	1		4.402950
75	298	9	0	41	17	20	9	4	8	44.51	1		4.402950
8	33	48	0	45	5	0	13	7	3	33.31	1		2.781304
25	101	49	0	44	12	0	9	6	5	405.07	1		18.271385
41	166	82	0	26	7	21	13	2	7	47.42	1		5.035000
3	13	82	0	32	13	15	13	2	7	47.42	1		5.035000
6	26	82	0	34	13	22	13	2	7	47.42	1		5.035000
22	86	82	0	41	5	3	13	2	7	47.42	1		5.035000
81	324	80	0	39	7	3	12	3	5	40.98	1		2.018344
22	85	61	1	53	12	0	9	6	3	73.84	1		31.809495
54	225	68	1	54	5	3	15	3	3	111.98	1		78.252023
42	169	16	0	41	5	10	15	2	4	19.89	1		1.121683


-------------------------------------------------------------------------------------------------------------------
Tour_Id:			2
No_of_Customers:		26
No_of_Items:			102
Customer_Sequence:		44 91 97 90 31 5 74 13 32 88 18 38 28 24 40 17 52 66 14 11 30 16 48 50 63 96 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
88	352	51	0	0	0	0	17	5	8	85.10	0		4.480438
66	268	43	0	0	5	0	17	5	8	270.68	0		28.552258
91	362	36	0	0	10	0	16	5	8	230.16	0		11.941933
31	128	73	0	0	15	0	12	6	8	139.38	0		18.459841
28	113	32	0	0	0	8	16	5	7	212.53	0		9.465016
24	96	32	0	0	5	8	16	5	7	212.53	0		9.465016
66	267	32	0	0	10	8	16	5	7	212.53	0		9.465016
30	124	32	0	0	15	8	16	5	7	212.53	0		9.465016
32	131	56	0	0	0	15	14	5	8	79.01	0		5.422156
30	125	85	0	0	5	15	15	5	6	120.23	0		25.036770
5	21	26	0	0	21	0	14	4	8	206.06	0		16.950224
13	46	26	0	0	20	8	14	4	8	206.06	0		16.950224
11	42	87	0	0	10	15	12	5	3	101.45	0		17.262286
14	52	31	0	16	10	0	8	7	8	243.45	0		40.804196
48	200	97	0	0	15	15	14	5	6	219.13	0		22.246068
24	98	97	0	0	20	16	14	5	6	219.13	0		22.246068
66	269	99	0	0	10	18	9	2	7	49.26	0		15.057435
52	215	7	0	0	5	21	12	5	7	111.45	0		13.387692
32	129	7	0	0	15	21	12	5	7	111.45	0		13.387692
96	382	13	0	14	17	0	15	6	4	129.36	0		39.380596
38	153	13	0	14	17	4	15	6	4	129.36	0		39.380596
14	51	19	1	16	10	8	12	6	5	188.22	0		9.060780
50	206	12	0	0	20	22	17	3	6	69.15	0		10.672907
96	381	12	0	0	0	23	17	3	6	69.15	0		10.672907
16	60	48	1	16	10	13	13	7	3	33.31	1		2.781304
28	112	24	0	17	0	0	8	5	7	51.66	0		8.689839
18	67	74	0	17	5	0	11	5	5	35.63	0		4.142289
31	127	57	0	0	12	18	15	3	6	32.97	0		6.899752
88	353	57	0	0	12	24	15	3	6	32.97	0		6.899752
48	197	57	0	24	10	0	15	3	6	32.97	0		6.899752
52	216	57	0	24	13	0	15	3	6	32.97	0		6.899752
91	364	92	0	17	0	7	6	6	7	114.99	0		15.017751
16	62	83	0	24	10	6	10	5	5	110.73	0		15.126139
52	218	72	0	0	23	22	15	2	8	61.90	0		25.654533
48	198	72	0	14	23	0	15	2	8	61.90	0		25.654533
30	123	22	0	23	10	11	10	6	4	98.62	0		15.128216
