Name:				016_n020_m200_bt3
Problem:			3L-VRPTW
Number_of_used_Vehicles:	3
Total_Travel_Distance:		393.82
Calculation_Time:		16.91
Total_Iterations:		8495
ConstraintSet:			P19

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		7
No_of_Items:			67
Customer_Sequence:		18 2 12 17 13 4 9 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
9	85	2	0	0	0	0	8	6	8	183.43	0		18.851499
9	83	1	0	0	6	0	13	3	6	73.34	0		6.327247
9	84	1	0	0	9	0	13	3	6	73.34	0		6.327247
9	86	3	0	0	12	0	15	3	7	166.59	1		5.637457
9	87	3	0	0	15	0	15	3	7	166.59	1		5.637457
9	88	3	0	0	18	0	15	3	7	166.59	1		5.637457
9	89	3	0	0	21	0	15	3	7	166.59	1		5.637457
4	37	2	0	0	6	6	8	6	8	183.43	0		18.851499
4	38	2	0	0	0	8	8	6	8	183.43	0		18.851499
4	39	2	0	0	6	14	8	6	8	183.43	0		18.851499
4	40	2	0	0	0	16	8	6	8	183.43	0		18.851499
4	35	1	0	0	6	22	13	3	6	73.34	0		6.327247
4	36	1	0	0	9	22	13	3	6	73.34	0		6.327247
4	41	3	0	0	12	7	15	3	7	166.59	1		5.637457
4	42	3	0	0	15	7	15	3	7	166.59	1		5.637457
4	43	3	0	0	18	7	15	3	7	166.59	1		5.637457
4	44	3	0	0	21	7	15	3	7	166.59	1		5.637457
4	45	3	0	0	12	14	15	3	7	166.59	1		5.637457
13	127	2	0	8	0	0	8	6	8	183.43	0		18.851499
13	128	2	0	8	0	8	8	6	8	183.43	0		18.851499
13	129	2	0	8	0	16	8	6	8	183.43	0		18.851499
13	123	1	0	0	0	24	13	3	6	73.34	0		6.327247
13	124	1	0	0	3	24	13	3	6	73.34	0		6.327247
13	125	1	0	13	6	0	13	3	6	73.34	0		6.327247
13	126	1	0	13	9	0	13	3	6	73.34	0		6.327247
13	130	3	0	0	15	14	15	3	7	166.59	1		5.637457
13	131	3	0	0	18	14	15	3	7	166.59	1		5.637457
13	132	3	0	0	21	14	15	3	7	166.59	1		5.637457
13	133	3	0	0	12	21	15	3	7	166.59	1		5.637457
17	168	2	0	13	6	6	8	6	8	183.43	0		18.851499
17	169	2	0	13	6	14	8	6	8	183.43	0		18.851499
17	164	1	0	13	6	22	13	3	6	73.34	0		6.327247
17	165	1	0	13	9	22	13	3	6	73.34	0		6.327247
17	166	1	0	13	0	24	13	3	6	73.34	0		6.327247
17	167	1	0	13	3	24	13	3	6	73.34	0		6.327247
17	170	3	0	0	15	21	15	3	7	166.59	1		5.637457
17	171	3	0	0	18	21	15	3	7	166.59	1		5.637457
12	116	2	0	15	12	0	8	6	8	183.43	0		18.851499
12	117	2	0	15	18	0	8	6	8	183.43	0		18.851499
12	113	1	0	15	12	8	13	3	6	73.34	0		6.327247
12	114	1	0	15	15	8	13	3	6	73.34	0		6.327247
12	115	1	0	15	18	8	13	3	6	73.34	0		6.327247
12	118	3	0	0	21	21	15	3	7	166.59	1		5.637457
12	119	3	0	15	21	8	15	3	7	166.59	1		5.637457
12	120	3	0	15	12	14	15	3	7	166.59	1		5.637457
12	121	3	0	15	15	14	15	3	7	166.59	1		5.637457
12	122	3	0	15	18	14	15	3	7	166.59	1		5.637457
2	20	2	0	26	0	0	8	6	8	183.43	0		18.851499
2	21	2	0	26	6	0	8	6	8	183.43	0		18.851499
2	22	2	0	26	0	8	8	6	8	183.43	0		18.851499
2	16	1	0	26	6	8	13	3	6	73.34	0		6.327247
2	17	1	0	26	9	8	13	3	6	73.34	0		6.327247
2	18	1	0	26	6	14	13	3	6	73.34	0		6.327247
2	19	1	0	26	9	14	13	3	6	73.34	0		6.327247
2	23	3	0	15	21	15	15	3	7	166.59	1		5.637457
2	24	3	0	15	12	21	15	3	7	166.59	1		5.637457
2	25	3	0	15	15	21	15	3	7	166.59	1		5.637457
2	26	3	0	15	18	21	15	3	7	166.59	1		5.637457
18	175	2	0	26	0	16	8	6	8	183.43	0		18.851499
18	176	2	0	26	6	20	8	6	8	183.43	0		18.851499
18	177	2	0	30	12	0	8	6	8	183.43	0		18.851499
18	178	2	0	30	18	0	8	6	8	183.43	0		18.851499
18	179	2	0	30	12	8	8	6	8	183.43	0		18.851499
18	172	1	0	26	0	24	13	3	6	73.34	0		6.327247
18	173	1	0	26	3	24	13	3	6	73.34	0		6.327247
18	174	1	0	30	18	8	13	3	6	73.34	0		6.327247
18	180	3	0	15	21	22	15	3	7	166.59	1		5.637457


-------------------------------------------------------------------------------------------------------------------
Tour_Id:			2
No_of_Customers:		7
No_of_Items:			70
Customer_Sequence:		11 14 3 20 10 16 7 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
7	68	2	0	0	0	0	8	6	8	183.43	0		18.851499
7	69	2	0	0	6	0	8	6	8	183.43	0		18.851499
7	70	2	0	0	12	0	8	6	8	183.43	0		18.851499
7	71	2	0	0	18	0	8	6	8	183.43	0		18.851499
7	65	1	0	0	0	8	13	3	6	73.34	0		6.327247
7	66	1	0	0	3	8	13	3	6	73.34	0		6.327247
7	67	1	0	0	6	8	13	3	6	73.34	0		6.327247
7	72	3	0	0	9	8	15	3	7	166.59	1		5.637457
7	73	3	0	0	12	8	15	3	7	166.59	1		5.637457
7	74	3	0	0	15	8	15	3	7	166.59	1		5.637457
16	158	2	0	0	18	8	8	6	8	183.43	0		18.851499
16	153	1	0	0	0	14	13	3	6	73.34	0		6.327247
16	154	1	0	0	3	14	13	3	6	73.34	0		6.327247
16	155	1	0	0	6	14	13	3	6	73.34	0		6.327247
16	156	1	0	0	18	16	13	3	6	73.34	0		6.327247
16	157	1	0	0	21	16	13	3	6	73.34	0		6.327247
16	159	3	0	0	9	15	15	3	7	166.59	1		5.637457
16	160	3	0	0	12	15	15	3	7	166.59	1		5.637457
16	161	3	0	0	15	15	15	3	7	166.59	1		5.637457
16	162	3	0	0	0	20	15	3	7	166.59	1		5.637457
16	163	3	0	0	3	20	15	3	7	166.59	1		5.637457
10	92	2	0	0	18	22	8	6	8	183.43	0		18.851499
10	93	2	0	8	18	22	8	6	8	183.43	0		18.851499
10	94	2	0	15	0	0	8	6	8	183.43	0		18.851499
10	95	2	0	15	6	0	8	6	8	183.43	0		18.851499
10	96	2	0	15	12	0	8	6	8	183.43	0		18.851499
10	97	2	0	13	18	0	8	6	8	183.43	0		18.851499
10	98	2	0	13	18	8	8	6	8	183.43	0		18.851499
10	99	2	0	15	0	8	8	6	8	183.43	0		18.851499
10	90	1	0	0	6	20	13	3	6	73.34	0		6.327247
10	91	1	0	13	6	8	13	3	6	73.34	0		6.327247
10	100	3	0	0	9	22	15	3	7	166.59	1		5.637457
10	101	3	0	0	12	22	15	3	7	166.59	1		5.637457
20	194	2	0	15	9	8	8	6	8	183.43	0		18.851499
20	195	2	0	15	0	16	8	6	8	183.43	0		18.851499
20	196	2	0	15	6	16	8	6	8	183.43	0		18.851499
20	193	1	0	15	15	8	13	3	6	73.34	0		6.327247
20	197	3	0	0	15	22	15	3	7	166.59	1		5.637457
20	198	3	0	15	15	14	15	3	7	166.59	1		5.637457
20	199	3	0	15	12	16	15	3	7	166.59	1		5.637457
20	200	3	0	15	15	21	15	3	7	166.59	1		5.637457
3	30	2	0	16	18	16	8	6	8	183.43	0		18.851499
3	31	2	0	21	18	0	8	6	8	183.43	0		18.851499
3	32	2	0	21	18	8	8	6	8	183.43	0		18.851499
3	27	1	0	15	0	24	13	3	6	73.34	0		6.327247
3	28	1	0	15	3	24	13	3	6	73.34	0		6.327247
3	29	1	0	13	6	24	13	3	6	73.34	0		6.327247
3	33	3	0	15	12	23	15	3	7	166.59	1		5.637457
3	34	3	0	23	0	0	15	3	7	166.59	1		5.637457
14	137	2	0	24	18	16	8	6	8	183.43	0		18.851499
14	138	2	0	26	6	0	8	6	8	183.43	0		18.851499
14	139	2	0	26	6	8	8	6	8	183.43	0		18.851499
14	140	2	0	26	6	16	8	6	8	183.43	0		18.851499
14	134	1	0	16	18	24	13	3	6	73.34	0		6.327247
14	135	1	0	16	21	24	13	3	6	73.34	0		6.327247
14	136	1	0	26	6	24	13	3	6	73.34	0		6.327247
14	141	3	0	29	18	0	15	3	7	166.59	1		5.637457
14	142	3	0	29	21	0	15	3	7	166.59	1		5.637457
14	143	3	0	29	18	7	15	3	7	166.59	1		5.637457
11	104	2	0	30	12	0	8	6	8	183.43	0		18.851499
11	105	2	0	30	12	8	8	6	8	183.43	0		18.851499
11	106	2	0	30	12	16	8	6	8	183.43	0		18.851499
11	107	2	0	38	0	0	8	6	8	183.43	0		18.851499
11	102	1	0	15	9	24	13	3	6	73.34	0		6.327247
11	103	1	0	28	0	8	13	3	6	73.34	0		6.327247
11	108	3	0	28	3	8	15	3	7	166.59	1		5.637457
11	109	3	0	28	0	14	15	3	7	166.59	1		5.637457
11	110	3	0	28	3	15	15	3	7	166.59	1		5.637457
11	111	3	0	28	0	21	15	3	7	166.59	1		5.637457
11	112	3	0	28	3	22	15	3	7	166.59	1		5.637457


-------------------------------------------------------------------------------------------------------------------
Tour_Id:			3
No_of_Customers:		6
No_of_Items:			63
Customer_Sequence:		5 8 19 1 15 6 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
6	62	2	0	0	0	0	8	6	8	183.43	0		18.851499
6	58	1	0	0	6	0	13	3	6	73.34	0		6.327247
6	59	1	0	0	9	0	13	3	6	73.34	0		6.327247
6	60	1	0	0	12	0	13	3	6	73.34	0		6.327247
6	61	1	0	0	15	0	13	3	6	73.34	0		6.327247
6	63	3	0	0	18	0	15	3	7	166.59	1		5.637457
6	64	3	0	0	21	0	15	3	7	166.59	1		5.637457
15	146	2	0	0	6	6	8	6	8	183.43	0		18.851499
15	147	2	0	0	12	6	8	6	8	183.43	0		18.851499
15	148	2	0	0	0	8	8	6	8	183.43	0		18.851499
15	144	1	0	0	6	14	13	3	6	73.34	0		6.327247
15	145	1	0	0	9	14	13	3	6	73.34	0		6.327247
15	149	3	0	0	18	7	15	3	7	166.59	1		5.637457
15	150	3	0	0	21	7	15	3	7	166.59	1		5.637457
15	151	3	0	0	12	14	15	3	7	166.59	1		5.637457
15	152	3	0	0	15	14	15	3	7	166.59	1		5.637457
1	9	2	0	0	0	16	8	6	8	183.43	0		18.851499
1	10	2	0	0	6	20	8	6	8	183.43	0		18.851499
1	11	2	0	8	0	0	8	6	8	183.43	0		18.851499
1	1	1	0	0	0	24	13	3	6	73.34	0		6.327247
1	2	1	0	0	3	24	13	3	6	73.34	0		6.327247
1	3	1	0	8	0	8	13	3	6	73.34	0		6.327247
1	4	1	0	8	3	8	13	3	6	73.34	0		6.327247
1	5	1	0	8	0	14	13	3	6	73.34	0		6.327247
1	6	1	0	8	3	14	13	3	6	73.34	0		6.327247
1	7	1	0	8	6	20	13	3	6	73.34	0		6.327247
1	8	1	0	8	9	20	13	3	6	73.34	0		6.327247
1	12	3	0	0	18	14	15	3	7	166.59	1		5.637457
1	13	3	0	0	21	14	15	3	7	166.59	1		5.637457
1	14	3	0	0	12	21	15	3	7	166.59	1		5.637457
1	15	3	0	0	15	21	15	3	7	166.59	1		5.637457
19	183	2	0	15	12	0	8	6	8	183.43	0		18.851499
19	184	2	0	15	18	0	8	6	8	183.43	0		18.851499
19	185	2	0	15	12	8	8	6	8	183.43	0		18.851499
19	181	1	0	13	0	20	13	3	6	73.34	0		6.327247
19	182	1	0	13	3	20	13	3	6	73.34	0		6.327247
19	186	3	0	0	18	21	15	3	7	166.59	1		5.637457
19	187	3	0	0	21	21	15	3	7	166.59	1		5.637457
19	188	3	0	15	18	8	15	3	7	166.59	1		5.637457
19	189	3	0	15	21	8	15	3	7	166.59	1		5.637457
19	190	3	0	15	18	15	15	3	7	166.59	1		5.637457
19	191	3	0	15	21	15	15	3	7	166.59	1		5.637457
19	192	3	0	15	12	16	15	3	7	166.59	1		5.637457
8	78	2	0	21	6	0	8	6	8	183.43	0		18.851499
8	79	2	0	21	6	8	8	6	8	183.43	0		18.851499
8	75	1	0	15	15	16	13	3	6	73.34	0		6.327247
8	76	1	0	15	15	22	13	3	6	73.34	0		6.327247
8	77	1	0	21	6	16	13	3	6	73.34	0		6.327247
8	80	3	0	15	18	22	15	3	7	166.59	1		5.637457
8	81	3	0	15	21	22	15	3	7	166.59	1		5.637457
8	82	3	0	15	12	23	15	3	7	166.59	1		5.637457
5	50	2	0	21	6	22	8	6	8	183.43	0		18.851499
5	51	2	0	26	0	0	8	6	8	183.43	0		18.851499
5	52	2	0	26	0	8	8	6	8	183.43	0		18.851499
5	46	1	0	21	9	16	13	3	6	73.34	0		6.327247
5	47	1	0	26	0	16	13	3	6	73.34	0		6.327247
5	48	1	0	26	3	16	13	3	6	73.34	0		6.327247
5	49	1	0	26	0	22	13	3	6	73.34	0		6.327247
5	53	3	0	26	3	22	15	3	7	166.59	1		5.637457
5	54	3	0	28	15	0	15	3	7	166.59	1		5.637457
5	55	3	0	28	15	7	15	3	7	166.59	1		5.637457
5	56	3	0	28	15	14	15	3	7	166.59	1		5.637457
5	57	3	0	28	15	21	15	3	7	166.59	1		5.637457


