Name:				055_n020_m200_bt10
Problem:			3L-VRPTW
Number_of_used_Vehicles:	2
Total_Travel_Distance:		387.57
Calculation_Time:		3600.00
Total_Iterations:		1217
ConstraintSet:			P19

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		11
No_of_Items:			116
Customer_Sequence:		1 12 11 4 13 3 9 16 20 2 14 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
2	22	9	0	0	0	0	8	6	8	98.85	0		7.326144
14	141	10	0	0	6	0	16	6	4	214.04	0		36.110254
14	139	9	0	0	12	0	8	6	8	98.85	0		7.326144
14	134	1	0	0	18	0	10	7	4	30.26	0		1.787482
14	135	1	0	0	18	4	10	7	4	30.26	0		1.787482
14	136	4	0	0	6	4	15	4	3	22.72	0		16.663236
14	137	4	0	0	6	7	15	4	3	22.72	0		16.663236
14	138	6	0	0	10	8	16	3	7	178.98	1		2.797987
2	21	9	0	0	0	8	8	6	8	98.85	0		7.326144
14	140	10	0	0	13	8	16	6	4	214.04	0		36.110254
2	20	8	0	0	19	8	11	4	7	177.94	0		7.664851
2	12	1	0	0	0	16	10	7	4	30.26	0		1.787482
2	13	1	0	0	0	20	10	7	4	30.26	0		1.787482
2	14	1	0	0	0	24	10	7	4	30.26	0		1.787482
2	19	7	0	0	13	12	7	6	6	27.23	0		7.872722
2	16	4	0	0	6	10	15	4	3	22.72	0		16.663236
2	17	4	0	0	6	13	15	4	3	22.72	0		16.663236
2	18	5	0	0	19	15	11	5	3	18.34	0		2.600766
2	15	3	0	0	10	15	12	3	5	40.88	1		2.461596
20	200	10	0	0	13	18	16	6	4	214.04	0		36.110254
20	198	7	0	0	19	18	7	6	6	27.23	0		7.872722
20	199	7	0	0	13	22	7	6	6	27.23	0		7.872722
20	193	4	0	0	19	24	15	4	3	22.72	0		16.663236
20	194	5	0	7	13	12	11	5	3	18.34	0		2.600766
20	195	6	0	0	7	16	16	3	7	178.98	1		2.797987
