Name:				352_n020_m400_bt10
Problem:			3L-VRPTW
Number_of_used_Vehicles:	5
Total_Travel_Distance:		459.89
Calculation_Time:		3600.00
Total_Iterations:		290
ConstraintSet:			P19

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		4
No_of_Items:			80
Customer_Sequence:		4 7 19 12 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
12	214	6	0	0	0	0	16	5	8	52.07	0		2.176094
12	209	2	0	0	5	0	13	6	7	60.03	0		5.086169
12	220	8	0	0	11	0	17	7	4	57.89	0		3.466435
12	219	8	0	0	18	0	17	7	4	57.89	0		3.466435
12	218	8	0	0	11	4	17	7	4	57.89	0		3.466435
12	217	8	0	0	18	4	17	7	4	57.89	0		3.466435
12	208	1	0	0	5	7	15	3	7	27.94	0		2.504386
12	207	1	0	0	8	7	15	3	7	27.94	0		2.504386
12	215	7	0	0	11	8	6	6	7	43.90	0		11.242106
12	216	7	0	0	17	8	6	6	7	43.90	0		11.242106
12	210	3	0	0	0	8	13	3	5	22.75	0		5.543580
12	213	5	0	0	0	13	9	5	4	14.48	0		2.232111
12	225	10	0	0	23	8	6	2	6	12.01	0		5.612750
12	226	10	0	0	5	14	6	2	6	12.01	0		5.612750
12	227	10	0	0	7	14	6	2	6	12.01	0		5.612750
12	212	4	0	0	9	15	14	7	8	78.38	1		0.771859
12	211	4	0	0	16	15	14	7	8	78.38	1		0.771859
12	221	9	0	0	0	17	15	4	7	47.06	1		1.910406
12	222	9	0	0	4	20	15	4	7	47.06	1		1.910406
12	223	9	0	0	8	23	15	4	7	47.06	1		1.910406
12	224	9	0	0	12	23	15	4	7	47.06	1		1.910406
19	365	6	0	14	16	8	16	5	8	52.07	0		2.176094
19	366	6	0	14	16	16	16	5	8	52.07	0		2.176094
19	358	2	0	15	5	0	13	6	7	60.03	0		5.086169
19	373	8	0	0	16	24	17	7	4	57.89	0		3.466435
19	372	8	0	17	11	0	17	7	4	57.89	0		3.466435
19	371	8	0	17	18	0	17	7	4	57.89	0		3.466435
19	357	1	0	14	21	8	15	3	7	27.94	0		2.504386
19	367	7	0	15	5	7	6	6	7	43.90	0		11.242106
19	370	7	0	15	0	14	6	6	7	43.90	0		11.242106
19	369	7	0	15	6	14	6	6	7	43.90	0		11.242106
19	368	7	0	15	0	21	6	6	7	43.90	0		11.242106
19	359	3	0	14	21	15	13	3	5	22.75	0		5.543580
19	364	5	0	15	6	21	9	5	4	14.48	0		2.232111
7	120	7	0	21	0	7	6	6	7	43.90	0		11.242106
19	362	5	0	15	11	21	9	5	4	14.48	0		2.232111
19	361	5	0	15	6	25	9	5	4	14.48	0		2.232111
19	374	10	0	0	23	14	6	2	6	12.01	0		5.612750
19	375	10	0	0	23	20	6	2	6	12.01	0		5.612750
19	376	10	0	6	23	8	6	2	6	12.01	0		5.612750
19	360	4	0	21	6	7	14	7	8	78.38	1		0.771859
7	118	6	0	21	0	14	16	5	8	52.07	0		2.176094
7	117	6	0	21	0	22	16	5	8	52.07	0		2.176094
7	116	6	0	30	13	4	16	5	8	52.07	0		2.176094
7	109	2	0	30	18	4	13	6	7	60.03	0		5.086169
7	110	2	0	30	13	12	13	6	7	60.03	0		5.086169
7	122	8	0	17	16	24	17	7	4	57.89	0		3.466435
7	121	8	0	30	13	19	17	7	4	57.89	0		3.466435
7	108	1	0	27	0	0	15	3	7	27.94	0		2.504386
7	107	1	0	27	0	7	15	3	7	27.94	0		2.504386
7	119	7	0	30	19	11	6	6	7	43.90	0		11.242106
19	363	5	0	15	11	25	9	5	4	14.48	0		2.232111
7	115	5	0	24	11	23	9	5	4	14.48	0		2.232111
7	114	5	0	30	20	18	9	5	4	14.48	0		2.232111
7	126	10	0	21	0	0	6	2	6	12.01	0		5.612750
7	127	10	0	21	2	0	6	2	6	12.01	0		5.612750
7	128	10	0	27	3	0	6	2	6	12.01	0		5.612750
7	129	10	0	27	3	6	6	2	6	12.01	0		5.612750
7	113	4	0	35	3	0	14	7	8	78.38	1		0.771859
7	112	4	0	37	0	14	14	7	8	78.38	1		0.771859
7	111	4	0	37	0	22	14	7	8	78.38	1		0.771859
7	123	9	0	24	7	15	15	4	7	47.06	1		1.910406
7	124	9	0	24	7	22	15	4	7	47.06	1		1.910406
7	125	9	0	33	11	23	15	4	7	47.06	1		1.910406
4	56	2	1	48	10	0	13	6	7	60.03	0		5.086169
4	55	1	0	39	20	11	15	3	7	27.94	0		2.504386
4	61	7	0	48	10	7	6	6	7	43.90	0		11.242106
4	62	7	0	48	7	14	6	6	7	43.90	0		11.242106
4	63	7	0	48	13	14	6	6	7	43.90	0		11.242106
4	64	7	0	48	7	21	6	6	7	43.90	0		11.242106
4	65	7	0	48	13	21	6	6	7	43.90	0		11.242106
4	57	3	0	34	15	23	13	3	5	22.75	0		5.543580
4	58	3	0	34	18	23	13	3	5	22.75	0		5.543580
4	59	5	0	39	20	18	9	5	4	14.48	0		2.232111
4	60	5	0	47	16	7	9	5	4	14.48	0		2.232111
4	69	10	0	34	21	22	6	2	6	12.01	0		5.612750
4	70	10	0	34	23	22	6	2	6	12.01	0		5.612750
4	66	9	0	40	21	22	15	4	7	47.06	1		1.910406
4	67	9	1	54	0	0	15	4	7	47.06	1		1.910406
4	68	9	1	54	0	7	15	4	7	47.06	1		1.910406


-------------------------------------------------------------------------------------------------------------------
Tour_Id:			2
No_of_Customers:		4
No_of_Items:			75
Customer_Sequence:		13 16 3 8 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
3	54	10	0	0	0	0	6	2	6	12.01	0		5.612750
8	131	2	0	0	2	0	13	6	7	60.03	0		5.086169
8	130	2	0	0	8	0	13	6	7	60.03	0		5.086169
8	138	8	0	0	14	0	17	7	4	57.89	0		3.466435
8	139	8	0	0	14	4	17	7	4	57.89	0		3.466435
8	135	7	0	0	2	7	6	6	7	43.90	0		11.242106
8	146	10	0	0	21	0	6	2	6	12.01	0		5.612750
8	137	7	0	0	8	7	6	6	7	43.90	0		11.242106
8	145	10	0	0	23	0	6	2	6	12.01	0		5.612750
16	302	4	0	0	14	8	14	7	8	78.38	1		0.771859
8	133	4	0	0	2	14	14	7	8	78.38	1		0.771859
8	132	4	0	0	2	22	14	7	8	78.38	1		0.771859
8	140	9	0	0	21	6	15	4	7	47.06	1		1.910406
8	141	9	0	0	21	13	15	4	7	47.06	1		1.910406
8	142	9	0	0	9	14	15	4	7	47.06	1		1.910406
8	143	9	0	0	21	20	15	4	7	47.06	1		1.910406
8	144	9	0	0	9	21	15	4	7	47.06	1		1.910406
3	47	6	0	14	0	0	16	5	8	52.07	0		2.176094
3	51	8	0	14	0	8	17	7	4	57.89	0		3.466435
3	52	8	0	14	0	12	17	7	4	57.89	0		3.466435
3	41	1	0	14	5	0	15	3	7	27.94	0		2.504386
3	42	1	0	14	0	16	15	3	7	27.94	0		2.504386
16	298	3	0	14	13	8	13	3	5	22.75	0		5.543580
3	49	7	0	14	3	16	6	6	7	43.90	0		11.242106
3	50	7	0	14	0	23	6	6	7	43.90	0		11.242106
16	293	1	0	14	16	8	15	3	7	27.94	0		2.504386
3	46	5	0	15	8	0	9	5	4	14.48	0		2.232111
8	134	6	0	17	13	0	16	5	8	52.07	0		2.176094
3	44	4	0	20	3	16	14	7	8	78.38	1		0.771859
16	294	1	0	14	13	13	15	3	7	27.94	0		2.504386
3	53	9	0	15	8	4	15	4	7	47.06	1		1.910406
16	306	6	0	14	16	15	16	5	8	52.07	0		2.176094
16	307	6	0	17	18	0	16	5	8	52.07	0		2.176094
16	310	8	0	29	12	8	17	7	4	57.89	0		3.466435
16	309	8	0	30	10	12	17	7	4	57.89	0		3.466435
3	45	4	0	31	0	0	14	7	8	78.38	1		0.771859
16	295	1	0	14	13	20	15	3	7	27.94	0		2.504386
16	296	1	0	14	16	23	15	3	7	27.94	0		2.504386
3	43	3	0	20	0	23	13	3	5	22.75	0		5.543580
16	308	7	0	15	19	8	6	6	7	43.90	0		11.242106
16	297	3	0	15	21	15	13	3	5	22.75	0		5.543580
3	48	7	0	30	7	0	6	6	7	43.90	0		11.242106
16	299	3	0	15	21	20	13	3	5	22.75	0		5.543580
16	305	5	0	21	19	8	9	5	4	14.48	0		2.232111
16	315	10	0	14	19	23	6	2	6	12.01	0		5.612750
16	314	10	0	15	23	0	6	2	6	12.01	0		5.612750
16	304	4	0	0	13	16	14	7	8	78.38	1		0.771859
16	303	4	0	30	17	12	14	7	8	78.38	1		0.771859
8	136	7	0	6	0	7	6	6	7	43.90	0		11.242106
16	301	4	0	30	10	16	14	7	8	78.38	1		0.771859
16	300	4	0	30	17	20	14	7	8	78.38	1		0.771859
16	311	9	0	33	13	0	15	4	7	47.06	1		1.910406
16	312	9	0	33	17	0	15	4	7	47.06	1		1.910406
16	313	9	0	33	21	0	15	4	7	47.06	1		1.910406
13	239	6	0	44	10	16	16	5	8	52.07	0		2.176094
13	229	2	0	45	0	0	13	6	7	60.03	0		5.086169
13	230	2	0	45	0	7	13	6	7	60.03	0		5.086169
13	244	8	0	34	0	14	17	7	4	57.89	0		3.466435
13	228	1	0	33	0	18	15	3	7	27.94	0		2.504386
13	243	7	0	44	17	12	6	6	7	43.90	0		11.242106
13	242	7	0	44	15	19	6	6	7	43.90	0		11.242106
13	241	7	0	47	6	0	6	6	7	43.90	0		11.242106
13	240	7	0	47	6	7	6	6	7	43.90	0		11.242106
13	231	3	0	33	0	25	13	3	5	22.75	0		5.543580
13	232	3	0	34	7	7	13	3	5	22.75	0		5.543580
13	238	5	0	34	3	18	9	5	4	14.48	0		2.232111
13	237	5	0	34	3	22	9	5	4	14.48	0		2.232111
13	248	10	0	34	7	12	6	2	6	12.01	0		5.612750
13	235	5	0	34	3	26	9	5	4	14.48	0		2.232111
13	247	10	0	34	8	18	6	2	6	12.01	0		5.612750
13	236	5	0	43	3	18	9	5	4	14.48	0		2.232111
13	234	4	0	43	3	22	14	7	8	78.38	1		0.771859
13	233	4	1	53	6	0	14	7	8	78.38	1		0.771859
13	245	9	0	44	21	19	15	4	7	47.06	1		1.910406
13	246	9	1	53	6	8	15	4	7	47.06	1		1.910406


-------------------------------------------------------------------------------------------------------------------
Tour_Id:			3
No_of_Customers:		4
No_of_Items:			78
Customer_Sequence:		5 1 17 11 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
11	189	2	0	0	0	0	13	6	7	60.03	0		5.086169
11	188	2	0	0	6	0	13	6	7	60.03	0		5.086169
11	203	8	0	0	12	0	17	7	4	57.89	0		3.466435
11	202	8	0	0	12	4	17	7	4	57.89	0		3.466435
11	201	8	0	0	0	7	17	7	4	57.89	0		3.466435
11	200	8	0	0	7	8	17	7	4	57.89	0		3.466435
11	199	7	0	0	19	0	6	6	7	43.90	0		11.242106
11	190	3	0	0	19	7	13	3	5	22.75	0		5.543580
11	191	3	0	0	22	7	13	3	5	22.75	0		5.543580
11	197	5	0	0	14	8	9	5	4	14.48	0		2.232111
11	198	5	0	0	0	11	9	5	4	14.48	0		2.232111
11	196	5	0	0	5	12	9	5	4	14.48	0		2.232111
11	195	5	0	0	10	12	9	5	4	14.48	0		2.232111
11	194	5	0	0	15	12	9	5	4	14.48	0		2.232111
11	193	5	0	0	20	12	9	5	4	14.48	0		2.232111
11	205	10	0	0	0	15	6	2	6	12.01	0		5.612750
11	206	10	0	0	2	15	6	2	6	12.01	0		5.612750
11	192	4	0	0	4	16	14	7	8	78.38	1		0.771859
11	204	9	0	0	11	16	15	4	7	47.06	1		1.910406
17	318	2	0	0	15	16	13	6	7	60.03	0		5.086169
17	332	8	0	0	15	23	17	7	4	57.89	0		3.466435
17	331	8	0	9	15	12	17	7	4	57.89	0		3.466435
17	330	8	0	13	15	16	17	7	4	57.89	0		3.466435
17	329	8	0	14	0	11	17	7	4	57.89	0		3.466435
17	328	8	0	14	0	15	17	7	4	57.89	0		3.466435
17	317	1	0	0	0	21	15	3	7	27.94	0		2.504386
17	316	1	0	0	22	16	15	3	7	27.94	0		2.504386
17	325	7	0	15	0	19	6	6	7	43.90	0		11.242106
17	327	7	0	15	6	19	6	6	7	43.90	0		11.242106
17	326	7	0	17	0	0	6	6	7	43.90	0		11.242106
17	324	7	0	17	6	0	6	6	7	43.90	0		11.242106
17	320	3	0	0	22	23	13	3	5	22.75	0		5.543580
17	319	3	0	13	19	0	13	3	5	22.75	0		5.543580
17	323	5	0	13	19	5	9	5	4	14.48	0		2.232111
17	322	5	0	15	0	26	9	5	4	14.48	0		2.232111
17	334	10	0	6	0	15	6	2	6	12.01	0		5.612750
17	321	4	0	17	12	0	14	7	8	78.38	1		0.771859
