Name:				357_n020_m400_bt100
Problem:			3L-VRPTW
Number_of_used_Vehicles:	4
Total_Travel_Distance:		444.73
Calculation_Time:		3600.0
Total_Iterations:		326
ConstraintSet:			P19

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		5
No_of_Items:			96
Customer_Sequence:		5 3 1 14 4 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
4	80	85	0	0	0	0	15	7	7	40.70	0		4.939250
4	79	85	0	0	7	0	15	7	7	40.70	0		4.939250
4	69	31	0	0	14	0	9	7	8	34.93	0		2.802535
4	72	50	0	0	0	7	11	5	8	48.59	0		4.572978
4	81	100	0	0	21	0	13	4	8	32.89	0		11.650407
4	66	16	0	0	5	7	16	4	6	19.46	0		1.138024
4	76	62	0	0	9	7	16	3	7	34.05	0		4.615543
4	78	74	0	0	12	8	11	6	5	40.52	0		10.883508
4	68	29	0	0	18	8	10	6	4	15.86	0		2.987935
4	65	3	0	0	18	12	8	5	4	8.24	0		2.086155
4	64	3	0	0	12	13	8	5	4	8.24	0		2.086155
4	77	73	0	0	0	15	10	5	3	5.29	0		1.012654
4	70	32	0	0	23	12	16	2	4	14.42	0		2.824554
4	74	52	0	0	5	13	7	4	4	4.93	0		3.846125
4	75	52	0	0	17	16	7	4	4	4.93	0		3.846125
4	73	52	0	0	21	16	7	4	4	4.93	0		3.846125
4	67	19	0	0	9	14	17	2	3	12.62	0		8.688309
4	71	34	0	0	5	17	10	4	5	12.80	1		1.040794
14	272	43	0	0	9	17	12	5	7	36.91	0		7.830513
14	270	42	0	0	0	18	17	4	6	41.37	0		2.838283
14	271	42	0	0	14	20	17	4	6	41.37	0		2.838283
14	266	16	0	0	18	20	16	4	6	19.46	0		1.138024
14	284	95	0	8	18	12	11	4	8	36.03	0		1.797115
14	279	78	0	0	0	24	14	5	5	46.59	0		3.845289
14	280	81	0	0	22	20	13	3	8	15.32	0		1.918962
14	275	53	0	0	5	24	7	6	4	17.88	0		4.363958
14	274	48	0	7	5	24	6	5	5	10.56	0		3.321895
14	268	21	0	0	11	26	6	6	4	18.11	0		3.190178
14	283	94	0	11	0	7	6	3	8	11.14	0		14.546900
14	276	68	0	0	17	26	8	4	4	11.56	0		5.470030
14	281	86	0	6	11	26	10	4	3	12.44	0		6.394970
14	267	19	0	0	14	17	17	2	3	12.62	0		8.688309
14	269	27	0	6	15	26	8	2	4	7.69	0		5.096130
14	273	45	0	11	12	7	12	6	5	41.91	1		2.479720
14	278	77	0	11	3	7	16	2	7	25.36	1		2.158499
14	282	89	0	8	12	13	6	6	3	5.94	1		0.408159
14	277	69	0	10	5	13	6	3	5	11.35	1		1.167336
1	5	44	0	16	18	20	13	7	8	42.34	0		3.203151
1	3	18	0	19	18	0	15	5	7	21.32	0		1.683354
1	7	50	0	19	18	7	11	5	8	48.59	0		4.572978
1	4	41	0	16	5	0	15	4	7	56.42	0		26.820734
1	14	81	0	16	5	7	13	3	8	15.32	0		1.918962
1	13	81	0	16	4	15	13	3	8	15.32	0		1.918962
1	15	84	0	13	5	23	17	4	4	24.47	0		3.189044
1	12	80	0	14	0	24	9	5	6	29.47	0		4.182087
1	1	4	0	16	23	0	14	2	8	16.97	0		2.461046
1	17	88	0	13	9	17	14	2	7	25.08	0		3.867374
1	11	73	0	13	5	27	10	5	3	5.29	0		1.012654
1	2	14	0	17	0	0	10	3	5	18.36	0		5.293078
5	88	43	0	23	11	0	12	5	7	36.91	0		7.830513
1	10	70	0	16	23	8	15	2	4	14.34	0		5.186404
1	16	86	0	19	16	15	10	4	3	12.44	0		6.394970
1	6	45	0	29	5	7	12	6	5	41.91	1		2.479720
1	9	69	0	17	0	5	6	3	5	11.35	1		1.167336
3	45	18	0	30	16	7	15	5	7	21.32	0		1.683354
3	53	43	0	30	16	14	12	5	7	36.91	0		7.830513
3	63	100	0	27	0	0	13	4	8	32.89	0		11.650407
3	52	42	0	27	0	8	17	4	6	41.37	0		2.838283
3	57	62	0	23	0	14	16	3	7	34.05	0		4.615543
3	48	28	0	29	16	21	9	5	7	25.44	0		4.502157
3	49	28	0	34	16	0	9	5	7	25.44	0		4.502157
3	62	99	0	23	0	23	9	5	6	11.80	0		9.052821
3	55	57	0	32	0	21	12	5	4	8.85	0		4.201776
3	41	4	0	30	21	7	14	2	8	16.97	0		2.461046
3	54	46	0	32	0	25	9	5	4	14.51	0		3.042735
3	40	3	0	38	16	21	8	5	4	8.24	0		2.086155
3	39	3	0	38	16	25	8	5	4	8.24	0		2.086155
3	59	73	0	23	5	27	10	5	3	5.29	0		1.012654
3	43	14	0	29	21	15	10	3	5	18.36	0		5.293078
3	44	17	0	29	21	20	9	4	3	7.62	0		4.948564
3	46	19	0	29	21	23	17	2	3	12.62	0		8.688309
3	47	27	0	14	15	26	8	2	4	7.69	0		5.096130
3	60	83	0	41	4	0	11	7	8	46.46	1		0.822464
3	58	72	0	39	0	14	14	6	6	63.64	1		1.175304
3	56	59	0	29	21	26	13	4	4	19.74	1		3.738978
3	50	34	0	34	21	0	10	4	5	12.80	1		1.040794
3	61	89	0	30	4	12	6	6	3	5.94	1		0.408159
3	42	11	0	27	9	15	16	2	3	9.89	1		2.021236
3	51	38	0	30	3	15	8	4	3	5.51	1		0.664551
5	89	44	0	46	11	0	13	7	8	42.34	0		3.203151
5	95	90	0	23	11	7	13	5	8	47.40	0		2.479982
1	8	68	0	8	17	26	8	4	4	11.56	0		5.470030
5	98	100	0	17	11	15	13	4	8	32.89	0		11.650407
5	87	42	0	17	11	23	17	4	6	41.37	0		2.838283
5	97	98	0	30	11	15	13	4	7	42.14	0		6.048009
5	96	95	0	43	11	8	11	4	8	36.03	0		1.797115
5	91	78	0	34	11	22	14	5	5	46.59	0		3.845289
5	94	87	0	46	18	0	12	4	7	39.72	0		4.806456
5	92	81	0	46	22	0	13	3	8	15.32	0		1.918962
5	93	84	0	41	0	25	17	4	4	24.47	0		3.189044
5	83	4	0	46	18	7	14	2	8	16.97	0		2.461046
5	86	17	0	34	11	27	9	4	3	7.62	0		4.948564
5	84	6	0	35	11	0	9	4	3	8.53	0		1.483724
5	82	1	0	35	11	3	8	2	4	6.43	0		3.566024
5	85	8	0	35	13	3	8	2	3	5.19	0		2.209568
5	90	59	0	42	21	26	13	4	4	19.74	1		3.738978


-------------------------------------------------------------------------------------------------------------------
Tour_Id:			2
No_of_Customers:		5
No_of_Items:			103
Customer_Sequence:		18 13 7 9 12 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
12	230	44	0	0	0	0	13	7	8	42.34	0		3.203151
12	238	82	0	0	7	0	11	6	8	22.95	0		1.308436
12	237	82	0	0	13	0	11	6	8	22.95	0		1.308436
12	239	90	0	0	19	0	13	5	8	47.40	0		2.479982
12	229	37	0	0	0	8	17	5	6	18.52	0		8.451092
12	236	74	0	0	5	8	11	6	5	40.52	0		10.883508
12	233	61	0	0	11	8	13	6	4	12.59	0		1.677572
12	222	13	0	0	17	8	15	4	5	18.36	0		2.980124
12	227	33	0	0	11	12	8	5	7	35.98	0		3.965113
12	241	99	0	0	5	13	9	5	6	11.80	0		9.052821
12	240	99	0	0	16	13	9	5	6	11.80	0		9.052821
7	130	82	0	0	0	19	11	6	8	22.95	0		1.308436
12	234	66	0	0	21	8	17	2	7	25.15	0		2.188119
12	220	4	0	0	23	8	14	2	8	16.97	0		2.461046
12	231	53	0	0	6	19	7	6	4	17.88	0		4.363958
