Name:				474_n060_m400_bt10
Problem:			3L-VRPTW
Number_of_used_Vehicles:	6
Total_Travel_Distance:		746.06
Calculation_Time:		3600.00
Total_Iterations:		136
ConstraintSet:			P19

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		12
No_of_Items:			82
Customer_Sequence:		42 52 2 54 15 28 34 39 3 23 56 6 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
6	32	4	0	0	0	0	16	7	8	100.81	0		2.871753
6	37	9	0	0	7	0	13	5	6	211.96	0		13.990899
6	35	7	0	0	12	0	15	5	4	156.40	0		45.418045
6	36	7	0	0	17	0	15	5	4	156.40	0		45.418045
6	38	10	0	0	12	4	8	6	6	114.84	0		13.398369
6	39	10	0	0	18	4	8	6	6	114.84	0		13.398369
6	31	2	0	0	0	8	15	6	3	91.01	0		12.128210
6	33	5	0	0	7	6	7	4	6	98.18	0		17.275385
6	34	5	0	0	11	10	7	4	6	98.18	0		17.275385
56	371	7	0	0	15	10	15	5	4	156.40	0		45.418045
56	372	7	0	0	20	10	15	5	4	156.40	0		45.418045
56	370	5	0	0	0	11	7	4	6	98.18	0		17.275385
56	373	8	0	0	4	11	11	3	8	96.73	1		8.764907
23	153	9	0	0	15	14	13	5	6	211.96	0		13.990899
23	151	7	0	0	20	14	15	5	4	156.40	0		45.418045
23	148	2	0	0	15	20	15	6	3	91.01	0		12.128210
23	149	2	0	0	15	23	15	6	3	91.01	0		12.128210
23	150	5	0	0	7	12	7	4	6	98.18	0		17.275385
23	146	1	0	0	7	18	17	7	3	71.69	1		1.078641
23	147	1	0	0	0	19	17	7	3	71.69	1		1.078641
23	152	8	0	0	21	18	11	3	8	96.73	1		8.764907
3	15	4	0	15	14	0	16	7	8	100.81	0		2.871753
3	16	4	0	15	14	8	16	7	8	100.81	0		2.871753
3	20	9	0	15	14	16	13	5	6	211.96	0		13.990899
3	19	7	0	0	15	26	15	5	4	156.40	0		45.418045
3	21	10	0	15	19	16	8	6	6	114.84	0		13.398369
3	18	6	0	15	21	0	15	2	8	106.83	0		20.157251
34	221	1	0	0	7	21	17	7	3	71.69	1		1.078641
3	17	5	0	15	21	8	7	4	6	98.18	0		17.275385
3	13	1	0	0	0	22	17	7	3	71.69	1		1.078641
39	262	9	0	15	14	22	13	5	6	211.96	0		13.990899
39	261	5	0	15	19	22	7	4	6	98.18	0		17.275385
39	259	1	0	0	0	25	17	7	3	71.69	1		1.078641
39	260	1	0	17	0	0	17	7	3	71.69	1		1.078641
34	224	4	0	17	7	0	16	7	8	100.81	0		2.871753
34	226	9	0	17	7	8	13	5	6	211.96	0		13.990899
34	227	9	0	17	7	14	13	5	6	211.96	0		13.990899
34	222	2	0	17	7	20	15	6	3	91.01	0		12.128210
34	223	2	0	17	7	23	15	6	3	91.01	0		12.128210
54	356	1	0	17	0	3	17	7	3	71.69	1		1.078641
3	14	3	0	22	21	8	10	3	7	87.97	0		17.885289
28	190	10	0	22	19	22	8	6	6	114.84	0		13.398369
28	186	2	0	17	7	26	15	6	3	91.01	0		12.128210
28	187	3	0	28	13	16	10	3	7	87.97	0		17.885289
28	188	8	0	28	16	16	11	3	8	96.73	1		8.764907
28	189	8	0	31	14	0	11	3	8	96.73	1		8.764907
15	92	4	0	38	7	0	16	7	8	100.81	0		2.871753
15	93	4	0	38	7	8	16	7	8	100.81	0		2.871753
15	99	9	0	32	7	16	13	5	6	211.96	0		13.990899
15	100	9	0	32	7	22	13	5	6	211.96	0		13.990899
15	96	7	0	42	14	0	15	5	4	156.40	0		45.418045
15	94	5	0	32	19	0	7	4	6	98.18	0		17.275385
15	95	5	0	32	19	6	7	4	6	98.18	0		17.275385
54	355	1	0	17	0	6	17	7	3	71.69	1		1.078641
15	98	8	0	32	19	12	11	3	8	96.73	1		8.764907
54	361	9	0	34	0	0	13	5	6	211.96	0		13.990899
54	358	1	0	17	0	9	17	7	3	71.69	1		1.078641
54	359	7	0	34	0	6	15	5	4	156.40	0		45.418045
15	97	8	0	30	19	20	11	3	8	96.73	1		8.764907
34	225	6	0	17	12	8	15	2	8	106.83	0		20.157251
54	357	1	0	17	0	12	17	7	3	71.69	1		1.078641
54	362	9	0	34	0	10	13	5	6	211.96	0		13.990899
54	360	8	0	17	0	15	11	3	8	96.73	1		8.764907
2	9	4	0	28	0	16	16	7	8	100.81	0		2.871753
2	11	9	0	17	0	24	13	5	6	211.96	0		13.990899
2	12	10	0	30	0	24	8	6	6	114.84	0		13.398369
2	10	6	0	30	22	15	15	2	8	106.83	0		20.157251
