Name:				310_n020_m400_bt10
Problem:			3L-VRPTW
Number_of_used_Vehicles:	6
Total_Travel_Distance:		540.84
Calculation_Time:		4.90
Total_Iterations:		7981
ConstraintSet:			P20

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		5
No_of_Items:			101
Customer_Sequence:		2 10 13 7 9 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
9	162	3	0	0	0	0	16	7	6	107.41	0		8.055076
9	176	10	0	0	7	0	13	4	7	145.06	0		13.239944
9	170	7	0	0	11	0	14	4	7	65.17	0		5.835611
9	171	7	0	0	15	0	14	4	7	65.17	0		5.835611
9	168	6	0	0	19	0	13	5	6	83.33	0		4.126139
9	169	6	0	0	0	6	13	5	6	83.33	0		4.126139
9	163	3	0	0	7	7	16	7	6	107.41	0		8.055076
9	177	10	0	0	19	6	13	4	7	145.06	0		13.239944
9	175	9	0	0	14	7	9	5	4	41.03	0		10.336386
9	165	5	0	0	14	11	6	5	5	24.76	0		4.175824
9	166	5	0	0	0	12	6	5	5	24.76	0		4.175824
9	167	5	0	0	7	13	6	5	5	24.76	0		4.175824
9	172	8	0	6	0	12	7	6	3	20.40	0		15.571704
9	173	8	0	6	6	13	7	6	3	20.40	0		15.571704
9	174	8	0	6	0	15	7	6	3	20.40	0		15.571704
9	164	4	0	0	5	6	6	2	7	17.23	1		1.545034
7	125	3	0	14	14	0	16	7	6	107.41	0		8.055076
7	126	3	0	14	14	6	16	7	6	107.41	0		8.055076
7	127	3	0	13	14	12	16	7	6	107.41	0		8.055076
7	132	7	0	13	21	0	14	4	7	65.17	0		5.835611
7	134	7	0	13	21	7	14	4	7	65.17	0		5.835611
7	133	7	0	13	21	14	14	4	7	65.17	0		5.835611
7	140	10	0	0	19	13	13	4	7	145.06	0		13.239944
7	136	9	0	0	19	20	9	5	4	41.03	0		10.336386
7	137	9	0	0	19	24	9	5	4	41.03	0		10.336386
7	138	9	0	6	6	16	9	5	4	41.03	0		10.336386
7	139	9	0	6	0	18	9	5	4	41.03	0		10.336386
7	130	5	0	0	14	16	6	5	5	24.76	0		4.175824
7	131	5	0	0	7	18	6	5	5	24.76	0		4.175824
7	135	8	0	6	5	20	7	6	3	20.40	0		15.571704
7	124	1	0	0	7	23	15	4	7	52.78	1		1.648576
7	129	4	0	0	12	13	6	2	7	17.23	1		1.545034
7	128	4	0	0	12	20	6	2	7	17.23	1		1.545034
13	244	3	0	13	14	18	16	7	6	107.41	0		8.055076
13	245	3	0	9	14	24	16	7	6	107.41	0		8.055076
13	246	3	0	16	0	0	16	7	6	107.41	0		8.055076
13	247	3	0	15	0	6	16	7	6	107.41	0		8.055076
13	257	7	0	13	21	21	14	4	7	65.17	0		5.835611
13	256	7	0	15	0	12	14	4	7	65.17	0		5.835611
13	255	7	0	15	0	19	14	4	7	65.17	0		5.835611
13	254	6	0	16	7	0	13	5	6	83.33	0		4.126139
13	251	6	0	16	7	6	13	5	6	83.33	0		4.126139
13	252	6	0	16	4	12	13	5	6	83.33	0		4.126139
13	253	6	0	15	4	18	13	5	6	83.33	0		4.126139
13	260	10	0	16	9	12	13	4	7	145.06	0		13.239944
13	259	9	0	6	0	22	9	5	4	41.03	0		10.336386
13	250	5	0	0	14	21	6	5	5	24.76	0		4.175824
13	258	8	0	6	0	26	7	6	3	20.40	0		15.571704
13	243	1	0	15	9	19	15	4	7	52.78	1		1.648576
13	242	1	0	27	21	0	15	4	7	52.78	1		1.648576
13	249	4	0	6	12	13	6	2	7	17.23	1		1.545034
13	248	4	0	6	12	20	6	2	7	17.23	1		1.545034
10	179	3	0	30	7	0	16	7	6	107.41	0		8.055076
10	180	3	0	30	14	0	16	7	6	107.41	0		8.055076
10	181	3	0	30	7	6	16	7	6	107.41	0		8.055076
10	182	3	0	30	14	6	16	7	6	107.41	0		8.055076
10	195	7	0	27	21	7	14	4	7	65.17	0		5.835611
10	194	7	0	27	21	14	14	4	7	65.17	0		5.835611
10	193	7	0	27	21	21	14	4	7	65.17	0		5.835611
10	192	7	0	29	13	12	14	4	7	65.17	0		5.835611
10	190	6	0	15	4	24	13	5	6	83.33	0		4.126139
