Name:				477_n060_m400_bt100
Problem:			3L-VRPTW
Number_of_used_Vehicles:	5
Total_Travel_Distance:		660.27
Calculation_Time:		3600.00
Total_Iterations:		57
ConstraintSet:			P20

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		12
No_of_Items:			85
Customer_Sequence:		19 40 36 23 12 32 48 30 26 50 16 58 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
58	381	13	0	0	0	0	14	5	6	68.25	0		4.702851
58	386	90	0	0	5	0	11	6	4	85.22	0		11.034277
58	383	37	0	0	11	0	12	6	8	79.81	1		1.434383
26	163	75	0	0	17	0	16	2	3	15.31	0		6.530126
58	382	26	0	0	19	0	17	4	3	20.54	1		0.917206
58	384	82	0	0	23	0	13	2	7	27.86	1		7.041241
16	93	20	0	0	0	6	16	5	5	104.79	0		73.321516
16	94	43	0	0	5	4	8	5	8	43.25	0		17.519972
16	97	76	0	0	19	3	13	4	6	57.73	0		5.858511
16	95	49	0	14	0	0	13	7	3	51.60	0		4.981509
16	96	73	0	0	10	8	11	6	7	85.30	1		4.274762
50	328	20	0	0	0	11	16	5	5	104.79	0		73.321516
50	332	41	0	0	0	16	15	5	5	66.70	0		12.969484
50	329	31	0	0	19	9	15	3	6	103.36	0		64.455678
50	331	34	0	0	10	15	10	6	3	25.64	0		13.227737
50	330	32	0	0	23	7	16	2	5	29.58	0		4.925075
50	334	83	0	0	10	18	9	6	8	57.36	1		1.587309
50	333	61	0	0	5	12	8	4	5	80.08	1		5.401040
58	385	88	0	12	10	0	12	5	8	186.59	1		7.179931
26	159	20	0	0	0	21	16	5	5	104.79	0		73.321516
26	160	24	0	0	19	15	8	4	4	17.55	0		6.120799
26	162	67	0	0	5	17	6	5	4	21.16	0		42.454387
26	166	86	0	16	0	3	9	7	8	93.18	0		8.856581
26	161	28	0	11	10	8	14	4	8	51.74	1		3.122893
26	164	82	0	0	17	3	13	2	7	27.86	1		7.041241
26	165	82	0	0	17	10	13	2	7	27.86	1		7.041241
30	190	14	0	17	15	0	15	6	8	115.15	0		6.407914
30	192	36	0	15	14	8	13	6	8	114.06	0		10.605865
30	195	91	0	0	19	19	7	4	5	14.03	0		4.074911
30	191	24	0	0	5	21	8	4	4	17.55	0		6.120799
30	193	65	0	0	19	24	7	4	4	16.93	0		4.884243
30	194	73	0	10	10	16	11	6	7	85.30	1		4.274762
48	318	36	0	27	0	0	13	6	8	114.06	0		10.605865
48	315	13	0	9	10	23	14	5	6	68.25	0		4.702851
48	314	2	0	16	0	11	12	5	6	62.65	0		18.418073
48	319	43	0	16	0	17	8	5	8	43.25	0		17.519972
48	317	32	0	0	23	12	16	2	5	29.58	0		4.925075
48	320	59	0	0	0	26	13	3	4	20.34	0		27.841572
48	321	92	0	0	10	26	9	5	3	16.92	0		17.225643
48	322	95	0	11	7	0	6	3	7	17.96	0		2.811206
48	316	28	0	17	21	0	14	4	8	51.74	1		3.122893
32	206	19	0	27	6	0	17	5	5	74.95	0		7.176011
32	205	15	0	0	17	17	15	2	8	42.96	0		12.359728
32	210	67	0	0	5	25	6	5	4	21.16	0		42.454387
32	211	87	0	15	20	8	12	3	3	54.02	0		62.685455
32	207	28	0	15	16	16	14	4	8	51.74	1		3.122893
32	208	52	0	15	15	24	13	4	4	28.09	1		4.898207
23	145	79	0	0	23	17	13	2	6	18.29	0		2.412554
23	143	69	0	28	0	8	8	7	8	50.95	0		6.849468
12	68	23	0	15	20	11	12	2	6	120.23	0		60.119069
12	69	40	0	16	0	25	9	5	3	22.36	0		35.896296
12	70	64	0	11	7	7	7	3	8	27.80	1		1.911280
12	67	16	0	25	6	5	8	5	3	16	1		2.750883
23	140	35	0	31	21	0	17	4	7	55.80	0		4.383593
12	66	15	0	15	20	17	15	2	8	42.96	0		12.359728
32	209	61	0	28	11	0	8	4	5	80.08	1		5.401040
23	141	38	0	28	0	16	8	6	3	14.41	0		4.323917
23	142	40	0	28	0	19	9	5	3	22.36	0		35.896296
23	146	87	0	25	0	22	12	3	3	54.02	0		62.685455
23	144	71	0	0	23	23	16	2	3	16.37	0		51.754616
23	139	9	0	11	7	15	9	3	4	126.98	1		32.631030
36	238	85	0	32	15	0	16	5	8	120.79	0		47.901664
36	236	68	0	30	15	8	12	7	7	103.37	0		10.531738
36	240	97	0	30	15	15	14	6	5	76.44	0		12.111479
36	234	42	0	30	15	20	16	6	4	41.74	0		8.134056
36	235	61	0	25	7	8	8	4	5	80.08	1		5.401040
36	233	23	0	8	7	19	12	2	6	120.23	0		60.119069
40	264	58	0	28	15	24	16	4	3	121.28	0		27.631484
36	237	81	0	36	11	0	16	4	5	49.50	0		13.343516
19	116	77	0	28	11	5	14	4	4	139.41	0		27.608599
40	261	12	0	33	7	5	13	4	5	101.92	0		14.799717
36	239	87	0	25	0	25	12	3	3	54.02	0		62.685455
40	262	24	0	25	7	13	8	4	4	17.55	0		6.120799
40	258	3	0	25	7	17	6	4	5	19.52	0		7.946402
40	259	4	0	16	23	8	8	2	6	14.89	0		4.080258
40	265	73	0	40	0	0	11	6	7	85.30	1		4.274762
40	260	7	0	40	0	7	13	6	4	46.32	1		1.375224
40	263	48	0	37	0	11	16	6	3	48.14	1		1.780451
19	117	99	0	37	0	14	15	6	8	95.98	0		4.030147
19	113	11	0	28	11	9	10	3	8	27.32	0		8.828084
40	266	90	0	48	15	0	11	6	4	85.22	0		11.034277
19	118	100	0	37	0	22	7	6	4	56.59	0		14.897650
19	115	40	0	28	15	27	9	5	3	22.36	0		35.896296
19	112	1	0	36	6	10	7	5	3	20.51	0		8.714496
19	114	37	0	48	15	4	12	6	8	79.81	1		1.434383


-------------------------------------------------------------------------------------------------------------------
Tour_Id:			2
No_of_Customers:		13
No_of_Items:			75
Customer_Sequence:		4 22 42 39 46 57 24 51 15 29 56 59 8 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
8	43	85	0	0	0	0	16	5	8	120.79	0		47.901664
8	44	100	0	0	5	0	7	6	4	56.59	0		14.897650
8	42	40	0	0	11	0	9	5	3	22.36	0		35.896296
29	188	98	0	0	16	0	11	4	8	52.50	0		8.358790
59	387	20	0	0	20	0	16	5	5	104.79	0		73.321516
59	389	31	0	0	20	5	15	3	6	103.36	0		64.455678
59	391	40	0	0	11	3	9	5	3	22.36	0		35.896296
59	388	28	0	0	0	8	14	4	8	51.74	1		3.122893
59	392	54	0	0	20	11	16	3	6	34.72	1		2.576382
56	373	95	0	0	5	4	6	3	7	17.96	0		2.811206
42	276	31	0	0	0	16	15	3	6	103.36	0		64.455678
56	370	18	0	7	5	0	17	6	5	73.63	1		1.920954
29	182	19	0	6	5	5	17	5	5	74.95	0		7.176011
29	189	99	0	6	4	10	15	6	8	95.98	0		4.030147
29	184	47	0	0	10	6	10	6	8	105.42	0		6.248554
29	185	47	0	0	10	14	10	6	8	105.42	0		6.248554
56	372	82	0	0	23	5	13	2	7	27.86	1		7.041241
59	390	35	0	16	0	0	17	4	7	55.80	0		4.383593
29	183	34	0	0	10	22	10	6	3	25.64	0		13.227737
29	187	93	0	0	16	8	11	3	3	14.71	0		5.975728
29	186	75	0	0	23	12	16	2	3	15.31	0		6.530126
29	181	9	0	0	16	11	9	3	4	126.98	1		32.631030
15	90	60	0	0	10	25	11	6	3	88.76	0		21.608899
15	92	75	0	0	23	15	16	2	3	15.31	0		6.530126
15	89	54	0	0	20	17	16	3	6	34.72	1		2.576382
15	91	64	0	0	16	15	7	3	8	27.80	1		1.911280
51	336	45	0	6	4	18	17	6	8	143.39	0		4.459007
51	337	62	0	24	4	0	15	7	7	108.57	0		5.890096
51	340	96	0	23	4	7	17	7	5	106.71	0		29.415038
51	335	15	0	0	23	18	15	2	8	42.96	0		12.359728
51	338	77	0	6	4	26	14	4	4	139.41	0		27.608599
51	339	92	0	11	11	0	9	5	3	16.92	0		17.225643
24	147	2	0	11	11	3	12	5	6	62.65	0		18.418073
24	150	87	0	0	20	23	12	3	3	54.02	0		62.685455
24	148	4	0	0	16	23	8	2	6	14.89	0		4.080258
24	149	16	0	0	20	26	8	5	3	16	1		2.750883
57	380	96	0	23	11	0	17	7	5	106.71	0		29.415038
57	379	84	0	11	11	9	16	4	7	67.34	0		9.952281
57	376	42	0	16	18	0	16	6	4	41.74	0		8.134056
57	378	55	0	16	18	4	16	6	4	45.34	0		4.098218
57	377	46	0	11	10	16	12	5	3	34.93	0		8.230866
57	374	30	0	11	10	19	13	4	6	45.68	1		2.825480
57	375	33	0	16	18	8	7	6	7	46.94	1		1.550322
46	301	36	0	23	3	12	13	6	8	114.06	0		10.605865
46	299	20	0	23	3	20	16	5	5	104.79	0		73.321516
46	302	42	0	23	3	25	16	6	4	41.74	0		8.134056
46	303	72	0	27	11	5	15	6	4	48.27	0		5.312615
46	304	74	0	11	10	25	15	3	5	25.58	0		3.714519
46	300	32	0	16	0	7	16	2	5	29.58	0		4.925075
39	255	49	0	27	11	9	13	7	3	51.60	0		4.981509
39	254	46	0	23	18	8	12	5	3	34.93	0		8.230866
39	252	6	0	23	18	11	11	5	3	31.75	0		14.616352
39	257	79	0	23	18	14	13	2	6	18.29	0		2.412554
22	135	41	0	27	9	12	15	5	5	66.70	0		12.969484
39	256	61	0	16	20	15	8	4	5	80.08	1		5.401040
56	371	22	0	0	5	11	6	3	5	10.88	0		2.665044
42	278	56	0	36	18	0	7	6	5	22.65	0		5.112902
42	274	6	0	40	0	0	11	5	3	31.75	0		14.616352
42	277	38	0	36	18	5	8	6	3	14.41	0		4.323917
42	273	4	0	0	0	22	8	2	6	14.89	0		4.080258
42	280	89	0	15	0	12	13	2	3	8.61	0		2.481198
42	275	30	0	27	14	12	13	4	6	45.68	1		2.825480
42	279	82	0	15	0	15	13	2	7	27.86	1		7.041241
39	253	24	0	16	20	20	8	4	4	17.55	0		6.120799
22	137	59	0	8	0	22	13	3	4	20.34	0		27.841572
22	138	59	0	8	0	26	13	3	4	20.34	0		27.841572
22	134	40	0	26	9	17	9	5	3	22.36	0		35.896296
22	133	28	0	27	14	18	14	4	8	51.74	1		3.122893
22	132	22	0	16	20	24	6	3	5	10.88	0		2.665044
22	136	44	0	40	5	0	17	6	3	58.39	1		6.535929
4	21	90	0	40	0	3	11	6	4	85.22	0		11.034277
4	20	60	0	40	0	7	11	6	3	88.76	0		21.608899
4	18	48	0	42	11	0	16	6	3	48.14	1		1.780451
4	19	54	0	40	6	3	16	3	6	34.72	1		2.576382
4	17	16	0	26	9	20	8	5	3	16	1		2.750883


-------------------------------------------------------------------------------------------------------------------
Tour_Id:			3
No_of_Customers:		13
No_of_Items:			83
Customer_Sequence:		5 55 45 1 31 41 47 2 6 44 49 9 53 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
53	348	36	0	0	0	0	13	6	8	114.06	0		10.605865
53	349	68	0	0	6	0	12	7	7	103.37	0		10.531738
53	350	68	0	0	13	0	12	7	7	103.37	0		10.531738
53	352	86	0	0	6	7	9	7	8	93.18	0		8.856581
53	354	97	0	0	13	7	14	6	5	76.44	0		12.111479
53	347	34	0	0	0	8	10	6	3	25.64	0		13.227737
53	351	79	0	0	20	0	13	2	6	18.29	0		2.412554
53	353	92	0	0	0	11	9	5	3	16.92	0		17.225643
53	346	30	0	0	13	12	13	4	6	45.68	1		2.825480
9	48	70	0	12	6	0	14	7	6	141.45	0		13.985246
9	47	42	0	12	6	6	16	6	4	41.74	0		8.134056
9	46	40	0	0	0	14	9	5	3	22.36	0		35.896296
9	49	93	0	0	22	0	11	3	3	14.71	0		5.975728
9	45	37	0	0	6	15	12	6	8	79.81	1		1.434383
49	323	13	0	0	6	23	14	5	6	68.25	0		4.702851
49	325	39	0	0	0	17	9	6	6	130.39	0		11.579829
49	327	81	0	0	13	18	16	4	5	49.50	0		13.343516
49	324	23	0	0	20	6	12	2	6	120.23	0		60.119069
49	326	71	0	0	17	12	16	2	3	16.37	0		51.754616
44	293	86	0	16	13	0	9	7	8	93.18	0		8.856581
44	289	20	0	0	11	23	16	5	5	104.79	0		73.321516
44	290	25	0	16	12	8	8	7	6	34.04	0		4.239052
44	291	43	0	13	0	0	8	5	8	43.25	0		17.519972
44	288	4	0	0	22	3	8	2	6	14.89	0		4.080258
44	292	52	0	10	0	8	13	4	4	28.09	1		4.898207
6	30	78	0	23	0	0	16	6	7	109.17	0		13.089828
6	34	96	0	25	13	0	17	7	5	106.71	0		29.415038
6	32	84	0	9	0	12	16	4	7	67.34	0		9.952281
6	31	80	0	0	0	23	7	6	7	47.71	0		7.433447
6	29	66	0	9	0	19	12	4	4	36.99	0		4.223603
6	33	91	0	7	0	23	7	4	5	14.03	0		4.074911
2	8	34	0	16	12	14	10	6	3	25.64	0		13.227737
2	6	17	0	13	20	0	10	5	3	16.50	0		4.146566
2	7	30	0	13	20	3	13	4	6	45.68	1		2.825480
2	9	44	0	25	13	5	17	6	3	58.39	1		6.535929
47	313	85	0	25	0	7	16	5	8	120.79	0		47.901664
47	308	39	0	16	12	17	9	6	6	130.39	0		11.579829
47	307	31	0	12	20	9	15	3	6	103.36	0		64.455678
