Name:				176_n060_m200_bt100
Problem:			3L-VRPTW
Number_of_used_Vehicles:	3
Total_Travel_Distance:		552.29
Calculation_Time:		3600.00
Total_Iterations:		264
ConstraintSet:			P21

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		25
No_of_Items:			84
Customer_Sequence:		16 52 27 47 17 58 60 21 19 5 50 57 45 30 23 39 36 55 43 22 31 33 40 46 56 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
56	188	32	0	0	0	0	16	7	5	445.56	0		30.879962
56	189	34	0	0	7	0	14	4	7	350.84	0		31.086589
56	186	28	0	0	11	0	7	7	8	77.76	0		8.782937
56	187	30	0	0	18	0	11	2	6	51.50	1		4.393171
46	158	96	0	0	20	0	13	5	7	347.20	0		67.974319
46	157	89	0	0	0	5	7	4	5	21.43	0		12.680567
46	155	4	0	7	11	0	10	6	7	145.66	1		3.499275
46	156	30	0	0	4	5	11	2	6	51.50	1		4.393171
40	139	41	0	0	7	7	16	4	7	133.73	0		9.075949
40	137	10	0	0	20	7	11	5	6	169.29	0		128.647937
40	136	1	0	0	11	8	7	5	4	42.53	1		15.158985
40	138	31	0	0	11	12	9	5	3	90.28	1		6.440714
33	116	35	0	0	20	13	14	5	7	200.30	0		77.501595
33	117	95	0	16	0	0	17	6	4	141.55	0		7.103639
33	115	33	0	0	7	14	14	3	3	18.94	0		20.492531
31	106	35	0	0	20	20	14	5	7	200.30	0		77.501595
31	108	76	0	16	0	4	17	6	3	221.30	0		8.187184
31	107	36	0	0	7	17	14	4	4	54.47	0		13.994482
31	110	89	0	0	0	10	7	4	5	21.43	0		12.680567
31	109	82	0	0	7	21	12	2	5	19.50	0		4.126103
22	79	99	0	0	0	15	7	5	5	84.03	0		19.570857
22	78	47	0	11	17	0	10	3	5	70.28	0		17.633977
22	77	42	0	0	11	15	9	3	5	71.68	1		7.827085
43	147	52	0	16	0	7	12	6	7	222.53	0		22.146613
43	149	63	0	14	20	0	14	3	7	162.10	0		19.376666
43	146	47	0	11	17	5	10	3	5	70.28	0		17.633977
43	145	17	0	0	0	20	8	4	8	80.60	1		2.746414
43	148	56	0	0	18	6	11	2	4	41.58	1		11.978507
55	185	90	0	16	6	0	17	5	6	239.70	0		64.121197
55	182	47	0	11	17	10	10	3	5	70.28	0		17.633977
55	184	58	0	14	20	7	7	4	5	32.45	0		39.235906
55	183	54	0	9	11	7	8	5	8	32.35	1		1.181995
36	127	81	0	33	0	0	17	7	7	206.84	0		11.994283
36	126	50	0	9	11	15	8	6	7	229.61	1		33.508420
36	125	37	0	0	11	20	6	3	7	47.25	1		5.865755
39	134	34	0	14	0	14	14	4	7	350.84	0		31.086589
39	133	18	0	28	0	7	7	7	7	97.64	0		12.897565
39	135	45	0	0	20	27	11	4	3	13.22	0		6.156917
23	80	3	0	17	11	0	16	6	7	574.89	0		221.502728
23	84	95	0	17	11	7	17	6	4	141.55	0		7.103639
23	81	17	0	9	11	22	8	4	8	80.60	1		2.746414
23	83	77	0	0	9	21	16	2	5	45.80	1		6.528489
23	82	30	0	9	17	15	11	2	6	51.50	1		4.393171
30	105	86	0	17	11	11	10	6	8	416.73	0		139.866871
30	104	67	0	14	0	21	13	3	6	175.60	0		40.413238
45	152	15	0	34	7	0	17	6	6	131.95	0		7.249703
45	153	15	0	34	13	0	17	6	6	131.95	0		7.249703
45	154	44	0	14	20	12	8	3	7	107.49	0		13.979457
57	191	51	0	34	7	6	16	7	4	313.21	0		42.569669
57	192	89	0	14	19	19	7	4	5	21.43	0		12.680567
57	190	33	0	14	0	27	14	3	3	18.94	0		20.492531
50	169	27	0	28	19	0	15	3	4	140.44	0		17.084466
50	170	47	0	17	11	19	10	3	5	70.28	0		17.633977
50	168	4	0	34	14	6	10	6	7	145.66	1		3.499275
5	14	29	0	34	7	10	16	4	6	70.76	0		6.082722
5	15	66	0	28	22	0	17	3	4	107	0		12.746090
5	16	79	0	0	7	26	11	2	3	7.54	0		3.948560
19	66	72	0	35	0	7	13	6	6	358.66	0		22.332453
19	65	68	0	28	20	4	17	5	4	103.54	0		20.006427
19	64	11	0	14	4	14	14	2	4	37.93	0		18.611863
19	67	79	0	14	4	18	11	2	3	7.54	0		3.948560
21	74	25	0	35	0	13	15	6	7	329.87	0		38.069191
21	73	10	0	28	20	8	11	5	6	169.29	0		128.647937
21	75	44	0	14	3	21	8	3	7	107.49	0		13.979457
21	76	58	0	14	19	24	7	4	5	32.45	0		39.235906
60	200	79	0	17	14	19	11	2	3	7.54	0		3.948560
60	199	53	0	17	14	22	10	2	3	21.74	0		14.547653
58	195	91	0	34	7	16	15	5	5	205.02	0		25.628263
58	194	74	0	28	20	14	8	5	6	172.80	0		18.015455
58	193	71	0	17	11	24	9	2	6	22.51	0		60.077702
17	59	90	0	34	7	21	17	5	6	239.70	0		64.121197
17	56	28	0	35	0	20	7	7	8	77.76	0		8.782937
17	57	63	0	45	19	0	14	3	7	162.10	0		19.376666
17	58	87	0	28	20	20	8	3	6	72.68	0		13.289597
47	160	41	1	51	0	0	16	4	7	133.73	0		9.075949
47	159	2	0	17	14	25	11	2	5	45.06	0		36.424690
47	161	71	0	28	23	20	9	2	6	22.51	0		60.077702
27	96	94	0	45	19	7	14	4	6	138.24	0		58.084455
27	95	10	0	45	19	13	11	5	6	169.29	0		128.647937
52	173	20	0	42	0	20	8	7	8	63.82	0		5.988072
52	174	61	0	34	7	27	17	3	3	60.23	1		5.348051
16	55	90	1	51	0	7	17	5	6	239.70	0		64.121197
16	53	46	0	45	19	19	7	6	6	108.35	0		18.084338
16	54	58	0	45	19	25	7	4	5	32.45	0		39.235906


-------------------------------------------------------------------------------------------------------------------
Tour_Id:			2
No_of_Customers:		21
No_of_Items:			71
Customer_Sequence:		42 37 13 44 12 32 29 4 6 20 34 3 41 38 25 11 28 51 35 7 53 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
53	175	15	0	0	0	0	17	6	6	131.95	0		7.249703
53	177	83	0	0	6	0	12	6	5	83.61	0		11.598119
53	176	37	0	0	12	0	6	3	7	47.25	1		5.865755
7	26	69	0	0	15	0	14	7	7	239.72	0		30.243332
7	25	62	0	0	22	0	14	2	8	47.02	0		7.462353
7	22	2	0	0	6	5	11	2	5	45.06	0		36.424690
7	24	59	0	0	8	5	14	4	8	637.90	1		71.137952
41	141	30	0	0	0	6	11	2	6	51.50	1		4.393171
35	121	22	0	0	2	6	10	4	8	222.11	0		26.621265
35	122	23	0	0	15	7	6	6	8	218.63	0		10.729612
35	124	73	0	14	6	0	13	6	6	151.95	1		2.917849
4	10	14	0	0	2	14	8	4	3	26.79	0		9.004013
28	99	83	0	14	12	0	12	6	5	83.61	0		11.598119
51	172	93	0	14	18	0	11	4	3	26.65	0		12.568513
28	97	13	0	14	12	5	12	7	8	172.01	0		9.977079
51	171	7	0	17	0	0	11	5	6	133.66	0		25.651191
28	98	62	0	0	22	8	14	2	8	47.02	0		7.462353
11	38	9	0	0	15	15	8	5	4	45.18	0		12.745928
11	37	6	0	0	8	13	14	4	8	82.83	1		2.089233
25	90	12	0	14	12	13	15	5	7	77.89	0		16.633325
25	91	33	0	10	2	6	14	3	3	18.94	0		20.492531
25	89	1	0	0	15	19	7	5	4	42.53	1		15.158985
25	92	75	0	0	8	21	10	3	4	108.64	1		50.961320
38	132	40	0	0	6	10	12	2	7	26.50	0		7.588318
38	131	31	0	0	15	23	9	5	3	90.28	1		6.440714
41	140	26	0	14	12	20	8	5	6	60.17	0		15.225950
7	23	38	0	14	22	0	15	3	6	108.93	1		4.759736
20	72	93	0	10	2	9	11	4	3	26.65	0		12.568513
3	7	59	0	14	6	6	14	4	8	637.90	1		71.137952
3	8	61	0	14	22	6	17	3	3	60.23	1		5.348051
