Name:				476_n060_m400_bt100
Problem:			3L-VRPTW
Number_of_used_Vehicles:	6
Total_Travel_Distance:		735.84
Calculation_Time:		3600.00
Total_Iterations:		102
ConstraintSet:			P21

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		12
No_of_Items:			80
Customer_Sequence:		39 21 57 1 15 27 50 23 37 29 49 55 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
49	327	63	0	0	0	0	17	6	8	340.34	0		16.103719
55	364	86	0	0	6	0	11	5	7	208.24	0		72.474934
55	362	28	0	0	11	0	14	3	3	19.13	0		5.517276
49	326	62	0	0	14	0	10	4	7	93.83	0		24.721458
55	365	98	0	0	18	0	14	2	3	20.84	0		12.431581
55	366	100	0	0	20	0	17	5	7	155.44	0		13.222060
49	323	25	0	0	0	8	15	7	7	200.35	0		18.503639
49	325	58	1	0	14	7	8	7	8	152.08	0		18.465712
55	363	39	0	0	11	3	8	2	6	20.99	0		4.168414
49	329	95	0	0	0	15	12	7	3	55.64	0		7.743232
49	331	99	0	0	14	15	8	5	6	43.38	0		5.525993
49	324	38	0	0	22	7	9	3	8	138.95	0		9.088255
49	328	65	0	0	7	7	10	2	7	40.89	0		17.139820
49	330	98	0	0	18	3	14	2	3	20.84	0		12.431581
29	201	92	0	0	0	18	14	6	7	130.33	0		12.342521
29	197	24	0	0	19	15	7	3	8	38.25	0		23.419548
29	200	64	0	0	0	25	12	5	5	144.51	0		87.557100
29	198	45	0	0	9	7	14	2	5	25.93	0		4.200116
29	199	45	0	0	9	12	14	2	5	25.93	0		4.200116
29	194	2	0	0	14	21	9	4	3	20.85	0		14.057038
29	195	15	0	14	7	0	16	6	8	116.09	1		2.849078
29	196	15	0	14	13	0	16	6	8	116.09	1		2.849078
37	232	25	0	17	0	0	15	7	7	200.35	0		18.503639
37	234	72	0	17	19	0	16	5	5	109.86	0		14.551249
50	335	54	0	17	0	7	14	4	7	88.18	0		15.731941
37	233	66	0	17	19	5	8	4	7	178.24	0		18.352635
37	239	91	0	17	4	7	15	3	3	14.53	0		5.762938
50	336	88	0	0	22	15	9	3	3	21.54	0		16.890926
37	238	88	0	0	19	23	9	3	3	21.54	0		16.890926
37	240	96	0	14	7	8	10	7	6	151.71	1		8.205227
37	235	80	0	14	7	14	13	6	4	109.63	1		2.718315
23	159	29	0	30	7	0	17	6	7	130.61	0		11.453266
23	162	73	0	30	13	0	17	5	8	95.94	0		7.818675
23	161	62	0	25	19	5	10	4	7	93.83	0		24.721458
23	160	30	0	0	14	24	10	4	3	41.48	0		6.624689
23	164	88	0	0	19	26	9	3	3	21.54	0		16.890926
