Name:				345_n020_m400_bt100
Problem:			3L-VRPTW
Number_of_used_Vehicles:	6
Total_Travel_Distance:		469.12
Calculation_Time:		3600.00
Total_Iterations:		54
ConstraintSet:			P17

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		4
No_of_Items:			77
Customer_Sequence:		5 19 20 18 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
18	355	51	0	0	0	0	17	6	4	16.62	0		8.359151
18	356	66	0	0	6	0	16	4	6	38.40	0		3.100400
18	358	89	0	0	10	0	14	3	8	44.82	0		15.700143
18	359	89	0	0	13	0	14	3	8	44.82	0		15.700143
20	397	73	0	0	16	0	10	6	6	45.53	0		4.242037
18	350	32	0	0	22	0	16	3	5	25.53	0		3.285643
18	351	32	0	0	0	4	16	3	5	25.53	0		3.285643
18	352	32	0	0	3	4	16	3	5	25.53	0		3.285643
18	357	76	0	0	10	8	9	5	5	19.87	0		1.218614
18	347	19	0	0	0	9	11	5	4	8.53	0		2.151456
18	348	19	0	0	0	13	11	5	4	8.53	0		2.151456
18	353	35	0	0	22	5	10	3	7	21.42	0		5.274053
18	354	44	0	0	6	6	6	4	7	11.92	0		6.173021
19	363	4	0	0	16	6	9	3	6	21.69	0		5.260417
18	361	100	0	0	6	13	8	7	7	51.13	1		3.263320
20	399	77	0	16	6	0	16	7	8	63.73	0		2.827383
20	384	7	0	16	6	8	15	7	7	39.63	0		2.798399
18	345	3	0	17	0	0	15	6	3	9.90	1		2.500736
18	346	13	0	0	22	12	9	3	6	7.39	1		2.612400
20	395	65	0	0	0	17	13	4	8	22.60	0		3.381063
20	394	51	0	10	16	0	17	6	4	16.62	0		8.359151
20	393	48	0	16	6	15	16	6	4	17.78	0		2.504776
20	398	73	0	16	6	19	10	6	6	45.53	0		4.242037
18	360	95	0	32	0	0	11	6	5	32.75	0		2.868611
20	388	28	0	27	16	0	17	5	4	13.62	0		1.592856
18	349	31	0	6	6	6	7	4	3	9.54	0		4.838125
20	392	46	0	16	6	25	8	6	4	19.14	0		4.969985
20	390	44	0	9	10	8	6	4	7	11.92	0		6.173021
19	365	23	0	0	0	25	12	4	5	9.59	0		1.398279
20	386	16	0	11	0	9	6	6	4	10.93	0		2.315020
20	382	2	0	0	19	6	9	3	5	12.33	0		4.625097
20	383	6	0	11	0	13	8	5	3	6.60	0		1.252248
19	366	28	0	10	16	4	17	5	4	13.62	0		1.592856
20	389	36	0	0	19	11	6	3	3	4.36	0		5.140412
20	400	81	0	32	6	0	17	7	7	93.55	1		2.511386
19	368	36	0	0	16	12	6	3	3	4.36	0		5.140412
19	375	59	0	0	19	14	7	3	7	16.19	0		29.205189
20	396	67	0	0	6	20	7	7	7	45.67	1		2.220459
19	373	51	0	10	16	8	17	6	4	16.62	0		8.359151
19	381	86	0	10	16	12	17	6	3	15.51	0		16.966395
