Name:				359_n020_m400_bt100
Problem:			3L-VRPTW
Number_of_used_Vehicles:	5
Total_Travel_Distance:		437.95
Calculation_Time:		3600.00
Total_Iterations:		37
ConstraintSet:			P18

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		4
No_of_Items:			87
Customer_Sequence:		20 4 9 6 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
9	170	51	0	0	0	0	17	6	8	71.16	0		4.424737
6	105	51	0	0	6	0	17	6	8	71.16	0		4.424737
6	104	51	0	0	12	0	17	6	8	71.16	0		4.424737
4	66	62	0	0	18	0	12	5	8	27.13	0		10.299772
4	61	28	0	0	0	8	11	7	6	51.30	0		12.687553
9	178	83	0	0	7	8	14	4	8	53.48	0		3.456967
20	397	70	0	0	11	8	17	5	5	22.65	0		1.617434
4	69	70	0	0	16	8	17	5	5	22.65	0		1.617434
6	96	9	0	0	11	13	14	6	5	20	0		1.207584
4	56	9	0	0	0	14	14	6	5	20	0		1.207584
6	106	52	0	0	11	18	10	6	7	27.56	0		14.132154
9	166	41	0	0	17	13	13	4	8	34.09	0		7.560885
4	73	88	0	0	0	19	16	6	4	39.50	0		7.618551
20	394	57	0	0	0	23	9	7	6	23.79	0		7.086863
20	387	8	0	0	11	25	12	6	5	47.21	0		14.536728
4	55	8	0	12	18	0	12	6	5	47.21	0		14.536728
20	393	49	0	0	7	16	10	4	7	30.20	0		3.502800
4	64	49	0	0	17	21	10	4	7	30.20	0		3.502800
6	103	49	0	0	7	23	10	4	7	30.20	0		3.502800
9	167	45	0	12	18	5	15	6	3	12.96	0		1.057341
6	100	27	0	17	0	0	15	3	6	23.59	0		13.659478
4	77	95	0	17	3	0	15	3	6	21.86	0		2.742953
9	179	95	0	17	6	0	15	3	6	21.86	0		2.742953
6	117	95	0	17	9	0	15	3	6	21.86	0		2.742953
4	59	18	0	9	0	23	9	5	6	12.12	0		4.297088
6	97	18	0	17	12	0	9	5	6	12.12	0		4.297088
20	384	5	0	17	0	6	11	4	6	34.15	0		4.625986
6	95	5	0	17	4	6	11	4	6	34.15	0		4.625986
9	159	12	0	0	21	8	16	2	8	30.07	0		7.696050
20	388	12	0	0	21	16	16	2	8	30.07	0		7.696050
6	116	93	0	17	8	6	14	6	3	23.64	0		19.384315
6	115	93	0	17	8	9	14	6	3	23.64	0		19.384315
4	74	92	1	11	0	8	7	6	6	20.78	0		2.408716
6	101	30	1	17	0	12	15	4	4	22.14	0		5.588804
6	110	74	0	16	21	8	10	4	6	24.50	0		14.068993
9	162	16	0	21	0	12	8	6	5	17.28	0		1.463978
9	161	16	0	21	6	12	8	6	5	17.28	0		1.463978
6	102	31	0	21	0	17	7	6	5	21.17	0		2.421215
20	399	76	0	16	21	14	10	4	5	15.81	0		0.850322
