Name:				474_n060_m400_bt10
Problem:			3L-VRPTW
Number_of_used_Vehicles:	6
Total_Travel_Distance:		777.73
Calculation_Time:		3600.0
Total_Iterations:		27
ConstraintSet:			P18

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		15
No_of_Items:			107
Customer_Sequence:		42 52 1 18 43 16 28 2 54 15 24 55 45 40 7 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
16	104	4	0	0	0	0	16	7	8	100.81	0		2.871753
15	92	4	0	0	7	0	16	7	8	100.81	0		2.871753
2	9	4	0	0	14	0	16	7	8	100.81	0		2.871753
55	365	4	0	0	0	8	16	7	8	100.81	0		2.871753
15	93	4	0	0	7	8	16	7	8	100.81	0		2.871753
52	342	4	0	0	14	8	16	7	8	100.81	0		2.871753
18	117	4	0	0	0	16	16	7	8	100.81	0		2.871753
43	288	4	0	0	7	16	16	7	8	100.81	0		2.871753
18	116	4	0	0	14	16	16	7	8	100.81	0		2.871753
15	99	9	0	0	0	24	13	5	6	211.96	0		13.990899
55	369	9	0	0	5	24	13	5	6	211.96	0		13.990899
24	159	9	0	0	10	24	13	5	6	211.96	0		13.990899
45	305	9	0	0	15	24	13	5	6	211.96	0		13.990899
15	100	9	0	16	0	0	13	5	6	211.96	0		13.990899
40	268	9	0	16	5	0	13	5	6	211.96	0		13.990899
52	349	9	0	16	10	0	13	5	6	211.96	0		13.990899
54	361	9	0	16	15	0	13	5	6	211.96	0		13.990899
54	362	9	0	16	20	0	13	5	6	211.96	0		13.990899
2	11	9	0	16	0	6	13	5	6	211.96	0		13.990899
42	282	7	0	16	5	6	15	5	4	156.40	0		45.418045
54	359	7	0	16	10	6	15	5	4	156.40	0		45.418045
15	96	7	0	16	15	6	15	5	4	156.40	0		45.418045
16	108	7	0	16	20	6	15	5	4	156.40	0		45.418045
18	120	7	0	16	5	10	15	5	4	156.40	0		45.418045
16	107	7	0	16	10	10	15	5	4	156.40	0		45.418045
24	157	7	0	16	15	10	15	5	4	156.40	0		45.418045
52	346	7	0	16	20	10	15	5	4	156.40	0		45.418045
1	5	7	0	16	0	12	15	5	4	156.40	0		45.418045
52	345	7	0	16	5	14	15	5	4	156.40	0		45.418045
55	366	7	0	16	10	14	15	5	4	156.40	0		45.418045
42	281	7	0	16	15	14	15	5	4	156.40	0		45.418045
18	122	10	0	16	5	18	8	6	6	114.84	0		13.398369
43	291	10	0	13	5	24	8	6	6	114.84	0		13.398369
43	292	10	0	16	11	18	8	6	6	114.84	0		13.398369
2	12	10	0	13	11	24	8	6	6	114.84	0		13.398369
16	109	10	0	24	5	18	8	6	6	114.84	0		13.398369
1	8	10	0	21	5	24	8	6	6	114.84	0		13.398369
24	160	10	0	24	11	18	8	6	6	114.84	0		13.398369
28	190	10	0	21	11	24	8	6	6	114.84	0		13.398369
