Name:				596_n100_m400_bt100
Problem:			3L-VRPTW
Number_of_used_Vehicles:	7
Total_Travel_Distance:		970.70
Calculation_Time:		3600.00
Total_Iterations:		37
ConstraintSet:			P18

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		17
No_of_Items:			64
Customer_Sequence:		8 31 22 7 67 38 40 82 92 71 59 64 20 76 19 23 54 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
71	273	20	0	0	0	0	14	5	8	495.52	0		69.747839
82	320	51	0	0	5	0	11	7	7	409.99	0		45.820834
67	260	85	0	0	12	0	9	7	8	700.84	0		101.629595
64	247	75	0	0	19	0	16	4	7	356.64	0		32.588898
71	270	13	0	0	19	7	17	3	8	285.59	0		21.628972
67	261	88	0	0	0	8	16	5	5	307.03	0		27.030755
76	298	39	0	0	5	7	14	7	4	178.53	0		7.974479
40	158	65	0	0	12	8	9	7	6	197.11	0		28.001005
19	75	65	0	0	5	11	9	7	6	197.11	0		28.001005
82	319	3	0	0	12	14	12	6	5	188.28	0		37.185021
19	72	7	0	0	0	13	13	5	5	117.92	0		30.114378
20	78	87	0	0	19	15	15	3	7	170.41	0		18.910288
19	74	63	0	0	0	18	17	3	6	285.23	0		30.196513
59	231	19	0	0	5	17	10	5	6	111.40	0		15.434177
38	150	19	0	0	12	19	10	5	6	111.40	0		15.434177
71	272	19	0	0	5	23	10	5	6	111.40	0		15.434177
64	248	95	0	9	12	0	16	6	3	286.74	0		29.119491
64	249	95	0	9	12	3	16	6	3	286.74	0		29.119491
64	246	16	0	9	12	6	16	6	3	273	0		38.426557
54	211	45	0	9	12	9	16	6	3	115.71	0		12.010570
38	151	43	0	14	0	0	7	5	8	220.29	0		229.889874
92	360	26	0	11	5	0	17	5	3	213.77	0		28.080082
23	89	38	0	0	19	22	16	3	5	239.22	0		18.361233
71	271	15	0	0	0	24	12	4	5	196.48	0		218.893123
92	363	100	0	16	19	0	11	3	7	115.15	0		164.221537
31	119	74	0	0	12	25	11	4	5	195.28	0		21.895299
31	120	74	0	21	0	0	11	4	5	195.28	0		21.895299
76	294	5	0	11	5	3	12	6	3	125.02	0		19.593279
76	297	25	0	9	5	11	6	6	6	179.85	0		117.095414
23	88	25	0	10	5	17	6	6	6	179.85	0		117.095414
22	85	46	0	25	12	0	17	4	3	110.83	0		62.659385
59	232	46	0	25	12	3	17	4	3	110.83	0		62.659385
19	73	29	0	17	19	7	10	4	5	78.33	0		75.467286
