Name:				039_n020_m200_bt10
Problem:			3L-VRPTW
Number_of_used_Vehicles:	3
Total_Travel_Distance:		375.56
Calculation_Time:		3600.00
Total_Iterations:		165
ConstraintSet:			P19

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		7
No_of_Items:			70
Customer_Sequence:		6 14 19 8 10 1 7 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
7	62	2	0	0	0	0	14	6	7	75.65	0		12.698704
7	63	3	0	0	6	0	16	4	7	53.76	0		16.570479
7	64	3	0	0	10	0	16	4	7	53.76	0		16.570479
7	65	3	0	0	14	0	16	4	7	53.76	0		16.570479
7	66	7	0	0	18	0	15	6	4	41.93	0		3.648753
7	67	8	0	0	18	4	17	3	8	70.24	1		1.002659
1	1	3	0	0	21	4	16	4	7	53.76	0		16.570479
1	7	9	0	0	0	7	9	7	7	51.14	0		5.140308
1	8	10	0	0	7	7	12	6	5	77.07	0		6.821968
1	3	5	0	0	7	12	7	6	6	39.22	0		4.865047
8	80	10	0	0	0	14	12	6	5	77.07	0		6.821968
1	5	6	0	0	13	7	15	2	8	38.33	0		3.616016
1	6	6	0	0	15	7	15	2	8	38.33	0		3.616016
1	2	4	0	0	21	11	9	4	5	25.83	0		10.780305
10	93	3	0	0	13	15	16	4	7	53.76	0		16.570479
10	101	9	0	0	13	22	9	7	7	51.14	0		5.140308
19	190	8	0	0	21	16	17	3	8	70.24	1		1.002659
10	100	7	0	0	7	18	15	6	4	41.93	0		3.648753
10	95	5	0	0	7	22	7	6	6	39.22	0		4.865047
10	96	6	0	7	7	22	15	2	8	38.33	0		3.616016
10	97	6	0	7	9	22	15	2	8	38.33	0		3.616016
10	98	6	0	7	11	22	15	2	8	38.33	0		3.616016
10	94	4	0	7	7	12	9	4	5	25.83	0		10.780305
10	92	1	0	0	18	12	17	3	8	51.61	1		0.833374
8	68	2	0	0	0	19	14	6	7	75.65	0		12.698704
8	69	2	0	9	0	7	14	6	7	75.65	0		12.698704
8	70	2	0	9	13	22	14	6	7	75.65	0		12.698704
8	71	3	0	14	0	0	16	4	7	53.76	0		16.570479
8	76	9	0	23	0	7	9	7	7	51.14	0		5.140308
8	77	9	0	23	0	14	9	7	7	51.14	0		5.140308
8	78	9	0	23	0	21	9	7	7	51.14	0		5.140308
8	79	10	0	30	0	0	12	6	5	77.07	0		6.821968
1	4	6	0	16	10	0	15	2	8	38.33	0		3.616016
14	129	1	0	31	10	0	17	3	8	51.61	1		0.833374
8	74	5	0	31	13	0	7	6	6	39.22	0		4.865047
8	72	4	0	9	21	11	9	4	5	25.83	0		10.780305
8	73	4	0	12	0	14	9	4	5	25.83	0		10.780305
8	75	8	0	31	19	0	17	3	8	70.24	1		1.002659
19	184	2	0	31	13	6	14	6	7	75.65	0		12.698704
19	185	2	0	31	13	13	14	6	7	75.65	0		12.698704
19	186	2	0	31	13	20	14	6	7	75.65	0		12.698704
19	187	2	0	42	0	0	14	6	7	75.65	0		12.698704
19	191	10	0	32	0	7	12	6	5	77.07	0		6.821968
19	182	1	0	31	22	0	17	3	8	51.61	1		0.833374
19	183	1	0	31	19	8	17	3	8	51.61	1		0.833374
14	141	10	0	32	0	12	12	6	5	77.07	0		6.821968
19	189	8	0	17	21	16	17	3	8	70.24	1		1.002659
10	99	7	0	16	12	0	15	6	4	41.93	0		3.648753
14	130	2	0	32	0	17	14	6	7	75.65	0		12.698704
14	135	5	0	32	0	24	7	6	6	39.22	0		4.865047
14	132	3	0	42	6	0	16	4	7	53.76	0		16.570479
14	137	7	0	39	0	24	15	6	4	41.93	0		3.648753
14	138	7	0	44	0	7	15	6	4	41.93	0		3.648753
14	136	5	0	44	0	11	7	6	6	39.22	0		4.865047
19	188	8	0	31	22	8	17	3	8	70.24	1		1.002659
14	134	5	0	46	0	17	7	6	6	39.22	0		4.865047
14	131	3	0	32	6	7	16	4	7	53.76	0		16.570479
14	140	10	0	23	7	14	12	6	5	77.07	0		6.821968
6	54	1	0	23	7	19	17	3	8	51.61	1		0.833374
8	81	10	0	38	13	0	12	6	5	77.07	0		6.821968
14	139	8	0	23	10	19	17	3	8	70.24	1		1.002659
6	57	2	1	48	6	7	14	6	7	75.65	0		12.698704
6	58	2	1	48	6	14	14	6	7	75.65	0		12.698704
6	59	3	1	48	6	21	16	4	7	53.76	0		16.570479
6	60	3	1	52	6	21	16	4	7	53.76	0		16.570479
6	61	7	1	54	6	7	15	6	4	41.93	0		3.648753
6	53	1	1	54	6	11	17	3	8	51.61	1		0.833374
14	133	4	0	35	7	14	9	4	5	25.83	0		10.780305
6	55	1	1	57	6	11	17	3	8	51.61	1		0.833374
6	56	1	1	57	6	19	17	3	8	51.61	1		0.833374


-------------------------------------------------------------------------------------------------------------------
Tour_Id:			2
No_of_Customers:		6
No_of_Items:			64
Customer_Sequence:		11 20 3 4 18 12 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
12	110	2	0	0	0	0	14	6	7	75.65	0		12.698704
12	111	2	0	0	6	0	14	6	7	75.65	0		12.698704
12	112	2	0	0	12	0	14	6	7	75.65	0		12.698704
12	113	2	0	0	18	0	14	6	7	75.65	0		12.698704
18	176	8	0	0	0	7	17	3	8	70.24	1		1.002659
12	115	3	0	0	3	7	16	4	7	53.76	0		16.570479
12	119	9	0	0	7	7	9	7	7	51.14	0		5.140308
12	117	7	0	0	14	7	15	6	4	41.93	0		3.648753
12	118	7	0	0	14	11	15	6	4	41.93	0		3.648753
12	116	6	0	0	20	7	15	2	8	38.33	0		3.616016
18	170	2	0	0	3	14	14	6	7	75.65	0		12.698704
18	171	3	0	0	9	14	16	4	7	53.76	0		16.570479
18	172	3	0	0	14	15	16	4	7	53.76	0		16.570479
18	177	9	0	0	18	15	9	7	7	51.14	0		5.140308
18	178	10	0	0	3	21	12	6	5	77.07	0		6.821968
3	22	3	0	0	9	21	16	4	7	53.76	0		16.570479
18	180	10	0	0	14	22	12	6	5	77.07	0		6.821968
18	181	10	0	9	7	7	12	6	5	77.07	0		6.821968
18	175	6	0	0	22	7	15	2	8	38.33	0		3.616016
18	173	4	0	0	20	22	9	4	5	25.83	0		10.780305
18	174	4	0	9	18	15	9	4	5	25.83	0		10.780305
12	114	2	0	14	0	0	14	6	7	75.65	0		12.698704
4	37	2	0	12	3	21	14	6	7	75.65	0		12.698704
4	40	4	0	12	14	22	9	4	5	25.83	0		10.780305
4	45	10	0	14	3	14	12	6	5	77.07	0		6.821968
4	41	5	0	17	0	7	7	6	6	39.22	0		4.865047
4	42	6	0	9	22	15	15	2	8	38.33	0		3.616016
4	38	4	0	24	0	7	9	4	5	25.83	0		10.780305
4	43	6	0	17	0	13	15	2	8	38.33	0		3.616016
4	39	4	0	24	4	7	9	4	5	25.83	0		10.780305
4	44	7	0	28	0	0	15	6	4	41.93	0		3.648753
4	34	1	0	0	0	15	17	3	8	51.61	1		0.833374
4	35	1	0	17	0	21	17	3	8	51.61	1		0.833374
4	36	1	0	43	0	0	17	3	8	51.61	1		0.833374
3	21	2	0	43	3	0	14	6	7	75.65	0		12.698704
18	179	10	0	28	6	0	12	6	5	77.07	0		6.821968
3	23	3	0	28	12	0	16	4	7	53.76	0		16.570479
3	24	3	0	28	16	0	16	4	7	53.76	0		16.570479
3	25	3	0	28	20	0	16	4	7	53.76	0		16.570479
3	26	3	0	28	12	7	16	4	7	53.76	0		16.570479
3	31	7	1	26	3	14	15	6	4	41.93	0		3.648753
3	33	10	0	26	3	18	12	6	5	77.07	0		6.821968
3	28	5	0	26	9	18	7	6	6	39.22	0		4.865047
3	29	6	0	26	15	18	15	2	8	38.33	0		3.616016
3	30	6	0	26	17	18	15	2	8	38.33	0		3.616016
3	27	4	0	26	3	23	9	4	5	25.83	0		10.780305
3	32	8	0	28	20	7	17	3	8	70.24	1		1.002659
20	194	2	0	35	3	23	14	6	7	75.65	0		12.698704
20	199	9	0	43	3	7	9	7	7	51.14	0		5.140308
20	200	9	0	43	3	14	9	7	7	51.14	0		5.140308
20	195	5	0	26	9	24	7	6	6	39.22	0		4.865047
20	196	6	0	28	23	7	15	2	8	38.33	0		3.616016
20	192	1	0	24	22	15	17	3	8	51.61	1		0.833374
20	193	1	0	41	22	15	17	3	8	51.61	1		0.833374
20	197	8	0	43	0	8	17	3	8	70.24	1		1.002659
