Name:				052_n020_m200_bt10
Problem:			3L-VRPTW
Number_of_used_Vehicles:	3
Total_Travel_Distance:		363.53
Calculation_Time:		3600.0
Total_Iterations:		174
ConstraintSet:			P19

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		5
No_of_Items:			55
Customer_Sequence:		12 16 1 7 10 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
10	92	4	0	0	0	0	11	7	6	107.45	0		6.563532
10	90	3	0	0	7	0	13	7	5	64.03	0		6.253563
10	91	3	0	0	14	0	13	7	5	64.03	0		6.253563
10	93	5	0	0	7	5	10	5	8	74.18	0		5.158658
10	94	5	0	0	12	5	10	5	8	74.18	0		5.158658
10	95	5	0	0	17	5	10	5	8	74.18	0		5.158658
10	97	9	0	0	0	6	9	6	6	65.22	0		5.004437
10	96	6	0	0	0	12	7	6	5	21.66	0		3.613636
10	98	10	0	0	21	0	13	3	3	22.34	0		5.573092
7	59	2	0	0	7	13	17	7	5	60.79	0		24.029025
7	61	4	0	0	14	13	11	7	6	107.45	0		6.563532
7	62	4	0	0	0	17	11	7	6	107.45	0		6.563532
7	63	4	0	0	7	18	11	7	6	107.45	0		6.563532
7	60	3	0	0	14	19	13	7	5	64.03	0		6.253563
7	64	5	0	9	0	6	10	5	8	74.18	0		5.158658
1	7	7	0	11	7	18	17	6	8	152.03	1		1.645841
7	66	7	0	13	7	0	17	6	8	152.03	1		1.645841
1	11	9	0	0	0	23	9	6	6	65.22	0		5.004437
7	68	8	0	0	7	24	7	5	6	49.78	1		1.460868
7	69	8	0	0	12	24	7	5	6	49.78	1		1.460868
1	2	4	0	0	17	24	11	7	6	107.45	0		6.563532
1	3	4	0	9	0	23	11	7	6	107.45	0		6.563532
1	1	3	0	13	14	0	13	7	5	64.03	0		6.253563
1	10	9	0	11	17	24	9	6	6	65.22	0		5.004437
7	67	7	0	30	7	0	17	6	8	152.03	1		1.645841
1	4	6	0	13	14	5	7	6	5	21.66	0		3.613636
1	5	6	0	13	14	10	7	6	5	21.66	0		3.613636
1	12	10	0	0	21	13	13	3	3	22.34	0		5.573092
1	13	10	0	0	21	16	13	3	3	22.34	0		5.573092
1	6	7	0	13	14	15	17	6	8	152.03	1		1.645841
7	65	5	0	47	7	0	10	5	8	74.18	0		5.158658
1	8	8	0	13	20	5	7	5	6	49.78	1		1.460868
16	159	3	0	30	13	0	13	7	5	64.03	0		6.253563
1	9	8	0	13	20	11	7	5	6	49.78	1		1.460868
16	160	3	0	30	13	5	13	7	5	64.03	0		6.253563
16	161	5	0	20	20	5	10	5	8	74.18	0		5.158658
16	165	9	0	30	13	10	9	6	6	65.22	0		5.004437
16	162	6	0	30	19	10	7	6	5	21.66	0		3.613636
16	156	1	0	30	20	0	13	2	6	20.93	0		2.474172
16	157	1	0	30	22	0	13	2	6	20.93	0		2.474172
16	158	1	0	30	19	15	13	2	6	20.93	0		2.474172
16	163	7	0	30	7	8	17	6	8	152.03	1		1.645841
16	164	8	0	20	20	13	7	5	6	49.78	1		1.460868
12	111	2	0	43	13	0	17	7	5	60.79	0		24.029025
12	112	2	0	43	13	5	17	7	5	60.79	0		24.029025
12	113	2	0	43	13	10	17	7	5	60.79	0		24.029025
12	114	3	0	43	13	15	13	7	5	64.03	0		6.253563
12	115	3	0	43	13	20	13	7	5	64.03	0		6.253563
12	116	5	0	30	13	16	10	5	8	74.18	0		5.158658
12	118	9	0	30	19	21	9	6	6	65.22	0		5.004437
12	119	9	0	30	13	24	9	6	6	65.22	0		5.004437
12	109	1	0	30	21	15	13	2	6	20.93	0		2.474172
12	110	1	0	30	23	15	13	2	6	20.93	0		2.474172
12	120	10	0	30	19	27	13	3	3	22.34	0		5.573092
12	117	7	0	30	7	16	17	6	8	152.03	1		1.645841


-------------------------------------------------------------------------------------------------------------------
Tour_Id:			2
No_of_Customers:		7
No_of_Items:			72
Customer_Sequence:		6 19 4 9 18 2 8 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
