Name:				337_n020_m400_bt10
Problem:			3L-VRPTW
Number_of_used_Vehicles:	4
Total_Travel_Distance:		412.51
Calculation_Time:		3600.00
Total_Iterations:		43
ConstraintSet:			P19

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		6
No_of_Items:			127
Customer_Sequence:		18 5 19 11 10 2 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
2	23	2	0	0	0	0	13	3	8	41.94	0		6.357081
2	24	2	0	0	3	0	13	3	8	41.94	0		6.357081
2	36	8	0	0	6	0	11	4	7	39.18	0		1.647596
2	29	5	0	0	10	0	15	3	6	28.48	0		4.924769
2	35	7	0	0	13	0	14	6	3	40.86	0		11.155341
2	34	7	0	0	19	0	14	6	3	40.86	0		11.155341
2	39	9	0	0	13	3	6	5	6	61.76	0		6.571891
2	38	9	0	0	18	3	6	5	6	61.76	0		6.571891
2	27	4	0	0	6	7	15	4	8	53.06	1		1.746280
11	205	1	0	0	10	6	12	3	3	21.65	0		3.189078
2	20	1	0	0	0	8	12	3	3	21.65	0		3.189078
2	22	1	0	0	3	8	12	3	3	21.65	0		3.189078
2	21	1	0	0	13	9	12	3	3	21.65	0		3.189078
2	19	1	0	0	16	9	12	3	3	21.65	0		3.189078
2	28	4	0	0	19	9	15	4	8	53.06	1		1.746280
2	37	9	0	0	0	11	6	5	6	61.76	0		6.571891
2	26	4	0	0	13	12	15	4	8	53.06	1		1.746280
2	25	4	0	0	6	15	15	4	8	53.06	1		1.746280
2	30	6	0	0	0	17	10	3	7	40.07	1		1.068636
2	31	6	0	0	3	17	10	3	7	40.07	1		1.068636
11	213	5	0	0	10	9	15	3	6	28.48	0		4.924769
2	33	6	0	0	19	17	10	3	7	40.07	1		1.068636
10	199	7	0	13	0	0	14	6	3	40.86	0		11.155341
10	198	7	0	13	0	3	14	6	3	40.86	0		11.155341
10	196	7	0	13	0	6	14	6	3	40.86	0		11.155341
10	197	7	0	13	0	9	14	6	3	40.86	0		11.155341
10	202	9	0	13	0	12	6	5	6	61.76	0		6.571891
10	201	9	0	13	0	18	6	5	6	61.76	0		6.571891
10	203	10	0	0	23	3	14	2	4	56.44	0		11.405893
10	189	3	0	0	23	7	15	2	4	13.97	0		3.645134
10	190	3	0	0	23	11	15	2	4	13.97	0		3.645134
11	206	1	0	0	10	15	12	3	3	21.65	0		3.189078
10	188	1	0	13	0	24	12	3	3	21.65	0		3.189078
10	191	3	0	0	17	12	15	2	4	13.97	0		3.645134
10	186	1	0	13	3	24	12	3	3	21.65	0		3.189078
10	204	10	0	0	23	15	14	2	4	56.44	0		11.405893
11	217	8	0	15	10	0	11	4	7	39.18	0		1.647596
11	227	10	0	0	17	16	14	2	4	56.44	0		11.405893
10	193	4	0	0	13	20	15	4	8	53.06	1		1.746280
19	362	4	0	10	19	17	15	4	8	53.06	1		1.746280
10	195	6	0	0	6	23	10	3	7	40.07	1		1.068636
10	194	6	0	10	6	23	10	3	7	40.07	1		1.068636
11	222	8	0	15	14	0	11	4	7	39.18	0		1.647596
11	221	8	0	15	18	0	11	4	7	39.18	0		1.647596
11	214	5	0	0	10	18	15	3	6	28.48	0		4.924769
11	219	8	0	15	10	7	11	4	7	39.18	0		1.647596
10	187	1	0	13	0	27	12	3	3	21.65	0		3.189078
11	218	8	0	15	14	7	11	4	7	39.18	0		1.647596
11	220	8	0	15	18	7	11	4	7	39.18	0		1.647596
2	32	6	0	11	6	0	10	3	7	40.07	1		1.068636
10	185	1	0	13	3	27	12	3	3	21.65	0		3.189078
11	215	7	0	15	10	14	14	6	3	40.86	0		11.155341
11	224	9	0	15	10	17	6	5	6	61.76	0		6.571891
11	225	9	0	15	10	23	6	5	6	61.76	0		6.571891
11	216	7	0	15	16	14	14	6	3	40.86	0		11.155341
11	223	9	0	21	10	17	6	5	6	61.76	0		6.571891
11	210	3	0	0	23	19	15	2	4	13.97	0		3.645134
11	209	3	0	0	17	20	15	2	4	13.97	0		3.645134
11	208	3	0	0	23	23	15	2	4	13.97	0		3.645134
11	212	5	0	0	10	24	15	3	6	28.48	0		4.924769
11	228	10	0	0	17	24	14	2	4	56.44	0		11.405893
11	229	10	0	15	22	0	14	2	4	56.44	0		11.405893
11	230	10	0	15	22	4	14	2	4	56.44	0		11.405893
11	226	10	0	15	22	8	14	2	4	56.44	0		11.405893
11	207	1	0	15	22	12	12	3	3	21.65	0		3.189078
10	200	9	0	19	0	12	6	5	6	61.76	0		6.571891
2	40	10	0	21	6	0	14	2	4	56.44	0		11.405893
18	344	2	0	15	15	17	13	3	8	41.94	0		6.357081
19	357	2	0	21	6	4	13	3	8	41.94	0		6.357081
19	372	8	0	21	6	12	11	4	7	39.18	0		1.647596
19	371	8	0	21	6	19	11	4	7	39.18	0		1.647596
19	365	5	0	21	10	23	15	3	6	28.48	0		4.924769
19	366	5	0	25	0	12	15	3	6	28.48	0		4.924769
19	359	3	0	21	8	0	15	2	4	13.97	0		3.645134
19	369	7	0	25	19	17	14	6	3	40.86	0		11.155341
19	370	7	0	25	0	18	14	6	3	40.86	0		11.155341
19	373	9	0	25	19	20	6	5	6	61.76	0		6.571891
19	360	3	0	21	13	23	15	2	4	13.97	0		3.645134
10	192	4	0	27	0	0	15	4	8	53.06	1		1.746280
19	364	5	0	25	3	12	15	3	6	28.48	0		4.924769
19	358	3	0	21	6	26	15	2	4	13.97	0		3.645134
18	346	5	0	25	0	21	15	3	6	28.48	0		4.924769
19	356	1	0	25	3	21	12	3	3	21.65	0		3.189078
19	361	3	0	21	8	26	15	2	4	13.97	0		3.645134
19	363	4	0	31	19	20	15	4	8	53.06	1		1.746280
19	367	6	0	29	22	0	10	3	7	40.07	1		1.068636
19	368	6	0	29	22	7	10	3	7	40.07	1		1.068636
5	89	2	0	36	8	0	13	3	8	41.94	0		6.357081
5	90	2	0	36	11	0	13	3	8	41.94	0		6.357081
5	101	8	0	36	14	0	11	4	7	39.18	0		1.647596
5	100	8	0	36	14	7	11	4	7	39.18	0		1.647596
18	349	7	0	21	13	27	14	6	3	40.86	0		11.155341
5	99	7	0	36	8	8	14	6	3	40.86	0		11.155341
5	104	9	0	36	8	11	6	5	6	61.76	0		6.571891
5	88	1	0	25	3	24	12	3	3	21.65	0		3.189078
18	343	2	0	29	16	14	13	3	8	41.94	0		6.357081
5	91	3	0	31	23	20	15	2	4	13.97	0		3.645134
18	348	6	0	36	8	17	10	3	7	40.07	1		1.068636
5	93	3	0	31	23	24	15	2	4	13.97	0		3.645134
5	94	3	0	36	11	17	15	2	4	13.97	0		3.645134
5	106	10	0	36	11	21	14	2	4	56.44	0		11.405893
5	105	10	0	36	11	25	14	2	4	56.44	0		11.405893
5	103	9	0	37	3	21	6	5	6	61.76	0		6.571891
18	340	2	0	42	0	0	13	3	8	41.94	0		6.357081
5	86	1	0	25	3	27	12	3	3	21.65	0		3.189078
5	85	1	0	37	3	27	12	3	3	21.65	0		3.189078
5	95	4	0	42	3	0	15	4	8	53.06	1		1.746280
5	98	6	0	42	3	8	10	3	7	40.07	1		1.068636
5	97	6	0	47	14	0	10	3	7	40.07	1		1.068636
18	339	2	0	42	0	8	13	3	8	41.94	0		6.357081
5	87	1	0	42	8	11	12	3	3	21.65	0		3.189078
18	341	2	0	42	16	14	13	3	8	41.94	0		6.357081
18	342	2	0	42	0	16	13	3	8	41.94	0		6.357081
5	102	9	0	47	17	0	6	5	6	61.76	0		6.571891
11	211	4	0	26	18	0	15	4	8	53.06	1		1.746280
18	353	8	0	47	17	6	11	4	7	39.18	0		1.647596
18	352	8	0	47	21	6	11	4	7	39.18	0		1.647596
18	351	8	0	47	21	13	11	4	7	39.18	0		1.647596
18	347	5	0	42	16	22	15	3	6	28.48	0		4.924769
19	374	10	0	27	4	0	14	2	4	56.44	0		11.405893
18	345	5	0	42	0	24	15	3	6	28.48	0		4.924769
5	96	5	0	42	11	11	15	3	6	28.48	0		4.924769
18	350	7	0	46	19	20	14	6	3	40.86	0		11.155341
18	354	9	0	46	19	23	6	5	6	61.76	0		6.571891
18	355	10	0	36	14	14	14	2	4	56.44	0		11.405893
18	338	1	0	25	0	27	12	3	3	21.65	0		3.189078
5	92	3	1	57	3	0	15	2	4	13.97	0		3.645134


-------------------------------------------------------------------------------------------------------------------
Tour_Id:			2
No_of_Customers:		6
No_of_Items:			111
Customer_Sequence:		12 16 4 1 15 20 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
20	376	2	0	0	0	0	13	3	8	41.94	0		6.357081
15	293	3	0	0	3	0	15	2	4	13.97	0		3.645134
20	378	2	0	0	5	0	13	3	8	41.94	0		6.357081
20	375	2	0	0	8	0	13	3	8	41.94	0		6.357081
20	385	5	0	0	11	0	15	3	6	28.48	0		4.924769
20	386	5	0	0	14	0	15	3	6	28.48	0		4.924769
20	384	5	0	0	17	0	15	3	6	28.48	0		4.924769
20	390	7	0	0	11	6	14	6	3	40.86	0		11.155341
20	391	7	0	0	17	6	14	6	3	40.86	0		11.155341
20	392	9	0	0	20	0	6	5	6	61.76	0		6.571891
20	393	9	0	0	5	8	6	5	6	61.76	0		6.571891
20	394	9	0	0	11	9	6	5	6	61.76	0		6.571891
20	380	3	0	0	23	6	15	2	4	13.97	0		3.645134
1	8	5	0	0	0	8	15	3	6	28.48	0		4.924769
20	399	10	0	0	16	9	14	2	4	56.44	0		11.405893
4	69	3	0	0	3	4	15	2	4	13.97	0		3.645134
20	400	10	0	0	18	9	14	2	4	56.44	0		11.405893
20	397	10	0	0	20	9	14	2	4	56.44	0		11.405893
20	396	10	0	0	23	10	14	2	4	56.44	0		11.405893
20	395	10	0	0	16	13	14	2	4	56.44	0		11.405893
20	383	4	0	0	18	13	15	4	8	53.06	1		1.746280
20	382	4	0	0	5	14	15	4	8	53.06	1		1.746280
20	381	4	0	0	11	15	15	4	8	53.06	1		1.746280
20	389	6	0	0	18	21	10	3	7	40.07	1		1.068636
20	388	6	0	0	21	21	10	3	7	40.07	1		1.068636
20	387	6	0	0	5	22	10	3	7	40.07	1		1.068636
15	288	2	0	13	0	0	13	3	8	41.94	0		6.357081
15	289	2	0	15	11	0	13	3	8	41.94	0		6.357081
15	296	5	0	15	14	0	15	3	6	28.48	0		4.924769
15	300	7	0	15	3	0	14	6	3	40.86	0		11.155341
15	301	9	0	15	17	0	6	5	6	61.76	0		6.571891
15	302	9	0	15	14	6	6	5	6	61.76	0		6.571891
15	298	6	0	0	8	22	10	3	7	40.07	1		1.068636
15	291	3	0	0	9	14	15	2	4	13.97	0		3.645134
15	292	3	0	0	16	17	15	2	4	13.97	0		3.645134
20	377	2	0	15	22	0	13	3	8	41.94	0		6.357081
15	294	3	0	0	9	18	15	2	4	13.97	0		3.645134
15	287	1	0	15	19	6	12	3	3	21.65	0		3.189078
1	5	2	0	0	0	14	13	3	8	41.94	0		6.357081
16	306	2	0	0	0	22	13	3	8	41.94	0		6.357081
15	290	3	0	0	16	21	15	2	4	13.97	0		3.645134
15	299	6	0	0	11	23	10	3	7	40.07	1		1.068636
15	297	6	0	10	18	21	10	3	7	40.07	1		1.068636
15	295	4	0	10	5	22	15	4	8	53.06	1		1.746280
1	12	8	0	15	0	8	11	4	7	39.18	0		1.647596
1	13	8	0	15	14	12	11	4	7	39.18	0		1.647596
1	7	5	0	15	11	8	15	3	6	28.48	0		4.924769
20	379	3	0	0	23	14	15	2	4	13.97	0		3.645134
1	9	5	0	15	22	8	15	3	6	28.48	0		4.924769
1	10	7	0	29	3	0	14	6	3	40.86	0		11.155341
1	11	7	0	30	14	0	14	6	3	40.86	0		11.155341
1	14	9	0	15	9	14	6	5	6	61.76	0		6.571891
1	6	3	0	0	16	25	15	2	4	13.97	0		3.645134
1	18	10	0	10	9	22	14	2	4	56.44	0		11.405893
1	17	10	0	10	9	26	14	2	4	56.44	0		11.405893
1	16	10	0	15	9	0	14	2	4	56.44	0		11.405893
1	15	10	0	15	9	4	14	2	4	56.44	0		11.405893
1	3	1	0	15	22	14	12	3	3	21.65	0		3.189078
1	2	1	0	15	0	15	12	3	3	21.65	0		3.189078
1	1	1	0	15	22	17	12	3	3	21.65	0		3.189078
4	67	2	0	15	14	19	13	3	8	41.94	0		6.357081
4	68	2	0	15	22	20	13	3	8	41.94	0		6.357081
4	78	8	0	29	3	3	11	4	7	39.18	0		1.647596
4	77	8	0	29	7	3	11	4	7	39.18	0		1.647596
4	75	8	0	29	3	10	11	4	7	39.18	0		1.647596
4	76	8	0	29	7	10	11	4	7	39.18	0		1.647596
4	72	7	0	29	3	17	14	6	3	40.86	0		11.155341
4	73	7	0	29	9	17	14	6	3	40.86	0		11.155341
4	74	7	0	29	3	20	14	6	3	40.86	0		11.155341
4	81	9	0	29	9	20	6	5	6	61.76	0		6.571891
4	80	9	0	29	14	20	6	5	6	61.76	0		6.571891
4	79	9	0	29	3	23	6	5	6	61.76	0		6.571891
4	70	3	0	15	0	18	15	2	4	13.97	0		3.645134
20	398	10	0	28	22	0	14	2	4	56.44	0		11.405893
12	242	8	0	35	9	20	11	4	7	39.18	0		1.647596
4	83	10	0	15	3	15	14	2	4	56.44	0		11.405893
16	311	7	1	29	9	26	14	6	3	40.86	0		11.155341
4	66	1	0	15	14	27	12	3	3	21.65	0		3.189078
1	4	2	0	26	0	0	13	3	8	41.94	0		6.357081
4	71	4	0	30	14	3	15	4	8	53.06	1		1.746280
16	305	2	0	13	0	22	13	3	8	41.94	0		6.357081
4	65	1	0	27	22	14	12	3	3	21.65	0		3.189078
16	315	8	0	35	13	20	11	4	7	39.18	0		1.647596
4	84	10	0	15	3	19	14	2	4	56.44	0		11.405893
16	312	7	0	35	3	23	14	6	3	40.86	0		11.155341
16	313	7	0	35	3	26	14	6	3	40.86	0		11.155341
16	314	7	0	35	13	27	14	6	3	40.86	0		11.155341
16	316	9	0	43	3	0	6	5	6	61.76	0		6.571891
12	245	10	0	26	0	22	14	2	4	56.44	0		11.405893
16	308	3	0	30	20	0	15	2	4	13.97	0		3.645134
16	317	10	0	30	20	4	14	2	4	56.44	0		11.405893
16	318	10	0	30	20	8	14	2	4	56.44	0		11.405893
16	303	1	0	39	0	0	12	3	3	21.65	0		3.189078
16	304	1	0	39	0	3	12	3	3	21.65	0		3.189078
16	309	6	0	39	0	6	10	3	7	40.07	1		1.068636
16	310	6	0	39	0	13	10	3	7	40.07	1		1.068636
12	234	2	0	42	22	0	13	3	8	41.94	0		6.357081
4	82	10	0	15	3	23	14	2	4	56.44	0		11.405893
12	243	8	0	44	20	8	11	4	7	39.18	0		1.647596
12	239	5	0	44	20	15	15	3	6	28.48	0		4.924769
12	240	5	0	44	20	21	15	3	6	28.48	0		4.924769
12	241	7	0	35	19	27	14	6	3	40.86	0		11.155341
12	244	9	0	49	3	0	6	5	6	61.76	0		6.571891
12	235	3	0	26	0	26	15	2	4	13.97	0		3.645134
12	236	3	0	44	23	15	15	2	4	13.97	0		3.645134
16	307	3	0	43	8	0	15	2	4	13.97	0		3.645134
12	231	1	0	35	9	27	12	3	3	21.65	0		3.189078
12	232	1	0	43	10	0	12	3	3	21.65	0		3.189078
12	233	1	0	43	10	3	12	3	3	21.65	0		3.189078
