Name:				054_n020_m200_bt10
Problem:			3L-VRPTW
Number_of_used_Vehicles:	2
Total_Travel_Distance:		324.87
Calculation_Time:		3600.00
Total_Iterations:		228
ConstraintSet:			P20

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		10
No_of_Items:			101
Customer_Sequence:		3 11 15 8 6 20 7 19 13 5 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
5	48	2	0	0	0	0	16	3	8	129.52	0		30.424783
20	197	8	0	0	3	0	10	2	6	36.80	0		3.738420
5	50	4	0	0	5	0	15	6	3	35.21	0		3.303970
5	45	1	0	0	11	0	17	5	3	38.32	0		4.903730
5	46	1	0	0	16	0	17	5	3	38.32	0		4.903730
5	47	1	0	0	5	3	17	5	3	38.32	0		4.903730
5	54	9	0	0	21	0	16	3	5	49.56	0		3.469752
5	55	9	0	0	10	3	16	3	5	49.56	0		3.469752
5	56	9	0	0	13	3	16	3	5	49.56	0		3.469752
5	52	7	0	0	10	8	8	6	4	42.23	0		9.443542
5	57	10	0	0	10	12	8	6	3	28.79	0		6.533505
5	58	10	0	0	10	15	8	6	3	28.79	0		6.533505
5	53	8	0	0	16	3	10	2	6	36.80	0		3.738420
5	51	6	0	17	11	0	14	6	4	36.50	1		0.720757
19	183	5	0	17	17	0	10	7	5	54.66	1		0.878650
13	130	4	0	17	11	4	15	6	3	35.21	0		3.303970
13	127	1	0	0	5	6	17	5	3	38.32	0		4.903730
13	133	9	0	0	18	3	16	3	5	49.56	0		3.469752
13	134	9	0	0	21	5	16	3	5	49.56	0		3.469752
13	135	9	0	0	0	8	16	3	5	49.56	0		3.469752
13	129	3	0	0	18	8	12	3	6	36.65	0		5.086145
13	132	7	0	0	10	18	8	6	4	42.23	0		9.443542
19	179	1	0	0	5	9	17	5	3	38.32	0		4.903730
7	75	8	0	0	16	9	10	2	6	36.80	0		3.738420
6	62	7	0	0	10	22	8	6	4	42.23	0		9.443542
19	180	1	0	0	5	12	17	5	3	38.32	0		4.903730
19	181	3	0	0	21	10	12	3	6	36.65	0		5.086145
20	191	1	0	0	5	15	17	5	3	38.32	0		4.903730
19	188	10	0	8	10	8	8	6	3	28.79	0		6.533505
19	187	8	0	0	0	13	10	2	6	36.80	0		3.738420
13	128	2	0	0	18	14	16	3	8	129.52	0		30.424783
7	78	9	0	0	21	16	16	3	5	49.56	0		3.469752
19	185	6	0	27	17	0	14	6	4	36.50	1		0.720757
8	83	7	0	0	10	26	8	6	4	42.23	0		9.443542
7	69	2	0	0	21	21	16	3	8	129.52	0		30.424783
7	70	2	0	0	18	22	16	3	8	129.52	0		30.424783
7	72	4	0	17	11	7	15	6	3	35.21	0		3.303970
7	77	9	0	16	0	0	16	3	5	49.56	0		3.469752
19	184	5	0	27	17	4	10	7	5	54.66	1		0.878650
7	79	9	0	16	0	5	16	3	5	49.56	0		3.469752
7	71	3	0	16	0	10	12	3	6	36.65	0		5.086145
7	74	7	0	8	10	11	8	6	4	42.23	0		9.443542
19	182	4	0	41	17	0	15	6	3	35.21	0		3.303970
7	76	8	0	0	16	15	10	2	6	36.80	0		3.738420
7	73	6	0	17	11	10	14	6	4	36.50	1		0.720757
20	196	4	0	17	11	14	15	6	3	35.21	0		3.303970
20	189	1	0	0	5	18	17	5	3	38.32	0		4.903730
20	190	1	0	0	5	21	17	5	3	38.32	0		4.903730
19	186	7	0	17	17	5	8	6	4	42.23	0		9.443542
20	192	1	0	0	5	24	17	5	3	38.32	0		4.903730
20	193	1	0	0	5	27	17	5	3	38.32	0		4.903730
20	194	1	0	17	17	9	17	5	3	38.32	0		4.903730
8	81	6	0	17	17	12	14	6	4	36.50	1		0.720757
20	198	8	0	0	3	6	10	2	6	36.80	0		3.738420
5	49	4	0	15	5	0	15	6	3	35.21	0		3.303970
20	200	10	0	8	10	15	8	6	3	28.79	0		6.533505
7	68	2	0	16	0	16	16	3	8	129.52	0		30.424783
6	59	3	0	16	0	24	12	3	6	36.65	0		5.086145
13	131	6	0	17	5	3	14	6	4	36.50	1		0.720757
6	63	7	0	8	10	18	8	6	4	42.23	0		9.443542
6	64	7	0	8	10	22	8	6	4	42.23	0		9.443542
6	65	7	0	17	5	7	8	6	4	42.23	0		9.443542
6	67	10	0	17	5	11	8	6	3	28.79	0		6.533505
6	66	8	0	0	3	12	10	2	6	36.80	0		3.738420
6	60	5	0	32	0	0	10	7	5	54.66	1		0.878650
6	61	5	0	32	7	0	10	7	5	54.66	1		0.878650
8	80	4	0	17	17	16	15	6	3	35.21	0		3.303970
8	85	9	0	17	11	17	16	3	5	49.56	0		3.469752
8	84	8	0	0	3	18	10	2	6	36.80	0		3.738420
20	199	8	0	0	16	21	10	2	6	36.80	0		3.738420
8	86	10	0	8	10	26	8	6	3	28.79	0		6.533505
8	82	7	0	17	5	14	8	6	4	42.23	0		9.443542
20	195	3	0	32	14	0	12	3	6	36.65	0		5.086145
15	148	9	0	17	14	17	16	3	5	49.56	0		3.469752
15	143	3	0	17	17	19	12	3	6	36.65	0		5.086145
15	144	3	0	17	20	19	12	3	6	36.65	0		5.086145
