Name:				171_n060_m200_bt10
Problem:			3L-VRPTW
Number_of_used_Vehicles:	4
Total_Travel_Distance:		610.88
Calculation_Time:		3600.0
Total_Iterations:		3
ConstraintSet:			P20

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		26
No_of_Items:			91
Customer_Sequence:		42 9 47 11 25 6 36 16 18 13 32 38 46 27 14 21 45 1 55 37 17 57 51 2 8 4 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
4	14	7	0	0	0	0	15	3	6	57.68	0		35.932048
4	13	2	0	0	3	0	6	3	8	54.32	0		58.059189
4	15	9	0	0	6	0	7	3	5	35.26	0		5.359526
8	22	1	0	0	9	0	15	6	6	108.89	0		3.600122
8	23	3	0	0	15	0	15	4	8	116.80	0		10.625010
8	26	7	0	0	19	0	15	3	6	57.68	0		35.932048
8	24	4	0	0	9	6	11	4	5	69.70	1		12.672935
8	25	4	0	0	19	6	11	4	5	69.70	1		12.672935
2	6	3	0	0	15	8	15	4	8	116.80	0		10.625010
2	4	1	0	15	0	0	15	6	6	108.89	0		3.600122
2	5	2	0	0	6	5	6	3	8	54.32	0		58.059189
51	168	3	0	0	15	16	15	4	8	116.80	0		10.625010
2	7	7	0	0	0	6	15	3	6	57.68	0		35.932048
51	170	8	0	15	6	0	11	6	6	163.09	0		10.240460
51	169	5	0	11	9	6	7	6	3	120.83	0		16.901105
57	186	3	0	0	0	12	15	4	8	116.80	0		10.625010
57	188	7	0	0	0	20	15	3	6	57.68	0		35.932048
57	189	7	0	0	15	24	15	3	6	57.68	0		35.932048
57	187	4	0	0	9	11	11	4	5	69.70	1		12.672935
17	50	1	0	15	15	0	15	6	6	108.89	0		3.600122
17	52	9	0	0	19	11	7	3	5	35.26	0		5.359526
17	51	5	0	11	9	9	7	6	3	120.83	0		16.901105
55	183	10	0	15	0	6	15	5	5	78.96	1		3.001149
37	123	6	0	0	9	16	12	4	4	85.06	0		5.271628
1	3	9	0	0	6	13	7	3	5	35.26	0		5.359526
25	85	7	0	0	9	20	15	3	6	57.68	0		35.932048
55	182	7	0	11	19	6	15	3	6	57.68	0		35.932048
55	181	2	0	0	19	16	6	3	8	54.32	0		58.059189
37	120	2	0	15	15	6	6	3	8	54.32	0		58.059189
1	1	1	0	15	0	11	15	6	6	108.89	0		3.600122
1	2	3	0	11	19	12	15	4	8	116.80	0		10.625010
37	122	5	0	11	9	12	7	6	3	120.83	0		16.901105
45	148	1	0	15	0	17	15	6	6	108.89	0		3.600122
45	149	8	0	15	0	23	11	6	6	163.09	0		10.240460
45	150	10	0	11	19	20	15	5	5	78.96	1		3.001149
21	64	1	0	26	6	0	15	6	6	108.89	0		3.600122
21	68	8	0	26	6	6	11	6	6	163.09	0		10.240460
14	40	2	0	0	6	18	6	3	8	54.32	0		58.059189
36	116	2	0	15	15	14	6	3	8	54.32	0		58.059189
21	66	2	0	15	6	6	6	3	8	54.32	0		58.059189
