Name:				477_n060_m400_bt100
Problem:			3L-VRPTW
Number_of_used_Vehicles:	7
Total_Travel_Distance:		726.74
Calculation_Time:		3600.0
Total_Iterations:		18
ConstraintSet:			P20

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		9
No_of_Items:			66
Customer_Sequence:		22 4 13 11 33 57 46 39 42 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
42	276	31	0	0	0	0	15	3	6	103.36	0		64.455678
42	278	56	0	0	3	0	7	6	5	22.65	0		5.112902
42	274	6	0	0	9	0	11	5	3	31.75	0		14.616352
42	277	38	0	0	14	0	8	6	3	14.41	0		4.323917
42	273	4	0	0	20	0	8	2	6	14.89	0		4.080258
42	280	89	0	0	22	0	13	2	3	8.61	0		2.481198
42	275	30	0	0	9	3	13	4	6	45.68	1		2.825480
42	279	82	0	0	22	3	13	2	7	27.86	1		7.041241
39	255	49	0	8	14	0	13	7	3	51.60	0		4.981509
39	254	46	0	0	13	3	12	5	3	34.93	0		8.230866
39	252	6	0	0	13	6	11	5	3	31.75	0		14.616352
39	257	79	0	0	18	3	13	2	6	18.29	0		2.412554
39	253	24	0	0	3	5	8	4	4	17.55	0		6.120799
39	256	61	0	0	3	9	8	4	5	80.08	1		5.401040
46	301	36	1	0	7	9	13	6	8	114.06	0		10.605865
46	299	20	1	0	7	17	16	5	5	104.79	0		73.321516
46	302	42	1	0	7	22	16	6	4	41.74	0		8.134056
46	303	72	1	0	7	26	15	6	4	48.27	0		5.312615
46	304	74	0	0	0	6	15	3	5	25.58	0		3.714519
46	300	32	0	0	22	10	16	2	5	29.58	0		4.925075
57	380	96	0	15	0	0	17	7	5	106.71	0		29.415038
57	379	84	0	15	7	0	16	4	7	67.34	0		9.952281
57	376	42	0	15	0	5	16	6	4	41.74	0		8.134056
57	378	55	0	15	0	9	16	6	4	45.34	0		4.098218
57	377	46	1	6	7	9	12	5	3	34.93	0		8.230866
57	374	30	1	6	7	12	13	4	6	45.68	1		2.825480
57	375	33	0	15	0	13	7	6	7	46.94	1		1.550322
33	216	36	0	21	14	0	13	6	8	114.06	0		10.605865
33	212	2	1	6	7	18	12	5	6	62.65	0		18.418073
33	215	25	0	15	0	20	8	7	6	34.04	0		4.239052
33	218	74	1	6	7	24	15	3	5	25.58	0		3.714519
33	217	40	0	12	13	3	9	5	3	22.36	0		35.896296
33	213	3	0	11	13	6	6	4	5	19.52	0		7.946402
33	219	75	1	9	7	24	16	2	3	15.31	0		6.530126
33	214	4	0	11	13	11	8	2	6	14.89	0		4.080258
33	220	88	0	15	7	7	12	5	8	186.59	1		7.179931
11	61	76	0	15	7	15	13	4	6	57.73	0		5.858511
11	62	77	0	15	7	21	14	4	4	139.41	0		27.608599
11	63	77	0	15	7	25	14	4	4	139.41	0		27.608599
11	65	91	0	21	20	0	7	4	5	14.03	0		4.074911
11	64	87	0	21	14	8	12	3	3	54.02	0		62.685455
11	57	5	0	15	0	26	9	3	3	80.93	0		20.602173
11	60	73	0	31	7	0	11	6	7	85.30	1		4.274762
11	59	54	0	21	17	8	16	3	6	34.72	1		2.576382
11	58	10	0	21	20	5	6	4	7	30.90	1		1.626658
13	77	62	0	32	0	0	15	7	7	108.57	0		5.890096
13	78	69	0	31	7	7	8	7	8	50.95	0		6.849468
13	75	42	0	32	0	7	16	6	4	41.74	0		8.134056
13	73	11	0	21	14	11	10	3	8	27.32	0		8.828084
13	71	6	0	28	20	0	11	5	3	31.75	0		14.616352
13	76	59	0	21	17	14	13	3	4	20.34	0		27.841572
13	79	75	0	21	17	18	16	2	3	15.31	0		6.530126
13	72	8	0	11	15	11	8	2	6	15.89	0		4.577081
13	74	37	0	32	0	11	12	6	8	79.81	1		1.434383
4	21	90	0	32	0	19	11	6	4	85.22	0		11.034277
4	20	60	0	32	0	23	11	6	3	88.76	0		21.608899
4	18	48	0	42	7	0	16	6	3	48.14	1		1.780451
4	19	54	0	34	14	0	16	3	6	34.72	1		2.576382
4	17	16	0	28	20	3	8	5	3	16	1		2.750883
22	135	41	0	39	20	0	15	5	5	66.70	0		12.969484
22	137	59	0	21	14	19	13	3	4	20.34	0		27.841572
22	138	59	0	21	14	23	13	3	4	20.34	0		27.841572
22	134	40	0	28	20	6	9	5	3	22.36	0		35.896296
22	132	22	0	21	20	12	6	3	5	10.88	0		2.665044
22	133	28	0	39	20	5	14	4	8	51.74	1		3.122893
22	136	44	0	42	7	3	17	6	3	58.39	1		6.535929


-------------------------------------------------------------------------------------------------------------------
Tour_Id:			2
No_of_Customers:		10
No_of_Items:			71
Customer_Sequence:		60 18 21 43 37 14 20 25 10 3 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
3	11	36	0	0	0	0	13	6	8	114.06	0		10.605865
3	14	70	0	0	6	0	14	7	6	141.45	0		13.985246
3	16	97	0	0	13	0	14	6	5	76.44	0		12.111479
3	15	76	0	0	19	0	13	4	6	57.73	0		5.858511
3	12	46	0	0	13	5	12	5	3	34.93	0		8.230866
3	13	59	0	0	6	6	13	3	4	20.34	0		27.841572
3	10	28	0	0	9	6	14	4	8	51.74	1		3.122893
10	54	85	0	0	0	8	16	5	8	120.79	0		47.901664
10	55	96	0	14	6	0	17	7	5	106.71	0		29.415038
14	84	89	0	0	23	0	13	2	3	8.61	0		2.481198
21	130	82	0	0	23	3	13	2	7	27.86	1		7.041241
10	50	22	0	0	19	6	6	3	5	10.88	0		2.665044
10	52	37	0	0	13	8	12	6	8	79.81	1		1.434383
10	51	30	0	0	9	14	13	4	6	45.68	1		2.825480
25	157	72	0	0	0	16	15	6	4	48.27	0		5.312615
25	154	25	0	0	13	16	8	7	6	34.04	0		4.239052
25	158	74	0	0	6	10	15	3	5	25.58	0		3.714519
25	156	66	0	0	0	20	12	4	4	36.99	0		4.223603
25	151	17	0	0	13	22	10	5	3	16.50	0		4.146566
25	155	38	0	0	13	25	8	6	3	14.41	0		4.323917
25	153	24	0	0	9	20	8	4	4	17.55	0		6.120799
25	152	22	0	0	19	11	6	3	5	10.88	0		2.665044
20	122	84	0	13	19	0	16	4	7	67.34	0		9.952281
20	123	97	0	14	13	0	14	6	5	76.44	0		12.111479
20	124	98	0	12	13	5	11	4	8	52.50	0		8.358790
20	120	12	0	0	0	24	13	4	5	101.92	0		14.799717
20	125	100	0	28	13	0	7	6	4	56.59	0		14.897650
20	121	17	0	12	13	13	10	5	3	16.50	0		4.146566
20	119	10	0	8	9	20	6	4	7	30.90	1		1.626658
14	88	99	0	31	6	0	15	6	8	95.98	0		4.030147
14	87	94	0	12	13	16	10	6	6	57.53	0		12.419586
14	83	67	0	12	13	22	6	5	4	21.16	0		42.454387
14	86	92	0	28	13	4	9	5	3	16.92	0		17.225643
37	241	39	0	28	13	7	9	6	6	130.39	0		11.579829
10	56	97	0	13	0	0	14	6	5	76.44	0		12.111479
14	80	28	0	13	19	7	14	4	8	51.74	1		3.122893
14	81	48	0	27	0	0	16	6	3	48.14	1		1.780451
14	82	54	0	0	6	15	16	3	6	34.72	1		2.576382
37	245	85	0	27	0	3	16	5	8	120.79	0		47.901664
37	246	85	0	27	0	11	16	5	8	120.79	0		47.901664
43	287	83	0	27	0	19	9	6	8	57.36	1		1.587309
37	243	60	0	28	13	13	11	6	3	88.76	0		21.608899
37	242	52	0	13	19	15	13	4	4	28.09	1		4.898207
37	244	64	0	0	6	21	7	3	8	27.80	1		1.911280
43	285	69	0	28	13	16	8	7	8	50.95	0		6.849468
43	282	29	0	31	6	8	11	6	6	44.94	0		8.553572
43	286	81	0	29	19	0	16	4	5	49.50	0		13.343516
10	53	57	0	13	0	5	13	5	3	30.42	0		5.844104
14	85	91	0	16	0	8	7	4	5	14.03	0		4.074911
43	283	30	0	13	19	19	13	4	6	45.68	1		2.825480
43	284	33	0	31	6	14	7	6	7	46.94	1		1.550322
21	128	62	1	46	6	0	15	7	7	108.57	0		5.890096
21	129	78	0	43	0	0	16	6	7	109.17	0		13.089828
21	126	60	0	27	0	27	11	6	3	88.76	0		21.608899
21	131	88	0	43	0	7	12	5	8	186.59	1		7.179931
43	281	3	0	13	19	25	6	4	5	19.52	0		7.946402
21	127	61	0	19	19	25	8	4	5	80.08	1		5.401040
18	107	19	1	46	6	7	17	5	5	74.95	0		7.176011
18	110	50	0	31	6	21	7	7	7	40.85	0		4.798750
18	109	39	0	28	13	24	9	6	6	130.39	0		11.579829
18	111	93	0	7	6	21	11	3	3	14.71	0		5.975728
18	108	33	0	43	0	15	7	6	7	46.94	1		1.550322
18	106	16	0	12	13	26	8	5	3	16	1		2.750883
60	397	36	1	46	6	12	13	6	8	114.06	0		10.605865
60	395	25	0	43	0	22	8	7	6	34.04	0		4.239052
60	393	15	0	0	23	10	15	2	8	42.96	0		12.359728
60	398	56	0	53	6	0	7	6	5	22.65	0		5.112902
60	400	100	0	53	12	0	7	6	4	56.59	0		14.897650
60	394	23	0	0	23	18	12	2	6	120.23	0		60.119069
60	396	33	0	53	18	0	7	6	7	46.94	1		1.550322
60	399	82	0	13	23	0	13	2	7	27.86	1		7.041241


-------------------------------------------------------------------------------------------------------------------
Tour_Id:			3
No_of_Customers:		8
No_of_Items:			58
Customer_Sequence:		19 23 36 40 55 49 9 53 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
53	348	36	0	0	0	0	13	6	8	114.06	0		10.605865
53	349	68	0	0	6	0	12	7	7	103.37	0		10.531738
53	350	68	0	0	13	0	12	7	7	103.37	0		10.531738
53	352	86	0	0	6	7	9	7	8	93.18	0		8.856581
53	354	97	0	0	13	7	14	6	5	76.44	0		12.111479
53	347	34	0	0	0	8	10	6	3	25.64	0		13.227737
53	351	79	0	0	20	0	13	2	6	18.29	0		2.412554
53	353	92	0	0	0	11	9	5	3	16.92	0		17.225643
53	346	30	0	0	13	12	13	4	6	45.68	1		2.825480
9	48	70	0	12	6	0	14	7	6	141.45	0		13.985246
9	47	42	0	12	6	6	16	6	4	41.74	0		8.134056
9	46	40	0	0	0	14	9	5	3	22.36	0		35.896296
9	49	93	0	0	22	0	11	3	3	14.71	0		5.975728
9	45	37	0	0	6	15	12	6	8	79.81	1		1.434383
49	323	13	0	0	6	23	14	5	6	68.25	0		4.702851
49	325	39	0	0	0	17	9	6	6	130.39	0		11.579829
49	327	81	0	0	13	18	16	4	5	49.50	0		13.343516
49	324	23	0	0	22	3	12	2	6	120.23	0		60.119069
49	326	71	0	0	20	6	16	2	3	16.37	0		51.754616
55	368	85	0	13	0	0	16	5	8	120.79	0		47.901664
55	367	58	0	0	20	9	16	4	3	121.28	0		27.631484
55	365	51	0	0	20	12	14	3	4	25.50	0		10.125835
55	369	100	0	0	0	23	7	6	4	56.59	0		14.897650
55	363	8	0	0	17	12	8	2	6	15.89	0		4.577081
55	364	30	0	0	20	16	13	4	6	45.68	1		2.825480
55	366	54	0	0	20	22	16	3	6	34.72	1		2.576382
40	266	90	0	0	11	23	11	6	4	85.22	0		11.034277
40	261	12	0	10	0	8	13	4	5	101.92	0		14.799717
40	264	58	0	10	0	13	16	4	3	121.28	0		27.631484
40	262	24	0	10	0	16	8	4	4	17.55	0		6.120799
40	258	3	0	10	0	20	6	4	5	19.52	0		7.946402
40	259	4	0	0	17	18	8	2	6	14.89	0		4.080258
40	265	73	0	29	0	0	11	6	7	85.30	1		4.274762
40	260	7	0	29	6	0	13	6	4	46.32	1		1.375224
40	263	48	0	29	12	0	16	6	3	48.14	1		1.780451
36	238	85	0	29	18	0	16	5	8	120.79	0		47.901664
36	236	68	0	29	6	4	12	7	7	103.37	0		10.531738
36	240	97	0	29	0	7	14	6	5	76.44	0		12.111479
36	234	42	0	29	18	8	16	6	4	41.74	0		8.134056
36	237	81	0	29	6	11	16	4	5	49.50	0		13.343516
36	233	23	0	29	23	0	12	2	6	120.23	0		60.119069
36	239	87	0	0	11	27	12	3	3	54.02	0		62.685455
36	235	61	0	10	0	25	8	4	5	80.08	1		5.401040
23	140	35	0	29	0	12	17	4	7	55.80	0		4.383593
23	143	69	0	29	18	12	8	7	8	50.95	0		6.849468
23	145	79	0	29	10	11	13	2	6	18.29	0		2.412554
23	141	38	0	29	18	20	8	6	3	14.41	0		4.323917
23	142	40	0	29	0	19	9	5	3	22.36	0		35.896296
23	146	87	0	0	14	27	12	3	3	54.02	0		62.685455
23	144	71	0	29	4	12	16	2	3	16.37	0		51.754616
23	139	9	0	18	0	16	9	3	4	126.98	1		32.631030
19	117	99	0	45	12	0	15	6	8	95.98	0		4.030147
19	113	11	0	29	6	16	10	3	8	27.32	0		8.828084
19	116	77	0	45	18	0	14	4	4	139.41	0		27.608599
19	118	100	0	29	0	22	7	6	4	56.59	0		14.897650
19	115	40	0	29	18	23	9	5	3	22.36	0		35.896296
19	112	1	0	29	0	26	7	5	3	20.51	0		8.714496
19	114	37	0	45	12	8	12	6	8	79.81	1		1.434383


-------------------------------------------------------------------------------------------------------------------
Tour_Id:			4
No_of_Customers:		8
No_of_Items:			51
Customer_Sequence:		38 34 16 30 50 26 48 58 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
48	314	2	0	0	0	0	12	5	6	62.65	0		18.418073
26	166	86	0	0	5	0	9	7	8	93.18	0		8.856581
58	383	37	0	0	12	0	12	6	8	79.81	1		1.434383
58	385	88	0	0	18	0	12	5	8	186.59	1		7.179931
58	382	26	0	12	12	0	17	4	3	20.54	1		0.917206
58	384	82	0	0	23	0	13	2	7	27.86	1		7.041241
26	161	28	0	0	0	6	14	4	8	51.74	1		3.122893
48	315	13	0	0	12	8	14	5	6	68.25	0		4.702851
58	381	13	0	0	17	8	14	5	6	68.25	0		4.702851
48	319	43	0	0	12	14	8	5	8	43.25	0		17.519972
48	317	32	0	0	23	7	16	2	5	29.58	0		4.925075
48	320	59	0	0	17	14	13	3	4	20.34	0		27.841572
48	322	95	0	0	17	18	6	3	7	17.96	0		2.811206
48	321	92	0	0	12	22	9	5	3	16.92	0		17.225643
58	386	90	0	12	16	0	11	6	4	85.22	0		11.034277
48	316	28	0	23	16	0	14	4	8	51.74	1		3.122893
26	159	20	0	9	5	0	16	5	5	104.79	0		73.321516
26	160	24	0	0	5	8	8	4	4	17.55	0		6.120799
26	162	67	0	0	5	12	6	5	4	21.16	0		42.454387
26	163	75	0	0	23	12	16	2	3	15.31	0		6.530126
48	318	36	0	37	16	0	13	6	8	114.06	0		10.605865
30	191	24	0	0	0	14	8	4	4	17.55	0		6.120799
50	329	31	0	9	5	5	15	3	6	103.36	0		64.455678
50	333	61	0	0	5	16	8	4	5	80.08	1		5.401040
26	165	82	0	0	20	14	13	2	7	27.86	1		7.041241
50	332	41	0	23	16	8	15	5	5	66.70	0		12.969484
50	331	34	0	0	12	25	10	6	3	25.64	0		13.227737
50	330	32	0	0	23	15	16	2	5	29.58	0		4.925075
50	334	83	0	23	16	13	9	6	8	57.36	1		1.587309
50	328	20	0	25	5	0	16	5	5	104.79	0		73.321516
30	190	14	0	24	5	5	15	6	8	115.15	0		6.407914
30	192	36	0	24	5	13	13	6	8	114.06	0		10.605865
30	195	91	0	0	0	18	7	4	5	14.03	0		4.074911
26	164	82	0	0	20	21	13	2	7	27.86	1		7.041241
30	193	65	0	0	5	21	7	4	4	16.93	0		4.884243
30	194	73	0	23	16	21	11	6	7	85.30	1		4.274762
16	93	20	0	24	5	21	16	5	5	104.79	0		73.321516
16	94	43	0	38	16	8	8	5	8	43.25	0		17.519972
16	97	76	0	29	12	0	13	4	6	57.73	0		5.858511
16	95	49	0	41	5	0	13	7	3	51.60	0		4.981509
16	96	73	0	41	5	3	11	6	7	85.30	1		4.274762
34	224	36	0	41	5	10	13	6	8	114.06	0		10.605865
34	225	53	0	41	5	18	17	5	5	46.82	0		5.600948
34	222	29	0	41	5	23	11	6	6	44.94	0		8.553572
34	221	6	0	24	5	26	11	5	3	31.75	0		14.616352
34	223	33	0	38	16	16	7	6	7	46.94	1		1.550322
38	251	86	0	50	16	0	9	7	8	93.18	0		8.856581
38	250	74	0	29	12	6	15	3	5	25.58	0		3.714519
38	249	58	0	42	12	0	16	4	3	121.28	0		27.631484
38	247	24	0	0	0	23	8	4	4	17.55	0		6.120799
38	248	33	0	38	16	23	7	6	7	46.94	1		1.550322


-------------------------------------------------------------------------------------------------------------------
Tour_Id:			5
No_of_Customers:		8
No_of_Items:			44
Customer_Sequence:		8 24 51 15 59 29 56 54 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
54	357	35	0	0	0	0	17	4	7	55.80	0		4.383593
54	360	72	0	0	4	0	15	6	4	48.27	0		5.312615
54	355	2	0	0	10	0	12	5	6	62.65	0		18.418073
54	362	98	0	0	15	0	11	4	8	52.50	0		8.358790
54	358	46	0	0	19	0	12	5	3	34.93	0		8.230866
54	359	46	0	0	19	3	12	5	3	34.93	0		8.230866
54	361	73	0	0	4	4	11	6	7	85.30	1		4.274762
54	356	33	0	0	19	6	7	6	7	46.94	1		1.550322
56	373	95	0	0	10	6	6	3	7	17.96	0		2.811206
56	371	22	0	0	0	7	6	3	5	10.88	0		2.665044
56	370	18	0	12	10	0	17	6	5	73.63	1		1.920954
56	372	82	0	0	13	6	13	2	7	27.86	1		7.041241
29	189	99	0	12	16	0	15	6	8	95.98	0		4.030147
29	184	47	0	0	4	11	10	6	8	105.42	0		6.248554
29	185	47	0	0	4	19	10	6	8	105.42	0		6.248554
29	182	19	0	12	16	8	17	5	5	74.95	0		7.176011
29	188	98	0	0	15	8	11	4	8	52.50	0		8.358790
29	183	34	0	0	4	27	10	6	3	25.64	0		13.227737
29	187	93	0	0	15	16	11	3	3	14.71	0		5.975728
29	186	75	0	0	13	13	16	2	3	15.31	0		6.530126
29	181	9	0	0	19	13	9	3	4	126.98	1		32.631030
59	390	35	0	12	16	13	17	4	7	55.80	0		4.383593
59	387	20	0	12	16	20	16	5	5	104.79	0		73.321516
59	389	31	0	12	22	0	15	3	6	103.36	0		64.455678
