Name:				051_n020_m200_bt10
Problem:			3L-VRPTW
Number_of_used_Vehicles:	2
Total_Travel_Distance:		327.85
Calculation_Time:		3600.01
Total_Iterations:		195
ConstraintSet:			P21

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		11
No_of_Items:			108
Customer_Sequence:		2 12 4 17 9 14 20 1 10 5 16 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
16	160	10	0	0	0	0	8	7	6	51.33	0		7.234962
16	152	2	0	0	7	0	12	5	5	38.67	0		7.136520
16	154	5	0	0	12	0	8	7	3	20.11	0		2.450406
5	47	10	0	0	12	3	8	7	6	51.33	0		7.234962
5	38	4	0	0	19	0	14	3	8	36.30	0		6.203210
16	157	7	0	0	7	5	6	5	5	21.54	0		5.151021
16	158	7	0	0	0	6	6	5	5	21.54	0		5.151021
16	159	8	0	0	7	10	6	4	3	29.71	0		7.282358
16	153	3	0	0	22	0	8	2	8	16.17	1		1.419186
5	40	6	0	8	0	0	17	5	8	86.47	0		1.935147
16	156	7	0	0	0	11	6	5	5	21.54	0		5.151021
5	39	4	0	0	19	8	14	3	8	36.30	0		6.203210
5	45	10	0	0	12	9	8	7	6	51.33	0		7.234962
5	46	10	0	0	12	15	8	7	6	51.33	0		7.234962
16	155	7	0	0	7	13	6	5	5	21.54	0		5.151021
5	48	10	0	0	12	21	8	7	6	51.33	0		7.234962
20	195	2	0	8	12	0	12	5	5	38.67	0		7.136520
5	42	8	0	0	0	16	6	4	3	29.71	0		7.282358
5	43	9	0	8	0	8	9	5	7	48.91	1		1.712013
5	44	9	0	8	0	15	9	5	7	48.91	1		1.712013
10	90	4	0	0	19	16	14	3	8	36.30	0		6.203210
10	91	4	0	8	22	0	14	3	8	36.30	0		6.203210
10	94	10	0	25	0	0	8	7	6	51.33	0		7.234962
10	95	10	0	25	0	6	8	7	6	51.33	0		7.234962
10	88	2	0	12	7	0	12	5	5	38.67	0		7.136520
10	92	7	0	0	7	18	6	5	5	21.54	0		5.151021
10	93	7	0	0	7	23	6	5	5	21.54	0		5.151021
10	89	3	0	0	5	6	8	2	8	16.17	1		1.419186
1	4	5	0	0	12	27	8	7	3	20.11	0		2.450406
1	1	1	0	6	7	5	16	5	6	60.17	0		14.829627
1	8	6	0	6	7	11	17	5	8	86.47	0		1.935147
1	2	2	0	6	7	19	12	5	5	38.67	0		7.136520
1	5	5	0	25	0	12	8	7	3	20.11	0		2.450406
1	3	3	0	0	22	8	8	2	8	16.17	1		1.419186
20	191	1	0	6	7	24	16	5	6	60.17	0		14.829627
1	6	5	0	25	0	15	8	7	3	20.11	0		2.450406
20	192	1	0	8	12	5	16	5	6	60.17	0		14.829627
1	7	5	0	25	0	18	8	7	3	20.11	0		2.450406
20	193	1	0	8	12	11	16	5	6	60.17	0		14.829627
20	194	1	0	8	12	17	16	5	6	60.17	0		14.829627
14	135	7	0	8	12	23	6	5	5	21.54	0		5.151021
20	197	7	0	18	7	19	6	5	5	21.54	0		5.151021
20	198	7	0	20	12	0	6	5	5	21.54	0		5.151021
20	199	8	0	0	19	24	6	4	3	29.71	0		7.282358
