Name:				054_n020_m200_bt10
Problem:			3L-VRPTW
Number_of_used_Vehicles:	2
Total_Travel_Distance:		361.09
Calculation_Time:		3600.00
Total_Iterations:		227
ConstraintSet:			P21

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		10
No_of_Items:			101
Customer_Sequence:		19 13 5 18 4 9 17 12 1 2 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
2	10	2	0	0	0	0	16	3	8	129.52	0		30.424783
2	9	1	0	0	3	0	17	5	3	38.32	0		4.903730
1	1	1	0	0	8	0	17	5	3	38.32	0		4.903730
2	11	3	0	0	13	0	12	3	6	36.65	0		5.086145
2	12	3	0	0	16	0	12	3	6	36.65	0		5.086145
2	16	7	0	0	19	0	8	6	4	42.23	0		9.443542
2	19	10	0	0	19	4	8	6	3	28.79	0		6.533505
2	17	8	0	0	3	3	10	2	6	36.80	0		3.738420
2	13	5	0	12	13	0	10	7	5	54.66	1		0.878650
2	14	5	0	12	13	5	10	7	5	54.66	1		0.878650
2	15	6	0	22	13	0	14	6	4	36.50	1		0.720757
1	2	4	0	0	5	3	15	6	3	35.21	0		3.303970
1	3	4	0	0	5	6	15	6	3	35.21	0		3.303970
17	169	10	0	0	3	9	8	6	3	28.79	0		6.533505
1	7	9	0	0	0	8	16	3	5	49.56	0		3.469752
1	8	9	0	0	0	13	16	3	5	49.56	0		3.469752
1	6	8	0	0	11	3	10	2	6	36.80	0		3.738420
1	4	5	0	12	13	10	10	7	5	54.66	1		0.878650
1	5	5	0	12	13	15	10	7	5	54.66	1		0.878650
12	119	2	0	0	9	9	16	3	8	129.52	0		30.424783
12	120	4	0	17	3	0	15	6	3	35.21	0		3.303970
12	121	4	0	17	3	3	15	6	3	35.21	0		3.303970
12	117	1	0	12	20	0	17	5	3	38.32	0		4.903730
12	118	1	0	12	20	3	17	5	3	38.32	0		4.903730
12	123	9	0	0	9	17	16	3	5	49.56	0		3.469752
12	124	9	0	0	0	18	16	3	5	49.56	0		3.469752
9	94	10	0	0	3	12	8	6	3	28.79	0		6.533505
12	126	9	0	0	9	22	16	3	5	49.56	0		3.469752
12	122	5	0	12	13	20	10	7	5	54.66	1		0.878650
17	162	4	0	17	3	6	15	6	3	35.21	0		3.303970
17	163	4	0	8	3	9	15	6	3	35.21	0		3.303970
17	167	9	0	0	0	23	16	3	5	49.56	0		3.469752
17	164	7	0	32	3	0	8	6	4	42.23	0		9.443542
17	165	7	0	32	3	4	8	6	4	42.23	0		9.443542
17	168	10	0	23	3	9	8	6	3	28.79	0		6.533505
2	18	9	0	16	0	0	16	3	5	49.56	0		3.469752
4	42	9	0	8	3	12	16	3	5	49.56	0		3.469752
9	92	9	0	8	6	12	16	3	5	49.56	0		3.469752
9	93	9	0	8	6	17	16	3	5	49.56	0		3.469752
9	89	7	0	0	3	15	8	6	4	42.23	0		9.443542
12	125	9	0	12	20	6	16	3	5	49.56	0		3.469752
9	90	8	0	8	6	22	10	2	6	36.80	0		3.738420
9	91	8	0	12	23	6	10	2	6	36.80	0		3.738420
9	87	5	0	12	13	25	10	7	5	54.66	1		0.878650
9	88	6	0	22	13	4	14	6	4	36.50	1		0.720757
4	35	2	0	8	3	17	16	3	8	129.52	0		30.424783
4	37	4	0	36	13	0	15	6	3	35.21	0		3.303970
4	31	1	0	29	20	0	17	5	3	38.32	0		4.903730
4	32	1	0	29	20	3	17	5	3	38.32	0		4.903730
4	33	1	0	28	20	6	17	5	3	38.32	0		4.903730
4	34	1	0	28	20	9	17	5	3	38.32	0		4.903730
4	41	9	0	8	3	25	16	3	5	49.56	0		3.469752
17	166	8	0	12	20	11	10	2	6	36.80	0		3.738420
4	43	9	0	16	0	5	16	3	5	49.56	0		3.469752
4	36	3	0	16	0	10	12	3	6	36.65	0		5.086145
4	40	7	0	24	3	12	8	6	4	42.23	0		9.443542
4	44	10	0	24	3	16	8	6	3	28.79	0		6.533505
4	38	5	0	22	13	8	10	7	5	54.66	1		0.878650
4	39	6	0	36	13	3	14	6	4	36.50	1		0.720757
18	170	1	0	28	20	12	17	5	3	38.32	0		4.903730
18	171	1	0	28	20	15	17	5	3	38.32	0		4.903730
18	178	9	0	16	0	16	16	3	5	49.56	0		3.469752
18	172	3	0	16	0	21	12	3	6	36.65	0		5.086145
