Name:				315_n020_m400_bt100
Problem:			3L-VRPTW
Number_of_used_Vehicles:	5
Total_Travel_Distance:		430.65
Calculation_Time:		3600.01
Total_Iterations:		1058
ConstraintSet:			P21

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		5
No_of_Items:			102
Customer_Sequence:		5 4 17 16 18 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
18	355	42	0	0	0	0	15	6	8	90.51	0		2.963263
18	361	89	0	0	6	0	17	7	5	61.57	0		6.821022
18	349	22	0	0	13	0	17	5	5	34.18	0		2.850364
18	351	34	0	0	18	0	9	6	7	32.65	0		3.132862
18	362	95	0	0	6	5	17	3	6	27.97	0		5.229541
18	360	82	0	0	9	5	17	5	3	40.92	0		8.709089
18	345	13	0	0	14	5	7	2	3	4.12	0		11.393102
18	346	14	0	0	18	7	11	6	3	17.21	0		6.900188
18	352	35	0	0	0	8	11	3	6	30.11	0		6.041536
18	347	15	0	0	9	8	8	4	5	12.60	0		8.604765
18	348	15	0	0	18	10	8	4	5	12.60	0		8.604765
18	354	41	0	7	14	5	12	4	3	19.93	0		4.377597
18	350	32	0	0	3	8	15	3	3	13.15	0		2.224889
18	359	73	0	0	13	8	9	3	5	17.09	0		15.259438
18	344	2	0	0	22	10	11	2	5	18	0		18.337744
18	363	98	0	0	3	11	7	3	4	7.43	0		8.185470
18	358	73	0	0	6	11	9	3	5	17.09	0		15.259438
18	353	40	0	0	9	13	7	3	4	6.45	0		16.942827
18	356	52	0	9	18	0	14	4	4	30.63	0		9.399698
16	313	81	0	0	12	13	7	2	5	5.48	0		5.516522
18	342	1	0	8	9	8	12	4	4	21.79	1		1.504980
16	308	62	0	0	18	15	10	4	8	27.17	0		14.443453
16	302	22	0	15	0	0	17	5	5	34.18	0		2.850364
17	334	53	0	15	0	5	16	4	4	25.74	0		3.366181
18	343	1	0	9	13	8	12	4	4	21.79	1		1.504980
16	319	95	0	17	6	0	17	3	6	27.97	0		5.229541
16	320	96	0	0	0	14	10	3	8	26.18	0		8.788822
16	309	63	0	23	18	0	8	6	5	21.99	0		3.966926
16	306	52	0	31	18	0	14	4	4	30.63	0		9.399698
16	315	83	0	0	6	16	12	3	6	19.78	0		2.055554
16	314	83	0	0	0	22	12	3	6	19.78	0		2.055554
16	300	14	0	32	0	0	11	6	3	17.21	0		6.900188
16	303	35	0	0	6	22	11	3	6	30.11	0		6.041536
16	311	78	0	0	18	23	6	4	7	15.72	0		2.822392
16	301	18	0	0	3	15	9	3	7	19.55	1		0.771253
16	307	58	0	0	9	17	6	3	6	9.31	0		4.258084
17	337	67	0	23	18	5	7	7	7	47.21	0		23.296898
17	329	37	0	15	0	9	17	4	6	46.28	0		9.415424
18	357	60	0	17	9	0	11	5	7	65.23	1		1.452628
16	312	81	0	0	14	13	7	2	5	5.48	0		5.516522
16	317	86	0	8	9	12	13	4	6	39.61	1		3.023033
17	326	26	0	15	0	15	15	3	8	47.23	0		8.004991
17	333	52	0	15	0	23	14	4	4	30.63	0		9.399698
16	318	91	0	0	12	18	7	4	3	9.58	0		9.994293
16	316	85	0	28	9	0	8	7	3	18.29	0		6.190925
17	321	3	0	36	9	0	15	6	4	34.26	0		12.151493
16	310	73	0	0	12	21	9	3	5	17.09	0		15.259438
17	327	31	0	36	9	4	13	7	3	35	0		4.829985
16	304	36	0	17	6	6	17	3	7	54.26	0		14.835328
17	338	69	0	23	18	12	7	6	6	18.13	0		4.302987
17	341	96	0	17	6	13	10	3	8	26.18	0		8.788822
16	305	48	0	28	9	3	7	7	6	24.03	1		1.502546
17	340	83	0	17	6	21	12	3	6	19.78	0		2.055554
17	328	35	0	31	22	0	11	3	6	30.11	0		6.041536
5	91	48	0	23	18	18	7	7	6	24.03	1		1.502546
5	85	7	0	31	18	4	10	4	4	18.97	0		5.311527
17	339	79	0	15	0	27	9	5	3	22.79	0		4.354833
17	330	39	0	32	0	3	7	6	3	18.90	0		3.968391
4	76	34	0	32	0	6	9	6	7	32.65	0		3.132862
4	64	9	0	32	0	13	8	4	7	16.35	0		5.081831
17	322	6	0	36	9	7	14	5	5	26.86	1		0.497637
17	324	15	0	43	0	0	8	4	5	12.60	0		8.604765
4	79	63	0	51	0	0	8	6	5	21.99	0		3.966926
4	68	18	0	8	9	18	9	3	7	19.55	1		0.771253
4	78	61	0	43	0	5	13	6	6	67.13	0		7.510040
17	332	48	0	28	9	9	7	7	6	24.03	1		1.502546
4	69	24	0	28	16	0	15	2	7	17.22	0		2.535327
4	66	17	0	36	14	7	12	4	4	13.74	0		2.490072
4	75	32	0	17	6	27	15	3	3	13.15	0		2.224889
4	73	30	0	31	22	6	11	3	7	23.06	0		1.745518
4	70	26	0	34	6	0	15	3	8	47.23	0		8.004991
4	74	32	0	34	6	8	15	3	3	13.15	0		2.224889
4	71	28	0	34	6	11	15	3	5	24.88	0		4.136534
17	323	6	0	36	9	12	14	5	5	26.86	1		0.497637
5	88	25	0	43	0	11	16	6	6	42.83	0		8.265154
5	98	82	0	43	0	17	17	5	3	40.92	0		8.709089
