Name:				441_n060_m400_bt10
Problem:			3L-VRPTW
Number_of_used_Vehicles:	4
Total_Travel_Distance:		601.58
Calculation_Time:		3600.00
Total_Iterations:		33
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		16
No_of_Items:			113
Customer_Sequence:		32 13 19 25 5 20 24 30 54 11 34 29 33 12 31 22 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
22	147	4	0	0	0	0	7	6	6	95.44	0		7.940688
22	146	1	0	0	6	0	7	6	4	66.25	0		12.633782
22	149	10	0	0	12	0	8	5	3	26.68	0		5.988737
22	150	10	0	0	17	0	8	5	3	26.68	0		5.988737
22	151	10	0	0	12	3	8	5	3	26.68	0		5.988737
22	148	9	0	7	0	0	16	5	5	79.26	1		1.684829
31	209	4	0	0	17	3	7	6	6	95.44	0		7.940688
31	210	5	0	0	6	4	6	5	7	44.98	0		16.644841
31	211	5	0	0	0	6	6	5	7	44.98	0		16.644841
31	205	1	0	0	17	9	7	6	4	66.25	0		12.633782
31	206	2	0	0	23	0	9	2	7	46.67	0		76.636410
31	212	9	0	7	5	0	16	5	5	79.26	1		1.684829
31	207	3	0	0	12	6	6	5	8	95.28	1		18.448174
31	208	3	0	0	6	11	6	5	8	95.28	1		18.448174
12	85	5	0	0	0	13	6	5	7	44.98	0		16.644841
12	82	2	0	0	23	7	9	2	7	46.67	0		76.636410
12	86	9	0	7	0	5	16	5	5	79.26	1		1.684829
12	87	9	0	6	0	10	16	5	5	79.26	1		1.684829
12	83	3	0	0	17	13	6	5	8	95.28	1		18.448174
12	84	3	0	0	11	14	6	5	8	95.28	1		18.448174
33	220	7	0	8	12	0	17	5	8	71.92	0		3.406177
33	221	7	0	8	17	0	17	5	8	71.92	0		3.406177
33	219	6	0	8	12	8	13	5	3	105.57	0		25.253644
33	224	10	0	0	0	20	8	5	3	26.68	0		5.988737
33	222	9	0	7	5	5	16	5	5	79.26	1		1.684829
33	223	9	0	6	5	10	16	5	5	79.26	1		1.684829
33	218	3	0	0	6	19	6	5	8	95.28	1		18.448174
29	191	4	0	0	0	23	7	6	6	95.44	0		7.940688
29	192	4	0	8	17	8	7	6	6	95.44	0		7.940688
29	193	5	0	8	12	11	6	5	7	44.98	0		16.644841
29	194	6	0	15	17	8	13	5	3	105.57	0		25.253644
29	198	10	0	8	17	14	8	5	3	26.68	0		5.988737
29	195	8	0	15	22	0	12	3	3	15.18	0		3.374538
29	196	8	0	15	22	3	12	3	3	15.18	0		3.374538
29	197	8	0	15	22	6	12	3	3	15.18	0		3.374538
34	225	4	0	8	17	17	7	6	6	95.44	0		7.940688
34	226	4	0	8	17	23	7	6	6	95.44	0		7.940688
34	229	10	0	8	12	18	8	5	3	26.68	0		5.988737
34	227	8	0	15	22	9	12	3	3	15.18	0		3.374538
34	228	9	0	8	0	15	16	5	5	79.26	1		1.684829
11	74	4	0	23	5	0	7	6	6	95.44	0		7.940688
11	75	4	0	23	5	6	7	6	6	95.44	0		7.940688
11	76	4	0	22	5	12	7	6	6	95.44	0		7.940688
11	79	9	0	8	0	20	16	5	5	79.26	1		1.684829
11	80	10	0	8	12	21	8	5	3	26.68	0		5.988737
11	81	10	0	8	12	24	8	5	3	26.68	0		5.988737
11	77	8	0	15	22	12	12	3	3	15.18	0		3.374538
11	78	8	0	15	22	15	12	3	3	15.18	0		3.374538
11	73	1	0	22	5	18	7	6	4	66.25	0		12.633782
54	358	5	1	16	11	11	6	5	7	44.98	0		16.644841
5	32	4	0	22	5	22	7	6	6	95.44	0		7.940688
54	360	5	0	16	17	11	6	5	7	44.98	0		16.644841
54	361	5	0	15	17	18	6	5	7	44.98	0		16.644841
54	362	6	0	24	0	0	13	5	3	105.57	0		25.253644
54	357	2	0	15	22	18	9	2	7	46.67	0		76.636410
54	363	10	0	8	12	27	8	5	3	26.68	0		5.988737
54	364	10	0	15	17	25	8	5	3	26.68	0		5.988737
