Name:				480_n060_m400_bt100
Problem:			3L-VRPTW
Number_of_used_Vehicles:	6
Total_Travel_Distance:		817.71
Calculation_Time:		3600.00
Total_Iterations:		158
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		12
No_of_Items:			87
Customer_Sequence:		10 58 19 38 4 37 22 41 9 20 28 40 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
40	256	37	0	0	0	0	15	5	4	99.28	0		78.723833
40	257	37	0	0	5	0	15	5	4	99.28	0		78.723833
40	261	82	0	0	10	0	12	6	3	88.47	0		19.036873
40	255	33	0	0	16	0	8	3	8	86.74	0		16.217559
40	254	14	0	0	19	0	10	5	3	66.79	0		62.184432
40	258	70	0	0	10	3	9	4	4	45.53	0		66.859420
40	259	77	0	0	19	3	6	3	3	9.39	0		6.963707
40	253	2	0	0	0	4	15	7	8	350.73	1		6.733925
40	260	81	0	0	0	12	15	5	6	82.18	1		1.863951
28	180	34	0	10	16	0	15	4	6	178.05	0		39.496954
28	177	12	0	10	20	0	14	5	4	145.62	0		57.905987
28	179	27	0	0	7	4	10	3	8	116.86	0		37.327842
28	183	73	0	12	10	0	12	6	3	83.83	0		22.535322
28	178	24	0	9	10	3	9	6	4	43.62	0		6.866602
28	182	71	0	0	10	7	8	5	4	68.18	0		121.817758
28	181	70	0	0	10	11	9	4	4	45.53	0		66.859420
28	185	94	0	0	22	3	8	2	8	29.39	0		11.266886
28	184	83	0	0	7	12	12	3	3	30.74	0		37.727865
20	127	5	1	0	5	15	9	5	8	81.29	0		20.521313
20	132	96	0	10	20	4	13	3	4	52.46	0		12.279450
20	128	14	1	0	5	23	10	5	3	66.79	0		62.184432
20	131	94	0	0	19	6	8	2	8	29.39	0		11.266886
20	130	52	0	0	5	26	6	5	4	13.48	0		21.116272
9	62	76	0	10	16	6	16	3	4	74.19	0		25.437148
9	63	84	0	9	10	7	9	5	8	120.84	0		25.181557
4	22	10	0	5	10	15	13	4	6	164.57	0		19.601867
9	57	33	0	0	16	8	8	3	8	86.74	0		16.217559
9	56	4	0	10	20	8	17	3	3	46.99	0		11.057561
9	60	52	1	0	10	26	6	5	4	13.48	0		21.116272
9	58	49	0	0	16	16	7	3	4	29.30	0		6.782670
9	59	49	0	0	16	20	7	3	4	29.30	0		6.782670
9	64	89	0	0	22	11	11	2	3	30.73	0		26.468706
9	61	53	0	0	19	14	8	5	7	49.76	1		3.759380
41	268	72	0	15	0	0	11	5	8	63.60	0		8.621598
41	265	61	0	24	10	0	14	6	5	56.69	0		4.190217
41	264	57	0	15	5	0	17	5	3	57.71	0		10.198112
41	266	63	0	15	0	8	7	6	6	105.73	0		15.499466
41	267	69	0	15	0	14	7	4	8	110.06	0		67.466278
41	263	11	0	24	10	5	8	6	4	181.54	0		98.941625
41	262	4	0	10	16	10	17	3	3	46.99	0		11.057561
41	270	100	0	0	16	24	6	2	5	22.28	0		15.474868
41	269	81	0	0	0	18	15	5	6	82.18	1		1.863951
22	143	21	0	27	16	0	7	7	6	84.04	0		32.384327
22	145	82	0	32	0	0	12	6	3	88.47	0		19.036873
22	142	11	0	24	10	9	8	6	4	181.54	0		98.941625
22	144	65	0	10	16	13	14	4	7	130.36	1		8.417679
37	237	9	0	32	0	3	10	6	6	139.17	0		17.970072
37	242	82	0	32	0	9	12	6	3	88.47	0		19.036873
37	238	64	0	32	6	0	10	3	6	19.74	0		5.994101
37	241	80	0	32	6	6	10	4	4	65.88	0		17.921419
37	239	65	0	10	16	20	14	4	7	130.36	1		8.417679
37	236	7	0	0	0	24	17	3	5	25.75	1		1.354256
37	240	74	0	0	19	21	6	6	7	48.21	1		1.956142
4	28	84	0	5	10	21	9	5	8	120.84	0		25.181557
4	21	8	0	24	10	13	6	6	4	85.55	0		31.608332
4	29	90	0	8	20	11	17	2	8	67.58	0		31.510668
4	26	76	0	32	0	12	16	3	4	74.19	0		25.437148
4	25	71	0	24	10	17	8	5	4	68.18	0		121.817758
20	129	45	0	18	10	3	6	6	3	20.28	0		6.075538
4	24	26	0	24	10	21	9	3	5	49.90	0		57.242602
4	27	83	0	24	10	26	12	3	3	30.74	0		37.727865
4	23	25	0	34	16	0	12	7	4	49.46	1		6.232306
38	245	48	0	27	16	6	8	6	7	48.85	0		7.045211
38	243	3	0	25	16	13	11	6	5	113.86	0		16.984300
38	246	69	0	25	15	18	7	4	8	110.06	0		67.466278
38	244	24	0	38	10	0	9	6	4	43.62	0		6.866602
