Name:				060_n020_m200_bt100
Problem:			3L-VRPTW
Number_of_used_Vehicles:	2
Total_Travel_Distance:		330.56
Calculation_Time:		319.79
Total_Iterations:		585
ConstraintSet:			P18

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		10
No_of_Items:			101
Customer_Sequence:		1 14 6 7 15 13 12 3 19 16 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
7	66	16	0	0	0	0	16	7	7	90.39	0		2.258694
14	128	16	0	0	7	0	16	7	7	90.39	0		2.258694
13	120	55	0	0	14	0	16	6	8	102.38	0		2.762019
6	59	86	0	0	0	7	17	7	6	142.43	0		33.532893
7	68	20	0	0	7	7	14	6	8	67.58	0		4.971544
14	131	20	0	0	14	8	14	6	8	67.58	0		4.971544
19	181	28	0	0	0	13	15	6	7	77.52	0		31.226638
3	26	61	0	0	7	15	15	6	7	92.04	0		9.081782
15	144	57	0	0	20	0	16	3	4	33.22	0		4.255505
3	24	30	0	0	14	16	14	6	7	108.51	0		7.007811
7	70	33	0	0	0	20	16	5	7	107.41	0		15.721099
16	150	33	0	0	7	22	16	5	7	107.41	0		15.721099
16	149	33	0	0	14	23	16	5	7	107.41	0		15.721099
19	178	12	0	16	7	0	10	7	8	99.95	0		5.985812
14	133	51	0	14	7	8	13	7	6	99.12	0		13.272303
13	116	26	0	16	0	0	13	6	7	59.42	0		3.978571
19	176	5	0	16	14	0	14	6	6	87.24	0		5.062254
14	132	49	0	16	14	6	11	6	8	74.87	0		2.796849
1	6	31	0	26	7	0	17	6	5	87.05	0		6.721914
19	180	26	0	14	13	14	13	6	7	59.42	0		3.978571
14	125	5	0	17	0	7	14	6	6	87.24	0		5.062254
15	136	1	0	16	0	13	9	7	8	56.24	0		4.038271
7	64	1	0	16	0	21	9	7	8	56.24	0		4.038271
6	52	1	0	30	14	0	9	7	8	56.24	0		4.038271
14	129	17	0	16	20	0	12	5	8	53.87	0		9.362374
3	23	17	0	16	20	8	12	5	8	53.87	0		9.362374
6	61	88	0	16	7	14	10	5	8	41.95	0		19.030417
15	145	68	0	16	7	22	9	6	7	70.94	0		7.373502
6	54	39	0	16	20	16	15	5	5	40.71	0		4.213956
7	75	80	0	16	20	21	17	5	4	41.96	0		9.298318
6	60	87	0	16	13	21	11	5	6	60.66	0		5.774372
7	71	54	0	29	0	0	9	6	6	48.73	0		4.226140
1	7	54	0	30	14	8	9	6	6	48.73	0		4.226140
14	135	63	0	0	20	4	16	4	5	38.10	0		11.214983
16	154	60	0	0	20	9	15	3	7	42.16	0		15.598347
19	187	76	0	38	0	0	9	7	5	62.43	0		3.522961
6	57	76	0	38	0	5	9	7	5	62.43	0		3.522961
7	72	56	0	0	20	16	12	4	6	53.83	0		8.051794
1	1	3	0	0	20	22	10	4	7	31.17	0		28.865380
7	67	19	0	25	0	13	8	4	8	36.85	0		12.960995
3	22	14	0	27	7	5	6	6	7	38.25	0		17.101497
14	127	14	0	27	6	12	6	6	7	38.25	0		17.101497
7	65	14	0	27	6	19	6	6	7	38.25	0		17.101497
15	140	14	0	30	14	14	6	6	7	38.25	0		17.101497
15	141	14	0	30	14	21	6	6	7	38.25	0		17.101497
7	76	91	0	16	20	25	12	4	5	26.28	0		7.886464
15	147	91	0	30	21	0	12	4	5	26.28	0		7.886464
13	117	34	0	33	7	5	10	6	4	26.88	0		5.311131
16	156	98	0	28	21	5	11	3	7	29.06	0		32.143610
3	28	98	0	33	7	9	11	3	7	29.06	0		32.143610
1	10	84	0	38	0	10	9	5	5	34.83	0		5.411366
3	25	53	0	0	0	27	12	6	3	34.63	0		7.280199
16	153	53	0	16	13	27	12	6	3	34.63	0		7.280199
13	119	40	0	33	10	9	12	3	6	33.75	0		11.294820
16	152	40	0	33	10	15	12	3	6	33.75	0		11.294820
13	124	93	0	38	0	15	9	6	4	22.50	0		15.945362
14	134	58	0	39	13	0	13	4	4	38.38	0		11.206871
6	56	58	0	39	17	0	13	4	4	38.38	0		11.206871
7	74	66	0	33	7	16	13	3	5	28.15	0		3.338389
7	73	61	0	33	7	21	15	6	7	92.04	0		9.081782
19	186	74	0	38	0	19	12	3	5	30.71	0		4.662062
1	3	8	0	38	3	19	11	2	8	26.20	0		2.707456
15	138	8	0	39	13	4	11	2	8	26.20	0		2.707456
15	139	8	0	39	15	4	11	2	8	26.20	0		2.707456
12	114	83	0	39	17	4	11	2	8	23.86	0		6.724045
12	110	43	0	25	0	21	8	5	4	24.20	0		8.346543
6	58	85	0	25	0	25	8	5	4	16.09	0		5.174577
19	184	42	1	33	0	6	7	4	5	24.48	0		3.026051
1	4	10	1	33	0	11	7	3	6	17.99	0		6.206709
19	185	62	1	52	0	0	17	7	4	87.66	1		1.929515
19	182	29	1	27	14	6	6	3	7	16.82	0		12.610788
15	148	96	0	27	6	26	6	5	4	16.31	0		5.531141
15	142	50	0	25	4	13	7	2	8	15.50	0		6.419040
12	113	72	0	28	20	12	9	4	3	12.51	0		5.572298
3	27	89	0	39	13	12	9	4	3	15.37	0		5.043528
6	62	89	0	39	13	15	9	4	3	15.37	0		5.043528
19	183	38	0	38	0	24	9	3	4	20.11	0		13.493509
14	130	18	1	27	14	13	6	3	6	17.37	0		6.356675
13	123	82	1	27	14	19	6	3	6	17.43	0		6.922114
13	115	18	1	33	0	17	6	3	6	17.37	0		6.356675
1	5	18	1	33	0	23	6	3	6	17.37	0		6.356675
15	143	52	0	0	23	0	9	2	4	10.09	0		6.970513
6	55	52	0	38	5	10	9	2	4	10.09	0		6.970513
7	69	29	1	36	14	14	6	3	7	16.82	0		12.610788
12	111	46	1	47	0	0	13	5	5	64.78	1		3.308579
12	112	46	1	47	0	5	13	5	5	64.78	1		3.308579
15	137	6	0	39	13	18	7	5	8	48.84	1		1.047079
