Name:				343_n020_m400_bt100
Problem:			3L-VRPTW
Number_of_used_Vehicles:	4
Total_Travel_Distance:		460.30
Calculation_Time:		3600.0
Total_Iterations:		243
ConstraintSet:			P18

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		5
No_of_Items:			90
Customer_Sequence:		10 7 11 4 2 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
4	68	17	0	0	0	0	15	6	8	51.77	0		2.817326
4	80	80	0	0	6	0	17	5	8	75.71	0		5.315906
7	142	82	0	0	11	0	17	5	8	32.21	0		1.029507
7	141	82	0	0	16	0	17	5	8	32.21	0		1.029507
11	219	80	0	0	0	8	17	5	8	75.71	0		5.315906
7	140	80	0	0	5	8	17	5	8	75.71	0		5.315906
2	43	92	0	0	10	8	15	7	6	60.13	0		16.680005
4	78	74	0	0	10	14	15	6	7	28.87	0		1.804599
11	218	74	0	0	0	16	15	6	7	28.87	0		1.804599
10	200	62	0	0	10	21	17	6	6	63.64	0		16.341292
11	217	61	0	0	0	23	16	7	5	45.22	0		8.366138
10	204	85	0	15	0	0	15	6	6	36.26	0		18.343407
4	74	48	0	0	17	8	13	5	8	21.71	0		1.066254
10	194	29	0	0	16	16	14	6	6	21.50	0		3.038739
2	30	37	0	0	16	22	10	6	8	57.90	0		5.643704
10	192	21	0	17	6	0	17	7	4	32.82	0		1.510801
2	26	18	0	17	13	0	17	5	5	40.67	0		2.589481
10	190	18	0	17	18	0	17	5	5	40.67	0		2.589481
2	41	81	0	17	6	4	14	5	6	20.47	0		2.208434
7	139	56	0	17	13	5	9	7	6	22.45	0		1.844340
10	191	19	0	0	21	0	15	3	8	35.73	0		6.431804
2	36	69	0	0	6	16	12	3	3	5.06	0		7.556060
7	143	84	0	17	6	10	10	6	6	26.38	0		3.964463
4	81	84	0	17	13	11	10	6	6	26.38	0		3.964463
10	195	40	0	30	0	0	14	5	5	25.14	0		7.039599
11	214	39	0	12	6	16	16	4	5	38.70	0		1.835472
4	72	39	0	17	20	5	16	4	5	38.70	0		1.835472
11	222	98	0	13	20	10	17	3	6	29.41	0		3.300346
4	71	28	0	17	13	17	12	5	5	24.77	0		3.612457
10	202	76	0	17	13	22	10	6	5	29.54	0		1.416234
7	135	38	0	30	0	5	7	6	7	15.33	0		1.053059
2	31	38	0	30	0	12	7	6	7	15.33	0		1.053059
4	70	27	0	34	6	0	16	3	6	22.95	0		8.439572
2	37	77	1	27	11	5	9	4	8	18.18	0		11.153926
7	133	25	0	34	9	0	14	5	4	16.99	0		2.247098
2	27	25	0	34	14	0	14	5	4	16.99	0		2.247098
10	193	25	0	34	19	0	14	5	4	16.99	0		2.247098
11	216	57	0	34	9	4	10	4	7	21.98	0		10.145648
10	198	57	0	34	13	4	10	4	7	21.98	0		10.145648
4	75	52	0	0	10	27	17	5	3	22.71	0		3.162369
2	39	78	0	34	17	4	9	7	4	27.26	0		8.649107
2	38	78	0	33	17	8	9	7	4	27.26	0		8.649107
11	221	95	0	30	0	19	9	4	7	23.72	0		4.119348
4	69	26	0	44	0	0	16	5	3	10.34	0		2.870844
2	29	26	0	44	0	3	16	5	3	10.34	0		2.870844
2	28	26	1	44	9	4	16	5	3	10.34	0		2.870844
2	23	9	0	33	17	12	10	6	4	25.46	0		7.074165
11	208	4	0	44	0	6	14	4	4	17.20	0		2.636282
2	44	94	1	44	9	7	14	5	3	28.60	0		5.735056
7	138	47	0	33	17	16	10	5	4	27.64	0		4.158813
2	22	5	1	50	6	0	17	4	8	29.17	1		0.428434
7	137	47	0	33	17	20	10	5	4	27.64	0		4.158813
2	42	89	0	17	13	27	9	7	3	18.07	0		2.694901
7	145	89	0	34	9	11	9	7	3	18.07	0		2.694901
10	206	96	0	14	20	16	9	3	7	21.29	0		4.582971
10	207	100	0	31	6	6	15	3	4	19.61	0		3.852278
11	210	12	0	14	20	23	11	3	5	10.95	0		3.599694
7	132	24	0	0	6	19	10	4	4	16.21	0		1.889397
11	211	24	1	27	10	13	10	4	4	16.21	0		1.889397
2	45	97	0	0	7	23	8	3	6	9.15	0		1.678675
2	33	59	1	10	16	22	6	4	6	16.36	0		5.197117
7	130	11	0	23	20	16	7	4	5	14.53	0		4.940389
10	197	54	0	30	0	26	10	4	3	14.77	0		3.958763
2	34	64	0	30	6	10	6	3	8	6.28	1		0.733148
10	196	53	0	33	17	24	8	3	5	10.62	0		22.241376
7	144	84	0	34	9	14	10	6	6	26.38	0		3.964463
11	212	33	0	34	9	20	9	4	3	10.47	0		3.229720
7	134	33	0	34	9	23	9	4	3	10.47	0		3.229720
10	199	60	0	36	6	10	6	3	6	10.93	0		2.533413
4	76	60	0	36	6	16	6	3	6	10.93	0		2.533413
2	25	15	0	37	0	5	6	5	3	6.08	0		4.696925
11	215	42	0	0	22	8	11	2	3	6	0		5.275596
11	213	34	1	54	5	0	17	6	8	37.37	1		0.498128
4	73	47	0	44	0	10	10	5	4	27.64	0		4.158813
2	21	5	1	44	5	10	17	4	8	29.17	1		0.428434
11	209	5	1	44	5	18	17	4	8	29.17	1		0.428434
2	35	65	1	50	6	8	16	4	7	23.07	1		0.992823
4	77	65	1	50	6	15	16	4	7	23.07	1		0.992823
10	189	1	0	44	0	14	12	5	5	22.99	1		1.027701
2	32	55	1	54	4	8	7	6	6	22.53	1		0.902372
2	24	14	0	44	0	19	16	3	5	20.58	1		2.789751
7	131	14	0	41	0	24	16	3	5	20.58	1		2.789751
2	40	79	1	50	6	22	8	5	6	31.87	1		1.129109
4	79	79	1	50	14	22	8	5	6	31.87	1		1.129109
10	203	79	1	54	11	8	8	5	6	31.87	1		1.129109
10	201	75	1	54	5	14	10	6	3	18.44	1		6.991073
7	146	93	0	0	22	11	12	2	7	12.07	1		2.139414
10	205	93	0	0	22	18	12	2	7	12.07	1		2.139414
11	220	93	0	44	3	19	12	2	7	12.07	1		2.139414
7	136	43	0	34	9	26	10	3	4	14.09	0		5.705223


-------------------------------------------------------------------------------------------------------------------
Tour_Id:			2
No_of_Customers:		5
No_of_Items:			104
Customer_Sequence:		9 3 6 16 18 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
9	172	17	0	0	0	0	15	6	8	51.77	0		2.817326
6	104	17	0	0	6	0	15	6	8	51.77	0		2.817326
9	175	46	0	0	12	0	17	5	8	73.07	0		4.665954
3	62	82	0	0	17	0	17	5	8	32.21	0		1.029507
16	315	48	0	0	0	8	13	5	8	21.71	0		1.066254
18	359	92	0	0	5	8	15	7	6	60.13	0		16.680005
9	185	92	0	0	12	8	15	7	6	60.13	0		16.680005
9	180	66	0	0	5	14	17	7	5	44.02	0		5.898869
3	57	61	0	0	12	14	16	7	5	45.22	0		8.366138
16	321	92	0	0	5	19	15	7	6	60.13	0		16.680005
3	53	37	0	0	12	19	10	6	8	57.90	0		5.643704
6	111	37	0	15	0	0	10	6	8	57.90	0		5.643704
16	312	37	0	15	6	0	10	6	8	57.90	0		5.643704
6	112	41	0	0	19	8	17	4	7	63.67	0		5.585255
6	105	18	0	0	19	15	17	5	5	40.67	0		2.589481
18	358	81	0	0	0	16	14	5	6	20.47	0		2.208434
9	183	81	0	0	18	20	14	5	6	20.47	0		2.208434
3	56	59	0	0	0	22	6	4	6	16.36	0		5.197117
3	55	56	0	15	0	8	9	7	6	22.45	0		1.844340
6	119	56	0	15	7	8	9	7	6	22.45	0		1.844340
6	118	56	0	17	12	0	9	7	6	22.45	0		1.844340
3	49	19	0	0	22	0	15	3	8	35.73	0		6.431804
3	63	84	0	17	19	0	10	6	6	26.38	0		3.964463
9	184	84	0	17	14	6	10	6	6	26.38	0		3.964463
6	126	86	0	6	0	22	9	5	8	44.45	0		6.114022
3	64	87	0	15	0	14	9	5	8	24.29	0		4.509958
16	313	38	0	10	12	19	7	6	7	15.33	0		1.053059
18	352	39	0	0	5	25	16	4	5	38.70	0		1.835472
18	351	39	0	25	0	0	16	4	5	38.70	0		1.835472
9	174	32	0	25	4	0	16	4	5	22.12	0		1.777772
18	361	94	0	0	18	26	14	5	3	28.60	0		5.735056
16	319	87	0	15	0	22	9	5	8	24.29	0		4.509958
9	187	98	0	25	8	0	17	3	6	29.41	0		3.300346
6	127	90	0	17	20	6	12	5	5	21.30	0		1.477741
18	350	38	0	17	14	12	7	6	7	15.33	0		1.053059
3	54	38	0	17	5	14	7	6	7	15.33	0		1.053059
16	308	13	0	25	0	5	17	3	6	12.32	0		4.798603
6	108	30	0	29	11	0	11	6	8	23.10	1		0.399058
3	52	25	0	17	20	11	14	5	4	16.99	0		2.247098
6	124	73	0	17	20	15	8	4	8	11.70	0		6.549797
9	182	73	1	17	12	19	8	4	8	11.70	0		6.549797
6	125	78	0	29	17	0	9	7	4	27.26	0		8.649107
18	362	95	0	17	5	21	9	4	7	23.72	0		4.119348
3	67	94	0	25	3	5	14	5	3	28.60	0		5.735056
3	50	22	0	17	20	23	7	5	7	25.82	0		1.989588
6	107	26	0	24	3	8	16	5	3	10.34	0		2.870844
3	58	67	0	0	9	25	16	3	5	18.29	0		5.668713
9	170	4	0	24	0	11	14	4	4	17.20	0		2.636282
9	171	13	0	24	0	15	17	3	6	12.32	0		4.798603
18	347	22	0	25	20	15	7	5	7	25.82	0		1.989588
3	48	8	0	24	4	11	17	4	3	13.75	0		5.130520
18	349	31	0	24	4	14	8	4	6	20.68	0		4.859970
16	320	89	0	29	17	4	9	7	3	18.07	0		2.694901
18	363	96	0	24	0	21	9	3	7	21.29	0		4.582971
6	128	96	0	25	8	6	9	3	7	21.29	0		4.582971
16	323	96	0	24	8	13	9	3	7	21.29	0		4.582971
3	65	91	0	0	23	8	12	2	7	9.52	0		3.317174
6	115	44	0	29	17	7	11	3	5	11.91	0		2.385151
6	102	12	0	29	17	12	11	3	5	10.95	0		3.599694
6	106	24	0	32	4	14	10	4	4	16.21	0		1.889397
3	51	24	0	32	3	18	10	4	4	16.21	0		1.889397
18	348	30	0	29	11	8	11	6	8	23.10	1		0.399058
3	61	70	0	29	17	17	10	2	8	6.91	0		2.803390
3	46	2	0	32	3	22	10	3	5	14.37	0		4.447283
6	129	97	1	21	12	19	8	3	6	9.15	0		1.678675
16	318	72	0	40	11	0	16	3	8	40.65	0		15.302913
18	346	11	1	21	12	25	7	4	5	14.53	0		4.940389
9	176	50	0	38	17	0	15	3	3	10.37	0		3.064635
9	178	54	0	0	12	27	10	4	3	14.77	0		3.958763
9	177	54	0	32	3	27	10	4	3	14.77	0		3.958763
9	179	54	0	38	20	0	10	4	3	14.77	0		3.958763
6	114	43	0	33	0	21	10	3	4	14.09	0		5.705223
6	113	43	0	33	0	25	10	3	4	14.09	0		5.705223
18	357	69	0	38	17	3	12	3	3	5.06	0		7.556060
9	181	69	0	38	20	3	12	3	3	5.06	0		7.556060
3	60	69	0	38	20	6	12	3	3	5.06	0		7.556060
6	110	34	0	42	0	0	17	6	8	37.37	1		0.498128
3	47	5	0	42	6	0	17	4	8	29.17	1		0.428434
6	109	30	0	29	11	16	11	6	8	23.10	1		0.399058
6	123	70	0	38	20	9	10	2	8	6.91	0		2.803390
16	311	27	0	40	14	0	16	3	6	22.95	0		8.439572
9	173	30	0	40	14	6	11	6	8	23.10	1		0.399058
6	116	45	0	40	8	8	12	6	7	45.16	1		0.784510
16	314	45	0	40	14	14	12	6	7	45.16	1		0.784510
18	360	93	0	38	20	17	12	2	7	12.07	1		2.139414
18	355	65	0	40	8	15	16	4	7	23.07	1		0.992823
6	120	58	0	40	8	22	17	4	5	22.61	1		1.841125
6	121	58	0	42	0	8	17	4	5	22.61	1		1.841125
16	316	58	0	41	4	8	17	4	5	22.61	1		1.841125
9	169	1	0	40	14	21	12	5	5	22.99	1		1.027701
3	59	68	0	53	17	0	7	6	7	26.82	1		1.396878
18	356	68	0	53	17	7	7	6	7	26.82	1		1.396878
6	117	55	0	29	11	24	7	6	6	22.53	1		0.902372
6	103	14	0	42	0	13	16	3	5	20.58	1		2.789751
16	310	23	0	42	3	13	12	4	5	18.74	1		2.309857
16	309	23	0	42	3	18	12	4	5	18.74	1		2.309857
3	66	93	0	40	12	15	12	2	7	12.07	1		2.139414
9	186	93	0	40	12	22	12	2	7	12.07	1		2.139414
6	122	65	0	42	3	23	16	4	7	23.07	1		0.992823
16	322	93	0	48	23	0	12	2	7	12.07	1		2.139414
9	188	99	0	25	20	22	8	4	5	8.18	1		0.501860
16	317	64	1	14	18	20	6	3	8	6.28	1		0.733148
18	353	49	0	40	14	26	15	3	3	10.84	1		2.404531
18	354	51	0	16	12	14	8	2	4	7.56	1		1.070469


-------------------------------------------------------------------------------------------------------------------
Tour_Id:			3
No_of_Customers:		5
No_of_Items:			100
Customer_Sequence:		8 19 13 5 17 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
19	366	17	0	0	0	0	15	6	8	51.77	0		2.817326
13	244	17	0	0	6	0	15	6	8	51.77	0		2.817326
17	341	80	0	0	12	0	17	5	8	75.71	0		5.315906
5	100	82	0	0	17	0	17	5	8	32.21	0		1.029507
8	154	46	0	0	0	8	17	5	8	73.07	0		4.665954
17	342	80	0	0	5	8	17	5	8	75.71	0		5.315906
19	378	91	0	0	22	0	12	2	7	9.52	0		3.317174
8	163	80	0	0	10	8	17	5	8	75.71	0		5.315906
