Name:				442_n060_m400_bt10
Problem:			3L-VRPTW
Number_of_used_Vehicles:	5
Total_Travel_Distance:		705.62
Calculation_Time:		3600.00
Total_Iterations:		169
ConstraintSet:			P18

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		12
No_of_Items:			88
Customer_Sequence:		46 16 7 55 18 2 60 40 52 37 42 36 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
46	306	8	0	0	0	0	13	5	8	106.55	0		4.618249
55	366	8	0	0	5	0	13	5	8	106.55	0		4.618249
18	118	9	0	0	10	0	13	5	8	540.85	0		43.689875
18	117	9	0	0	15	0	13	5	8	540.85	0		43.689875
2	13	9	0	0	20	0	13	5	8	540.85	0		43.689875
2	12	8	0	0	0	8	13	5	8	106.55	0		4.618249
2	11	8	0	0	5	8	13	5	8	106.55	0		4.618249
7	42	8	0	0	10	8	13	5	8	106.55	0		4.618249
7	43	8	0	0	15	8	13	5	8	106.55	0		4.618249
60	400	9	0	0	20	8	13	5	8	540.85	0		43.689875
7	44	8	0	0	0	16	13	5	8	106.55	0		4.618249
16	106	8	0	0	5	16	13	5	8	106.55	0		4.618249
16	107	8	0	0	10	16	13	5	8	106.55	0		4.618249
52	342	8	0	0	15	16	13	5	8	106.55	0		4.618249
16	108	9	0	0	20	16	13	5	8	540.85	0		43.689875
42	280	9	0	13	0	0	13	5	8	540.85	0		43.689875
18	113	3	0	13	5	0	10	6	8	55.79	0		14.338106
46	299	3	0	13	11	0	10	6	8	55.79	0		14.338106
55	360	3	0	13	17	0	10	6	8	55.79	0		14.338106
55	361	3	0	13	0	8	10	6	8	55.79	0		14.338106
40	264	3	0	13	6	8	10	6	8	55.79	0		14.338106
40	263	3	0	13	12	8	10	6	8	55.79	0		14.338106
52	337	3	0	13	18	8	10	6	8	55.79	0		14.338106
40	266	5	0	0	0	24	16	7	4	78.32	0		5.559656
46	300	5	0	0	7	24	16	7	4	78.32	0		5.559656
46	301	5	0	0	14	24	16	7	4	78.32	0		5.559656
7	39	5	1	13	0	16	16	7	4	78.32	0		5.559656
40	267	5	1	13	0	20	16	7	4	78.32	0		5.559656
2	9	5	0	23	5	0	16	7	4	78.32	0		5.559656
2	8	5	0	23	12	0	16	7	4	78.32	0		5.559656
36	236	5	0	23	5	4	16	7	4	78.32	0		5.559656
55	362	5	0	23	12	4	16	7	4	78.32	0		5.559656
55	363	5	1	23	0	8	16	7	4	78.32	0		5.559656
55	364	5	1	23	0	12	16	7	4	78.32	0		5.559656
52	341	5	1	20	0	16	16	7	4	78.32	0		5.559656
7	40	6	0	13	16	16	12	3	8	66.45	0		5.922604
36	237	6	0	13	19	16	12	3	8	66.45	0		5.922604
46	303	6	1	20	0	20	12	3	8	66.45	0		5.922604
46	302	6	0	23	19	0	12	3	8	66.45	0		5.922604
18	116	6	0	23	22	0	12	3	8	66.45	0		5.922604
37	244	6	0	23	16	8	12	3	8	66.45	0		5.922604
16	104	4	0	23	19	8	6	6	8	64.12	0		6.817427
40	265	4	0	25	16	16	6	6	8	64.12	0		6.817427
52	340	4	0	29	19	8	6	6	8	64.12	0		6.817427
52	339	4	0	35	19	0	6	6	8	64.12	0		6.817427
52	338	4	0	35	16	8	6	6	8	64.12	0		6.817427
37	243	4	0	31	16	16	6	6	8	64.12	0		6.817427
36	235	1	0	0	21	24	9	3	3	8.73	0		1.492124
18	115	4	0	39	0	0	6	6	8	64.12	0		6.817427
18	119	10	1	23	0	20	13	5	4	43.05	0		6.395840
55	367	10	1	23	0	24	13	5	4	43.05	0		6.395840
37	245	10	0	25	16	24	13	5	4	43.05	0		6.395840
36	239	10	0	26	0	0	13	5	4	43.05	0		6.395840
36	240	10	0	26	0	4	13	5	4	43.05	0		6.395840
7	45	10	0	30	0	8	13	5	4	43.05	0		6.395840
7	46	10	0	30	5	8	13	5	4	43.05	0		6.395840
40	269	10	0	30	0	12	13	5	4	43.05	0		6.395840
40	268	10	0	27	0	16	13	5	4	43.05	0		6.395840
52	343	10	0	28	0	20	13	5	4	43.05	0		6.395840
16	109	10	0	28	0	24	13	5	4	43.05	0		6.395840
37	246	10	0	30	5	12	13	5	4	43.05	0		6.395840
46	298	1	0	0	21	27	9	3	3	8.73	0		1.492124
18	114	4	0	28	5	16	6	6	8	64.12	0		6.817427
36	234	1	1	16	0	24	9	3	3	8.73	0		1.492124
37	241	1	1	16	9	24	9	3	3	8.73	0		1.492124
40	261	1	0	16	18	24	9	3	3	8.73	0		1.492124
60	396	1	1	16	0	27	9	3	3	8.73	0		1.492124
40	262	2	1	45	0	0	16	7	8	132.18	1		1.481709
37	242	2	0	41	16	0	16	7	8	132.18	1		1.481709
52	336	2	0	41	16	8	16	7	8	132.18	1		1.481709
60	397	2	0	41	16	16	16	7	8	132.18	1		1.481709
55	359	2	1	43	0	8	16	7	8	132.18	1		1.481709
7	38	2	0	34	5	16	16	7	8	132.18	1		1.481709
60	398	2	1	52	0	0	16	7	8	132.18	1		1.481709
2	7	2	1	50	0	8	16	7	8	132.18	1		1.481709
2	6	2	1	50	0	16	16	7	8	132.18	1		1.481709
55	365	7	1	16	9	27	12	4	3	22.19	1		1.449173
16	105	7	0	28	5	24	12	4	3	22.19	1		1.449173
7	41	7	0	28	5	27	12	4	3	22.19	1		1.449173
2	10	7	0	30	10	8	12	4	3	22.19	1		1.449173
42	279	7	0	30	10	11	12	4	3	22.19	1		1.449173
42	278	7	0	38	16	24	12	4	3	22.19	1		1.449173
42	277	7	0	38	16	27	12	4	3	22.19	1		1.449173
