Name:				477_n060_m400_bt100
Problem:			3L-VRPTW
Number_of_used_Vehicles:	4
Total_Travel_Distance:		660.21
Calculation_Time:		3600.00
Total_Iterations:		49
ConstraintSet:			P18

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		15
No_of_Items:			110
Customer_Sequence:		58 30 48 26 50 16 17 35 13 11 33 57 46 39 42 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
13	77	62	0	0	0	0	15	7	7	108.57	0		5.890096
17	99	14	0	0	7	0	15	6	8	115.15	0		6.407914
30	190	14	0	0	13	0	15	6	8	115.15	0		6.407914
17	104	78	0	0	19	0	16	6	7	109.17	0		13.089828
48	316	28	0	0	0	7	14	4	8	51.74	1		3.122893
16	96	73	0	0	19	7	11	6	7	85.30	1		4.274762
48	318	36	0	0	7	8	13	6	8	114.06	0		10.605865
46	301	36	0	0	13	8	13	6	8	114.06	0		10.605865
57	380	96	0	0	7	16	17	7	5	106.71	0		29.415038
35	229	68	0	0	7	21	12	7	7	103.37	0		10.531738
17	100	21	0	0	14	16	14	5	8	247.08	0		12.127180
26	166	86	0	15	0	0	9	7	8	93.18	0		8.856581
35	227	47	0	14	0	8	10	6	8	105.42	0		6.248554
57	379	84	0	15	7	0	16	4	7	67.34	0		9.952281
13	78	69	0	14	0	16	8	7	8	50.95	0		6.849468
58	381	13	0	0	14	24	14	5	6	68.25	0		4.702851
48	315	13	0	15	11	0	14	5	6	68.25	0		4.702851
46	299	20	0	15	11	6	16	5	5	104.79	0		73.321516
26	159	20	0	15	11	11	16	5	5	104.79	0		73.321516
16	93	20	0	16	19	0	16	5	5	104.79	0		73.321516
50	328	20	0	16	19	5	16	5	5	104.79	0		73.321516
46	302	42	0	16	19	10	16	6	4	41.74	0		8.134056
13	75	42	0	16	19	14	16	6	4	41.74	0		8.134056
57	376	42	0	16	19	18	16	6	4	41.74	0		8.134056
57	378	55	0	16	19	22	16	6	4	45.34	0		4.098218
50	332	41	0	24	0	0	15	5	5	66.70	0		12.969484
46	303	72	0	16	19	26	15	6	4	48.27	0		5.312615
33	212	2	0	24	0	5	12	5	6	62.65	0		18.418073
48	314	2	0	24	0	11	12	5	6	62.65	0		18.418073
35	226	2	0	22	0	17	12	5	6	62.65	0		18.418073
33	215	25	0	14	0	24	8	7	6	34.04	0		4.239052
16	94	43	0	31	7	0	8	5	8	43.25	0		17.519972
48	319	43	0	31	12	0	8	5	8	43.25	0		17.519972
11	61	76	0	15	7	7	13	4	6	57.73	0		5.858511
16	97	76	0	22	0	23	13	4	6	57.73	0		5.858511
16	95	49	1	31	5	8	13	7	3	51.60	0		4.981509
39	255	49	1	31	5	11	13	7	3	51.60	0		4.981509
50	329	31	0	15	16	0	15	3	6	103.36	0		64.455678
42	276	31	0	15	16	6	15	3	6	103.36	0		64.455678
17	105	90	1	31	5	14	11	6	4	85.22	0		11.034277
58	386	90	1	31	5	18	11	6	4	85.22	0		11.034277
13	73	11	0	0	4	7	10	3	8	27.32	0		8.828084
33	218	74	0	15	16	12	15	3	5	25.58	0		3.714519
46	304	74	0	14	16	17	15	3	5	25.58	0		3.714519
11	63	77	1	31	5	22	14	4	4	139.41	0		27.608599
17	103	77	1	31	5	26	14	4	4	139.41	0		27.608599
11	62	77	0	32	19	0	14	4	4	139.41	0		27.608599
42	278	56	1	12	7	21	7	6	5	22.65	0		5.112902
17	101	57	0	32	19	4	13	5	3	30.42	0		5.844104
39	254	46	0	32	19	7	12	5	3	34.93	0		8.230866
57	377	46	0	32	19	10	12	5	3	34.93	0		8.230866
50	331	34	0	32	19	13	10	6	3	25.64	0		13.227737
39	252	6	0	32	19	16	11	5	3	31.75	0		14.616352
13	71	6	0	32	19	19	11	5	3	31.75	0		14.616352
42	274	6	0	32	19	22	11	5	3	31.75	0		14.616352
48	317	32	1	13	6	8	16	2	5	29.58	0		4.925075
50	330	32	0	14	16	22	16	2	5	29.58	0		4.925075
46	300	32	0	24	5	0	16	2	5	29.58	0		4.925075
13	76	59	0	0	4	15	13	3	4	20.34	0		27.841572
48	320	59	0	0	4	19	13	3	4	20.34	0		27.841572
39	257	79	0	0	4	23	13	2	6	18.29	0		2.412554
42	277	38	0	12	7	26	8	6	3	14.41	0		4.323917
11	65	91	0	32	19	25	7	4	5	14.03	0		4.074911
30	195	91	0	39	0	0	7	4	5	14.03	0		4.074911
33	217	40	0	13	6	13	9	5	3	22.36	0		35.896296
48	321	92	1	17	7	16	9	5	3	16.92	0		17.225643
30	191	24	0	36	0	5	8	4	4	17.55	0		6.120799
26	160	24	0	36	0	9	8	4	4	17.55	0		6.120799
39	253	24	0	36	0	13	8	4	4	17.55	0		6.120799
48	322	95	0	35	0	17	6	3	7	17.96	0		2.811206
26	162	67	0	22	6	13	6	5	4	21.16	0		42.454387
33	213	3	0	22	5	17	6	4	5	19.52	0		7.946402
30	193	65	0	22	5	22	7	4	4	16.93	0		4.884243
17	102	65	0	22	4	26	7	4	4	16.93	0		4.884243
11	64	87	0	39	7	0	12	3	3	54.02	0		62.685455
33	219	75	0	14	16	27	16	2	3	15.31	0		6.530126
35	230	75	0	24	5	5	16	2	3	15.31	0		6.530126
13	79	75	0	31	17	0	16	2	3	15.31	0		6.530126
26	163	75	0	30	17	3	16	2	3	15.31	0		6.530126
42	273	4	0	22	9	17	8	2	6	14.89	0		4.080258
13	72	8	0	22	11	16	8	2	6	15.89	0		4.577081
17	98	8	0	22	13	16	8	2	6	15.89	0		4.577081
33	214	4	0	22	11	22	8	2	6	14.89	0		4.080258
11	57	5	0	39	10	0	9	3	3	80.93	0		20.602173
35	232	89	0	32	23	0	13	2	3	8.61	0		2.481198
42	280	89	1	35	5	22	13	2	3	8.61	0		2.481198
58	383	37	0	0	19	14	12	6	8	79.81	1		1.434383
13	74	37	0	0	19	22	12	6	8	79.81	1		1.434383
33	220	88	0	39	7	3	12	5	8	186.59	1		7.179931
58	385	88	0	39	7	11	12	5	8	186.59	1		7.179931
11	60	73	0	39	7	19	11	6	7	85.30	1		4.274762
30	194	73	0	46	0	0	11	6	7	85.30	1		4.274762
33	216	36	0	46	19	0	13	6	8	114.06	0		10.605865
30	192	36	0	46	19	8	13	6	8	114.06	0		10.605865
26	161	28	0	0	0	15	14	4	8	51.74	1		3.122893
35	231	83	0	44	0	7	9	6	8	57.36	1		1.587309
50	334	83	0	44	0	15	9	6	8	57.36	1		1.587309
57	374	30	0	0	0	23	13	4	6	45.68	1		2.825480
42	275	30	0	43	19	16	13	4	6	45.68	1		2.825480
57	375	33	0	44	0	23	7	6	7	46.94	1		1.550322
11	59	54	0	43	19	22	16	3	6	34.72	1		2.576382
58	382	26	0	39	13	0	17	4	3	20.54	1		0.917206
26	165	82	0	39	12	3	13	2	7	27.86	1		7.041241
42	279	82	0	38	12	10	13	2	7	27.86	1		7.041241
26	164	82	0	39	14	3	13	2	7	27.86	1		7.041241
58	384	82	0	38	14	10	13	2	7	27.86	1		7.041241
35	228	64	0	37	13	17	7	3	8	27.80	1		1.911280
11	58	10	0	44	13	17	6	4	7	30.90	1		1.626658
50	333	61	0	35	13	25	8	4	5	80.08	1		5.401040
39	256	61	0	44	13	24	8	4	5	80.08	1		5.401040


-------------------------------------------------------------------------------------------------------------------
Tour_Id:			2
No_of_Customers:		16
No_of_Items:			106
Customer_Sequence:		19 5 40 23 36 12 32 41 47 31 1 2 6 49 44 45 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
1	2	45	0	0	0	0	17	6	8	143.39	0		4.459007
1	5	62	0	0	6	0	15	7	7	108.57	0		5.890096
6	32	84	0	0	13	0	16	4	7	67.34	0		9.952281
6	30	78	0	0	17	0	16	6	7	109.17	0		13.089828
47	313	85	0	0	6	7	16	5	8	120.79	0		47.901664
36	238	85	0	0	11	7	16	5	8	120.79	0		47.901664
6	34	96	0	0	16	7	17	7	5	106.71	0		29.415038
36	236	68	0	0	16	12	12	7	7	103.37	0		10.531738
41	271	65	0	0	0	8	7	4	4	16.93	0		4.884243
41	269	47	0	0	6	15	10	6	8	105.42	0		6.248554
31	201	47	0	0	16	19	10	6	8	105.42	0		6.248554
23	140	35	0	0	12	15	17	4	7	55.80	0		4.383593
41	267	35	0	0	12	22	17	4	7	55.80	0		4.383593
