Name:				597_n100_m400_bt100
Problem:			3L-VRPTW
Number_of_used_Vehicles:	6
Total_Travel_Distance:		1003.41
Calculation_Time:		3600.00
Total_Iterations:		256
ConstraintSet:			P18

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		19
No_of_Items:			71
Customer_Sequence:		20 9 22 3 42 82 30 58 100 24 16 60 10 75 72 61 70 28 81 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
42	172	37	0	0	0	0	15	7	7	590.54	0		47.815847
22	90	37	0	0	7	0	15	7	7	590.54	0		47.815847
61	239	81	0	0	14	0	16	6	7	146.11	0		10.761157
60	233	81	0	0	0	7	16	6	7	146.11	0		10.761157
24	95	17	0	0	6	7	10	7	8	276.76	0		17.537060
3	15	85	0	0	13	7	13	6	7	375	0		31.454698
82	314	3	0	0	20	0	16	4	8	385.21	0		34.986241
3	12	26	0	0	19	8	16	4	8	225.32	0		13.163403
10	40	29	0	0	0	14	14	5	7	662.55	0		85.745636
81	313	75	0	0	13	14	16	4	7	107.53	0		10.039220
28	110	11	0	0	19	16	14	4	8	268.86	0		62.571921
100	398	11	0	0	0	21	14	4	8	268.86	0		62.571921
10	42	83	0	0	6	15	9	6	8	346.78	0		95.041106
16	62	10	0	15	0	0	14	6	5	206.91	0		34.371357
72	275	10	0	15	6	0	14	6	5	206.91	0		34.371357
70	269	47	0	0	13	21	12	5	7	132.58	0		16.015833
81	311	47	0	0	6	23	12	5	7	132.58	0		16.015833
30	120	73	0	15	6	5	17	3	8	294.66	0		20.436998
58	227	68	0	15	9	5	14	3	8	65.11	0		8.877159
72	276	36	0	15	6	13	11	6	5	182.19	0		69.689728
16	65	71	0	0	19	24	13	5	5	176.75	0		24.098026
3	14	74	0	15	6	18	10	4	8	71.34	0		8.776413
61	238	80	0	16	14	0	8	5	8	528.16	0		44.650092
16	66	80	0	16	19	0	8	5	8	528.16	0		44.650092
9	35	23	0	24	12	0	15	3	7	99.66	0		7.661519
24	96	89	1	16	12	8	13	4	6	80.85	0		19.090477
9	39	89	1	16	12	14	13	4	6	80.85	0		19.090477
20	83	27	0	24	15	0	16	3	6	48.49	0		11.636559
61	235	16	0	24	18	0	6	6	8	212.05	0		13.801795
70	272	99	0	29	0	0	9	6	5	77.75	0		9.307706
30	121	99	0	29	6	0	9	6	5	77.75	0		9.307706
72	277	65	1	16	12	20	13	5	4	222.37	0		26.146547
16	64	65	1	16	12	24	13	5	4	222.37	0		26.146547
75	285	15	0	30	18	0	13	5	4	161.50	0		49.013072
58	226	14	0	30	18	4	14	6	3	113.50	0		25.593605
16	63	31	0	24	15	6	16	3	5	66.02	0		22.152949
82	316	31	0	24	12	7	16	3	5	66.02	0		22.152949
3	17	92	0	24	15	11	15	3	5	47.92	0		10.013791
81	310	19	0	21	18	8	9	6	4	154.46	0		38.940223
28	112	97	0	24	12	12	14	3	5	33.39	0		6.457796
42	174	97	0	24	15	16	14	3	5	33.39	0		6.457796
81	309	6	0	20	18	12	12	5	3	114.65	0		31.079617
82	315	5	0	20	18	15	12	5	3	35.60	0		10.349046
30	118	32	0	26	6	13	6	6	5	31.94	0		6.327133
3	13	32	0	25	6	18	6	6	5	31.94	0		6.327133
61	237	32	0	25	6	23	6	6	5	31.94	0		6.327133
28	111	40	0	24	15	21	11	4	4	25.10	0		40.267902
22	89	21	0	30	18	7	8	7	3	77.56	0		38.039138
61	236	21	0	32	0	5	8	7	3	77.56	0		38.039138
82	318	46	0	32	0	8	9	6	3	123.92	0		48.960520
9	36	43	0	21	12	17	13	3	4	36.57	0		16.963351
20	85	96	0	21	19	18	12	4	3	62.34	0		41.272267
42	173	70	1	10	6	7	6	3	8	33.09	0		15.645130
30	119	70	1	9	5	15	6	3	8	33.09	0		15.645130
60	234	84	0	21	12	21	9	3	5	100.89	0		33.237935
10	41	48	0	21	19	21	13	3	3	94.28	0		21.372534
75	286	78	1	13	13	7	6	3	6	32.55	0		6.712475
22	91	49	0	15	6	26	6	4	3	64.22	0		24.779118
100	399	53	0	40	0	0	17	7	5	75.21	1		3.950899
16	67	87	0	40	7	0	17	4	8	67.88	1		2.562142
9	38	66	0	40	11	0	13	6	5	311.06	1		34.428206
9	37	66	0	40	11	5	13	6	5	311.06	1		34.428206
81	312	61	0	40	7	8	13	4	7	254.33	1		8.946148
82	317	41	0	40	11	10	13	6	4	194.32	1		9.221915
20	84	30	0	32	0	11	12	3	7	118.20	1		11.548932
72	278	91	0	38	18	7	7	5	7	347.57	1		38.044947
3	16	91	0	38	18	14	7	5	7	347.57	1		38.044947
100	397	9	0	21	19	24	12	4	4	121.99	1		17.732728
70	271	64	0	38	18	21	7	6	4	108.98	1		12.045135
100	400	64	0	38	18	25	7	6	4	108.98	1		12.045135
70	270	54	0	21	12	26	7	4	3	27.93	1		12.913142


-------------------------------------------------------------------------------------------------------------------
Tour_Id:			2
No_of_Customers:		18
No_of_Items:			71
Customer_Sequence:		54 59 25 26 92 15 74 36 4 80 45 52 65 13 56 46 14 83 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
83	321	81	0	0	0	0	16	6	7	146.11	0		10.761157
92	359	81	0	0	6	0	16	6	7	146.11	0		10.761157
80	308	81	0	0	12	0	16	6	7	146.11	0		10.761157
4	20	81	0	0	18	0	16	6	7	146.11	0		10.761157
25	100	81	0	0	0	7	16	6	7	146.11	0		10.761157
54	213	69	0	0	6	7	14	5	8	450.87	0		58.398027
14	55	26	0	0	11	7	16	4	8	225.32	0		13.163403
46	184	29	0	0	15	7	14	5	7	662.55	0		85.745636
46	185	34	0	0	20	7	16	4	7	272.87	0		109.959358
25	98	34	0	0	0	14	16	4	7	272.87	0		109.959358
26	103	11	0	0	15	14	14	4	8	268.86	0		62.571921
65	251	1	0	0	19	14	14	4	8	75.49	0		4.579175
25	101	82	0	0	6	15	9	6	8	225.49	0		111.118047
65	256	82	0	0	15	22	9	6	8	225.49	0		111.118047
