Name:				599_n100_m400_bt100
Problem:			3L-VRPTW
Number_of_used_Vehicles:	6
Total_Travel_Distance:		919.15
Calculation_Time:		3161.97
Total_Iterations:		685
ConstraintSet:			P18

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		16
No_of_Items:			67
Customer_Sequence:		62 46 73 68 58 26 9 31 42 4 67 49 72 50 41 99 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
68	274	89	0	0	0	0	16	6	8	164.15	0		34.958664
58	239	89	0	0	6	0	16	6	8	164.15	0		34.958664
50	203	89	0	0	12	0	16	6	8	164.15	0		34.958664
26	102	32	0	0	18	0	17	6	7	230.44	0		22.639010
46	183	61	0	0	18	7	15	7	6	293.37	0		13.335192
31	123	61	0	0	0	8	15	7	6	293.37	0		13.335192
42	166	11	0	0	7	8	16	6	6	245.25	0		54.191948
72	289	20	0	0	18	13	13	6	7	327.29	0		21.749992
46	184	63	0	0	0	14	15	6	6	192.07	0		38.665434
4	12	46	0	0	6	14	12	6	7	350.51	0		55.778544
58	237	52	0	0	0	20	12	6	7	166.87	0		30.881159
73	294	76	0	0	18	20	13	7	5	162.51	0		28.511657
50	202	76	0	0	6	21	13	7	5	162.51	0		28.511657
49	198	53	0	0	13	8	15	5	6	498.82	0		46.545790
73	293	65	0	0	12	14	15	5	6	230.26	0		18.453024
99	396	65	0	16	0	0	15	5	6	230.26	0		18.453024
58	235	7	0	0	18	25	15	7	4	208.47	0		35.145039
68	273	81	0	16	5	0	15	4	7	373.17	0		37.710147
99	394	19	0	16	9	0	10	6	7	93.09	0		3.140887
62	252	87	0	16	15	0	17	3	8	193.66	0		12.220265
49	195	4	0	16	0	6	15	3	8	124.35	0		39.875167
41	162	36	0	16	5	7	12	6	5	323.49	0		34.855981
67	270	66	0	16	5	12	10	6	6	153.89	0		8.713475
41	163	66	0	16	5	18	10	6	6	153.89	0		8.713475
50	199	29	0	17	18	0	8	5	8	164.33	0		15.264331
9	36	34	0	0	6	26	13	6	4	188.11	0		60.563834
99	395	45	0	16	15	8	17	4	4	175.13	0		105.373981
42	168	38	0	16	5	24	11	6	4	68.19	0		4.707113
72	290	39	0	16	15	12	16	4	4	149.04	0		12.881105
26	103	100	0	25	18	0	9	7	4	171.08	0		119.811095
73	297	100	0	25	18	4	9	7	4	171.08	0		119.811095
58	236	21	0	26	9	0	6	6	7	77.64	0		9.261690
46	186	83	0	16	15	16	10	5	5	168.67	0		74.453357
9	40	92	0	16	15	21	10	5	5	151.92	0		22.089558
73	295	83	0	31	0	0	10	5	5	168.67	0		74.453357
31	124	98	0	16	19	8	12	5	4	327.08	0		49.011049
50	204	98	0	15	19	12	12	5	4	327.08	0		49.011049
68	272	80	0	16	11	7	12	4	5	177.96	0		15.504261
