Name:				446_n060_m400_bt100
Problem:			3L-VRPTW
Number_of_used_Vehicles:	5
Total_Travel_Distance:		866.50
Calculation_Time:		3600.00
Total_Iterations:		159
ConstraintSet:			P19

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		10
No_of_Items:			75
Customer_Sequence:		21 38 35 24 47 32 44 5 45 60 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
60	399	79	0	0	0	0	10	5	8	99.20	0		5.387205
60	396	21	0	0	5	0	11	4	8	123.85	0		11.641201
60	395	13	0	0	9	0	10	7	4	80.59	0		11.143830
60	397	43	0	0	16	0	14	4	3	43.19	0		79.226628
60	398	43	0	0	20	0	14	4	3	43.19	0		79.226628
60	400	83	0	0	16	3	13	2	6	28.13	0		5.682020
60	394	11	0	0	18	3	15	3	3	126.33	0		36.879227
45	296	95	0	0	21	3	13	4	7	96.99	0		6.721530
45	289	42	0	0	9	4	14	4	6	77.15	0		12.546502
45	290	42	0	0	0	8	14	4	6	77.15	0		12.546502
45	288	39	0	0	9	10	7	6	7	50.35	0		8.023494
45	291	43	0	0	4	8	14	4	3	43.19	0		79.226628
45	292	52	0	0	16	9	6	4	4	10.97	0		32.884990
45	293	57	0	0	15	13	15	6	6	141.82	1		6.163696
45	295	91	0	0	21	10	12	3	7	39.36	1		1.732673
45	294	87	0	0	0	14	6	6	3	40.04	1		15.081732
5	27	60	0	0	6	11	13	3	8	60.72	0		20.327156
5	28	62	0	0	9	17	11	5	5	105.58	0		12.461974
5	26	53	0	0	6	19	6	3	8	178.91	0		153.482106
5	29	89	0	0	0	17	16	6	3	128.74	1		28.254859
44	279	27	0	0	9	22	17	7	5	202.33	0		19.866200
44	286	96	0	16	0	0	10	7	7	220.88	0		19.444421
44	281	54	0	15	7	0	8	7	8	149.94	0		40.314000
44	280	40	0	6	6	19	16	3	7	139.23	0		57.720629
44	283	60	0	11	9	10	13	3	8	60.72	0		20.327156
44	285	72	0	12	21	10	9	4	7	84.15	0		13.678115
44	284	66	0	6	6	26	17	3	4	69.56	0		17.141599
44	287	100	0	0	6	27	6	6	3	10.83	0		26.798113
44	282	58	0	11	12	10	7	2	7	23.87	0		9.335622
32	194	4	0	12	21	17	12	4	8	63.25	0		5.094139
32	198	32	0	16	0	7	12	4	7	89.39	0		12.391048
32	200	90	0	16	0	14	9	3	7	63.72	0		31.501590
32	195	11	0	0	12	27	15	3	3	126.33	0		36.879227
32	196	22	0	0	15	27	11	2	3	16.28	0		9.321037
32	197	22	0	11	15	27	11	2	3	16.28	0		9.321037
32	199	71	0	21	14	0	17	7	6	206.19	1		3.696045
