Name:				448_n060_m400_bt100
Problem:			3L-VRPTW
Number_of_used_Vehicles:	5
Total_Travel_Distance:		700.42
Calculation_Time:		3600.00
Total_Iterations:		43
ConstraintSet:			P19

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		14
No_of_Items:			92
Customer_Sequence:		22 47 15 51 5 46 37 34 33 54 56 28 7 58 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
58	389	10	0	0	0	0	14	6	6	162.80	0		10.641648
58	391	61	0	0	6	0	16	4	5	162.54	0		28.128542
58	392	77	0	0	10	0	6	6	3	34.72	0		95.006302
58	390	19	0	0	16	0	14	3	4	43.67	1		2.546766
7	43	4	0	0	6	5	10	7	7	118.39	0		24.750569
7	50	67	0	0	19	0	15	3	8	108.51	0		13.560678
7	47	48	0	0	0	6	11	4	8	95.62	0		17.678200
7	44	39	1	0	13	8	8	6	7	62.68	0		2.984203
7	48	61	0	0	21	8	16	4	5	162.54	0		28.128542
7	49	66	0	0	6	12	15	7	3	60.63	0		12.301395
7	45	42	0	0	22	0	11	2	5	30.72	0		6.882964
7	46	45	0	0	21	13	13	4	8	65.13	1		4.224656
28	195	24	0	0	0	14	11	6	7	136.92	0		12.604655
28	197	66	0	0	6	15	15	7	3	60.63	0		12.301395
28	198	80	0	0	13	15	12	4	5	28.26	0		24.302070
28	196	40	0	0	4	6	6	2	7	10.45	0		9.122750
28	194	22	0	0	6	18	16	6	3	69.85	1		14.955752
56	376	41	0	0	13	20	15	7	3	93.54	0		25.393546
56	378	80	0	0	17	15	12	4	5	28.26	0		24.302070
56	377	55	0	0	0	21	9	6	4	44.98	0		4.849229
51	351	58	0	0	13	23	7	7	6	44.33	0		12.133296
47	320	9	0	0	0	25	15	6	4	142.75	0		18.622896
54	364	16	0	11	0	6	15	4	8	128.06	0		20.202392
54	366	24	0	11	0	14	11	6	7	136.92	0		12.604655
54	371	100	0	9	0	21	17	6	4	53.88	0		8.571627
54	365	17	0	14	0	0	14	6	3	48.82	0		7.855844
54	367	37	0	13	21	13	15	4	3	19.59	0		26.731960
54	370	79	0	13	20	16	10	3	6	43.96	0		4.821334
54	368	53	0	14	0	3	7	6	3	27.06	0		8.485516
54	363	7	0	13	20	22	10	4	3	15.76	0		5.184761
54	369	65	0	0	6	21	12	5	8	132.92	1		2.100776
33	234	96	0	15	12	0	17	3	6	184.53	0		26.712721
33	229	24	0	16	6	0	11	6	7	136.92	0		12.604655
33	231	73	0	15	15	0	9	4	7	78.70	0		21.223115
33	235	99	0	16	6	7	8	7	4	153.12	0		31.043556
33	228	11	0	16	13	7	12	6	3	25.22	0		7.016393
33	230	34	0	13	20	25	14	5	3	48.36	0		8.727333
33	233	77	0	16	13	10	6	6	3	34.72	0		95.006302
33	232	74	0	12	6	21	9	6	8	129.40	1		4.766881
34	238	41	0	16	13	13	15	7	3	93.54	0		25.393546
34	240	75	0	16	13	16	7	6	7	60.45	0		18.256375
34	237	34	0	21	6	11	14	5	3	48.36	0		8.727333
34	241	84	0	21	6	14	7	5	6	51.98	0		13.716330
5	32	60	0	21	6	20	9	5	6	70.74	0		9.782999
34	239	59	0	23	13	16	13	6	4	76.47	1		2.611123
