Name:				449_n060_m400_bt100
Problem:			3L-VRPTW
Number_of_used_Vehicles:	5
Total_Travel_Distance:		744.78
Calculation_Time:		3600.00
Total_Iterations:		138
ConstraintSet:			P19

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		12
No_of_Items:			88
Customer_Sequence:		31 50 20 2 9 42 39 37 52 3 25 29 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
29	189	1	0	0	0	0	16	6	7	159.14	0		7.981012
29	194	90	0	0	6	0	10	5	7	119.24	0		9.096242
29	193	56	0	0	11	0	16	3	7	87.30	0		15.499977
29	190	5	0	0	14	0	12	3	7	87.85	0		19.638325
29	191	32	0	0	17	0	11	2	5	38.62	0		8.960899
29	192	47	0	0	19	0	9	3	4	37.88	0		9.786026
25	163	1	0	0	19	4	16	6	7	159.14	0		7.981012
25	165	18	0	0	0	7	12	6	6	131.17	0		17.607345
25	166	20	0	0	6	7	12	6	6	158.24	0		17.622452
25	167	51	0	0	12	7	9	6	6	74.11	0		14.056880
25	169	80	0	0	19	11	14	5	4	67.69	0		12.207288
25	164	6	0	0	0	13	8	4	8	127.12	0		10.973152
25	168	62	0	0	4	13	15	5	3	40.82	0		9.747711
25	170	86	0	0	9	13	12	5	8	138.90	1		19.569183
25	171	99	0	0	14	13	14	3	4	20.04	1		8.101941
3	23	91	0	0	0	21	12	7	8	99.94	0		8.736046
3	21	46	0	0	19	15	17	5	5	222.16	0		18.762689
3	19	37	1	0	14	20	10	5	7	139.67	0		23.088463
3	20	38	1	5	14	20	7	5	8	39.54	0		5.497074
3	16	5	0	5	21	20	12	3	7	87.85	0		19.638325
9	63	31	0	0	7	21	9	6	5	75.94	1		2.629778
3	17	10	0	0	17	13	14	2	6	22.32	0		5.690582
3	18	34	0	8	0	13	6	4	7	33.12	0		40.091831
52	348	12	1	15	0	7	14	6	7	124.76	0		22.051185
52	352	57	0	10	14	20	10	7	8	135.41	0		7.196140
9	66	80	0	15	0	14	14	5	4	67.69	0		12.207288
52	351	48	0	14	14	0	12	2	8	24.56	0		11.841799
52	347	10	0	14	16	0	14	2	6	22.32	0		5.690582
52	350	26	0	15	5	14	6	4	6	134.81	0		36.466016
37	242	1	0	21	0	0	16	6	7	159.14	0		7.981012
37	244	28	0	21	6	0	9	6	8	133.77	0		17.650980
37	246	56	0	21	0	7	16	3	7	87.30	0		15.499977
37	247	79	0	21	5	8	10	4	7	42.99	0		4.282387
37	243	7	1	12	0	20	7	2	4	16.16	0		9.126920
37	245	29	0	14	9	14	11	5	4	30.10	0		6.988459
39	258	43	0	25	9	8	16	5	8	202.10	0		21.282767
39	256	23	0	20	14	8	15	7	6	112.50	0		9.391573
39	255	19	0	20	14	14	12	6	7	58.23	0		1.850885
2	14	74	0	12	0	24	7	6	6	45.24	0		35.353116
39	259	56	0	17	21	0	16	3	7	87.30	0		15.499977
31	206	52	0	0	7	26	8	2	3	5.95	1		4.468434
39	262	97	0	17	21	7	8	3	6	19.84	0		5.212625
39	261	69	0	20	20	14	11	5	4	70.56	1		4.882823
42	278	20	0	20	14	21	12	6	6	158.24	0		17.622452
42	283	73	0	31	3	7	13	5	6	40.75	0		4.876450
42	280	61	0	32	14	14	7	6	6	51.69	0		12.015202
42	282	62	0	12	9	18	15	5	3	40.82	0		9.747711
9	65	62	0	12	9	21	15	5	3	40.82	0		9.747711
42	281	61	0	32	14	20	7	6	6	51.69	0		12.015202
42	277	13	0	20	20	18	12	5	6	255.96	1		5.463946
42	284	81	0	20	20	24	7	4	5	26.59	1		3.478113
2	10	17	0	12	9	24	6	4	6	22.51	0		13.234080
52	349	18	0	35	14	0	12	6	6	131.17	0		17.607345
9	61	8	0	14	0	20	10	7	4	89.47	0		4.692973
42	279	45	0	21	5	15	16	3	5	112.96	0		14.371836
2	8	2	0	24	0	18	17	2	7	34.14	0		40.595581
20	122	8	0	19	0	25	10	7	4	89.47	0		4.692973
50	337	33	0	18	9	24	16	4	5	79.94	0		16.380426
9	60	7	0	12	7	20	7	2	4	16.16	0		9.126920
2	12	50	0	33	21	0	17	4	7	79.62	0		9.250435
2	9	3	0	24	2	18	15	3	5	60.72	1		4.089612
2	11	30	0	29	0	14	17	4	4	116.10	0		27.785410
39	260	68	0	35	14	6	14	5	6	50.73	0		5.138972
50	339	62	0	20	14	27	15	5	3	40.82	0		9.747711
9	62	28	0	34	8	16	9	6	8	133.77	0		17.650980
2	13	68	0	39	2	18	14	5	6	50.73	0		5.138972
39	257	29	0	37	0	0	11	5	4	30.10	0		6.988459
20	125	50	0	33	21	7	17	4	7	79.62	0		9.250435
2	7	1	0	43	8	0	16	6	7	159.14	0		7.981012
20	123	27	0	32	20	14	9	4	7	34.34	0		6.910838
20	127	61	0	43	8	7	7	6	6	51.69	0		12.015202
20	128	75	0	32	20	21	8	4	6	35.45	0		27.426058
50	335	26	0	34	2	24	6	4	6	134.81	0		36.466016
20	126	54	0	41	20	14	16	5	6	87.17	1		1.433536
3	22	78	1	16	0	0	8	4	7	182.36	0		28.640576
50	333	6	0	40	20	21	8	4	8	127.12	0		10.973152
50	332	2	0	41	0	18	17	2	7	34.14	0		40.595581
9	64	58	0	48	0	0	7	5	5	44.18	0		17.093059
50	336	29	0	34	9	24	11	5	4	30.10	0		6.988459
20	124	49	0	27	19	27	10	2	3	12.36	0		7.532591
50	338	36	0	27	21	27	13	2	3	11.45	0		4.726024
50	334	22	0	43	8	13	10	7	7	139.68	1		12.527838
31	205	43	0	39	15	12	16	5	8	202.10	0		21.282767
31	202	18	0	40	2	24	12	6	6	131.17	0		17.607345
31	207	100	0	53	2	7	7	7	8	137.89	0		16.070617
31	204	33	0	39	15	20	16	4	5	79.94	0		16.380426
31	203	21	1	53	2	15	8	7	5	65.68	0		24.422978
2	15	81	1	48	0	5	7	4	5	26.59	1		3.478113


-------------------------------------------------------------------------------------------------------------------
Tour_Id:			2
No_of_Customers:		15
No_of_Items:			92
Customer_Sequence:		30 26 60 33 11 10 19 55 13 59 6 48 40 44 54 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
54	366	96	0	0	0	0	17	5	6	183.83	0		85.977126
54	361	50	0	0	5	0	17	4	7	79.62	0		9.250435
54	362	50	0	0	9	0	17	4	7	79.62	0		9.250435
54	364	80	0	0	13	0	14	5	4	67.69	0		12.207288
54	363	53	0	0	18	0	7	4	6	200.88	0		75.954948
54	365	94	0	0	22	0	9	3	4	19.84	0		13.051564
54	359	7	0	0	13	4	7	2	4	16.16	0		9.126920
54	360	41	0	0	0	6	10	5	4	43.14	1		1.774668
44	290	57	0	0	18	6	10	7	8	135.41	0		7.196140
44	291	90	0	0	5	7	10	5	7	119.24	0		9.096242
44	288	25	0	0	13	8	14	5	4	91.71	0		15.326406
44	294	98	0	0	10	12	13	5	4	89.71	0		70.270977
44	292	93	0	0	15	12	10	3	7	23.33	0		21.581294
44	289	53	1	0	0	14	7	4	6	200.88	0		75.954948
44	293	95	0	0	0	10	16	5	3	77.80	1		4.244146
40	266	72	0	0	7	14	17	3	6	74.66	0		7.218363
40	267	83	0	0	18	14	9	4	6	66.76	0		9.656709
40	264	48	0	0	22	14	12	2	8	24.56	0		11.841799
33	218	53	0	0	10	16	7	4	6	200.88	0		75.954948
40	265	69	0	0	0	20	11	5	4	70.56	1		4.882823
48	322	73	0	0	5	20	13	5	6	40.75	0		4.876450
48	321	72	0	0	15	19	17	3	6	74.66	0		7.218363
48	323	85	0	10	15	12	7	6	7	59.28	0		18.391176
48	318	42	0	0	18	20	12	3	8	77.32	0		4.945093
48	320	71	0	12	18	0	8	5	7	60.98	0		8.184050
48	317	6	0	12	18	19	8	4	8	127.12	0		10.973152
48	316	5	0	0	22	22	12	3	7	87.85	0		19.638325
48	319	64	0	12	22	7	12	3	7	56.14	0		9.887644
59	391	25	0	0	5	26	14	5	4	91.71	0		15.326406
6	44	50	0	17	0	0	17	4	7	79.62	0		9.250435
6	46	90	0	17	4	0	10	5	7	119.24	0		9.096242
6	42	25	0	13	5	20	14	5	4	91.71	0		15.326406
6	43	47	0	0	15	25	9	3	4	37.88	0		9.786026
33	217	27	0	0	10	22	9	4	7	34.34	0		6.910838
59	393	100	0	27	4	0	7	7	8	137.89	0		16.070617
6	41	12	0	24	11	0	14	6	7	124.76	0		22.051185
