Name:				351_n020_m400_bt10
Problem:			3L-VRPTW
Number_of_used_Vehicles:	4
Total_Travel_Distance:		406.77
Calculation_Time:		3600.00
Total_Iterations:		88
ConstraintSet:			P20

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		6
No_of_Items:			118
Customer_Sequence:		7 3 9 2 14 15 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
15	273	2	0	0	0	0	17	4	8	45.43	0		5.792571
15	274	2	0	0	4	0	17	4	8	45.43	0		5.792571
15	275	2	0	0	8	0	17	4	8	45.43	0		5.792571
15	276	2	0	0	12	0	17	4	8	45.43	0		5.792571
15	288	6	0	0	16	0	12	7	6	48.22	0		6.897513
15	287	6	0	0	16	6	12	7	6	48.22	0		6.897513
15	286	6	0	0	0	8	12	7	6	48.22	0		6.897513
15	285	6	0	0	7	8	12	7	6	48.22	0		6.897513
15	272	1	0	0	16	12	12	6	7	35.74	0		1.428933
15	294	9	0	0	0	14	15	4	4	37.59	0		20.537726
15	296	10	0	0	4	14	9	3	7	18.66	0		4.056756
15	295	10	0	0	7	14	9	3	7	18.66	0		4.056756
15	289	7	0	0	10	14	9	3	6	14.05	0		2.095318
15	290	7	0	0	0	18	9	3	6	14.05	0		2.095318
15	291	7	0	0	16	19	9	3	6	14.05	0		2.095318
15	292	7	0	0	19	19	9	3	6	14.05	0		2.095318
2	33	8	0	0	4	21	10	5	6	38.74	1		1.147328
15	284	5	0	0	10	20	12	3	4	11.91	0		2.122379
15	280	3	0	0	0	24	6	4	5	19.33	0		17.116971
15	279	3	0	0	9	24	6	4	5	19.33	0		17.116971
15	278	3	0	0	16	25	6	4	5	19.33	0		17.116971
15	277	3	0	6	9	24	6	4	5	19.33	0		17.116971
15	283	4	0	0	23	0	15	2	3	11.40	1		0.718396
15	282	4	0	0	23	3	15	2	3	11.40	1		0.718396
15	281	4	0	0	23	6	15	2	3	11.40	1		0.718396
14	259	2	0	12	16	0	17	4	8	45.43	0		5.792571
14	260	2	1	12	4	8	17	4	8	45.43	0		5.792571
14	268	6	0	17	0	0	12	7	6	48.22	0		6.897513
14	261	3	1	6	16	25	6	4	5	19.33	0		17.116971
14	258	1	0	17	7	0	12	6	7	35.74	0		1.428933
14	270	10	0	12	20	0	9	3	7	18.66	0		4.056756
14	271	10	0	17	13	0	9	3	7	18.66	0		4.056756
14	266	5	1	12	4	16	12	3	4	11.91	0		2.122379
14	267	5	0	17	0	6	12	3	4	11.91	0		2.122379
14	257	1	0	17	7	7	12	6	7	35.74	0		1.428933
14	262	3	0	9	0	18	6	4	5	19.33	0		17.116971
14	263	3	1	9	16	19	6	4	5	19.33	0		17.116971
14	269	8	0	17	7	14	10	5	6	38.74	1		1.147328
14	264	4	0	0	23	9	15	2	3	11.40	1		0.718396
14	265	4	0	0	22	12	15	2	3	11.40	1		0.718396
2	30	6	0	29	0	0	12	7	6	48.22	0		6.897513
2	21	1	0	29	7	0	12	6	7	35.74	0		1.428933
2	27	4	0	0	22	15	15	2	3	11.40	1		0.718396
2	35	9	0	17	3	6	15	4	4	37.59	0		20.537726
9	159	2	0	16	0	10	17	4	8	45.43	0		5.792571
2	36	10	1	12	4	20	9	3	7	18.66	0		4.056756
2	31	7	0	16	4	10	9	3	6	14.05	0		2.095318
9	174	10	0	15	4	16	9	3	7	18.66	0		4.056756
2	29	5	0	17	13	7	12	3	4	11.91	0		2.122379
3	56	8	0	17	7	20	10	5	6	38.74	1		1.147328
2	32	8	0	21	20	0	10	5	6	38.74	1		1.147328
15	293	7	1	9	4	14	9	3	6	14.05	0		2.095318
