Name:				115_n060_m200_bt10_9755
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		509.30
Calculation_Time:		2.17
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		14
No_of_Items:			50
Customer_Sequence:		5 4 17 21 15 10 11 7 2 19 9 12 1 14 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
14	43	3	0	0	0	0	11	6	8	236.15	0		18.670930
14	44	5	0	0	6	0	16	5	5	214.01	0		12.460693
14	45	6	0	0	11	0	11	3	7	104.70	0		8.232390
14	46	8	0	0	14	0	12	4	3	46.96	0		6.863579
14	47	10	0	0	18	0	14	4	5	143.74	1		3.890728
1	2	6	0	0	22	0	11	3	7	104.70	0		8.232390
1	3	8	0	0	14	3	12	4	3	46.96	0		6.863579
1	1	2	0	0	0	8	7	6	3	240.21	0		113.633997
12	37	5	0	0	6	5	16	5	5	214.01	0		12.460693
12	39	9	0	12	11	0	11	7	5	245.65	0		22.515020
12	38	6	0	0	14	6	11	3	7	104.70	0		8.232390
12	36	2	0	0	6	10	7	6	3	240.21	0		113.633997
9	25	5	0	11	0	0	16	5	5	214.01	0		12.460693
9	26	7	0	0	22	7	13	3	5	120.95	0		12.483960
9	27	7	0	0	22	12	13	3	5	120.95	0		12.483960
9	28	8	1	0	6	13	12	4	3	46.96	0		6.863579
9	29	10	0	0	18	5	14	4	5	143.74	1		3.890728
19	60	5	0	11	0	5	16	5	5	214.01	0		12.460693
19	62	9	0	11	0	10	11	7	5	245.65	0		22.515020
19	61	6	1	0	6	16	11	3	7	104.70	0		8.232390
19	59	2	0	0	0	11	7	6	3	240.21	0		113.633997
2	5	6	0	0	22	17	11	3	7	104.70	0		8.232390
2	4	1	1	0	6	23	6	4	3	24.19	0		5.211706
2	6	10	0	0	18	10	14	4	5	143.74	1		3.890728
2	7	10	0	0	18	15	14	4	5	143.74	1		3.890728
7	19	3	0	11	0	15	11	6	8	236.15	0		18.670930
7	20	5	0	14	18	0	16	5	5	214.01	0		12.460693
7	21	6	0	11	11	5	11	3	7	104.70	0		8.232390
11	33	3	0	14	14	5	11	6	8	236.15	0		18.670930
11	34	8	0	7	7	10	12	4	3	46.96	0		6.863579
11	35	8	0	4	7	13	12	4	3	46.96	0		6.863579
10	31	6	0	4	7	16	11	3	7	104.70	0		8.232390
10	30	2	0	11	0	23	7	6	3	240.21	0		113.633997
10	32	10	0	0	17	20	14	4	5	143.74	1		3.890728
15	49	5	0	22	5	0	16	5	5	214.01	0		12.460693
15	48	1	1	0	6	26	6	4	3	24.19	0		5.211706
21	66	3	0	14	14	13	11	6	8	236.15	0		18.670930
21	67	3	0	14	14	21	11	6	8	236.15	0		18.670930
21	68	5	0	22	5	5	16	5	5	214.01	0		12.460693
21	69	7	0	0	22	24	13	3	5	120.95	0		12.483960
17	53	5	0	22	5	10	16	5	5	214.01	0		12.460693
17	54	8	0	14	20	5	12	4	3	46.96	0		6.863579
17	55	8	0	14	20	8	12	4	3	46.96	0		6.863579
4	10	7	0	4	7	23	13	3	5	120.95	0		12.483960
4	11	10	0	14	20	11	14	4	5	143.74	1		3.890728
4	12	10	0	14	20	16	14	4	5	143.74	1		3.890728
5	14	5	0	22	5	15	16	5	5	214.01	0		12.460693
5	15	6	0	11	11	12	11	3	7	104.70	0		8.232390
5	16	8	0	22	5	20	12	4	3	46.96	0		6.863579
5	13	2	0	11	0	26	7	6	3	240.21	0		113.633997


