Name:				204_n100_m200_bt10_16950
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		705.71
Calculation_Time:		1.35
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		16
No_of_Items:			37
Customer_Sequence:		19 20 5 11 14 22 3 2 4 6 15 9 1 8 7 17 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
17	32	7	0	0	0	0	15	5	5	265.16	0		53.452314
17	33	10	0	0	5	0	13	4	7	165.62	0		12.994179
17	31	5	0	0	9	0	12	3	5	79.83	0		40.138172
7	15	4	0	0	12	0	14	6	7	267.68	0		10.167186
7	16	7	0	0	18	0	15	5	5	265.16	0		53.452314
8	19	7	0	0	0	5	15	5	5	265.16	0		53.452314
8	18	5	0	0	9	5	12	3	5	79.83	0		40.138172
8	17	1	0	0	18	5	6	5	3	39.54	1		9.151577
1	1	4	0	0	12	7	14	6	7	267.68	0		10.167186
1	2	6	0	0	12	14	9	7	3	263.32	0		36.749018
9	20	3	0	0	5	7	16	4	8	301.03	1		7.031139
15	29	4	0	14	9	0	14	6	7	267.68	0		10.167186
6	12	4	0	14	9	7	14	6	7	267.68	0		10.167186
6	13	7	0	0	0	10	15	5	5	265.16	0		53.452314
6	14	7	0	0	0	15	15	5	5	265.16	0		53.452314
4	10	4	0	0	0	20	14	6	7	267.68	0		10.167186
4	9	2	0	0	12	17	12	5	4	168.67	0		22.245446
2	3	4	0	12	9	14	14	6	7	267.68	0		10.167186
2	5	10	0	0	12	21	13	4	7	165.62	0		12.994179
2	4	6	0	0	0	27	9	7	3	263.32	0		36.749018
3	7	7	0	15	0	0	15	5	5	265.16	0		53.452314
3	8	9	0	15	15	0	17	5	3	182.67	0		85.563576
3	6	3	0	15	20	0	16	4	8	301.03	1		7.031139
22	43	4	0	16	0	5	14	6	7	267.68	0		10.167186
22	44	10	0	13	12	21	13	4	7	165.62	0		12.994179
22	42	2	0	15	15	3	12	5	4	168.67	0		22.245446
14	28	6	0	16	0	12	9	7	3	263.32	0		36.749018
14	27	3	0	15	20	8	16	4	8	301.03	1		7.031139
14	26	1	0	0	19	8	6	5	3	39.54	1		9.151577
11	22	4	0	28	6	0	14	6	7	267.68	0		10.167186
11	23	5	0	12	9	21	12	3	5	79.83	0		40.138172
5	11	1	0	9	0	27	6	5	3	39.54	1		9.151577
20	39	8	0	15	0	15	11	5	8	387.37	0		30.427322
20	40	10	0	15	0	23	13	4	7	165.62	0		12.994179
20	38	3	0	15	20	16	16	4	8	301.03	1		7.031139
19	37	9	0	28	6	7	17	5	3	182.67	0		85.563576
19	36	2	0	28	6	10	12	5	4	168.67	0		22.245446


