Name:				229_n100_m200_bt3_19111
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		1578.28
Calculation_Time:		14.91
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		41
No_of_Items:			89
Customer_Sequence:		30 41 6 18 1 10 22 37 38 13 16 34 23 43 9 36 27 33 20 39 40 28 31 25 42 7 11 35 17 4 45 3 19 2 5 21 26 15 8 12 29 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
29	58	2	0	0	0	0	15	4	3	90.29	0		25.200705
29	59	3	0	0	4	0	10	3	5	62.60	1		2.641948
12	24	2	0	0	7	0	15	4	3	90.29	0		25.200705
12	23	1	0	0	11	0	7	3	6	234.58	0		39.219102
12	25	3	0	0	14	0	10	3	5	62.60	1		2.641948
8	16	2	0	0	17	0	15	4	3	90.29	0		25.200705
8	15	1	0	0	21	0	7	3	6	234.58	0		39.219102
8	17	3	0	0	0	3	10	3	5	62.60	1		2.641948
15	29	2	0	0	7	3	15	4	3	90.29	0		25.200705
15	28	1	0	0	17	3	7	3	6	234.58	0		39.219102
26	50	1	0	0	7	6	7	3	6	234.58	0		39.219102
26	51	1	0	0	10	6	7	3	6	234.58	0		39.219102
26	52	3	0	0	4	5	10	3	5	62.60	1		2.641948
21	40	3	0	0	14	5	10	3	5	62.60	1		2.641948
21	41	3	0	0	0	8	10	3	5	62.60	1		2.641948
5	8	2	0	7	21	0	15	4	3	90.29	0		25.200705
5	9	3	0	0	4	10	10	3	5	62.60	1		2.641948
5	10	3	0	0	14	10	10	3	5	62.60	1		2.641948
2	2	1	0	0	21	6	7	3	6	234.58	0		39.219102
2	3	1	0	0	17	9	7	3	6	234.58	0		39.219102
19	35	1	0	0	7	12	7	3	6	234.58	0		39.219102
19	36	1	0	0	10	12	7	3	6	234.58	0		39.219102
19	37	1	0	0	21	12	7	3	6	234.58	0		39.219102
3	4	1	0	0	17	15	7	3	6	234.58	0		39.219102
45	91	2	0	7	21	3	15	4	3	90.29	0		25.200705
45	92	2	0	7	21	6	15	4	3	90.29	0		25.200705
45	93	3	0	0	0	13	10	3	5	62.60	1		2.641948
4	5	2	0	7	21	9	15	4	3	90.29	0		25.200705
4	6	2	0	7	21	12	15	4	3	90.29	0		25.200705
4	7	3	0	0	4	15	10	3	5	62.60	1		2.641948
17	31	1	0	0	7	18	7	3	6	234.58	0		39.219102
35	71	3	0	0	14	15	10	3	5	62.60	1		2.641948
11	22	2	0	7	21	15	15	4	3	90.29	0		25.200705
11	21	1	0	0	10	18	7	3	6	234.58	0		39.219102
7	12	2	0	0	20	18	15	4	3	90.29	0		25.200705
7	13	3	0	0	0	18	10	3	5	62.60	1		2.641948
7	14	3	0	0	4	20	10	3	5	62.60	1		2.641948
42	87	1	0	0	17	21	7	3	6	234.58	0		39.219102
25	48	3	0	0	14	20	10	3	5	62.60	1		2.641948
25	49	3	0	0	20	21	10	3	5	62.60	1		2.641948
31	61	2	0	10	11	0	15	4	3	90.29	0		25.200705
31	62	2	0	10	11	3	15	4	3	90.29	0		25.200705
31	63	3	0	0	0	23	10	3	5	62.60	1		2.641948
28	55	2	0	10	11	6	15	4	3	90.29	0		25.200705
28	56	3	0	0	4	25	10	3	5	62.60	1		2.641948
28	57	3	0	0	14	25	10	3	5	62.60	1		2.641948
40	82	2	0	10	11	9	15	4	3	90.29	0		25.200705
40	83	2	0	10	11	12	15	4	3	90.29	0		25.200705
40	81	1	0	0	7	24	7	3	6	234.58	0		39.219102
39	78	1	0	0	10	24	7	3	6	234.58	0		39.219102
39	79	1	0	7	17	3	7	3	6	234.58	0		39.219102
39	80	1	0	7	7	6	7	3	6	234.58	0		39.219102
20	38	3	0	10	4	0	10	3	5	62.60	1		2.641948
20	39	3	0	10	4	5	10	3	5	62.60	1		2.641948
