Name:				352_n020_m400_bt10_27974
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		93.76
Calculation_Time:		1.12
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		2
No_of_Items:			41
Customer_Sequence:		18 9 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
9	150	2	0	0	0	0	13	6	7	60.03	0		5.086169
9	161	8	0	0	6	0	17	7	4	57.89	0		3.466435
9	160	8	0	0	13	0	17	7	4	57.89	0		3.466435
9	159	8	0	0	6	4	17	7	4	57.89	0		3.466435
9	148	1	0	0	20	0	15	3	7	27.94	0		2.504386
9	149	1	0	0	13	4	15	3	7	27.94	0		2.504386
9	147	1	0	0	16	4	15	3	7	27.94	0		2.504386
9	157	7	0	0	0	7	6	6	7	43.90	0		11.242106
9	158	7	0	0	6	8	6	6	7	43.90	0		11.242106
9	151	3	0	0	20	7	13	3	5	22.75	0		5.543580
9	152	3	0	0	13	11	13	3	5	22.75	0		5.543580
9	156	5	0	6	0	7	9	5	4	14.48	0		2.232111
9	155	5	0	6	5	8	9	5	4	14.48	0		2.232111
9	154	5	0	6	0	11	9	5	4	14.48	0		2.232111
9	153	5	0	6	5	12	9	5	4	14.48	0		2.232111
9	165	10	0	0	23	0	6	2	6	12.01	0		5.612750
9	162	9	0	0	16	11	15	4	7	47.06	1		1.910406
9	163	9	0	0	16	18	15	4	7	47.06	1		1.910406
9	164	9	0	15	20	0	15	4	7	47.06	1		1.910406
18	346	6	0	15	0	0	16	5	8	52.07	0		2.176094
18	345	6	0	15	0	8	16	5	8	52.07	0		2.176094
18	338	2	0	15	0	16	13	6	7	60.03	0		5.086169
18	352	8	0	17	5	0	17	7	4	57.89	0		3.466435
18	351	8	0	17	12	0	17	7	4	57.89	0		3.466435
18	350	8	0	15	13	4	17	7	4	57.89	0		3.466435
18	336	1	0	0	20	12	15	3	7	27.94	0		2.504386
18	337	1	0	0	13	16	15	3	7	27.94	0		2.504386
18	335	1	0	0	20	19	15	3	7	27.94	0		2.504386
18	347	7	0	6	5	16	6	6	7	43.90	0		11.242106
18	348	7	0	6	5	23	6	6	7	43.90	0		11.242106
18	349	7	0	15	13	8	6	6	7	43.90	0		11.242106
18	339	3	0	0	13	23	13	3	5	22.75	0		5.543580
18	342	5	0	6	0	15	9	5	4	14.48	0		2.232111
18	343	5	0	6	0	19	9	5	4	14.48	0		2.232111
18	344	5	0	6	0	23	9	5	4	14.48	0		2.232111
18	341	5	0	15	0	23	9	5	4	14.48	0		2.232111
18	356	10	0	6	10	8	6	2	6	12.01	0		5.612750
18	340	4	0	17	5	4	14	7	8	78.38	1		0.771859
18	353	9	0	15	20	7	15	4	7	47.06	1		1.910406
18	354	9	0	15	19	14	15	4	7	47.06	1		1.910406
18	355	9	0	15	6	12	15	4	7	47.06	1		1.910406


