Name:				027_n020_m200_bt100_2696
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		196.21
Calculation_Time:		3.39
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		5
No_of_Items:			56
Customer_Sequence:		2 12 6 15 9 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
9	74	1	0	0	0	0	17	7	8	144.98	0		4.014173
9	75	1	0	0	7	0	17	7	8	144.98	0		4.014173
9	77	8	0	0	14	0	15	7	5	55.91	0		3.626966
9	80	20	0	0	14	5	17	5	4	80.83	0		29.857745
9	83	41	0	0	21	0	12	3	6	24.08	0		3.116284
9	85	76	0	0	0	8	7	6	5	39.20	0		3.592917
9	82	38	0	0	21	6	8	3	6	30.61	0		5.307026
9	76	3	0	0	6	8	9	4	3	17.94	0		10.265864
9	81	31	0	0	19	5	13	2	4	16.41	0		4.913464
9	79	15	0	0	14	9	14	6	8	111.96	1		1.884741
9	84	75	0	0	14	17	14	6	8	593.85	1		13.546228
9	78	14	0	0	14	25	12	6	5	67.70	1		1.589982
15	148	65	0	17	0	0	16	6	8	237.98	0		7.348712
15	145	53	0	7	0	8	15	6	5	56.83	0		7.718315
15	143	24	0	0	0	13	12	6	5	63.74	0		8.490574
15	147	63	0	0	0	18	11	5	5	37.76	0		26.661108
15	144	41	0	0	10	8	12	3	6	24.08	0		3.116284
15	141	7	0	0	0	23	6	6	4	24.14	0		33.395015
15	149	80	0	0	6	11	6	4	6	16.52	0		8.467138
15	142	17	0	0	10	14	10	4	3	27.21	0		14.401705
15	150	89	0	12	21	0	15	3	4	33.95	1		1.399119
15	146	56	0	0	21	12	10	2	8	29.95	1		2.988796
6	54	86	0	17	6	0	17	4	7	114.22	0		9.188678
6	52	23	0	0	6	17	8	6	8	61.52	0		2.563833
6	53	28	0	17	10	0	14	3	7	187.95	0		22.180937
6	47	4	0	12	0	13	11	6	4	42.47	0		15.521382
6	49	9	0	12	0	17	14	3	6	248.72	0		43.809602
6	48	7	0	0	6	25	6	6	4	24.14	0		33.395015
6	50	13	0	6	0	23	8	3	4	19.46	0		26.515878
6	51	15	0	17	13	0	14	6	8	111.96	1		1.884741
12	116	65	0	17	6	7	16	6	8	237.98	0		7.348712
12	114	46	0	17	6	15	14	6	8	172.76	0		9.163944
12	107	10	0	17	6	23	13	6	7	62.71	0		3.660240
12	111	21	0	31	10	0	11	7	6	95.41	0		14.533611
12	117	76	0	26	0	8	7	6	5	39.20	0		3.592917
12	118	94	0	14	0	23	16	3	4	52.79	0		36.858205
12	113	32	0	12	3	17	12	3	5	101.40	0		41.339671
12	119	96	0	11	3	22	14	3	4	64.01	0		24.606022
12	110	17	0	0	0	27	10	4	3	27.21	0		14.401705
12	112	31	0	0	12	17	13	2	4	16.41	0		4.913464
12	108	13	0	9	6	8	8	3	4	19.46	0		26.515878
12	109	14	0	17	12	8	12	6	5	67.70	1		1.589982
12	115	62	0	17	12	13	7	5	7	42.69	1		1.591043
2	17	65	0	31	17	0	16	6	8	237.98	0		7.348712
2	13	24	0	31	17	8	12	6	5	63.74	0		8.490574
2	9	6	0	31	17	13	12	7	4	129.54	0		15.653567
2	10	6	0	31	17	17	12	7	4	129.54	0		15.653567
2	15	51	0	33	0	0	13	4	6	52.77	0		38.811020
2	16	63	0	31	17	21	11	5	5	37.76	0		26.661108
2	21	96	0	10	3	26	14	3	4	64.01	0		24.606022
2	11	7	0	31	17	26	6	6	4	24.14	0		33.395015
2	19	79	0	0	12	21	8	2	4	47.69	0		54.861490
2	18	66	0	34	4	0	8	6	3	29.40	1		3.539185
2	12	18	0	12	21	4	6	4	6	37.46	1		17.267610
2	20	91	0	12	21	10	7	4	4	15.95	1		1.523236
2	14	40	0	10	21	14	8	3	4	18.67	1		2.392859


