Name:				175_n060_m200_bt10_17595
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		810.77
Calculation_Time:		11.25
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		20
No_of_Items:			72
Customer_Sequence:		7 23 19 6 24 11 12 5 1 8 3 15 9 10 2 17 13 20 22 4 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
4	13	9	0	0	0	0	12	4	6	176.19	0		15.717092
4	14	9	0	0	4	0	12	4	6	176.19	0		15.717092
22	69	1	0	0	8	0	10	7	6	351.18	0		10.143145
22	71	9	0	0	15	0	12	4	6	176.19	0		15.717092
22	72	9	0	0	19	0	12	4	6	176.19	0		15.717092
22	70	4	0	0	0	6	7	5	5	113.78	1		3.789401
20	66	8	0	0	5	6	13	4	7	111.13	0		13.240130
20	65	7	0	0	9	6	7	4	5	119.90	0		65.831071
20	64	6	0	0	13	6	9	3	5	110.26	0		26.701259
13	42	2	0	0	16	6	12	4	6	251.89	0		31.496315
13	43	2	0	0	20	6	12	4	6	251.89	0		31.496315
13	44	2	0	0	16	12	12	4	6	251.89	0		31.496315
13	45	3	0	0	9	11	7	4	5	230.59	0		75.857108
13	46	4	0	0	0	11	7	5	5	113.78	1		3.789401
17	55	2	0	0	20	12	12	4	6	251.89	0		31.496315
17	56	5	0	0	16	18	12	6	4	107.12	1		2.394222
2	6	6	0	0	13	11	9	3	5	110.26	0		26.701259
2	7	6	0	0	5	13	9	3	5	110.26	0		26.701259
2	5	5	0	0	16	22	12	6	4	107.12	1		2.394222
2	4	4	0	0	0	16	7	5	5	113.78	1		3.789401
10	34	8	0	12	0	0	13	4	7	111.13	0		13.240130
10	35	10	0	0	8	16	7	4	6	267.62	0		53.982562
10	33	6	0	0	12	16	9	3	5	110.26	0		26.701259
10	31	5	0	0	16	26	12	6	4	107.12	1		2.394222
10	32	5	0	10	9	0	12	6	4	107.12	1		2.394222
9	29	1	0	12	15	0	10	7	6	351.18	0		10.143145
9	30	5	0	10	9	4	12	6	4	107.12	1		2.394222
15	50	8	0	12	15	6	13	4	7	111.13	0		13.240130
15	51	10	0	0	12	21	7	4	6	267.62	0		53.982562
15	52	10	0	0	8	22	7	4	6	267.62	0		53.982562
3	12	10	0	12	19	6	7	4	6	267.62	0		53.982562
3	10	7	0	12	0	7	7	4	5	119.90	0		65.831071
3	11	7	0	12	0	12	7	4	5	119.90	0		65.831071
3	9	6	0	0	5	18	9	3	5	110.26	0		26.701259
3	8	5	0	9	9	8	12	6	4	107.12	1		2.394222
8	27	2	0	12	15	13	12	4	6	251.89	0		31.496315
8	28	5	0	9	9	12	12	6	4	107.12	1		2.394222
1	1	1	0	25	0	0	10	7	6	351.18	0		10.143145
1	2	1	0	22	7	0	10	7	6	351.18	0		10.143145
1	3	10	0	12	19	12	7	4	6	267.62	0		53.982562
5	15	2	0	12	15	19	12	4	6	251.89	0		31.496315
5	18	10	0	12	0	17	7	4	6	267.62	0		53.982562
5	17	7	0	12	19	18	7	4	5	119.90	0		65.831071
5	16	6	0	0	5	23	9	3	5	110.26	0		26.701259
12	41	8	0	22	4	6	13	4	7	111.13	0		13.240130
12	39	3	0	12	0	23	7	4	5	230.59	0		75.857108
12	40	5	0	9	9	16	12	6	4	107.12	1		2.394222
11	36	1	0	22	8	6	10	7	6	351.18	0		10.143145
11	37	9	0	21	8	12	12	4	6	176.19	0		15.717092
11	38	10	0	12	19	23	7	4	6	267.62	0		53.982562
24	78	1	0	25	15	0	10	7	6	351.18	0		10.143145
24	80	8	0	21	8	18	13	4	7	111.13	0		13.240130
24	81	9	0	22	4	13	12	4	6	176.19	0		15.717092
24	82	9	0	22	4	19	12	4	6	176.19	0		15.717092
24	79	4	0	9	9	20	7	5	5	113.78	1		3.789401
6	19	1	0	25	15	6	10	7	6	351.18	0		10.143145
6	22	8	0	25	0	6	13	4	7	111.13	0		13.240130
6	23	9	0	25	15	12	12	4	6	176.19	0		15.717092
6	21	7	0	12	14	25	7	4	5	119.90	0		65.831071
6	20	5	0	22	4	25	12	6	4	107.12	1		2.394222
19	60	1	0	34	8	0	10	7	6	351.18	0		10.143145
19	62	9	0	24	15	18	12	4	6	176.19	0		15.717092
19	63	9	0	24	15	24	12	4	6	176.19	0		15.717092
19	61	5	0	34	8	6	12	6	4	107.12	1		2.394222
23	73	2	0	25	0	13	12	4	6	251.89	0		31.496315
23	77	10	0	25	19	12	7	4	6	267.62	0		53.982562
23	74	3	0	24	19	18	7	4	5	230.59	0		75.857108
23	75	7	0	24	19	23	7	4	5	119.90	0		65.831071
23	76	7	0	25	0	19	7	4	5	119.90	0		65.831071
7	24	2	0	35	4	0	12	4	6	251.89	0		31.496315
7	26	6	0	21	12	12	9	3	5	110.26	0		26.701259
7	25	4	0	34	8	10	7	5	5	113.78	1		3.789401


