Name:				179_n060_m200_bt100_18017
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		693.72
Calculation_Time:		15.29
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		19
No_of_Items:			72
Customer_Sequence:		13 5 1 7 8 22 14 17 3 11 9 12 18 19 15 6 21 4 20 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
20	71	97	0	0	0	0	9	6	6	231.66	0		21.215722
20	70	51	0	0	6	0	7	6	7	93.72	1		3.294604
4	11	13	0	0	12	0	15	4	4	125.08	0		26.402525
4	13	63	0	0	16	0	9	4	6	202.92	0		45.492109
4	10	3	0	0	20	0	9	4	5	61.35	0		12.812963
4	12	58	0	0	12	4	14	3	3	115.85	0		75.092019
21	74	88	0	7	6	0	15	6	8	653.73	0		197.775129
21	73	75	0	0	12	7	16	3	3	106.92	0		28.076787
21	72	53	0	0	20	5	7	2	6	34.86	0		17.296088
6	19	7	0	9	16	0	9	7	4	183.72	0		76.856548
6	21	39	0	0	12	10	17	3	3	136.94	0		20.486862
6	22	71	0	0	12	13	17	4	3	80.31	1		30.668899
9	36	68	0	0	22	5	12	2	7	318.77	1		18.610382
15	55	42	0	7	6	8	17	2	6	62.88	0		5.943029
15	54	15	0	0	0	6	11	5	5	182.44	1		13.624154
19	65	11	0	0	16	6	12	3	8	108.02	0		25.744820
19	69	73	0	11	0	0	7	5	8	415.55	0		48.664892
19	68	64	0	0	16	14	14	2	8	211.21	0		45.823774
19	66	60	0	7	8	8	17	3	3	124.51	0		42.203322
19	67	60	0	7	8	11	17	3	3	124.51	0		42.203322
18	64	90	0	7	6	14	10	5	7	189.72	0		18.158383
18	62	64	0	0	16	22	14	2	8	211.21	0		45.823774
18	60	23	0	7	6	21	8	6	4	72.67	0		6.809064
18	61	60	0	17	12	0	17	3	3	124.51	0		42.203322
18	63	75	0	17	12	3	16	3	3	106.92	0		28.076787
12	45	92	0	17	12	6	17	3	5	150.14	0		17.675377
12	43	13	0	17	11	11	15	4	4	125.08	0		26.402525
12	44	43	0	17	11	15	14	3	5	150.35	0		53.396982
9	37	84	0	15	11	20	15	3	8	238.29	0		43.246410
9	34	35	0	18	0	0	11	6	3	92.42	0		31.248150
9	33	9	0	0	20	11	9	2	7	89	0		23.361401
9	35	68	0	0	0	11	12	2	7	318.77	1		18.610382
6	20	20	0	0	12	16	9	2	3	50.28	1		10.946745
11	41	19	0	18	15	0	16	4	5	303.10	0		24.397941
11	42	42	0	14	16	5	17	2	6	62.88	0		5.943029
11	40	1	0	0	20	18	8	2	7	45.14	0		6.322352
3	9	95	0	9	19	4	9	3	8	201.06	0		42.328123
3	7	3	0	7	6	25	9	4	5	61.35	0		12.812963
3	8	26	0	9	19	12	11	2	3	57.44	0		23.921707
17	58	50	0	29	0	0	17	7	8	688.59	0		140.351110
17	59	84	0	20	19	0	15	3	8	238.29	0		43.246410
14	53	55	0	29	0	8	14	6	6	427.61	0		14.174422
14	50	19	0	24	7	0	16	4	5	303.10	0		24.397941
14	51	36	0	29	0	14	7	6	7	192.41	0		40.874267
14	52	43	0	18	22	0	14	3	5	150.35	0		53.396982
22	75	8	0	24	7	5	17	4	5	212.93	0		23.470318
22	76	82	0	34	11	0	15	7	3	259.27	0		28.035622
22	77	83	0	17	6	14	6	4	8	60.27	0		20.155834
22	78	89	0	20	18	8	10	4	3	52.21	0		13.715979
8	31	82	0	34	11	3	15	7	3	259.27	0		28.035622
8	32	93	0	14	16	11	16	3	3	136.12	0		341.927508
8	28	4	0	24	6	10	11	5	7	354.87	1		14.157663
8	30	65	0	20	19	11	10	4	6	109.56	1		7.035411
8	29	56	0	29	0	21	6	6	3	50.62	1		16.537715
7	24	22	0	14	16	14	13	3	8	260.36	0		20.700342
7	25	33	0	34	11	6	11	6	3	205.23	0		30.176400
7	26	35	0	34	11	9	11	6	3	92.42	0		31.248150
7	27	44	0	14	16	22	15	2	4	58.12	0		9.910475
7	23	20	0	0	14	16	9	2	3	50.28	1		10.946745
1	3	7	0	34	11	12	9	7	4	183.72	0		76.856548
1	1	1	0	16	6	22	8	2	7	45.14	0		6.322352
1	2	4	0	24	6	17	11	5	7	354.87	1		14.157663
1	4	76	0	29	0	24	8	6	3	72.26	1		4.362777
5	18	88	0	35	18	0	15	6	8	653.73	0		197.775129
5	15	28	0	30	18	8	17	5	8	1013.73	0		51.201899
5	16	30	0	30	18	16	12	4	6	218.98	0		18.195463
5	17	49	0	14	16	26	16	2	4	167.77	0		45.063294
5	14	17	0	30	18	22	15	4	8	356.31	1		7.202865
13	46	8	0	41	7	0	17	4	5	212.93	0		23.470318
13	48	58	0	41	7	5	14	3	3	115.85	0		75.092019
13	49	94	0	34	11	16	7	3	6	114.76	0		152.280470
13	47	44	0	41	7	8	15	2	4	58.12	0		9.910475


