Name:				202_n100_m200_bt10_20138
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		1766.58
Calculation_Time:		20.00
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		45
No_of_Items:			97
Customer_Sequence:		23 13 11 7 34 12 1 5 38 31 2 43 18 9 4 16 35 6 39 26 21 29 37 44 36 27 49 40 15 22 24 20 41 10 19 45 25 8 14 28 30 47 33 46 3 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
3	6	9	0	0	0	0	16	2	5	59.29	0		8.932803
3	5	8	0	0	2	0	7	5	4	113.18	0		14.688655
3	4	3	0	0	7	0	13	3	8	291.89	1		16.838623
46	95	6	0	0	10	0	7	3	8	58.68	0		5.315889
46	94	2	0	0	13	0	12	5	3	114.89	1		13.862504
33	67	2	0	0	18	0	12	5	3	114.89	1		13.862504
47	98	9	0	0	23	0	16	2	5	59.29	0		8.932803
47	96	4	0	0	0	5	12	2	6	105.04	0		26.439171
47	97	7	0	0	2	4	7	2	8	90.88	0		41.141988
30	63	1	0	0	4	4	6	3	4	47.10	0		10.486189
28	59	5	0	12	10	0	17	6	4	229.14	0		9.084010
28	60	9	0	0	23	5	16	2	5	59.29	0		8.932803
28	58	4	0	0	23	10	12	2	6	105.04	0		26.439171
14	30	5	0	12	16	0	17	6	4	229.14	0		9.084010
14	32	10	0	0	10	8	9	3	5	108.92	0		72.306617
14	31	7	0	0	4	8	7	2	8	90.88	0		41.141988
8	16	2	0	7	2	0	12	5	3	114.89	1		13.862504
25	52	1	0	0	10	13	6	3	4	47.10	0		10.486189
45	91	5	0	9	10	4	17	6	4	229.14	0		9.084010
45	93	9	0	0	0	11	16	2	5	59.29	0		8.932803
45	92	8	0	9	10	8	7	5	4	113.18	0		14.688655
19	42	6	0	0	10	17	7	3	8	58.68	0		5.315889
10	21	9	0	0	0	16	16	2	5	59.29	0		8.932803
10	19	1	0	0	10	25	6	3	4	47.10	0		10.486189
10	20	3	0	0	6	8	13	3	8	291.89	1		16.838623
41	86	6	0	9	10	12	7	3	8	58.68	0		5.315889
41	84	1	0	9	10	20	6	3	4	47.10	0		10.486189
41	85	2	0	0	4	16	12	5	3	114.89	1		13.862504
20	45	6	0	12	16	4	7	3	8	58.68	0		5.315889
20	44	3	0	0	4	19	13	3	8	291.89	1		16.838623
20	43	2	0	16	10	8	12	5	3	114.89	1		13.862504
24	51	3	0	12	19	4	13	3	8	291.89	1		16.838623
22	48	10	0	12	16	12	9	3	5	108.92	0		72.306617
22	49	10	0	12	16	17	9	3	5	108.92	0		72.306617
15	33	5	0	19	0	0	17	6	4	229.14	0		9.084010
15	34	5	0	16	0	4	17	6	4	229.14	0		9.084010
15	35	9	0	0	23	16	16	2	5	59.29	0		8.932803
40	83	8	0	16	0	8	7	5	4	113.18	0		14.688655
40	81	1	0	9	10	24	6	3	4	47.10	0		10.486189
40	82	2	0	16	10	11	12	5	3	114.89	1		13.862504
49	101	5	0	29	6	0	17	6	4	229.14	0		9.084010
49	100	4	0	0	0	21	12	2	6	105.04	0		26.439171
49	102	10	0	12	16	22	9	3	5	108.92	0		72.306617
27	57	10	0	16	0	12	9	3	5	108.92	0		72.306617
27	56	7	0	0	2	12	7	2	8	90.88	0		41.141988
27	55	1	0	16	0	17	6	3	4	47.10	0		10.486189
36	71	6	0	12	0	21	7	3	8	58.68	0		5.315889
36	72	10	0	21	16	4	9	3	5	108.92	0		72.306617
36	70	2	0	16	10	14	12	5	3	114.89	1		13.862504
44	90	5	0	28	6	4	17	6	4	229.14	0		9.084010
37	73	4	0	0	23	21	12	2	6	105.04	0		26.439171
37	75	10	0	21	16	9	9	3	5	108.92	0		72.306617
37	74	7	0	16	22	0	7	2	8	90.88	0		41.141988
29	61	5	0	28	6	8	17	6	4	229.14	0		9.084010
29	62	10	0	21	16	14	9	3	5	108.92	0		72.306617
21	46	1	0	21	16	19	6	3	4	47.10	0		10.486189
21	47	3	0	12	19	12	13	3	8	291.89	1		16.838623
26	53	5	0	28	6	12	17	6	4	229.14	0		9.084010
26	54	9	0	23	22	0	16	2	5	59.29	0		8.932803
39	78	6	0	25	0	8	7	3	8	58.68	0		5.315889
39	79	8	0	28	6	16	7	5	4	113.18	0		14.688655
39	80	10	0	23	3	8	9	3	5	108.92	0		72.306617
6	14	4	0	23	22	5	12	2	6	105.04	0		26.439171
6	13	2	0	16	11	17	12	5	3	114.89	1		13.862504
35	69	9	0	23	22	11	16	2	5	59.29	0		8.932803
16	36	4	0	23	3	13	12	2	6	105.04	0		26.439171
4	8	9	0	23	22	16	16	2	5	59.29	0		8.932803
4	9	9	0	23	3	19	16	2	5	59.29	0		8.932803
4	7	2	0	15	10	20	12	5	3	114.89	1		13.862504
9	17	2	0	15	10	23	12	5	3	114.89	1		13.862504
9	18	2	0	15	10	26	12	5	3	114.89	1		13.862504
18	41	9	0	23	22	21	16	2	5	59.29	0		8.932803
18	40	8	0	27	6	20	7	5	4	113.18	0		14.688655
18	39	3	0	12	19	20	13	3	8	291.89	1		16.838623
43	89	10	0	25	0	16	9	3	5	108.92	0		72.306617
43	88	1	0	21	16	23	6	3	4	47.10	0		10.486189
2	3	9	0	19	0	21	16	2	5	59.29	0		8.932803
31	65	9	0	23	3	24	16	2	5	59.29	0		8.932803
31	64	1	0	27	6	24	6	3	4	47.10	0		10.486189
38	77	9	0	29	12	0	16	2	5	59.29	0		8.932803
38	76	1	0	30	14	0	6	3	4	47.10	0		10.486189
5	11	5	0	36	14	0	17	6	4	229.14	0		9.084010
5	12	6	0	30	14	4	7	3	8	58.68	0		5.315889
5	10	1	0	30	17	0	6	3	4	47.10	0		10.486189
1	2	10	0	30	17	4	9	3	5	108.92	0		72.306617
1	1	2	0	35	6	16	12	5	3	114.89	1		13.862504
12	25	5	0	39	14	4	17	6	4	229.14	0		9.084010
12	26	7	0	28	12	5	7	2	8	90.88	0		41.141988
12	24	1	0	30	17	9	6	3	4	47.10	0		10.486189
34	68	5	0	39	14	8	17	6	4	229.14	0		9.084010
7	15	2	0	35	5	19	12	5	3	114.89	1		13.862504
11	23	4	0	29	20	0	12	2	6	105.04	0		26.439171
11	22	2	0	34	5	22	12	5	3	114.89	1		13.862504
13	28	8	0	39	14	12	7	5	4	113.18	0		14.688655
13	29	8	0	39	14	16	7	5	4	113.18	0		14.688655
13	27	7	0	28	12	13	7	2	8	90.88	0		41.141988
23	50	3	0	36	0	0	13	3	8	291.89	1		16.838623


