Name:				204_n100_m200_bt10_20340
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		809.16
Calculation_Time:		1.72
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		23
No_of_Items:			48
Customer_Sequence:		8 1 14 11 26 4 12 6 3 9 19 17 10 27 22 25 7 24 2 16 20 13 15 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
15	29	4	0	0	0	0	14	6	7	267.68	0		10.167186
13	25	6	0	0	6	0	9	7	3	263.32	0		36.749018
20	39	8	0	0	13	0	11	5	8	387.37	0		30.427322
20	40	10	0	0	18	0	13	4	7	165.62	0		12.994179
20	38	3	0	0	0	7	16	4	8	301.03	1		7.031139
16	30	1	0	0	6	3	6	5	3	39.54	1		9.151577
2	3	4	0	9	6	0	14	6	7	267.68	0		10.167186
2	5	10	0	0	18	7	13	4	7	165.62	0		12.994179
2	4	6	0	9	6	7	9	7	3	263.32	0		36.749018
24	47	4	0	13	13	0	14	6	7	267.68	0		10.167186
24	46	3	0	0	18	14	16	4	8	301.03	1		7.031139
7	15	4	0	16	0	0	14	6	7	267.68	0		10.167186
7	16	7	0	11	13	7	15	5	5	265.16	0		53.452314
25	49	10	0	11	13	12	13	4	7	165.62	0		12.994179
25	48	1	0	0	0	15	6	5	3	39.54	1		9.151577
22	43	4	0	16	0	7	14	6	7	267.68	0		10.167186
22	44	10	0	11	13	19	13	4	7	165.62	0		12.994179
22	42	2	0	9	6	10	12	5	4	168.67	0		22.245446
27	52	8	0	9	6	14	11	5	8	387.37	0		30.427322
27	53	8	0	9	6	22	11	5	8	387.37	0		30.427322
27	51	3	0	0	17	22	16	4	8	301.03	1		7.031139
10	21	7	0	16	0	14	15	5	5	265.16	0		53.452314
17	32	7	0	16	0	19	15	5	5	265.16	0		53.452314
17	33	10	0	23	6	0	13	4	7	165.62	0		12.994179
17	31	5	0	0	22	0	12	3	5	79.83	0		40.138172
19	37	9	0	16	0	24	17	5	3	182.67	0		85.563576
19	36	2	0	21	6	7	12	5	4	168.67	0		22.245446
9	20	3	0	21	6	11	16	4	8	301.03	1		7.031139
3	7	7	0	27	11	0	15	5	5	265.16	0		53.452314
3	8	9	0	16	0	27	17	5	3	182.67	0		85.563576
3	6	3	0	20	6	19	16	4	8	301.03	1		7.031139
6	12	4	0	27	16	0	14	6	7	267.68	0		10.167186
6	13	7	0	27	11	5	15	5	5	265.16	0		53.452314
6	14	7	0	26	16	7	15	5	5	265.16	0		53.452314
12	24	8	0	24	16	12	11	5	8	387.37	0		30.427322
4	10	4	0	33	0	0	14	6	7	267.68	0		10.167186
4	9	2	0	24	16	20	12	5	4	168.67	0		22.245446
26	50	4	0	33	0	7	14	6	7	267.68	0		10.167186
11	22	4	0	33	0	14	14	6	7	267.68	0		10.167186
11	23	5	0	0	22	5	12	3	5	79.83	0		40.138172
14	28	6	0	41	16	0	9	7	3	263.32	0		36.749018
14	27	3	0	26	11	10	16	4	8	301.03	1		7.031139
14	26	1	0	20	5	27	6	5	3	39.54	1		9.151577
1	1	4	0	33	0	21	14	6	7	267.68	0		10.167186
1	2	6	0	41	16	3	9	7	3	263.32	0		36.749018
8	19	7	0	24	16	24	15	5	5	265.16	0		53.452314
8	18	5	0	0	22	10	12	3	5	79.83	0		40.138172
8	17	1	0	26	11	18	6	5	3	39.54	1		9.151577


