Name:				226_n100_m200_bt3_22318
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		1294.62
Calculation_Time:		3.87
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		33
No_of_Items:			67
Customer_Sequence:		31 32 3 5 10 12 37 15 19 26 23 25 29 30 20 34 11 18 9 17 28 24 8 1 27 22 2 7 21 16 35 13 4 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
4	7	3	0	0	0	0	13	2	6	104.47	0		16.725813
4	8	3	0	0	2	0	13	2	6	104.47	0		16.725813
4	6	1	0	0	4	0	16	3	5	172.02	1		5.599234
13	28	2	0	0	7	0	9	7	6	171.93	0		13.634740
13	27	1	0	0	14	0	16	3	5	172.02	1		5.599234
35	68	2	0	0	17	0	9	7	6	171.93	0		13.634740
35	69	3	0	0	0	6	13	2	6	104.47	0		16.725813
16	33	2	0	0	7	6	9	7	6	171.93	0		13.634740
21	41	2	0	0	17	6	9	7	6	171.93	0		13.634740
21	40	1	0	0	4	5	16	3	5	172.02	1		5.599234
7	13	2	0	0	7	12	9	7	6	171.93	0		13.634740
7	14	2	0	0	17	12	9	7	6	171.93	0		13.634740
7	15	3	0	0	2	6	13	2	6	104.47	0		16.725813
2	4	2	0	0	7	18	9	7	6	171.93	0		13.634740
22	43	3	0	0	0	12	13	2	6	104.47	0		16.725813
22	42	1	0	0	14	5	16	3	5	172.02	1		5.599234
27	53	2	0	0	17	18	9	7	6	171.93	0		13.634740
27	54	3	0	0	2	12	13	2	6	104.47	0		16.725813
27	52	1	0	0	4	10	16	3	5	172.02	1		5.599234
1	2	2	0	0	7	24	9	7	6	171.93	0		13.634740
1	3	3	0	0	0	18	13	2	6	104.47	0		16.725813
1	1	1	0	0	14	10	16	3	5	172.02	1		5.599234
8	17	2	0	0	17	24	9	7	6	171.93	0		13.634740
8	18	3	0	0	2	18	13	2	6	104.47	0		16.725813
8	16	1	0	0	4	15	16	3	5	172.02	1		5.599234
24	47	2	0	9	7	0	9	7	6	171.93	0		13.634740
24	48	2	0	9	17	0	9	7	6	171.93	0		13.634740
24	46	1	0	0	14	15	16	3	5	172.02	1		5.599234
28	56	2	0	9	7	6	9	7	6	171.93	0		13.634740
28	55	1	0	0	4	20	16	3	5	172.02	1		5.599234
17	34	1	0	0	14	20	16	3	5	172.02	1		5.599234
9	19	1	0	0	0	24	16	3	5	172.02	1		5.599234
18	36	3	0	16	0	0	13	2	6	104.47	0		16.725813
18	37	3	0	16	2	0	13	2	6	104.47	0		16.725813
18	35	1	0	0	4	25	16	3	5	172.02	1		5.599234
11	23	2	0	9	17	6	9	7	6	171.93	0		13.634740
11	24	2	0	9	7	12	9	7	6	171.93	0		13.634740
11	25	3	0	16	4	0	13	2	6	104.47	0		16.725813
34	66	2	0	9	17	12	9	7	6	171.93	0		13.634740
34	67	2	0	9	7	18	9	7	6	171.93	0		13.634740
20	39	1	0	0	14	25	16	3	5	172.02	1		5.599234
30	60	3	0	16	14	0	13	2	6	104.47	0		16.725813
30	59	1	0	16	0	6	16	3	5	172.02	1		5.599234
29	57	2	0	9	17	18	9	7	6	171.93	0		13.634740
29	58	3	0	16	3	6	13	2	6	104.47	0		16.725813
25	49	2	0	9	7	24	9	7	6	171.93	0		13.634740
25	50	3	0	16	14	6	13	2	6	104.47	0		16.725813
23	44	2	0	9	17	24	9	7	6	171.93	0		13.634740
23	45	2	0	18	6	0	9	7	6	171.93	0		13.634740
26	51	3	0	16	5	6	13	2	6	104.47	0		16.725813
19	38	1	0	16	0	11	16	3	5	172.02	1		5.599234
15	31	2	0	18	16	0	9	7	6	171.93	0		13.634740
15	32	3	0	16	3	12	13	2	6	104.47	0		16.725813
37	72	2	0	18	7	6	9	7	6	171.93	0		13.634740
37	73	3	0	16	5	12	13	2	6	104.47	0		16.725813
37	71	1	0	16	0	16	16	3	5	172.02	1		5.599234
12	26	2	0	18	16	6	9	7	6	171.93	0		13.634740
10	21	2	0	18	7	12	9	7	6	171.93	0		13.634740
10	22	3	0	16	14	12	13	2	6	104.47	0		16.725813
10	20	1	0	16	3	18	16	3	5	172.02	1		5.599234
5	9	2	0	18	16	12	9	7	6	171.93	0		13.634740
5	10	2	0	18	6	18	9	7	6	171.93	0		13.634740
5	11	3	0	16	14	18	13	2	6	104.47	0		16.725813
3	5	1	0	16	0	21	16	3	5	172.02	1		5.599234
32	62	3	0	16	14	24	13	2	6	104.47	0		16.725813
32	63	3	0	18	23	0	13	2	6	104.47	0		16.725813
31	61	1	0	16	3	23	16	3	5	172.02	1		5.599234


