Name:				229_n100_m200_bt3_22587
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		2361.72
Calculation_Time:		29.71
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		56
No_of_Items:			117
Customer_Sequence:		22 44 31 3 6 12 33 50 42 23 52 15 19 10 17 53 54 26 20 18 36 45 30 32 28 46 40 47 24 11 58 21 39 41 35 34 38 7 16 55 48 29 4 49 5 37 60 13 14 8 27 43 56 1 2 25 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
25	48	3	0	0	0	0	10	3	5	62.60	1		2.641948
25	49	3	0	0	3	0	10	3	5	62.60	1		2.641948
2	2	1	0	0	6	0	7	3	6	234.58	0		39.219102
2	3	1	0	0	9	0	7	3	6	234.58	0		39.219102
1	1	1	0	0	12	0	7	3	6	234.58	0		39.219102
56	113	2	0	0	15	0	15	4	3	90.29	0		25.200705
56	114	2	0	0	19	0	15	4	3	90.29	0		25.200705
43	89	2	0	0	15	3	15	4	3	90.29	0		25.200705
43	88	1	0	0	19	3	7	3	6	234.58	0		39.219102
27	53	2	0	0	15	6	15	4	3	90.29	0		25.200705
27	54	2	0	0	15	9	15	4	3	90.29	0		25.200705
8	16	2	0	0	15	12	15	4	3	90.29	0		25.200705
8	15	1	0	0	6	6	7	3	6	234.58	0		39.219102
8	17	3	0	0	0	5	10	3	5	62.60	1		2.641948
14	27	1	0	0	9	6	7	3	6	234.58	0		39.219102
13	26	3	0	0	3	5	10	3	5	62.60	1		2.641948
60	120	2	0	0	15	15	15	4	3	90.29	0		25.200705
60	121	2	0	0	15	18	15	4	3	90.29	0		25.200705
60	122	2	0	0	15	21	15	4	3	90.29	0		25.200705
37	74	2	0	0	15	24	15	4	3	90.29	0		25.200705
37	75	3	0	0	0	10	10	3	5	62.60	1		2.641948
37	76	3	0	0	3	10	10	3	5	62.60	1		2.641948
5	8	2	0	0	15	27	15	4	3	90.29	0		25.200705
5	9	3	0	0	0	15	10	3	5	62.60	1		2.641948
5	10	3	0	0	3	15	10	3	5	62.60	1		2.641948
49	100	2	0	7	6	0	15	4	3	90.29	0		25.200705
49	101	2	0	7	10	0	15	4	3	90.29	0		25.200705
49	102	3	0	0	0	20	10	3	5	62.60	1		2.641948
4	5	2	0	7	6	3	15	4	3	90.29	0		25.200705
4	6	2	0	7	10	3	15	4	3	90.29	0		25.200705
4	7	3	0	0	12	6	10	3	5	62.60	1		2.641948
29	58	2	0	7	6	6	15	4	3	90.29	0		25.200705
29	59	3	0	0	12	11	10	3	5	62.60	1		2.641948
48	98	2	0	7	6	9	15	4	3	90.29	0		25.200705
48	99	3	0	0	6	12	10	3	5	62.60	1		2.641948
55	112	2	0	10	0	0	15	4	3	90.29	0		25.200705
16	30	2	0	10	0	3	15	4	3	90.29	0		25.200705
7	12	2	0	10	0	6	15	4	3	90.29	0		25.200705
7	13	3	0	0	9	12	10	3	5	62.60	1		2.641948
7	14	3	0	0	12	16	10	3	5	62.60	1		2.641948
38	77	2	0	10	0	9	15	4	3	90.29	0		25.200705
34	69	2	0	10	0	12	15	4	3	90.29	0		25.200705
34	68	1	0	0	19	9	7	3	6	234.58	0		39.219102
34	70	3	0	0	6	17	10	3	5	62.60	1		2.641948
35	71	3	0	0	9	17	10	3	5	62.60	1		2.641948
41	84	2	0	10	6	12	15	4	3	90.29	0		25.200705
41	85	2	0	10	10	6	15	4	3	90.29	0		25.200705
41	86	3	0	0	3	20	10	3	5	62.60	1		2.641948
39	78	1	0	0	19	15	7	3	6	234.58	0		39.219102
39	79	1	0	0	19	21	7	3	6	234.58	0		39.219102
39	80	1	0	7	19	3	7	3	6	234.58	0		39.219102
21	40	3	0	0	12	21	10	3	5	62.60	1		2.641948
21	41	3	0	0	6	22	10	3	5	62.60	1		2.641948
58	118	2	0	10	10	9	15	4	3	90.29	0		25.200705
58	117	1	0	7	19	9	7	3	6	234.58	0		39.219102
11	22	2	0	10	10	12	15	4	3	90.29	0		25.200705
11	21	1	0	7	19	15	7	3	6	234.58	0		39.219102
24	47	3	0	0	9	22	10	3	5	62.60	1		2.641948
47	96	1	0	7	19	21	7	3	6	234.58	0		39.219102
47	97	3	0	0	0	25	10	3	5	62.60	1		2.641948
40	82	2	0	10	0	15	15	4	3	90.29	0		25.200705
40	83	2	0	10	6	15	15	4	3	90.29	0		25.200705
40	81	1	0	10	10	15	7	3	6	234.58	0		39.219102
46	94	1	0	10	0	18	7	3	6	234.58	0		39.219102
46	95	3	0	0	3	25	10	3	5	62.60	1		2.641948
28	55	2	0	10	6	18	15	4	3	90.29	0		25.200705
28	56	3	0	10	6	21	10	3	5	62.60	1		2.641948
28	57	3	0	10	9	21	10	3	5	62.60	1		2.641948
32	64	2	0	15	14	0	15	4	3	90.29	0		25.200705
30	60	3	0	15	18	0	10	3	5	62.60	1		2.641948
45	91	2	0	15	21	0	15	4	3	90.29	0		25.200705
45	92	2	0	15	14	3	15	4	3	90.29	0		25.200705
45	93	3	0	14	21	3	10	3	5	62.60	1		2.641948
