Name:				256_n100_m200_bt3_25054
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		790.06
Calculation_Time:		2.11
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		21
No_of_Items:			47
Customer_Sequence:		2 20 14 5 15 8 4 18 12 16 27 11 21 1 13 9 10 24 23 17 3 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
3	6	1	0	0	0	0	17	4	6	228.22	0		30.593046
3	7	1	0	0	4	0	17	4	6	228.22	0		30.593046
3	8	3	0	0	8	0	11	6	6	300.61	0		23.821077
17	34	1	0	0	14	0	17	4	6	228.22	0		30.593046
17	35	2	0	0	18	0	9	5	8	358.88	1		10.012786
17	36	2	0	0	0	6	9	5	8	358.88	1		10.012786
23	44	1	0	0	5	6	17	4	6	228.22	0		30.593046
23	45	3	0	0	9	6	11	6	6	300.61	0		23.821077
23	46	3	0	0	5	12	11	6	6	300.61	0		23.821077
24	48	3	0	0	5	18	11	6	6	300.61	0		23.821077
24	49	3	0	0	5	24	11	6	6	300.61	0		23.821077
24	47	2	0	0	18	8	9	5	8	358.88	1		10.012786
10	19	1	0	9	18	0	17	4	6	228.22	0		30.593046
9	17	1	0	9	18	6	17	4	6	228.22	0		30.593046
9	18	3	0	17	0	0	11	6	6	300.61	0		23.821077
13	25	3	0	17	6	0	11	6	6	300.61	0		23.821077
13	26	3	0	17	12	0	11	6	6	300.61	0		23.821077
13	27	3	0	17	0	6	11	6	6	300.61	0		23.821077
1	2	3	0	17	6	6	11	6	6	300.61	0		23.821077
1	1	2	0	0	11	12	9	5	8	358.88	1		10.012786
21	42	1	0	9	18	12	17	4	6	228.22	0		30.593046
11	20	3	0	11	5	12	11	6	6	300.61	0		23.821077
11	21	3	0	11	5	18	11	6	6	300.61	0		23.821077
27	52	1	0	9	18	18	17	4	6	228.22	0		30.593046
27	53	1	0	9	18	24	17	4	6	228.22	0		30.593046
27	54	3	0	11	5	24	11	6	6	300.61	0		23.821077
16	32	1	0	11	12	6	17	4	6	228.22	0		30.593046
16	33	2	0	0	0	14	9	5	8	358.88	1		10.012786
12	22	3	1	22	0	12	11	6	6	300.61	0		23.821077
12	23	3	1	22	0	18	11	6	6	300.61	0		23.821077
12	24	3	1	22	0	24	11	6	6	300.61	0		23.821077
18	37	3	0	26	18	0	11	6	6	300.61	0		23.821077
4	9	1	0	9	11	12	17	4	6	228.22	0		30.593046
8	15	1	0	9	11	18	17	4	6	228.22	0		30.593046
8	16	3	0	26	18	6	11	6	6	300.61	0		23.821077
15	29	3	0	26	18	12	11	6	6	300.61	0		23.821077
15	30	3	0	26	18	18	11	6	6	300.61	0		23.821077
15	31	3	0	26	18	24	11	6	6	300.61	0		23.821077
5	10	1	0	9	11	24	17	4	6	228.22	0		30.593046
5	11	2	0	28	0	0	9	5	8	358.88	1		10.012786
14	28	1	0	28	5	0	17	4	6	228.22	0		30.593046
20	39	2	0	28	9	0	9	5	8	358.88	1		10.012786
20	40	2	0	28	0	8	9	5	8	358.88	1		10.012786
20	41	2	0	28	9	8	9	5	8	358.88	1		10.012786
2	3	1	0	28	14	0	17	4	6	228.22	0		30.593046
2	4	2	0	28	0	16	9	5	8	358.88	1		10.012786
2	5	2	0	28	9	16	9	5	8	358.88	1		10.012786


