Name:				264_n100_m200_bt10_25850
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		1279.26
Calculation_Time:		5.88
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		31
No_of_Items:			66
Customer_Sequence:		22 8 1 27 24 11 21 20 33 7 6 2 14 16 34 4 17 15 26 32 25 28 23 3 35 19 5 30 31 29 13 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
13	24	8	0	0	0	0	13	5	8	169.49	0		4.609499
13	23	6	0	0	5	0	6	4	8	258.50	1		8.149279
29	56	1	0	0	9	0	16	4	5	280.68	0		55.510781
29	57	6	0	0	13	0	6	4	8	258.50	1		8.149279
31	61	4	0	0	17	0	8	7	4	192.79	0		65.021396
31	62	6	0	0	9	5	6	4	8	258.50	1		8.149279
30	60	10	0	0	17	4	9	3	8	120.56	0		26.345544
30	58	2	0	0	20	4	9	3	4	72.83	0		30.185832
30	59	2	0	0	0	8	9	3	4	72.83	0		30.185832
5	11	7	0	6	5	0	17	4	8	427.72	0		25.646521
5	10	2	0	0	20	8	9	3	4	72.83	0		30.185832
19	37	10	0	0	0	12	9	3	8	120.56	0		26.345544
19	36	2	0	0	17	12	9	3	4	72.83	0		30.185832
35	70	1	0	6	13	0	16	4	5	280.68	0		55.510781
35	71	10	0	0	20	12	9	3	8	120.56	0		26.345544
3	4	1	0	6	13	5	16	4	5	280.68	0		55.510781
3	6	9	0	6	3	8	7	7	4	165.95	0		20.185029
3	5	5	0	0	17	16	12	2	3	39.09	1		7.329585
23	46	9	0	6	3	12	7	7	4	165.95	0		20.185029
23	45	6	0	0	9	13	6	4	8	258.50	1		8.149279
28	55	6	0	0	0	20	6	4	8	258.50	1		8.149279
25	49	6	0	0	20	20	6	4	8	258.50	1		8.149279
32	64	8	0	9	19	0	13	5	8	169.49	0		4.609499
32	63	1	0	6	13	10	16	4	5	280.68	0		55.510781
32	65	10	0	6	10	5	9	3	8	120.56	0		26.345544
26	51	8	0	9	19	8	13	5	8	169.49	0		4.609499
26	50	4	0	6	3	16	8	7	4	192.79	0		65.021396
15	28	7	0	6	13	15	17	4	8	427.72	0		25.646521
15	27	1	0	6	13	23	16	4	5	280.68	0		55.510781
17	33	10	0	6	10	13	9	3	8	120.56	0		26.345544
17	32	9	0	6	0	20	7	7	4	165.95	0		20.185029
4	9	7	0	9	19	16	17	4	8	427.72	0		25.646521
4	8	3	0	22	17	0	12	6	6	160.26	0		19.364184
4	7	1	0	6	19	24	16	4	5	280.68	0		55.510781
34	67	4	0	6	0	24	8	7	4	192.79	0		65.021396
34	68	4	0	23	0	0	8	7	4	192.79	0		65.021396
34	69	9	0	23	7	0	7	7	4	165.95	0		20.185029
16	29	1	1	23	0	4	16	4	5	280.68	0		55.510781
16	31	10	0	6	7	20	9	3	8	120.56	0		26.345544
16	30	9	0	30	7	0	7	7	4	165.95	0		20.185029
14	26	7	1	23	0	9	17	4	8	427.72	0		25.646521
14	25	2	0	6	10	21	9	3	4	72.83	0		30.185832
2	3	2	0	6	10	25	9	3	4	72.83	0		30.185832
6	13	3	1	27	0	4	12	6	6	160.26	0		19.364184
6	12	2	1	23	0	17	9	3	4	72.83	0		30.185832
6	14	5	0	0	17	19	12	2	3	39.09	1		7.329585
7	15	6	1	23	9	17	6	4	8	258.50	1		8.149279
33	66	4	0	27	0	10	8	7	4	192.79	0		65.021396
20	39	9	0	27	0	14	7	7	4	165.95	0		20.185029
20	38	2	1	23	0	21	9	3	4	72.83	0		30.185832
21	40	1	0	34	14	0	16	4	5	280.68	0		55.510781
21	41	4	0	26	0	18	8	7	4	192.79	0		65.021396
11	19	3	0	34	18	0	12	6	6	160.26	0		19.364184
11	20	9	0	26	0	22	7	7	4	165.95	0		20.185029
11	21	9	0	26	0	26	7	7	4	165.95	0		20.185029
24	47	1	0	26	17	6	16	4	5	280.68	0		55.510781
24	48	10	0	26	17	11	9	3	8	120.56	0		26.345544
27	54	8	0	35	0	0	13	5	8	169.49	0		4.609499
27	52	4	0	37	5	0	8	7	4	192.79	0		65.021396
27	53	5	0	0	17	22	12	2	3	39.09	1		7.329585
1	1	1	0	35	0	8	16	4	5	280.68	0		55.510781
1	2	9	0	35	5	4	7	7	4	165.95	0		20.185029
8	16	8	0	35	0	13	13	5	8	169.49	0		4.609499
22	43	7	0	34	0	21	17	4	8	427.72	0		25.646521
22	44	8	0	45	5	0	13	5	8	169.49	0		4.609499
22	42	3	0	45	5	8	12	6	6	160.26	0		19.364184


