Name:				202_n100_m200_bt10_16395
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		2189.64
Calculation_Time:		49.91
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		60
No_of_Items:			123
Customer_Sequence:		2 36 13 5 17 32 14 57 45 47 51 4 3 23 18 40 56 22 29 38 8 63 50 11 19 31 16 55 35 15 30 27 53 33 60 42 9 21 34 44 41 24 26 20 6 10 52 54 1 49 58 7 46 12 39 43 28 61 37 25 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
25	52	1	0	0	0	0	6	3	4	47.10	0		10.486189
37	73	4	0	0	3	0	12	2	6	105.04	0		26.439171
37	75	10	0	0	5	0	9	3	5	108.92	0		72.306617
37	74	7	0	0	8	0	7	2	8	90.88	0		41.141988
61	123	7	0	0	10	0	7	2	8	90.88	0		41.141988
61	121	1	0	0	12	0	6	3	4	47.10	0		10.486189
61	122	2	0	0	15	0	12	5	3	114.89	1		13.862504
28	59	5	0	7	8	0	17	6	4	229.14	0		9.084010
28	60	9	0	0	20	0	16	2	5	59.29	0		8.932803
28	58	4	0	0	22	0	12	2	6	105.04	0		26.439171
43	89	10	0	0	12	4	9	3	5	108.92	0		72.306617
43	88	1	0	0	0	4	6	3	4	47.10	0		10.486189
39	78	6	0	0	5	5	7	3	8	58.68	0		5.315889
39	79	8	0	12	0	0	7	5	4	113.18	0		14.688655
39	80	10	0	0	8	8	9	3	5	108.92	0		72.306617
12	25	5	0	9	8	4	17	6	4	229.14	0		9.084010
12	26	7	0	0	20	5	7	2	8	90.88	0		41.141988
12	24	1	0	0	0	8	6	3	4	47.10	0		10.486189
46	95	6	0	0	12	9	7	3	8	58.68	0		5.315889
46	94	2	0	0	15	3	12	5	3	114.89	1		13.862504
7	15	2	0	0	15	6	12	5	3	114.89	1		13.862504
58	118	7	0	0	3	6	7	2	8	90.88	0		41.141988
49	101	5	0	9	8	8	17	6	4	229.14	0		9.084010
49	100	4	0	0	22	6	12	2	6	105.04	0		26.439171
49	102	10	0	0	5	13	9	3	5	108.92	0		72.306617
1	2	10	0	0	8	13	9	3	5	108.92	0		72.306617
1	1	2	0	0	15	9	12	5	3	114.89	1		13.862504
54	112	9	0	0	22	12	16	2	5	59.29	0		8.932803
54	111	8	0	0	5	18	7	5	4	113.18	0		14.688655
52	109	9	0	0	22	17	16	2	5	59.29	0		8.932803
